timestamp,power_mW,under_attack
2025-11-28T20:34:59.704574,33209,0
2025-11-28T20:35:00.738764,33245,0
2025-11-28T20:35:01.781127,33187,0
2025-11-28T20:35:02.815026,33194,0
2025-11-28T20:35:03.869906,33262,0
2025-11-28T20:35:04.901363,33299,0
2025-11-28T20:35:05.931001,33167,0
2025-11-28T20:35:06.975633,33233,0
2025-11-28T20:35:08.025851,33196,0
2025-11-28T20:35:09.074198,33177,0
2025-11-28T20:35:10.104091,33253,0
2025-11-28T20:35:11.134739,33219,0
2025-11-28T20:35:12.174214,33150,0
2025-11-28T20:35:13.220801,33184,0
2025-11-28T20:35:14.271265,33154,0
2025-11-28T20:35:15.300657,33225,0
2025-11-28T20:35:16.330611,33200,0
2025-11-28T20:35:17.360442,33277,0
2025-11-28T20:35:18.391106,33185,0
2025-11-28T20:35:19.427755,33215,0
2025-11-28T20:35:20.461476,33173,0
2025-11-28T20:35:21.491643,33194,0
2025-11-28T20:35:22.540239,33162,0
2025-11-28T20:35:23.571630,33162,0
2025-11-28T20:35:24.612365,33113,0
2025-11-28T20:35:25.644338,33149,0
2025-11-28T20:35:26.674528,33175,0
2025-11-28T20:35:27.733067,33160,0
2025-11-28T20:35:28.782657,33190,0
2025-11-28T20:35:29.812555,33020,0
2025-11-28T20:35:30.860423,33106,0
2025-11-28T20:35:31.893172,33078,0
2025-11-28T20:35:32.923350,33172,0
2025-11-28T20:35:33.953251,33136,0
2025-11-28T20:35:34.983765,33097,0
2025-11-28T20:35:36.015439,33117,0
2025-11-28T20:35:37.045623,33036,0
2025-11-28T20:35:38.075741,33099,0
2025-11-28T20:35:39.106120,33032,0
2025-11-28T20:35:40.152676,33074,0
2025-11-28T20:35:41.181761,33075,0
2025-11-28T20:35:42.226537,33106,0
2025-11-28T20:35:43.261607,33058,0
2025-11-28T20:35:44.292661,33019,0
2025-11-28T20:35:45.322329,33053,0
2025-11-28T20:35:46.352814,33009,0
2025-11-28T20:35:47.383720,33028,0
2025-11-28T20:35:48.420816,33056,0
2025-11-28T20:35:49.467435,32962,0
2025-11-28T20:35:50.498412,32961,0
2025-11-28T20:35:51.543781,33018,0
2025-11-28T20:35:52.575297,33142,0
2025-11-28T20:35:53.605844,32999,0
2025-11-28T20:35:54.636410,33044,0
2025-11-28T20:35:55.667949,33054,0
2025-11-28T20:35:56.699776,33050,0
2025-11-28T20:35:57.729377,33051,0
2025-11-28T20:35:58.765161,33072,0
2025-11-28T20:35:59.811221,33086,0
2025-11-28T20:36:00.840932,33063,0
2025-11-28T20:36:01.885496,32962,0
2025-11-28T20:36:02.917523,33083,0
2025-11-28T20:36:03.947192,32974,0
2025-11-28T20:36:04.976778,33075,0
2025-11-28T20:36:06.007621,33058,0
2025-11-28T20:36:07.040557,33120,0
2025-11-28T20:36:08.077739,33044,0
2025-11-28T20:36:09.129509,33064,0
2025-11-28T20:36:10.190126,33014,0
2025-11-28T20:36:11.224655,33102,0
2025-11-28T20:36:12.259531,33021,0
2025-11-28T20:36:13.288935,33007,0
2025-11-28T20:36:14.318639,33030,0
2025-11-28T20:36:15.353091,33033,0
