timestamp,power_mW,under_attack
2025-11-28T23:25:37.882568,31811,1
2025-11-28T23:25:38.912822,31879,1
2025-11-28T23:25:39.943922,31859,1
2025-11-28T23:25:40.975737,31891,1
2025-11-28T23:25:42.009223,31956,1
2025-11-28T23:25:43.040729,32023,1
2025-11-28T23:25:44.071949,31929,1
2025-11-28T23:25:45.102264,31932,1
2025-11-28T23:25:46.150625,31952,1
2025-11-28T23:25:47.201229,32032,1
2025-11-28T23:25:48.231236,31893,1
2025-11-28T23:25:49.271291,31962,1
2025-11-28T23:25:50.303621,31784,1
2025-11-28T23:25:51.339580,31930,1
2025-11-28T23:25:52.378325,31879,1
2025-11-28T23:25:53.437625,31823,1
2025-11-28T23:25:54.477247,31873,1
2025-11-28T23:25:55.508561,31836,1
2025-11-28T23:25:56.546711,31927,1
2025-11-28T23:25:57.584469,31881,1
2025-11-28T23:25:58.613765,31920,1
2025-11-28T23:25:59.645178,31970,1
2025-11-28T23:26:00.692510,31854,1
2025-11-28T23:26:01.722133,31976,1
2025-11-28T23:26:02.764871,31964,1
2025-11-28T23:26:03.807739,32036,1
2025-11-28T23:26:04.836901,31986,1
2025-11-28T23:26:05.867771,31877,1
2025-11-28T23:26:06.899003,31965,1
2025-11-28T23:26:07.935172,31937,1
2025-11-28T23:26:08.965490,31887,1
2025-11-28T23:26:10.006045,31824,1
2025-11-28T23:26:11.040024,31892,1
2025-11-28T23:26:12.087807,286893,1
2025-11-28T23:26:13.118668,1887493,1
2025-11-28T23:26:14.148343,1887234,1
2025-11-28T23:26:15.177638,1887247,1
2025-11-28T23:26:16.207252,1886632,1
2025-11-28T23:26:17.239037,1886370,1
2025-11-28T23:26:18.269730,1885872,1
2025-11-28T23:26:19.301540,1886183,1
2025-11-28T23:26:20.333610,1886670,1
2025-11-28T23:26:21.376727,1884353,1
2025-11-28T23:26:22.411529,1883743,1
2025-11-28T23:26:23.458946,1884196,1
2025-11-28T23:26:24.504095,1883276,1
2025-11-28T23:26:25.539903,1882457,1
2025-11-28T23:26:26.571384,1881403,1
2025-11-28T23:26:27.621906,1481323,1
2025-11-28T23:26:28.651802,31863,1
2025-11-28T23:26:29.697350,31934,1
2025-11-28T23:26:30.735086,31826,1
2025-11-28T23:26:31.767037,31847,1
2025-11-28T23:26:32.813629,31869,1
2025-11-28T23:26:33.843148,31863,1
2025-11-28T23:26:34.893566,31833,1
2025-11-28T23:26:35.923421,31797,1
2025-11-28T23:26:36.967764,31800,1
2025-11-28T23:26:38.477641,31862,0
2025-11-28T23:26:39.528657,31906,0
2025-11-28T23:26:40.561651,31723,0
2025-11-28T23:26:41.591356,31750,0
2025-11-28T23:26:42.621385,31850,0
2025-11-28T23:26:43.651359,31801,0
2025-11-28T23:26:44.681553,31823,0
2025-11-28T23:26:45.726344,31813,0
2025-11-28T23:26:46.770005,31759,0
2025-11-28T23:26:47.800806,31809,0
2025-11-28T23:26:48.846334,31782,0
2025-11-28T23:26:49.878205,31726,0
2025-11-28T23:26:50.907464,31846,0
2025-11-28T23:26:51.936854,31793,0
2025-11-28T23:26:52.966917,31765,0
2025-11-28T23:26:54.001736,31849,0
2025-11-28T23:26:55.033368,31900,0
2025-11-28T23:26:56.063284,31792,0
2025-11-28T23:26:57.137369,31915,0
2025-11-28T23:26:58.166514,31727,0
2025-11-28T23:26:59.201180,31838,0
2025-11-28T23:27:00.235202,31783,0
2025-11-28T23:27:01.266855,31716,0
2025-11-28T23:27:02.298414,31736,0
2025-11-28T23:27:03.338375,31843,0
2025-11-28T23:27:04.383441,31788,0
2025-11-28T23:27:05.413663,31769,0
2025-11-28T23:27:06.458232,31753,0
2025-11-28T23:27:07.489217,31714,0
2025-11-28T23:27:08.519732,31777,0
2025-11-28T23:27:09.550345,31839,0
2025-11-28T23:27:10.585664,31834,0
2025-11-28T23:27:11.617185,31758,0
2025-11-28T23:27:12.659288,31835,0
2025-11-28T23:27:13.702628,31847,0
2025-11-28T23:27:14.734376,31897,0
2025-11-28T23:27:15.775320,31819,0
2025-11-28T23:27:16.812268,31755,0
2025-11-28T23:27:17.851487,31825,0
2025-11-28T23:27:18.883504,31843,0
2025-11-28T23:27:19.913050,31809,0
2025-11-28T23:27:20.956261,31909,0
2025-11-28T23:27:21.995617,31783,0
2025-11-28T23:27:23.026491,31823,0
2025-11-28T23:27:24.072104,31792,0
2025-11-28T23:27:25.103785,31748,0
2025-11-28T23:27:26.137988,31736,0
2025-11-28T23:27:27.171625,31836,0
2025-11-28T23:27:28.202187,31786,0
2025-11-28T23:27:29.231807,31848,0
2025-11-28T23:27:30.308130,31881,0
2025-11-28T23:27:31.341691,31753,0
2025-11-28T23:27:32.372188,31848,0
2025-11-28T23:27:33.402607,31846,0
2025-11-28T23:27:34.432257,31864,0
2025-11-28T23:27:35.473591,31824,0
2025-11-28T23:27:36.503403,31851,0
2025-11-28T23:27:37.535096,31811,0
2025-11-28T23:27:38.584493,31825,0
2025-11-28T23:27:39.614343,31737,0
2025-11-28T23:27:40.660136,31833,0
2025-11-28T23:27:41.690816,31807,0
2025-11-28T23:27:42.720446,31798,0
2025-11-28T23:27:43.750524,31853,0
2025-11-28T23:27:44.786707,31863,0
2025-11-28T23:27:45.817830,31805,0
2025-11-28T23:27:46.848954,31816,0
2025-11-28T23:27:47.884666,31781,0
2025-11-28T23:27:48.926761,31757,0
2025-11-28T23:27:49.959425,31818,0
2025-11-28T23:27:51.003541,31873,0
2025-11-28T23:27:52.037032,31652,0
2025-11-28T23:27:53.070430,31802,0
