timestamp,power_mW,under_attack
2025-11-28T21:15:03.674111,31819,1
2025-11-28T21:15:04.706239,31764,1
2025-11-28T21:15:05.747456,31910,1
2025-11-28T21:15:06.780672,31919,1
2025-11-28T21:15:07.810267,32017,1
2025-11-28T21:15:08.895631,31895,1
2025-11-28T21:15:09.925095,31932,1
2025-11-28T21:15:10.955369,31919,1
2025-11-28T21:15:11.985836,31835,1
2025-11-28T21:15:13.016957,31873,1
2025-11-28T21:15:14.055225,31899,1
2025-11-28T21:15:15.086340,31879,1
2025-11-28T21:15:16.116077,31999,1
2025-11-28T21:15:17.161457,31859,1
2025-11-28T21:15:18.192708,31943,1
2025-11-28T21:15:19.239763,31939,1
2025-11-28T21:15:20.274212,31951,1
2025-11-28T21:15:21.317625,31900,1
2025-11-28T21:15:22.360563,31833,1
2025-11-28T21:15:23.409614,31974,1
2025-11-28T21:15:24.459738,31936,1
2025-11-28T21:15:25.490580,32023,1
2025-11-28T21:15:26.524131,31854,1
2025-11-28T21:15:27.553714,31887,1
2025-11-28T21:15:28.584912,32005,1
2025-11-28T21:15:29.623891,31957,1
2025-11-28T21:15:30.653561,31932,1
2025-11-28T21:15:31.683353,31988,1
2025-11-28T21:15:32.727190,32049,1
2025-11-28T21:15:33.763522,31991,1
2025-11-28T21:15:34.802119,31975,1
2025-11-28T21:15:35.834857,32040,1
2025-11-28T21:15:36.875252,32031,1
2025-11-28T21:15:37.904748,71278,1
2025-11-28T21:15:38.936841,1902400,1
2025-11-28T21:15:39.968178,1896728,1
2025-11-28T21:15:40.997379,1894475,1
2025-11-28T21:15:42.046946,1893401,1
2025-11-28T21:15:43.079807,1893779,1
2025-11-28T21:15:44.118365,1894358,1
2025-11-28T21:15:45.150744,1892528,1
2025-11-28T21:15:46.181040,1891731,1
2025-11-28T21:15:47.212141,1890779,1
2025-11-28T21:15:48.242255,1890877,1
2025-11-28T21:15:49.272064,1890947,1
2025-11-28T21:15:50.302207,1888384,1
2025-11-28T21:15:51.344713,1887783,1
2025-11-28T21:15:52.386923,1888236,1
2025-11-28T21:15:53.417117,1887374,1
2025-11-28T21:15:54.463460,28829,1
2025-11-28T21:15:55.517310,31870,1
2025-11-28T21:15:56.548708,31865,1
2025-11-28T21:15:57.580677,31813,1
2025-11-28T21:15:58.610472,31860,1
2025-11-28T21:15:59.657215,31882,1
2025-11-28T21:16:00.687198,31846,1
2025-11-28T21:16:01.731481,31802,1
2025-11-28T21:16:02.762770,31864,1
2025-11-28T21:16:15.703172,31910,0
2025-11-28T21:16:16.732551,31838,0
2025-11-28T21:16:17.782208,31832,0
2025-11-28T21:16:18.811749,31776,0
2025-11-28T21:16:19.858378,31762,0
2025-11-28T21:16:20.889925,31704,0
2025-11-28T21:16:21.919303,31809,0
2025-11-28T21:16:22.949349,31844,0
2025-11-28T21:16:23.982697,31830,0
2025-11-28T21:16:25.055138,31860,0
2025-11-28T21:16:26.085692,31847,0
2025-11-28T21:16:27.126674,31847,0
2025-11-28T21:16:28.157349,31882,0
2025-11-28T21:16:29.185947,31915,0
2025-11-28T21:16:30.215042,31860,0
2025-11-28T21:16:31.245831,31771,0
2025-11-28T21:16:32.285227,31822,0
2025-11-28T21:16:33.314390,31812,0
2025-11-28T21:16:34.344415,31869,0
2025-11-28T21:16:35.397216,31784,0
2025-11-28T21:16:36.426039,31781,0
2025-11-28T21:16:37.477539,31866,0
2025-11-28T21:16:38.508234,31875,0
2025-11-28T21:16:39.555237,31790,0
2025-11-28T21:16:40.618414,31826,0
2025-11-28T21:16:41.667333,31881,0
2025-11-28T21:16:42.699603,31830,0
2025-11-28T21:16:43.729212,31834,0
2025-11-28T21:16:44.764224,31879,0
2025-11-28T21:16:45.822233,31937,0
2025-11-28T21:16:46.866304,31899,0
2025-11-28T21:16:47.914555,31899,0
2025-11-28T21:16:48.945051,31787,0
2025-11-28T21:16:49.976249,31884,0
2025-11-28T21:16:51.025326,31761,0
2025-11-28T21:16:52.055229,31841,0
2025-11-28T21:16:53.087296,31788,0
2025-11-28T21:16:54.135556,31778,0
2025-11-28T21:16:55.165105,31753,0
2025-11-28T21:16:56.208036,31687,0
2025-11-28T21:16:57.238481,31786,0
2025-11-28T21:16:58.268932,31788,0
2025-11-28T21:16:59.309835,31854,0
2025-11-28T21:17:00.340345,31936,0
2025-11-28T21:17:01.369115,31758,0
2025-11-28T21:17:02.426621,31834,0
2025-11-28T21:17:03.456146,31819,0
2025-11-28T21:17:04.506300,31860,0
2025-11-28T21:17:05.535488,31823,0
2025-11-28T21:17:06.566617,31868,0
2025-11-28T21:17:07.622696,31852,0
2025-11-28T21:17:08.652033,31924,0
2025-11-28T21:17:09.681818,31842,0
2025-11-28T21:17:10.755832,31861,0
2025-11-28T21:17:11.792738,31854,0
2025-11-28T21:17:12.823302,31822,0
2025-11-28T21:17:13.853868,31824,0
2025-11-28T21:17:14.883597,31845,0
2025-11-28T21:17:15.925047,31901,0
2025-11-28T21:17:16.969161,31908,0
2025-11-28T21:17:17.998605,31822,0
2025-11-28T21:17:19.067235,31962,0
2025-11-28T21:17:20.098502,31919,0
2025-11-28T21:17:21.142826,31919,0
2025-11-28T21:17:22.190377,31790,0
2025-11-28T21:17:23.246988,31867,0
2025-11-28T21:17:24.277554,31825,0
2025-11-28T21:17:25.310819,31802,0
2025-11-28T21:17:26.347593,31820,0
2025-11-28T21:17:27.376585,31966,0
2025-11-28T21:17:28.406781,31950,0
2025-11-28T21:17:29.437412,31849,0
2025-11-28T21:17:30.467514,31867,0
2025-11-28T21:17:31.511236,31912,0
2025-11-28T21:17:32.541178,31844,0
2025-11-28T21:17:33.585673,31819,0
2025-11-28T21:17:34.620298,31929,0
2025-11-28T21:17:35.652601,31873,0
2025-11-28T21:17:36.682200,31952,0
2025-11-28T21:17:37.711732,31956,0
2025-11-28T21:17:38.753071,31912,0
2025-11-28T21:17:39.782911,31936,0
2025-11-28T21:17:40.828714,31945,0
2025-11-28T21:17:41.858570,31866,0
2025-11-28T21:17:42.906332,31866,0
2025-11-28T21:17:43.950835,32009,0
2025-11-28T21:17:44.982594,31993,0
2025-11-28T21:17:46.014649,31948,0
2025-11-28T21:17:47.056802,31970,0
2025-11-28T21:17:48.098672,31990,0
2025-11-28T21:17:49.131724,31995,0
2025-11-28T21:17:50.206014,31829,0
2025-11-28T21:17:51.236391,31895,0
2025-11-28T21:17:52.266506,31899,0
2025-11-28T21:17:53.295795,31942,0
2025-11-28T21:17:54.324831,31957,0
2025-11-28T21:17:55.368510,31908,0
2025-11-28T21:17:56.400549,31971,0
2025-11-28T21:17:57.519435,31959,0
2025-11-28T21:17:58.571456,32006,0
2025-11-28T21:17:59.602958,31944,0
2025-11-28T21:18:00.633091,31965,0
2025-11-28T21:18:01.671566,31916,0
2025-11-28T21:18:02.702126,31868,0
2025-11-28T21:18:03.731544,31968,0
2025-11-28T21:18:04.791255,31964,0
2025-11-28T21:18:05.820203,32010,0
2025-11-28T21:18:06.880157,31969,0
2025-11-28T21:18:07.909488,31955,0
2025-11-28T21:18:08.939392,31980,0
2025-11-28T21:18:09.982187,31961,0
2025-11-28T21:18:11.011574,31992,0
2025-11-28T21:18:12.063410,32048,0
2025-11-28T21:18:13.111948,31990,0
2025-11-28T21:18:14.141561,31987,0
2025-11-28T21:18:15.182771,31950,0
2025-11-28T21:18:16.213563,31893,0
2025-11-28T21:18:17.255591,1854471,0
2025-11-28T21:18:18.286187,1895829,0
2025-11-28T21:18:19.331954,1894917,0
2025-11-28T21:18:20.361673,1894335,0
2025-11-28T21:18:21.405137,1893560,0
2025-11-28T21:18:22.438422,1891056,0
2025-11-28T21:18:23.468870,1890688,0
2025-11-28T21:18:24.502186,1891266,0
2025-11-28T21:18:25.532186,1890786,0
2025-11-28T21:18:26.565762,1888942,0
2025-11-28T21:18:27.598114,1886914,0
2025-11-28T21:18:28.628222,1886071,0
2025-11-28T21:18:29.673581,1884416,0
2025-11-28T21:18:30.703275,1882785,0
2025-11-28T21:18:31.749063,1881819,0
2025-11-28T21:18:32.780453,31779,0
2025-11-28T21:18:33.818526,31686,0
2025-11-28T21:18:34.859014,31705,0
2025-11-28T21:18:35.919693,31774,0
2025-11-28T21:18:36.950134,31666,0
2025-11-28T21:18:37.993645,31698,0
2025-11-28T21:18:39.024280,31711,0
2025-11-28T21:18:40.062591,31734,0
2025-11-28T21:18:41.106948,31678,0
2025-11-28T21:18:42.136494,31759,0
2025-11-28T21:18:43.166118,31759,0
2025-11-28T21:18:44.215407,31740,0
2025-11-28T21:18:45.243870,31784,0
2025-11-28T21:18:46.295009,31846,0
2025-11-28T21:18:47.324432,31716,0
2025-11-28T21:18:48.363097,31748,0
2025-11-28T21:18:49.393723,31779,0
2025-11-28T21:18:50.423681,31788,0
2025-11-28T21:18:51.453537,31796,0
2025-11-28T21:18:52.483258,31752,0
2025-11-28T21:18:53.530440,31652,0
2025-11-28T21:18:54.560350,31782,0
2025-11-28T21:18:55.608280,31878,0
2025-11-28T21:18:56.637928,31695,0
2025-11-28T21:18:57.670466,31772,0
2025-11-28T21:18:58.700777,31701,0
2025-11-28T21:18:59.730517,31763,0
2025-11-28T21:19:00.764557,31735,0
2025-11-28T21:19:01.795674,31796,0
2025-11-28T21:19:02.829197,31758,0
2025-11-28T21:19:03.874931,31843,0
2025-11-28T21:19:04.904569,31724,0
2025-11-28T21:19:05.948819,31803,0
2025-11-28T21:19:06.978362,31797,0
2025-11-28T21:19:08.008595,31715,0
2025-11-28T21:19:09.041567,31751,0
2025-11-28T21:19:10.088425,31810,0
2025-11-28T21:19:11.118575,31780,0
2025-11-28T21:19:12.171134,31759,0
2025-11-28T21:19:13.201854,31831,0
2025-11-28T21:19:14.244715,31851,0
2025-11-28T21:19:15.275478,31878,0
2025-11-28T21:19:16.304836,31891,1
2025-11-28T21:19:17.341853,31908,1
2025-11-28T21:19:18.376099,31970,1
2025-11-28T21:19:19.404807,31989,1
2025-11-28T21:19:20.463810,32013,1
2025-11-28T21:19:21.498503,31939,1
2025-11-28T21:19:22.538511,31876,1
2025-11-28T21:19:23.572096,31922,1
2025-11-28T21:19:24.608249,31972,1
2025-11-28T21:19:25.647128,31911,1
2025-11-28T21:19:26.677737,31958,1
2025-11-28T21:19:27.708923,31900,1
2025-11-28T21:19:28.759204,31949,1
2025-11-28T21:19:29.789611,32017,1
2025-11-28T21:19:30.839656,31994,1
2025-11-28T21:19:31.869796,31930,1
2025-11-28T21:19:32.901344,31966,1
2025-11-28T21:19:33.930903,31910,1
2025-11-28T21:19:34.961094,31899,1
2025-11-28T21:19:35.991018,31959,1
2025-11-28T21:19:37.022102,31886,1
2025-11-28T21:19:38.076329,31942,1
2025-11-28T21:19:39.106739,31908,1
2025-11-28T21:19:40.195669,31959,1
2025-11-28T21:19:41.257133,31939,1
2025-11-28T21:19:42.313623,31850,1
2025-11-28T21:19:43.365062,31856,1
2025-11-28T21:19:44.396054,31948,1
2025-11-28T21:19:45.425106,31900,1
2025-11-28T21:19:46.473152,31941,1
2025-11-28T21:19:47.503685,32038,1
2025-11-28T21:19:48.548073,31910,1
2025-11-28T21:19:49.578145,32069,1
2025-11-28T21:19:50.608666,31970,1
2025-11-28T21:19:51.645137,31953,1
2025-11-28T21:19:52.677951,32015,1
2025-11-28T21:19:53.708501,31978,1
2025-11-28T21:19:54.739279,31966,1
2025-11-28T21:19:55.793392,31897,1
2025-11-28T21:19:56.823079,31951,1
2025-11-28T21:19:57.866208,31985,1
2025-11-28T21:19:58.896936,31962,1
2025-11-28T21:19:59.926661,31940,1
2025-11-28T21:20:00.957087,31932,1
