timestamp,power_mW,under_attack
2025-11-29T00:52:42.843902,774,1
2025-11-29T00:52:43.874418,774,1
2025-11-29T00:52:44.927280,774,1
2025-11-29T00:52:45.957303,771,1
2025-11-29T00:52:46.987722,771,1
2025-11-29T00:52:48.017558,771,1
2025-11-29T00:52:49.059906,855,1
2025-11-29T00:52:50.114469,855,1
2025-11-29T00:52:51.159358,855,1
2025-11-29T00:52:52.188913,855,1
2025-11-29T00:52:53.220075,824,1
2025-11-29T00:52:54.249323,824,1
2025-11-29T00:52:55.279386,824,1
2025-11-29T00:52:56.309453,848,1
2025-11-29T00:52:57.354356,848,1
2025-11-29T00:52:58.383667,848,1
2025-11-29T00:52:59.429071,835,1
2025-11-29T00:53:00.459004,835,1
2025-11-29T00:53:01.489044,835,1
2025-11-29T00:53:02.517820,822,1
2025-11-29T00:53:03.555515,822,1
2025-11-29T00:53:04.585848,822,1
2025-11-29T00:53:05.616233,822,1
2025-11-29T00:53:06.673115,858,1
2025-11-29T00:53:07.702684,858,1
2025-11-29T00:53:08.757776,858,1
2025-11-29T00:53:09.788271,787,1
2025-11-29T00:53:10.822728,787,1
2025-11-29T00:53:11.861600,787,1
2025-11-29T00:53:12.893191,792,1
2025-11-29T00:53:13.925035,792,1
2025-11-29T00:53:14.966527,792,1
2025-11-29T00:53:15.996542,860,1
2025-11-29T00:53:17.042913,860,1
2025-11-29T00:53:18.074115,860,1
2025-11-29T00:53:19.104143,815,1
2025-11-29T00:53:20.134274,815,1
2025-11-29T00:53:21.170754,815,1
2025-11-29T00:53:22.202233,882,1
2025-11-29T00:53:23.232888,882,1
2025-11-29T00:53:24.284619,882,1
2025-11-29T00:53:25.314231,850,1
2025-11-29T00:53:26.361518,850,1
2025-11-29T00:53:27.392443,850,1
2025-11-29T00:53:28.423419,850,1
2025-11-29T00:53:29.452230,842,1
2025-11-29T00:53:30.485767,842,1
2025-11-29T00:53:31.519300,842,1
2025-11-29T00:53:32.551800,812,1
2025-11-29T00:53:33.583478,812,1
2025-11-29T00:53:34.632147,812,1
2025-11-29T00:53:35.681082,820,1
2025-11-29T00:53:36.710584,820,1
2025-11-29T00:53:37.741504,820,1
2025-11-29T00:53:38.793160,820,1
2025-11-29T00:53:39.823186,866,1
2025-11-29T00:53:40.856103,866,1
2025-11-29T00:53:41.897380,815,1
2025-11-29T00:54:00.407561,833,0
2025-11-29T00:54:01.438415,833,0
2025-11-29T00:54:02.482417,819,0
2025-11-29T00:54:03.533147,819,0
2025-11-29T00:54:04.565468,819,0
2025-11-29T00:54:05.612004,793,0
2025-11-29T00:54:06.643417,793,0
2025-11-29T00:54:07.675237,793,0
2025-11-29T00:54:08.726222,793,0
2025-11-29T00:54:09.786067,735,0
2025-11-29T00:54:10.822727,735,0
2025-11-29T00:54:11.853584,735,0
2025-11-29T00:54:12.884079,759,0
2025-11-29T00:54:13.918514,759,0
2025-11-29T00:54:14.949208,759,0
2025-11-29T00:54:15.978046,780,0
2025-11-29T00:54:17.022448,780,0
2025-11-29T00:54:18.052259,780,0
2025-11-29T00:54:19.098571,757,0
2025-11-29T00:54:20.127884,757,0
2025-11-29T00:54:21.158622,757,0
2025-11-29T00:54:22.189135,757,0
2025-11-29T00:54:23.227323,748,0
2025-11-29T00:54:24.256610,748,0
2025-11-29T00:54:25.288929,748,0
2025-11-29T00:54:26.341270,786,0
2025-11-29T00:54:27.396546,786,0
2025-11-29T00:54:28.439025,786,0
2025-11-29T00:54:29.468364,786,0
2025-11-29T00:54:30.503337,778,0
2025-11-29T00:54:31.534902,778,0
2025-11-29T00:54:32.567569,778,0
2025-11-29T00:54:33.618228,778,0
2025-11-29T00:54:34.664370,758,0
2025-11-29T00:54:35.694586,758,0
2025-11-29T00:54:36.724121,758,0
2025-11-29T00:54:37.755637,827,0
2025-11-29T00:54:38.788654,827,0
2025-11-29T00:54:39.828920,827,0
2025-11-29T00:54:40.859810,771,0
2025-11-29T00:54:41.905018,771,0
2025-11-29T00:54:42.957239,771,0
2025-11-29T00:54:43.986560,799,0
2025-11-29T00:54:45.016292,799,0
2025-11-29T00:54:46.049640,799,0
2025-11-29T00:54:47.079562,799,0
2025-11-29T00:54:48.113749,814,0
2025-11-29T00:54:49.151406,814,0
2025-11-29T00:54:50.190383,814,0
2025-11-29T00:54:51.232462,772,0
2025-11-29T00:54:52.275354,772,0
2025-11-29T00:54:53.307248,772,0
2025-11-29T00:54:54.337139,772,0
2025-11-29T00:54:55.368477,735,0
2025-11-29T00:54:56.397706,735,0
2025-11-29T00:54:57.442566,735,0
2025-11-29T00:54:58.504484,791,0
2025-11-29T00:54:59.558273,791,0
2025-11-29T00:55:00.616780,791,0
2025-11-29T00:55:01.675742,791,0
2025-11-29T00:55:02.720789,742,0
2025-11-29T00:55:03.751556,742,0
2025-11-29T00:55:04.792205,742,0
2025-11-29T00:55:05.841995,742,0
2025-11-29T00:55:06.873574,738,0
2025-11-29T00:55:07.949006,738,0
2025-11-29T00:55:08.981335,787,0
2025-11-29T00:55:10.017240,787,0
2025-11-29T00:55:11.046930,787,0
2025-11-29T00:55:12.121070,787,0
2025-11-29T00:55:13.177623,773,0
2025-11-29T00:55:14.207054,773,0
2025-11-29T00:55:15.243737,773,0
2025-11-29T00:55:16.286685,773,0
2025-11-29T00:55:17.318911,734,0
2025-11-29T00:55:18.363347,734,0
2025-11-29T00:55:19.416602,734,0
2025-11-29T00:55:20.447145,843,0
2025-11-29T00:55:21.496803,843,0
2025-11-29T00:55:22.539716,843,0
