timestamp,power_mW,under_attack
2025-11-29T01:34:39.503539,743,1
2025-11-29T01:34:40.551913,743,1
2025-11-29T01:34:41.583655,801,1
2025-11-29T01:34:42.612944,801,1
2025-11-29T01:34:43.644252,801,1
2025-11-29T01:34:44.673147,828,1
2025-11-29T01:34:45.702280,828,1
2025-11-29T01:34:46.732844,828,1
2025-11-29T01:34:47.761613,828,1
2025-11-29T01:34:48.791300,851,1
2025-11-29T01:34:49.840956,851,1
2025-11-29T01:34:50.870666,851,1
2025-11-29T01:34:51.917289,888,1
2025-11-29T01:34:52.949619,888,1
2025-11-29T01:34:53.983124,870,1
2025-11-29T01:34:55.012685,870,1
2025-11-29T01:34:56.041797,870,1
2025-11-29T01:34:57.074691,850,1
2025-11-29T01:34:58.104653,850,1
2025-11-29T01:34:59.168688,850,1
2025-11-29T01:35:00.211319,857,1
2025-11-29T01:35:01.250123,857,1
2025-11-29T01:35:02.279190,857,1
2025-11-29T01:35:03.310009,877,1
2025-11-29T01:35:04.354124,877,1
2025-11-29T01:35:05.383732,877,1
2025-11-29T01:35:06.435839,877,1
2025-11-29T01:35:07.482126,845,1
2025-11-29T01:35:08.512607,845,1
2025-11-29T01:35:09.542343,845,1
2025-11-29T01:35:10.577272,917,1
2025-11-29T01:35:11.606333,917,1
2025-11-29T01:35:12.635362,917,1
2025-11-29T01:35:13.669465,855,1
2025-11-29T01:35:14.699185,855,1
2025-11-29T01:35:15.746861,855,1
2025-11-29T01:35:16.775722,887,1
2025-11-29T01:35:17.826800,887,1
2025-11-29T01:35:18.865438,887,1
2025-11-29T01:35:19.894332,828,1
2025-11-29T01:35:20.924550,828,1
2025-11-29T01:35:21.969733,828,1
2025-11-29T01:35:23.022581,899,1
2025-11-29T01:35:24.069704,899,1
2025-11-29T01:35:25.133080,899,1
2025-11-29T01:35:26.196677,844,1
2025-11-29T01:35:27.244456,844,1
2025-11-29T01:35:28.275723,844,1
2025-11-29T01:35:29.304911,892,1
2025-11-29T01:35:30.335116,892,1
2025-11-29T01:35:31.376888,892,1
2025-11-29T01:35:32.406702,919,1
2025-11-29T01:35:33.437999,919,1
2025-11-29T01:35:34.491480,919,1
2025-11-29T01:35:35.539131,909,1
2025-11-29T01:35:36.581293,909,1
2025-11-29T01:35:37.610773,909,1
2025-11-29T01:35:38.640444,937,1
2025-11-29T01:35:39.942352,937,0
2025-11-29T01:35:40.987257,937,0
2025-11-29T01:35:42.015939,810,0
2025-11-29T01:35:43.044415,810,0
2025-11-29T01:35:44.073398,810,0
2025-11-29T01:35:45.102946,725,0
2025-11-29T01:35:46.134654,725,0
2025-11-29T01:35:47.164131,725,0
2025-11-29T01:35:48.208554,725,0
2025-11-29T01:35:49.244204,785,0
2025-11-29T01:35:50.286071,785,0
2025-11-29T01:35:51.315251,785,0
2025-11-29T01:35:52.346748,756,0
2025-11-29T01:35:53.375942,756,0
2025-11-29T01:35:54.404937,756,0
2025-11-29T01:35:55.434088,756,0
2025-11-29T01:35:56.463180,811,0
2025-11-29T01:35:57.501997,811,0
2025-11-29T01:35:58.530531,811,0
2025-11-29T01:35:59.575041,824,0
2025-11-29T01:36:00.604849,824,0
2025-11-29T01:36:01.649469,824,0
2025-11-29T01:36:02.678356,824,0
2025-11-29T01:36:03.710434,810,0
2025-11-29T01:36:04.740414,810,0
2025-11-29T01:36:05.769545,810,0
2025-11-29T01:36:06.809810,765,0
2025-11-29T01:36:07.839804,765,0
2025-11-29T01:36:08.869465,765,0
2025-11-29T01:36:09.917621,765,0
2025-11-29T01:36:10.947127,803,0
2025-11-29T01:36:11.992916,803,0
2025-11-29T01:36:13.024950,777,0
2025-11-29T01:36:14.055079,777,0
2025-11-29T01:36:15.084048,777,0
2025-11-29T01:36:16.118196,777,0
2025-11-29T01:36:17.150302,775,0
2025-11-29T01:36:18.178926,775,0
2025-11-29T01:36:19.236220,775,0
2025-11-29T01:36:20.264769,736,0
2025-11-29T01:36:21.310873,736,0
2025-11-29T01:36:22.339772,736,0
2025-11-29T01:36:23.368898,736,0
2025-11-29T01:36:24.401216,728,0
2025-11-29T01:36:25.430703,728,0
