timestamp,power_mW,under_attack
2025-06-10T12:30:00.357387,3665,1
2025-06-10T12:30:01.388163,3665,1
2025-06-10T12:30:02.424174,3663,1
2025-06-10T12:30:03.466176,3663,1
2025-06-10T12:30:04.495916,3739,1
2025-06-10T12:30:05.541558,3739,1
2025-06-10T12:30:06.575645,3754,1
2025-06-10T12:30:07.605560,3814,1
2025-06-10T12:30:08.638118,3814,1
2025-06-10T12:30:09.667191,3832,1
2025-06-10T12:30:10.704047,3832,1
2025-06-10T12:30:11.733941,3816,1
2025-06-10T12:30:12.764148,3816,1
2025-06-10T12:30:13.794877,3764,1
2025-06-10T12:30:14.836102,3764,1
2025-06-10T12:30:15.865196,3774,1
2025-06-10T12:30:16.918702,3774,1
2025-06-10T12:30:17.948170,3817,1
2025-06-10T12:30:18.978391,3817,1
2025-06-10T12:30:20.008798,3710,1
2025-06-10T12:30:21.054076,3710,1
2025-06-10T12:30:22.083653,3764,1
2025-06-10T12:30:23.127063,3764,1
2025-06-10T12:30:24.157116,3769,1
2025-06-10T12:30:25.201111,3769,1
2025-06-10T12:30:26.239237,3694,1
2025-06-10T12:30:27.271481,3694,1
2025-06-10T12:30:28.302452,3781,1
2025-06-10T12:30:29.332303,3781,1
2025-06-10T12:30:30.361905,3773,1
2025-06-10T12:30:31.395941,3773,1
2025-06-10T12:30:32.426080,3683,1
2025-06-10T12:30:33.469339,3683,1
2025-06-10T12:30:34.519712,3696,1
2025-06-10T12:30:35.559240,3696,1
2025-06-10T12:30:36.611245,3741,1
2025-06-10T12:30:37.641288,3591,1
2025-06-10T12:30:38.670836,3591,1
2025-06-10T12:30:39.715794,3635,1
2025-06-10T12:30:40.749263,3635,1
2025-06-10T12:30:41.794185,3640,1
2025-06-10T12:30:42.825827,3640,1
2025-06-10T12:30:43.867433,3570,1
2025-06-10T12:30:44.897199,3570,1
2025-06-10T12:30:45.927711,3605,1
2025-06-10T12:30:46.969420,3605,1
2025-06-10T12:30:48.010149,3658,1
2025-06-10T12:30:49.041132,3658,1
2025-06-10T12:30:50.084417,3623,1
2025-06-10T12:30:51.120419,3623,1
2025-06-10T12:30:52.150115,3589,1
2025-06-10T12:30:53.182997,3589,1
2025-06-10T12:30:54.212796,3748,1
2025-06-10T12:30:55.242952,3748,1
2025-06-10T12:30:56.278866,3554,1
2025-06-10T12:30:57.312996,3554,1
2025-06-10T12:30:58.352663,3581,1
2025-06-10T12:30:59.382492,3581,1
2025-06-10T12:31:00.813291,3659,0
2025-06-10T12:31:01.843129,3617,0
