timestamp,power_mW,under_attack
2025-06-10T20:50:36.142301,3017,1
2025-06-10T20:50:37.171274,3000,1
2025-06-10T20:50:38.216285,3000,1
2025-06-10T20:50:39.258895,3021,1
2025-06-10T20:50:40.288859,3021,1
2025-06-10T20:50:41.332223,3044,1
2025-06-10T20:50:42.363560,3044,1
2025-06-10T20:50:43.392671,3197,1
2025-06-10T20:50:44.436514,3197,1
2025-06-10T20:50:45.465508,3215,1
2025-06-10T20:50:46.510233,3215,1
2025-06-10T20:50:47.539924,3113,1
2025-06-10T20:50:48.568276,3113,1
2025-06-10T20:50:49.597660,3075,1
2025-06-10T20:50:50.628629,3258,1
2025-06-10T20:50:51.672093,3258,1
2025-06-10T20:50:52.705025,3153,1
2025-06-10T20:50:53.734596,3153,1
2025-06-10T20:50:54.778890,3222,1
2025-06-10T20:50:55.809127,3222,1
2025-06-10T20:50:56.852606,3172,1
2025-06-10T20:50:57.882883,3172,1
2025-06-10T20:50:58.911389,3180,1
2025-06-10T20:50:59.940374,3180,1
2025-06-10T20:51:00.979146,3214,1
2025-06-10T20:51:02.009628,3214,1
2025-06-10T20:51:03.038818,3110,1
2025-06-10T20:51:04.072068,3110,1
2025-06-10T20:51:05.101419,3138,1
2025-06-10T20:51:06.145344,3138,1
2025-06-10T20:51:07.198126,3214,1
2025-06-10T20:51:08.228235,3214,1
2025-06-10T20:51:09.260078,3198,1
2025-06-10T20:51:10.289155,3198,1
2025-06-10T20:51:11.318657,3166,1
2025-06-10T20:51:12.348033,3166,1
2025-06-10T20:51:13.390797,3128,1
2025-06-10T20:51:14.420112,3128,1
2025-06-10T20:51:15.466196,3133,1
2025-06-10T20:51:16.496064,3133,1
2025-06-10T20:51:17.538112,3139,1
2025-06-10T20:51:18.567187,3139,1
2025-06-10T20:51:19.597022,3165,1
2025-06-10T20:51:20.627503,3124,1
2025-06-10T20:51:21.656774,3124,1
2025-06-10T20:51:22.699737,3202,1
2025-06-10T20:51:23.735171,3202,1
2025-06-10T20:51:24.764197,3139,1
2025-06-10T20:51:25.806262,3139,1
2025-06-10T20:51:26.835250,3189,1
2025-06-10T20:51:27.881139,3189,1
2025-06-10T20:51:28.910246,3147,1
2025-06-10T20:51:29.939682,3147,1
2025-06-10T20:51:30.969507,3147,1
