timestamp,power_mW,under_attack
2025-06-10T15:54:49.680820,20325,0
2025-06-10T15:54:50.714526,20333,0
2025-06-10T15:54:51.744208,20355,0
2025-06-10T15:54:52.790878,20237,0
2025-06-10T15:54:53.842808,20377,0
2025-06-10T15:54:54.883168,20373,0
2025-06-10T15:54:55.913396,20286,0
2025-06-10T15:54:56.943526,20292,0
2025-06-10T15:54:57.986287,20355,0
2025-06-10T15:54:59.015810,20308,0
2025-06-10T15:55:00.061034,20306,0
2025-06-10T15:55:01.091614,20398,0
2025-06-10T15:55:02.134967,20357,0
2025-06-10T15:55:03.172032,20358,0
2025-06-10T15:55:04.201481,20368,0
2025-06-10T15:55:05.230713,20450,0
2025-06-10T15:55:06.265139,20364,0
2025-06-10T15:55:07.294792,20427,0
2025-06-10T15:55:08.339940,20354,0
2025-06-10T15:55:09.379420,20321,0
2025-06-10T15:55:10.419236,20323,0
2025-06-10T15:55:11.453432,20334,0
2025-06-10T15:55:12.485381,20309,0
2025-06-10T15:55:13.520326,20358,0
2025-06-10T15:55:14.549811,20287,0
2025-06-10T15:55:15.580216,20241,0
2025-06-10T15:55:16.609887,20411,0
2025-06-10T15:55:17.639169,20361,0
2025-06-10T15:55:18.668814,20341,0
2025-06-10T15:55:19.721747,20231,0
2025-06-10T15:55:20.754065,20257,0
2025-06-10T15:55:21.800330,20351,0
2025-06-10T15:55:22.832788,20265,0
2025-06-10T15:55:23.867730,20378,0
2025-06-10T15:55:24.910007,20327,0
2025-06-10T15:55:25.941112,20360,0
2025-06-10T15:55:26.970486,20300,0
2025-06-10T15:55:28.018275,20292,0
2025-06-10T15:55:29.048133,20382,0
2025-06-10T15:55:30.094554,20250,0
2025-06-10T15:55:31.126608,20368,0
2025-06-10T15:55:32.156088,20460,0
2025-06-10T15:55:33.187481,20273,0
2025-06-10T15:55:34.218053,20326,0
2025-06-10T15:55:35.246060,20307,0
2025-06-10T15:55:36.273998,20428,0
2025-06-10T15:55:37.304330,20320,0
2025-06-10T15:55:38.335104,20343,0
2025-06-10T15:55:39.364670,20353,0
2025-06-10T15:55:40.406665,20281,0
2025-06-10T15:55:41.436276,20308,0
2025-06-10T15:55:42.481154,20355,0
2025-06-10T15:55:43.514391,20256,0
2025-06-10T15:55:44.544028,20254,0
2025-06-10T15:55:45.572130,20300,0
2025-06-10T15:55:46.625465,20321,0
2025-06-10T15:55:47.656015,20358,0
2025-06-10T15:55:48.701610,20265,0
2025-06-10T15:55:49.750956,20294,0
2025-06-10T15:55:50.787012,20339,0
2025-06-10T15:55:51.817525,20334,0
2025-06-10T15:55:52.883013,20292,0
2025-06-10T15:55:53.923375,20218,0
2025-06-10T15:55:54.953424,20291,0
2025-06-10T15:55:56.004169,20300,0
2025-06-10T15:55:57.044820,20263,0
2025-06-10T15:55:58.079507,20283,0
2025-06-10T15:55:59.111374,20355,0
2025-06-10T15:56:00.147678,20315,0
2025-06-10T15:56:01.193802,20362,0
2025-06-10T15:56:02.223685,20386,0
2025-06-10T15:56:03.268964,20271,0
2025-06-10T15:56:04.304272,20343,0
2025-06-10T15:56:05.333760,20330,0
2025-06-10T15:56:06.364524,20341,0
2025-06-10T15:56:07.393983,20352,0
2025-06-10T15:56:08.425177,20240,0
2025-06-10T15:56:09.458164,20303,0
2025-06-10T15:56:10.489182,20294,0
2025-06-10T15:56:11.518767,20383,0
2025-06-10T15:56:12.563298,20317,0
2025-06-10T15:56:13.593135,20273,0
2025-06-10T15:56:14.634813,20314,0
2025-06-10T15:56:15.665970,20351,0
2025-06-10T15:56:16.699814,20387,0
2025-06-10T15:56:17.729509,20347,0
2025-06-10T15:56:18.768189,20356,0
2025-06-10T15:56:19.798027,20276,0
2025-06-10T15:56:20.828204,20296,0
2025-06-10T15:56:21.878686,20327,0
2025-06-10T15:56:22.908657,20286,0
2025-06-10T15:56:23.954005,20302,0
2025-06-10T15:56:24.988218,20286,0
2025-06-10T15:56:26.023337,20317,0
2025-06-10T15:56:27.052973,20370,0
2025-06-10T15:56:28.082759,20373,0
2025-06-10T15:56:29.111519,20283,0
2025-06-10T15:56:30.142498,20305,0
2025-06-10T15:56:31.177792,20333,0
2025-06-10T15:56:32.220972,20359,0
2025-06-10T15:56:33.250234,20346,0
2025-06-10T15:56:34.295057,20316,0
2025-06-10T15:56:35.325139,20288,0
2025-06-10T15:56:36.376895,20304,0
2025-06-10T15:56:37.407029,20313,0
2025-06-10T15:56:38.439017,20348,0
2025-06-10T15:56:39.469985,20373,0
2025-06-10T15:56:40.515373,20288,0
2025-06-10T15:56:41.544706,20323,0
2025-06-10T15:56:42.623143,20354,0
2025-06-10T15:56:43.665184,20400,0
2025-06-10T15:56:44.695840,20261,0
2025-06-10T15:56:45.737767,20361,0
2025-06-10T15:56:46.767602,20434,0
2025-06-10T15:56:47.812836,20300,0
2025-06-10T15:56:48.850824,20271,0
2025-06-10T15:56:49.895738,20333,0
2025-06-10T15:56:50.926005,20323,0
2025-06-10T15:56:51.956197,20342,0
2025-06-10T15:56:53.008238,20335,0
2025-06-10T15:56:54.039115,20293,0
2025-06-10T15:56:55.083359,20269,0
2025-06-10T15:56:56.113175,20289,0
2025-06-10T15:56:57.144537,20264,0
2025-06-10T15:56:58.187678,20310,0
2025-06-10T15:56:59.217019,20358,0
2025-06-10T15:57:00.248846,20310,0
2025-06-10T15:57:01.278341,20362,0
2025-06-10T15:57:02.307847,20322,0
2025-06-10T15:57:03.350703,20343,0
2025-06-10T15:57:04.381218,20363,0
2025-06-10T15:57:05.426673,20385,0
2025-06-10T15:57:06.459483,20374,0
2025-06-10T15:57:07.489416,20280,0
2025-06-10T15:57:08.518965,20336,0
2025-06-10T15:57:09.548680,20283,0
2025-06-10T15:57:10.579104,20251,0
2025-06-10T15:57:11.616174,20345,0
2025-06-10T15:57:12.646827,20309,0
2025-06-10T15:57:13.677138,20377,0
2025-06-10T15:57:14.720826,20286,0
2025-06-10T15:57:15.750683,20372,0
2025-06-10T15:57:16.791420,20346,0
2025-06-10T15:57:17.827875,20365,0
2025-06-10T15:57:18.858369,20351,0
2025-06-10T15:57:19.889154,20328,0
2025-06-10T15:57:20.926429,20265,0
2025-06-10T15:57:21.958028,20282,0
2025-06-10T15:57:22.991121,20349,0
2025-06-10T15:57:24.035350,20253,0
2025-06-10T15:57:25.064555,20420,0
2025-06-10T15:57:26.111017,20331,0
2025-06-10T15:57:27.143258,20270,0
2025-06-10T15:57:28.173317,20316,0
2025-06-10T15:57:29.203541,20355,0
2025-06-10T15:57:30.232529,20267,0
2025-06-10T15:57:31.261485,20335,0
2025-06-10T15:57:32.291162,20363,0
2025-06-10T15:57:33.336021,20329,0
2025-06-10T15:57:34.377743,20278,0
2025-06-10T15:57:35.407509,20300,0
2025-06-10T15:57:36.451608,20329,0
2025-06-10T15:57:37.488796,20368,0
2025-06-10T15:57:38.524080,20361,0
2025-06-10T15:57:39.553631,20268,0
2025-06-10T15:57:40.584221,20295,0
2025-06-10T15:57:41.613655,20310,0
2025-06-10T15:57:42.643599,20327,0
2025-06-10T15:57:43.673103,20315,0
2025-06-10T15:57:44.702510,20229,0
2025-06-10T15:57:45.750323,20253,0
