timestamp,power_mW,under_attack
2025-06-10T15:12:25.798130,20467,1
2025-06-10T15:12:26.827677,20273,1
2025-06-10T15:12:27.877350,20514,1
2025-06-10T15:12:28.906621,20414,1
2025-06-10T15:12:29.946534,20380,1
2025-06-10T15:12:30.979604,20491,1
2025-06-10T15:12:32.011516,20518,1
2025-06-10T15:12:33.050311,20438,1
2025-06-10T15:12:34.091839,20419,1
2025-06-10T15:12:35.123789,20431,1
2025-06-10T15:12:36.174424,20524,1
2025-06-10T15:12:37.204788,20435,1
2025-06-10T15:12:38.233761,20543,1
2025-06-10T15:12:39.271447,20441,1
2025-06-10T15:12:40.300937,20470,1
2025-06-10T15:12:41.331132,20517,1
2025-06-10T15:12:42.386383,20451,1
2025-06-10T15:12:43.418802,20472,1
2025-06-10T15:12:44.476393,20441,1
2025-06-10T15:12:45.506691,20474,1
2025-06-10T15:12:46.538092,20423,1
2025-06-10T15:12:47.577869,20445,1
2025-06-10T15:12:48.614227,20537,1
2025-06-10T15:12:49.656079,20521,1
2025-06-10T15:12:50.685872,20461,1
2025-06-10T15:12:51.735024,20540,1
2025-06-10T15:12:52.766423,20406,1
2025-06-10T15:12:53.799276,20489,1
2025-06-10T15:12:54.828611,20460,1
2025-06-10T15:12:55.861684,20359,1
2025-06-10T15:12:56.891759,20458,1
2025-06-10T15:12:57.921708,20586,1
2025-06-10T15:12:58.954827,20525,1
2025-06-10T15:12:59.998652,20452,1
2025-06-10T15:13:01.031036,20445,1
2025-06-10T15:13:02.092336,20518,1
2025-06-10T15:13:03.129488,20445,1
2025-06-10T15:13:04.158955,20449,1
2025-06-10T15:13:05.201438,20394,1
2025-06-10T15:13:06.244898,20391,1
2025-06-10T15:13:07.274713,20421,1
2025-06-10T15:13:08.318926,20465,1
2025-06-10T15:13:09.348056,20521,1
2025-06-10T15:13:10.379169,20466,1
2025-06-10T15:13:11.409093,20451,1
2025-06-10T15:13:12.438186,20577,1
2025-06-10T15:13:13.469393,20465,1
2025-06-10T15:13:14.503855,20465,1
2025-06-10T15:13:15.533056,20529,1
2025-06-10T15:13:16.566174,20482,1
2025-06-10T15:13:17.615772,20509,1
2025-06-10T15:13:18.643478,20505,1
2025-06-10T15:13:19.685264,20471,1
2025-06-10T15:13:20.714533,20559,1
2025-06-10T15:13:21.744193,20466,1
2025-06-10T15:13:22.772616,20526,1
2025-06-10T15:13:23.811748,20450,1
2025-06-10T15:13:24.840559,20498,1
2025-06-10T15:13:27.902795,20454,0
2025-06-10T15:13:28.931537,20428,0
2025-06-10T15:13:29.961992,20488,0
2025-06-10T15:13:30.990991,20428,0
2025-06-10T15:13:32.019929,20425,0
2025-06-10T15:13:33.054165,20280,0
2025-06-10T15:13:34.098018,20274,0
2025-06-10T15:13:35.128167,20381,0
2025-06-10T15:13:36.174067,20351,0
2025-06-10T15:13:37.203818,20370,0
2025-06-10T15:13:38.232789,20355,0
2025-06-10T15:13:39.261958,20471,0
2025-06-10T15:13:40.290799,20357,0
2025-06-10T15:13:41.326948,20362,0
2025-06-10T15:13:42.356861,20240,0
2025-06-10T15:13:43.386067,20378,0
2025-06-10T15:13:44.441786,20348,0
2025-06-10T15:13:45.470647,20340,0
2025-06-10T15:13:46.521407,20431,0
2025-06-10T15:13:47.574094,20286,0
2025-06-10T15:13:48.605238,20378,0
2025-06-10T15:13:49.643239,20420,0
2025-06-10T15:13:50.687157,20290,0
2025-06-10T15:13:51.718790,20353,0
2025-06-10T15:13:52.766008,20323,0
2025-06-10T15:13:53.794677,20343,0
2025-06-10T15:13:54.824165,20375,0
2025-06-10T15:13:55.854078,20383,0
2025-06-10T15:13:56.883269,20425,0
2025-06-10T15:13:57.913187,20385,0
2025-06-10T15:13:58.948863,20250,0
2025-06-10T15:13:59.985251,20318,0
2025-06-10T15:14:01.029331,20244,0
2025-06-10T15:14:02.060047,20280,0
2025-06-10T15:14:03.108833,20276,0
2025-06-10T15:14:04.161684,20409,0
2025-06-10T15:14:05.190309,20307,0
2025-06-10T15:14:06.219897,20308,0
2025-06-10T15:14:07.255175,20293,0
2025-06-10T15:14:08.283800,20252,0
2025-06-10T15:14:09.323369,20282,0
2025-06-10T15:14:10.375841,20337,0
2025-06-10T15:14:11.404973,20242,0
2025-06-10T15:14:12.434346,20320,0
2025-06-10T15:14:13.466186,20354,0
2025-06-10T15:14:14.495357,20309,0
2025-06-10T15:14:15.527787,20417,0
2025-06-10T15:14:16.576476,20275,0
2025-06-10T15:14:17.618200,20255,0
2025-06-10T15:14:18.647346,20318,0
2025-06-10T15:14:19.697533,20315,0
2025-06-10T15:14:20.735277,20402,0
2025-06-10T15:14:21.770664,20263,0
2025-06-10T15:14:22.799200,20348,0
2025-06-10T15:14:23.829140,20418,0
2025-06-10T15:14:24.873611,20257,0
2025-06-10T15:14:25.912178,20224,0
2025-06-10T15:14:26.941744,20291,0
2025-06-10T15:14:27.989485,20388,0
2025-06-10T15:14:29.019016,20288,0
2025-06-10T15:14:30.048836,20312,0
2025-06-10T15:14:31.079172,20307,0
2025-06-10T15:14:32.115762,20359,0
2025-06-10T15:14:33.145867,20374,0
2025-06-10T15:14:34.184839,20258,0
2025-06-10T15:14:35.215050,20312,0
2025-06-10T15:14:36.254498,20302,0
2025-06-10T15:14:37.283795,20310,0
2025-06-10T15:14:38.335397,20364,0
2025-06-10T15:14:39.381733,20393,0
2025-06-10T15:14:40.412387,20453,0
2025-06-10T15:14:41.442083,20341,0
2025-06-10T15:14:42.471543,20434,0
2025-06-10T15:14:43.504503,20396,0
2025-06-10T15:14:44.553613,20355,0
2025-06-10T15:14:45.606337,20288,0
2025-06-10T15:14:46.635065,20337,0
2025-06-10T15:14:47.664423,20374,0
2025-06-10T15:14:48.693310,20289,0
2025-06-10T15:14:49.723211,20306,0
2025-06-10T15:14:50.752438,20345,0
2025-06-10T15:14:51.797955,20353,0
2025-06-10T15:14:52.827470,20321,0
2025-06-10T15:14:53.867210,20392,0
2025-06-10T15:14:54.899254,20354,0
2025-06-10T15:14:55.951946,20376,0
2025-06-10T15:14:56.984425,20340,0
2025-06-10T15:14:58.015941,20319,0
2025-06-10T15:14:59.047659,20276,0
2025-06-10T15:15:00.094079,20317,0
2025-06-10T15:15:01.137675,20354,0
2025-06-10T15:15:02.167111,20364,0
2025-06-10T15:15:03.217449,20337,0
2025-06-10T15:15:04.248016,20396,0
2025-06-10T15:15:05.277968,20425,0
2025-06-10T15:15:06.309555,20378,0
2025-06-10T15:15:07.339539,20311,0
2025-06-10T15:15:08.372510,20419,0
2025-06-10T15:15:09.413075,20333,0
2025-06-10T15:15:10.456044,20266,0
2025-06-10T15:15:11.486678,20332,0
2025-06-10T15:15:12.546098,20364,0
2025-06-10T15:15:13.575776,20373,0
2025-06-10T15:15:14.619052,20287,0
2025-06-10T15:15:15.647768,20317,0
2025-06-10T15:15:16.682949,20415,0
2025-06-10T15:15:17.726396,20332,0
2025-06-10T15:15:18.756609,20298,0
2025-06-10T15:15:19.803071,20364,0
2025-06-10T15:15:20.832491,20331,0
2025-06-10T15:15:21.862862,20404,0
2025-06-10T15:15:22.892075,20322,0
2025-06-10T15:15:23.928384,20382,0
2025-06-10T15:15:24.957772,20343,0
2025-06-10T15:15:25.988469,20296,0
2025-06-10T15:15:27.044896,20460,0
2025-06-10T15:15:28.074554,20420,0
2025-06-10T15:15:29.125654,20325,0
2025-06-10T15:15:30.160100,20375,0
2025-06-10T15:15:31.189682,20350,0
2025-06-10T15:15:32.218377,20341,0
2025-06-10T15:15:33.250448,20343,0
2025-06-10T15:15:34.279846,20371,0
2025-06-10T15:15:35.309641,20297,0
2025-06-10T15:15:36.343745,20372,0
2025-06-10T15:15:37.387259,20328,0
2025-06-10T15:15:38.416530,20383,0
2025-06-10T15:15:39.466166,20335,0
2025-06-10T15:15:40.497797,20328,0
2025-06-10T15:15:41.527587,20446,0
2025-06-10T15:15:42.556807,20416,0
2025-06-10T15:15:43.586644,20362,0
2025-06-10T15:15:44.617270,20336,0
2025-06-10T15:15:45.649314,20351,0
2025-06-10T15:15:46.686359,20297,0
2025-06-10T15:15:47.729663,20299,0
2025-06-10T15:15:48.758859,20377,0
2025-06-10T15:15:49.806374,20318,0
2025-06-10T15:15:50.836183,20344,0
2025-06-10T15:15:51.867395,20276,0
2025-06-10T15:15:52.897784,20300,0
2025-06-10T15:15:53.927851,20238,0
2025-06-10T15:15:54.960197,20268,0
2025-06-10T15:15:55.989871,20320,0
2025-06-10T15:15:57.019851,20328,0
2025-06-10T15:15:58.077300,20318,0
2025-06-10T15:15:59.125336,20323,0
2025-06-10T15:16:00.161791,20295,0
2025-06-10T15:16:01.194111,20403,0
2025-06-10T15:16:02.225471,20309,0
2025-06-10T15:16:03.263946,20208,0
2025-06-10T15:16:04.292923,20391,0
2025-06-10T15:16:05.342881,20247,0
2025-06-10T15:16:06.372023,20323,0
2025-06-10T15:16:07.416490,20261,0
2025-06-10T15:16:08.445369,20248,0
2025-06-10T15:16:09.477587,20275,0
2025-06-10T15:16:10.506238,20355,0
2025-06-10T15:16:11.536483,20297,0
2025-06-10T15:16:12.572370,20375,0
2025-06-10T15:16:13.601348,20336,0
2025-06-10T15:16:14.631263,20291,0
2025-06-10T15:16:15.663803,20278,0
2025-06-10T15:16:16.708796,20284,0
2025-06-10T15:16:17.737921,20163,0
2025-06-10T15:16:18.782425,20364,0
2025-06-10T15:16:19.811477,20433,0
2025-06-10T15:16:20.850488,20371,0
2025-06-10T15:16:21.883212,20342,0
2025-06-10T15:16:22.955178,20348,0
2025-06-10T15:16:23.985739,20373,0
2025-06-10T15:16:25.030226,20396,0
2025-06-10T15:16:26.059882,20287,0
2025-06-10T15:16:27.089602,20316,0
2025-06-10T15:16:28.120387,20282,1
2025-06-10T15:16:29.157878,20261,1
2025-06-10T15:16:30.189545,20392,1
2025-06-10T15:16:31.219385,20490,1
2025-06-10T15:16:32.254699,20457,1
2025-06-10T15:16:33.297642,20539,1
2025-06-10T15:16:34.327062,20525,1
2025-06-10T15:16:35.379873,20501,1
2025-06-10T15:16:36.409140,20455,1
2025-06-10T15:16:37.438827,20429,1
2025-06-10T15:16:38.469036,20478,1
2025-06-10T15:16:39.499348,20424,1
2025-06-10T15:16:40.529096,20345,1
2025-06-10T15:16:41.558880,20425,1
2025-06-10T15:16:42.601127,20455,1
2025-06-10T15:16:43.640046,20455,1
2025-06-10T15:16:44.669426,20546,1
2025-06-10T15:16:45.735267,20431,1
2025-06-10T15:16:46.764618,20476,1
2025-06-10T15:16:47.806201,20533,1
2025-06-10T15:16:48.837367,20441,1
2025-06-10T15:16:49.869805,20490,1
2025-06-10T15:16:50.910440,20436,1
2025-06-10T15:16:51.940466,20431,1
2025-06-10T15:16:52.989631,20349,1
2025-06-10T15:16:54.019160,20540,1
2025-06-10T15:16:55.050431,20476,1
2025-06-10T15:16:56.080153,20426,1
2025-06-10T15:16:57.114456,20540,1
2025-06-10T15:16:58.143848,20427,1
2025-06-10T15:16:59.173411,20511,1
2025-06-10T15:17:00.228897,20483,1
2025-06-10T15:17:01.258457,20444,1
2025-06-10T15:17:02.302416,20465,1
2025-06-10T15:17:03.332150,20434,1
2025-06-10T15:17:04.361176,20477,1
2025-06-10T15:17:05.391073,20502,1
2025-06-10T15:17:06.422485,20535,1
2025-06-10T15:17:07.454620,20452,1
2025-06-10T15:17:08.484654,20503,1
2025-06-10T15:17:09.528038,20463,1
2025-06-10T15:17:10.571536,20478,1
2025-06-10T15:17:11.621458,20504,1
2025-06-10T15:17:12.653619,20433,1
2025-06-10T15:17:13.696252,20458,1
2025-06-10T15:17:14.730445,20429,1
2025-06-10T15:17:15.759817,20511,1
2025-06-10T15:17:16.793064,20426,1
2025-06-10T15:17:17.841633,20484,1
2025-06-10T15:17:18.871854,20480,1
2025-06-10T15:17:19.917104,20549,1
2025-06-10T15:17:20.946034,20444,1
2025-06-10T15:17:21.975968,20468,1
2025-06-10T15:17:23.011380,20484,1
2025-06-10T15:17:24.043908,20461,1
2025-06-10T15:17:25.076344,20519,1
2025-06-10T15:17:26.105705,20427,1
2025-06-10T15:17:27.160251,20506,1
2025-06-10T15:17:29.561788,20486,0
2025-06-10T15:17:30.592230,20413,0
2025-06-10T15:17:31.622511,20507,0
2025-06-10T15:17:32.651187,20559,0
2025-06-10T15:17:33.682350,20330,0
2025-06-10T15:17:34.718058,20315,0
2025-06-10T15:17:35.761543,20332,0
2025-06-10T15:17:36.790984,20363,0
2025-06-10T15:17:37.839217,20341,0
2025-06-10T15:17:38.869769,20351,0
2025-06-10T15:17:39.907206,20246,0
2025-06-10T15:17:40.937161,20388,0
2025-06-10T15:17:41.969372,20360,0
2025-06-10T15:17:42.999174,20343,0
2025-06-10T15:17:44.035638,20326,0
2025-06-10T15:17:45.080639,20276,0
2025-06-10T15:17:46.110197,20301,0
2025-06-10T15:17:47.156365,20363,0
2025-06-10T15:17:48.185390,20414,0
2025-06-10T15:17:49.214924,20264,0
2025-06-10T15:17:50.248766,20372,0
2025-06-10T15:17:51.280288,20249,0
2025-06-10T15:17:52.310622,20333,0
2025-06-10T15:17:53.340876,20371,0
2025-06-10T15:17:54.379091,20341,0
2025-06-10T15:17:55.423023,20290,0
2025-06-10T15:17:56.452362,20236,0
2025-06-10T15:17:57.501364,20376,0
2025-06-10T15:17:58.532199,20369,0
2025-06-10T15:17:59.577199,20352,0
2025-06-10T15:18:00.606698,20324,0
2025-06-10T15:18:01.637852,20327,0
2025-06-10T15:18:02.692806,20337,0
2025-06-10T15:18:03.722731,20337,0
2025-06-10T15:18:04.775092,20343,0
2025-06-10T15:18:05.805166,20359,0
2025-06-10T15:18:06.835430,20408,0
2025-06-10T15:18:07.865187,20428,0
2025-06-10T15:18:08.897304,20242,0
