timestamp,power_mW,under_attack
2025-06-10T14:30:42.872631,20407,1
2025-06-10T14:30:43.904525,20455,1
2025-06-10T14:30:44.933937,20446,1
2025-06-10T14:30:45.964922,20353,1
2025-06-10T14:30:47.001393,20378,1
2025-06-10T14:30:48.031046,20487,1
2025-06-10T14:30:49.081712,20406,1
2025-06-10T14:30:50.112065,20473,1
2025-06-10T14:30:51.156141,20415,1
2025-06-10T14:30:52.189505,20440,1
2025-06-10T14:30:53.219694,20452,1
2025-06-10T14:30:54.250149,20506,1
2025-06-10T14:30:55.279691,20490,1
2025-06-10T14:30:56.319033,20428,1
2025-06-10T14:30:57.351491,20438,1
2025-06-10T14:30:58.400602,20467,1
2025-06-10T14:30:59.430483,20515,1
2025-06-10T14:31:00.473801,20417,1
2025-06-10T14:31:01.504551,20442,1
2025-06-10T14:31:02.534180,20513,1
2025-06-10T14:31:03.563724,20471,1
2025-06-10T14:31:04.593805,20462,1
2025-06-10T14:31:05.626218,20439,1
2025-06-10T14:31:06.660755,20410,1
2025-06-10T14:31:07.693807,20431,1
2025-06-10T14:31:08.724076,20556,1
2025-06-10T14:31:09.766270,20438,1
2025-06-10T14:31:10.798208,20422,1
2025-06-10T14:31:11.840391,20364,1
2025-06-10T14:31:12.897846,20408,1
2025-06-10T14:31:13.931624,20446,1
2025-06-10T14:31:14.964960,20553,1
2025-06-10T14:31:15.995379,20466,1
2025-06-10T14:31:17.036882,20494,1
2025-06-10T14:31:18.068518,20434,1
2025-06-10T14:31:19.113190,20482,1
2025-06-10T14:31:20.142219,20423,1
2025-06-10T14:31:21.173203,20412,1
2025-06-10T14:31:22.202182,20453,1
2025-06-10T14:31:23.231799,20476,1
2025-06-10T14:31:24.260634,20468,1
2025-06-10T14:31:25.306882,20488,1
2025-06-10T14:31:26.339893,20411,1
2025-06-10T14:31:27.379612,20411,1
2025-06-10T14:31:28.409799,20410,1
2025-06-10T14:31:29.453587,20459,1
2025-06-10T14:31:30.483842,20432,1
2025-06-10T14:31:31.513652,20429,1
2025-06-10T14:31:32.544486,20416,1
2025-06-10T14:31:33.576280,20447,1
2025-06-10T14:31:34.619309,20406,1
2025-06-10T14:31:35.649712,20425,1
2025-06-10T14:31:36.679468,20434,1
2025-06-10T14:31:37.723363,20506,1
2025-06-10T14:31:38.775608,20378,1
2025-06-10T14:31:39.817213,20368,1
2025-06-10T14:31:40.846539,20360,1
2025-06-10T14:31:41.878987,20326,1
2025-06-10T14:31:43.303313,20357,0
2025-06-10T14:31:44.332960,20243,0
2025-06-10T14:31:45.370249,20257,0
2025-06-10T14:31:46.399911,20298,0
2025-06-10T14:31:47.433463,20232,0
2025-06-10T14:31:48.473430,20339,0
2025-06-10T14:31:49.528360,20266,0
2025-06-10T14:31:50.562067,20232,0
2025-06-10T14:31:51.591550,20331,0
2025-06-10T14:31:52.629045,20304,0
2025-06-10T14:31:53.663767,20402,0
2025-06-10T14:31:54.693327,20329,0
2025-06-10T14:31:55.743850,20259,0
2025-06-10T14:31:56.774546,20294,0
2025-06-10T14:31:57.818846,20240,0
2025-06-10T14:31:58.848224,20341,0
2025-06-10T14:31:59.881684,20311,0
2025-06-10T14:32:00.910901,20363,0
2025-06-10T14:32:01.940494,20260,0
2025-06-10T14:32:02.973204,20258,0
2025-06-10T14:32:04.005556,20293,0
2025-06-10T14:32:05.041283,20265,0
2025-06-10T14:32:06.086280,20358,0
2025-06-10T14:32:07.118008,20374,0
2025-06-10T14:32:08.163940,20317,0
2025-06-10T14:32:09.193109,20407,0
2025-06-10T14:32:10.222789,20363,0
2025-06-10T14:32:11.252095,20304,0
2025-06-10T14:32:12.281667,20290,0
2025-06-10T14:32:13.312119,20270,0
2025-06-10T14:32:14.349032,20390,0
2025-06-10T14:32:15.385749,20308,0
2025-06-10T14:32:16.428818,20324,0
2025-06-10T14:32:17.459861,20316,0
2025-06-10T14:32:18.502673,20371,0
2025-06-10T14:32:19.531717,20392,0
2025-06-10T14:32:20.560867,20256,0
2025-06-10T14:32:21.594174,20312,0
2025-06-10T14:32:22.623251,20287,0
2025-06-10T14:32:23.657514,20423,0
2025-06-10T14:32:24.689928,20400,0
2025-06-10T14:32:25.719321,20349,0
2025-06-10T14:32:26.771144,20271,0
2025-06-10T14:32:27.804188,20290,0
2025-06-10T14:32:28.846227,20396,0
2025-06-10T14:32:29.876116,20385,0
2025-06-10T14:32:30.905312,20319,0
2025-06-10T14:32:31.934933,20353,0
2025-06-10T14:32:32.967820,20377,0
2025-06-10T14:32:33.997421,20368,0
2025-06-10T14:32:35.032403,20307,0
2025-06-10T14:32:36.069050,20279,0
2025-06-10T14:32:37.113348,20335,0
2025-06-10T14:32:38.144754,20400,0
2025-06-10T14:32:39.187182,20402,0
2025-06-10T14:32:40.220216,20353,0
2025-06-10T14:32:41.250220,20347,0
2025-06-10T14:32:42.281709,20285,0
2025-06-10T14:32:43.312393,20258,0
2025-06-10T14:32:44.341822,20417,0
2025-06-10T14:32:45.378943,20382,0
2025-06-10T14:32:46.411804,20318,0
2025-06-10T14:32:47.456140,20340,0
2025-06-10T14:32:48.684901,20308,0
2025-06-10T14:32:49.716812,20253,0
2025-06-10T14:32:50.762834,20327,0
2025-06-10T14:32:51.801161,20331,0
2025-06-10T14:32:52.830317,20354,0
2025-06-10T14:32:53.860178,20398,0
2025-06-10T14:32:54.900704,20502,0
2025-06-10T14:32:55.930290,20317,0
2025-06-10T14:32:56.981763,20337,0
2025-06-10T14:32:58.040694,20393,0
2025-06-10T14:32:59.070146,20352,0
2025-06-10T14:33:00.106295,20423,0
2025-06-10T14:33:01.135536,20429,0
2025-06-10T14:33:02.168669,20387,0
2025-06-10T14:33:03.209381,20391,0
2025-06-10T14:33:04.251665,20323,0
2025-06-10T14:33:05.303313,20316,0
