timestamp,power_mW,under_attack
2025-06-10T12:32:16.129740,20330,1
2025-06-10T12:32:17.159740,20325,1
2025-06-10T12:32:18.190983,20405,1
2025-06-10T12:32:19.220211,20312,1
2025-06-10T12:32:20.272643,20330,1
2025-06-10T12:32:21.301743,20454,1
2025-06-10T12:32:22.345837,20476,1
2025-06-10T12:32:23.377276,20475,1
2025-06-10T12:32:24.406504,20546,1
2025-06-10T12:32:25.437761,20473,1
2025-06-10T12:32:26.470762,20550,1
2025-06-10T12:32:27.512669,20481,1
2025-06-10T12:32:28.541848,20488,1
2025-06-10T12:32:29.572102,20521,1
2025-06-10T12:32:30.614986,20521,1
2025-06-10T12:32:31.644815,20463,1
2025-06-10T12:32:32.686549,20583,1
2025-06-10T12:32:33.723378,20501,1
2025-06-10T12:32:34.753888,20532,1
2025-06-10T12:32:35.783813,20558,1
2025-06-10T12:32:36.813342,20575,1
2025-06-10T12:32:37.842810,20516,1
2025-06-10T12:32:38.878743,20468,1
2025-06-10T12:32:39.908173,20510,1
2025-06-10T12:32:40.937884,20578,1
2025-06-10T12:32:41.985013,20530,1
2025-06-10T12:32:43.015290,20465,1
2025-06-10T12:32:44.054336,20433,1
2025-06-10T12:32:45.086545,20491,1
2025-06-10T12:32:46.115271,20608,1
2025-06-10T12:32:47.144231,20502,1
2025-06-10T12:32:48.173782,20464,1
2025-06-10T12:32:49.203534,20511,1
2025-06-10T12:32:50.231951,20507,1
2025-06-10T12:32:51.261682,20559,1
2025-06-10T12:32:52.290832,20565,1
2025-06-10T12:32:53.320484,20572,1
2025-06-10T12:32:54.349607,20536,1
2025-06-10T12:32:55.395954,20509,1
2025-06-10T12:32:56.426380,20520,1
2025-06-10T12:32:57.470107,20450,1
2025-06-10T12:32:58.505966,20505,1
2025-06-10T12:32:59.535743,20478,1
2025-06-10T12:33:00.564900,20485,1
2025-06-10T12:33:01.596861,20567,1
2025-06-10T12:33:02.627545,20543,1
2025-06-10T12:33:03.661532,20517,1
2025-06-10T12:33:04.690925,20526,1
2025-06-10T12:33:05.738299,20559,1
2025-06-10T12:33:06.767854,20616,1
2025-06-10T12:33:07.815827,20494,1
2025-06-10T12:33:08.850404,20512,1
2025-06-10T12:33:09.885808,20435,1
2025-06-10T12:33:10.918040,20557,1
2025-06-10T12:33:11.948031,20489,1
2025-06-10T12:33:13.064391,20429,1
2025-06-10T12:33:14.094660,20449,1
2025-06-10T12:33:15.138553,20451,1
2025-06-10T12:33:16.775136,20417,0
2025-06-10T12:33:17.804201,20451,0
2025-06-10T12:33:18.845360,20394,0
2025-06-10T12:33:19.882005,20300,0
2025-06-10T12:33:20.919930,20355,0
2025-06-10T12:33:21.956542,20401,0
2025-06-10T12:33:22.986220,20354,0
2025-06-10T12:33:24.020211,20381,0
2025-06-10T12:33:25.049815,20413,0
2025-06-10T12:33:26.079843,20466,0
2025-06-10T12:33:27.111455,20386,0
2025-06-10T12:33:28.163740,20312,0
2025-06-10T12:33:29.193345,20349,0
2025-06-10T12:33:30.239944,20344,0
2025-06-10T12:33:31.274615,20415,0
2025-06-10T12:33:32.303663,20377,0
2025-06-10T12:33:33.338121,20468,0
2025-06-10T12:33:34.367783,20352,0
2025-06-10T12:33:35.397315,20313,0
2025-06-10T12:33:36.426293,20320,0
2025-06-10T12:33:37.460699,20343,0
2025-06-10T12:33:38.489761,20403,0
2025-06-10T12:33:39.530097,20392,0
2025-06-10T12:33:40.567061,20408,0
2025-06-10T12:33:41.605126,20335,0
2025-06-10T12:33:42.640764,20411,0
2025-06-10T12:33:43.676237,20511,0
2025-06-10T12:33:44.709229,20385,0
2025-06-10T12:33:45.738705,20349,0
2025-06-10T12:33:46.769929,20425,0
2025-06-10T12:33:47.808285,20388,0
2025-06-10T12:33:48.852130,20434,0
2025-06-10T12:33:49.885655,20369,0
2025-06-10T12:33:50.935485,20428,0
2025-06-10T12:33:51.975534,20299,0
2025-06-10T12:33:53.005751,20437,0
2025-06-10T12:33:54.034987,20417,0
2025-06-10T12:33:55.077373,20451,0
2025-06-10T12:33:56.118875,20384,0
2025-06-10T12:33:57.149464,20386,0
2025-06-10T12:33:58.192766,20359,0
2025-06-10T12:33:59.223526,20431,0
2025-06-10T12:34:00.258553,20462,0
2025-06-10T12:34:01.294186,20443,0
2025-06-10T12:34:02.324480,20477,0
2025-06-10T12:34:03.354197,20369,0
2025-06-10T12:34:04.387410,20485,0
2025-06-10T12:34:05.453702,20454,0
2025-06-10T12:34:06.487046,20480,0
2025-06-10T12:34:07.526768,20548,0
2025-06-10T12:34:08.556475,20415,0
2025-06-10T12:34:09.590892,20344,0
2025-06-10T12:34:10.625735,20402,0
2025-06-10T12:34:11.655376,20371,0
2025-06-10T12:34:12.707695,20406,0
2025-06-10T12:34:13.737218,20496,0
2025-06-10T12:34:14.781668,20441,0
2025-06-10T12:34:15.811019,20379,0
2025-06-10T12:34:16.844046,20425,0
2025-06-10T12:34:17.879541,20408,0
2025-06-10T12:34:18.911713,20442,0
2025-06-10T12:34:19.945978,20469,0
2025-06-10T12:34:20.976470,20398,0
2025-06-10T12:34:22.008715,20412,0
2025-06-10T12:34:23.051018,20473,0
2025-06-10T12:34:24.087003,20430,0
2025-06-10T12:34:25.125495,20408,0
2025-06-10T12:34:26.160774,20390,0
2025-06-10T12:34:27.190380,20367,0
2025-06-10T12:34:28.220347,20439,0
2025-06-10T12:34:29.250461,20406,0
2025-06-10T12:34:30.339613,20437,0
2025-06-10T12:34:31.388317,20488,0
2025-06-10T12:34:32.422836,20417,0
2025-06-10T12:34:33.452444,20414,0
2025-06-10T12:34:34.481735,20407,0
2025-06-10T12:34:35.515752,20410,0
2025-06-10T12:34:36.544835,20363,0
2025-06-10T12:34:37.575406,20447,0
2025-06-10T12:34:38.618682,20440,0
2025-06-10T12:34:39.648467,20450,0
2025-06-10T12:34:40.688447,20446,0
2025-06-10T12:34:41.722978,20418,0
2025-06-10T12:34:42.753537,20340,0
2025-06-10T12:34:43.788247,20408,0
2025-06-10T12:34:44.822917,20478,0
2025-06-10T12:34:45.853226,20399,0
2025-06-10T12:34:46.883742,20351,0
2025-06-10T12:34:47.914893,20323,0
2025-06-10T12:34:48.957325,20392,0
2025-06-10T12:34:49.986306,20375,0
2025-06-10T12:34:51.031819,20499,0
2025-06-10T12:34:52.061392,20435,0
2025-06-10T12:34:53.094210,20444,0
2025-06-10T12:34:54.135264,20497,0
2025-06-10T12:34:55.165726,20392,0
2025-06-10T12:34:56.193937,20403,0
2025-06-10T12:34:57.252331,20383,0
2025-06-10T12:34:58.280635,20416,0
2025-06-10T12:34:59.325916,20373,0
2025-06-10T12:35:00.371355,20375,0
2025-06-10T12:35:01.402095,20431,0
2025-06-10T12:35:02.441985,20351,0
2025-06-10T12:35:03.475548,20292,0
2025-06-10T12:35:04.506678,20350,0
2025-06-10T12:35:05.550031,20441,0
2025-06-10T12:35:06.595668,20440,0
2025-06-10T12:35:07.639643,20523,0
2025-06-10T12:35:08.671091,20493,0
2025-06-10T12:35:09.700339,20434,0
2025-06-10T12:35:10.729377,20407,0
2025-06-10T12:35:11.762094,20354,0
2025-06-10T12:35:12.800519,20543,0
2025-06-10T12:35:13.841049,20543,0
2025-06-10T12:35:14.873908,20419,0
2025-06-10T12:35:15.914099,20438,0
2025-06-10T12:35:16.954942,20492,0
2025-06-10T12:35:17.984114,20484,0
2025-06-10T12:35:19.016689,20468,0
2025-06-10T12:35:20.057497,20476,0
2025-06-10T12:35:21.086091,20387,0
2025-06-10T12:35:22.116497,20471,0
2025-06-10T12:35:23.160206,20514,0
2025-06-10T12:35:24.196235,20427,0
2025-06-10T12:35:25.232472,20352,0
2025-06-10T12:35:26.268985,20549,0
2025-06-10T12:35:27.297934,20502,0
2025-06-10T12:35:28.328721,20500,0
2025-06-10T12:35:29.366609,20380,0
2025-06-10T12:35:30.395329,20535,0
2025-06-10T12:35:31.425181,20458,0
2025-06-10T12:35:32.477397,20379,0
2025-06-10T12:35:33.507185,20413,0
2025-06-10T12:35:34.550989,20514,0
2025-06-10T12:35:35.580697,20341,0
2025-06-10T12:35:36.613218,20362,0
2025-06-10T12:35:37.642862,20447,0
2025-06-10T12:35:38.674801,20443,0
2025-06-10T12:35:39.704416,20406,0
2025-06-10T12:35:40.734063,20441,0
2025-06-10T12:35:41.763375,20471,0
2025-06-10T12:35:42.793240,20450,0
2025-06-10T12:35:43.823934,20409,0
2025-06-10T12:35:44.867646,20347,0
2025-06-10T12:35:45.925318,20447,0
2025-06-10T12:35:46.955115,20440,0
2025-06-10T12:35:47.984244,20418,0
2025-06-10T12:35:49.014437,20393,0
2025-06-10T12:35:50.044707,20416,0
2025-06-10T12:35:51.088089,20386,0
2025-06-10T12:35:52.120513,20418,0
2025-06-10T12:35:53.162078,20554,0
2025-06-10T12:35:54.191312,20462,0
2025-06-10T12:35:55.236177,20344,0
2025-06-10T12:35:56.291170,20394,0
2025-06-10T12:35:57.321074,20440,0
2025-06-10T12:35:58.354468,20401,0
2025-06-10T12:35:59.408474,20437,0
