timestamp,power_mW,under_attack
2025-06-11T01:38:27.941539,875,1
2025-06-11T01:38:28.971192,875,1
2025-06-11T01:38:30.020174,875,1
2025-06-11T01:38:31.049443,1016,1
2025-06-11T01:38:32.079765,1016,1
2025-06-11T01:38:33.108326,890,1
2025-06-11T01:38:34.145149,890,1
2025-06-11T01:38:35.176998,1023,1
2025-06-11T01:38:36.205916,1023,1
2025-06-11T01:38:37.234973,1023,1
2025-06-11T01:38:38.283216,998,1
2025-06-11T01:38:39.314862,998,1
2025-06-11T01:38:40.362829,1072,1
2025-06-11T01:38:41.391426,1072,1
2025-06-11T01:38:42.421242,1072,1
2025-06-11T01:38:43.450122,1070,1
2025-06-11T01:38:44.483911,1070,1
2025-06-11T01:38:45.513970,1070,1
2025-06-11T01:38:46.544248,999,1
2025-06-11T01:38:47.585151,999,1
2025-06-11T01:38:48.628714,986,1
2025-06-11T01:38:49.657391,986,1
2025-06-11T01:38:50.705215,986,1
2025-06-11T01:38:51.734589,903,1
2025-06-11T01:38:52.764169,903,1
2025-06-11T01:38:53.794136,903,1
2025-06-11T01:38:54.831104,1051,1
2025-06-11T01:38:55.861753,1051,1
2025-06-11T01:38:56.898399,970,1
2025-06-11T01:38:57.946122,970,1
2025-06-11T01:38:58.975200,970,1
2025-06-11T01:39:00.023629,1053,1
2025-06-11T01:39:01.056381,1053,1
2025-06-11T01:39:02.098460,967,1
2025-06-11T01:39:03.127405,967,1
2025-06-11T01:39:04.156725,1023,1
2025-06-11T01:39:05.186555,1023,1
2025-06-11T01:39:06.219996,1023,1
2025-06-11T01:39:07.262506,1022,1
2025-06-11T01:39:08.318021,1022,1
2025-06-11T01:39:09.347737,1022,1
2025-06-11T01:39:10.376686,1010,1
2025-06-11T01:39:11.407014,1010,1
2025-06-11T01:39:12.437821,1048,1
2025-06-11T01:39:13.470527,1048,1
2025-06-11T01:39:14.509733,1048,1
2025-06-11T01:39:15.539921,981,1
2025-06-11T01:39:16.581106,981,1
2025-06-11T01:39:17.636399,1041,1
2025-06-11T01:39:18.673325,1041,1
2025-06-11T01:39:19.702166,1041,1
2025-06-11T01:39:20.733645,990,1
2025-06-11T01:39:21.763299,990,1
2025-06-11T01:39:22.794670,990,1
2025-06-11T01:39:23.823347,1028,1
2025-06-11T01:39:24.853461,1028,1
2025-06-11T01:39:25.882805,1032,1
2025-06-11T01:39:26.927436,1032,1
2025-06-11T01:39:28.340556,960,0
2025-06-11T01:39:29.380853,960,0
2025-06-11T01:39:30.410366,960,0
2025-06-11T01:39:31.460377,802,0
2025-06-11T01:39:32.489139,802,0
2025-06-11T01:39:33.533830,802,0
2025-06-11T01:39:34.563792,789,0
2025-06-11T01:39:35.591772,789,0
2025-06-11T01:39:36.634820,789,0
2025-06-11T01:39:37.675217,862,0
2025-06-11T01:39:38.703976,862,0
2025-06-11T01:39:39.754827,862,0
2025-06-11T01:39:40.783780,862,0
2025-06-11T01:39:41.812372,800,0
2025-06-11T01:39:42.841781,800,0
2025-06-11T01:39:43.877183,800,0
2025-06-11T01:39:44.906699,854,0
2025-06-11T01:39:45.943861,854,0
2025-06-11T01:39:46.973364,854,0
2025-06-11T01:39:48.002154,802,0
2025-06-11T01:39:49.041719,802,0
2025-06-11T01:39:50.070793,849,0
2025-06-11T01:39:51.121248,849,0
2025-06-11T01:39:52.151142,849,0
2025-06-11T01:39:53.181768,863,0
2025-06-11T01:39:54.211515,863,0
2025-06-11T01:39:55.251839,863,0
2025-06-11T01:39:56.280893,791,0
2025-06-11T01:39:57.312176,791,0
2025-06-11T01:39:58.360108,791,0
2025-06-11T01:39:59.389816,791,0
2025-06-11T01:40:00.439699,870,0
2025-06-11T01:40:01.468510,870,0
2025-06-11T01:40:02.497341,870,0
2025-06-11T01:40:03.526832,837,0
2025-06-11T01:40:04.578940,837,0
2025-06-11T01:40:05.612987,837,0
2025-06-11T01:40:06.654481,889,0
2025-06-11T01:40:07.684648,889,0
2025-06-11T01:40:08.734193,889,0
2025-06-11T01:40:09.765637,919,0
2025-06-11T01:40:10.794620,919,0
2025-06-11T01:40:11.823260,919,0
2025-06-11T01:40:12.855803,859,0
2025-06-11T01:40:13.886737,859,0
2025-06-11T01:40:14.917250,859,0
2025-06-11T01:40:15.948853,825,0
2025-06-11T01:40:16.977464,825,0
2025-06-11T01:40:18.020756,825,0
2025-06-11T01:40:19.049894,825,0
2025-06-11T01:40:20.100644,811,0
2025-06-11T01:40:21.159554,811,0
2025-06-11T01:40:22.188303,802,0
2025-06-11T01:40:23.219744,802,0
2025-06-11T01:40:24.248950,802,0
2025-06-11T01:40:25.291200,789,0
2025-06-11T01:40:26.319822,789,0
2025-06-11T01:40:27.349047,789,0
2025-06-11T01:40:28.395035,893,0
2025-06-11T01:40:29.425321,893,0
2025-06-11T01:40:30.454427,893,0
2025-06-11T01:40:31.492468,893,0
2025-06-11T01:40:32.524882,825,0
2025-06-11T01:40:33.554352,825,0
2025-06-11T01:40:34.588802,825,0
2025-06-11T01:40:35.633714,773,0
2025-06-11T01:40:36.663684,773,0
2025-06-11T01:40:37.713539,773,0
2025-06-11T01:40:38.742062,873,0
2025-06-11T01:40:39.773836,873,0
2025-06-11T01:40:40.803197,873,0
2025-06-11T01:40:41.835063,838,0
2025-06-11T01:40:42.865532,838,0
2025-06-11T01:40:43.898166,838,0
2025-06-11T01:40:44.929173,820,0
2025-06-11T01:40:45.958188,820,0
2025-06-11T01:40:47.002202,820,0
2025-06-11T01:40:48.031267,804,0
2025-06-11T01:40:49.080016,804,0
2025-06-11T01:40:50.109855,836,0
2025-06-11T01:40:51.138319,836,0
2025-06-11T01:40:52.168692,836,0
2025-06-11T01:40:53.208091,882,0
2025-06-11T01:40:54.237801,882,0
2025-06-11T01:40:55.266919,882,0
2025-06-11T01:40:56.295561,882,0
2025-06-11T01:40:57.325075,841,0
2025-06-11T01:40:58.366296,841,0
2025-06-11T01:40:59.395196,841,0
2025-06-11T01:41:00.446425,767,0
2025-06-11T01:41:01.478333,767,0
2025-06-11T01:41:02.519528,767,0
2025-06-11T01:41:03.548506,846,0
2025-06-11T01:41:04.578945,846,0
2025-06-11T01:41:05.641833,846,0
2025-06-11T01:41:06.692777,873,0
2025-06-11T01:41:07.721769,873,0
2025-06-11T01:41:08.750750,873,0
2025-06-11T01:41:09.779778,819,0
2025-06-11T01:41:10.813953,819,0
2025-06-11T01:41:11.843957,819,0
2025-06-11T01:41:12.873194,800,0
2025-06-11T01:41:13.902241,800,0
2025-06-11T01:41:14.932449,800,0
2025-06-11T01:41:15.961507,800,0
2025-06-11T01:41:17.003249,776,0
2025-06-11T01:41:18.032287,776,0
2025-06-11T01:41:19.083270,776,0
2025-06-11T01:41:20.112092,833,0
2025-06-11T01:41:21.148659,833,0
2025-06-11T01:41:22.185320,803,0
2025-06-11T01:41:23.214309,803,0
2025-06-11T01:41:24.248638,803,0
2025-06-11T01:41:25.277689,833,0
2025-06-11T01:41:26.321522,833,0
2025-06-11T01:41:27.350526,833,0
2025-06-11T01:41:28.394832,862,0
2025-06-11T01:41:29.425666,862,0
2025-06-11T01:41:30.455616,862,0
2025-06-11T01:41:31.484750,884,0
2025-06-11T01:41:32.522991,884,0
2025-06-11T01:41:33.553115,884,0
2025-06-11T01:41:34.581802,884,0
2025-06-11T01:41:35.614240,802,0
2025-06-11T01:41:36.647761,802,0
2025-06-11T01:41:37.688909,802,0
2025-06-11T01:41:38.717697,767,0
2025-06-11T01:41:39.768177,767,0
2025-06-11T01:41:40.797764,767,0
2025-06-11T01:41:41.825845,820,0
2025-06-11T01:41:42.856161,820,0
2025-06-11T01:41:43.889901,820,0
2025-06-11T01:41:44.920394,855,0
2025-06-11T01:41:45.956934,855,0
2025-06-11T01:41:46.988217,855,0
2025-06-11T01:41:48.030447,847,0
2025-06-11T01:41:49.059437,847,0
2025-06-11T01:41:50.110616,797,0
2025-06-11T01:41:51.139008,797,0
2025-06-11T01:41:52.170047,797,0
2025-06-11T01:41:53.199111,797,0
2025-06-11T01:41:54.232103,801,0
2025-06-11T01:41:55.265298,801,0
2025-06-11T01:41:56.294332,801,0
2025-06-11T01:41:57.323356,868,0
2025-06-11T01:41:58.352166,868,0
2025-06-11T01:41:59.396846,868,0
2025-06-11T01:42:00.427258,908,0
2025-06-11T01:42:01.477076,908,0
2025-06-11T01:42:02.507129,908,0
2025-06-11T01:42:03.536213,781,0
2025-06-11T01:42:04.583942,781,0
2025-06-11T01:42:05.612965,781,0
