timestamp,power_mW,under_attack
2025-06-10T17:32:38.491110,1860,1
2025-06-10T17:32:39.523703,1845,1
2025-06-10T17:32:40.554086,1845,1
2025-06-10T17:32:41.582732,1730,1
2025-06-10T17:32:42.612974,1730,1
2025-06-10T17:32:43.641660,1730,1
2025-06-10T17:32:44.670320,1822,1
2025-06-10T17:32:45.699337,1822,1
2025-06-10T17:32:46.730200,1822,1
2025-06-10T17:32:47.766245,1792,1
2025-06-10T17:32:48.807527,1792,1
2025-06-10T17:32:49.838834,1792,1
2025-06-10T17:32:50.880448,1876,1
2025-06-10T17:32:51.909693,1876,1
2025-06-10T17:32:52.938227,1806,1
2025-06-10T17:32:53.969278,1806,1
2025-06-10T17:32:55.001890,1806,1
2025-06-10T17:32:56.031032,1835,1
2025-06-10T17:32:57.061018,1835,1
2025-06-10T17:32:58.106421,1835,1
2025-06-10T17:32:59.150314,1678,1
2025-06-10T17:33:00.179025,1678,1
2025-06-10T17:33:01.227804,1729,1
2025-06-10T17:33:02.256491,1729,1
2025-06-10T17:33:03.285375,1729,1
2025-06-10T17:33:04.317320,1741,1
2025-06-10T17:33:05.360249,1741,1
2025-06-10T17:33:06.400651,1741,1
2025-06-10T17:33:07.444147,1757,1
2025-06-10T17:33:08.474961,1757,1
2025-06-10T17:33:09.517802,1857,1
2025-06-10T17:33:10.562044,1857,1
2025-06-10T17:33:11.590899,1857,1
2025-06-10T17:33:12.619054,1788,1
2025-06-10T17:33:13.650404,1788,1
2025-06-10T17:33:14.678544,1819,1
2025-06-10T17:33:15.707442,1819,1
2025-06-10T17:33:16.735936,1833,1
2025-06-10T17:33:17.763820,1833,1
2025-06-10T17:33:18.794103,1839,1
2025-06-10T17:33:19.838873,1839,1
2025-06-10T17:33:20.867091,1839,1
2025-06-10T17:33:21.907259,1812,1
2025-06-10T17:33:22.937154,1812,1
2025-06-10T17:33:23.966424,1850,1
2025-06-10T17:33:24.995208,1850,1
2025-06-10T17:33:26.024996,1850,1
2025-06-10T17:33:27.061763,1771,1
2025-06-10T17:33:28.091192,1771,1
2025-06-10T17:33:29.120238,1771,1
2025-06-10T17:33:30.158066,1708,1
2025-06-10T17:33:31.200904,1708,1
2025-06-10T17:33:32.231219,1782,1
2025-06-10T17:33:33.275695,1749,1
2025-06-10T17:33:34.308664,1749,1
2025-06-10T17:33:35.350218,1749,1
2025-06-10T17:33:36.379128,1810,1
2025-06-10T17:33:37.408337,1810,1
2025-06-10T17:33:38.437299,1848,1
2025-06-10T17:33:50.480910,1828,0
2025-06-10T17:33:51.511299,1828,0
2025-06-10T17:33:52.540610,1828,0
2025-06-10T17:33:53.569624,1820,0
2025-06-10T17:33:54.600852,1820,0
2025-06-10T17:33:55.630141,1219,0
2025-06-10T17:33:56.674379,1219,0
2025-06-10T17:33:57.703263,1391,0
2025-06-10T17:33:58.746468,1391,0
2025-06-10T17:33:59.777675,1371,0
2025-06-10T17:34:00.819955,1371,0
2025-06-10T17:34:01.848773,1490,0
2025-06-10T17:34:02.877974,1490,0
2025-06-10T17:34:03.906376,1291,0
2025-06-10T17:34:04.935487,1291,0
2025-06-10T17:34:05.978813,1291,0
2025-06-10T17:34:07.021223,1510,0
