timestamp,power_mW,under_attack
2025-06-10T18:18:37.222514,1195,1
2025-06-10T18:18:38.253454,1195,1
2025-06-10T18:18:39.301171,1195,1
2025-06-10T18:18:40.329634,1195,1
2025-06-10T18:18:41.358510,1195,1
2025-06-10T18:18:42.389229,1455,1
2025-06-10T18:18:43.422806,1455,1
2025-06-10T18:18:44.451298,1455,1
2025-06-10T18:18:45.479322,1667,1
2025-06-10T18:18:46.509134,1667,1
2025-06-10T18:18:47.537364,1616,1
2025-06-10T18:18:48.570592,1616,1
2025-06-10T18:18:49.610289,1360,1
2025-06-10T18:18:50.639704,1360,1
2025-06-10T18:18:51.668063,1360,1
2025-06-10T18:18:52.714347,1682,1
2025-06-10T18:18:53.742736,1682,1
2025-06-10T18:18:54.772231,1682,1
2025-06-10T18:18:55.804349,1622,1
2025-06-10T18:18:56.839754,1622,1
2025-06-10T18:18:57.867988,1752,1
2025-06-10T18:18:58.896494,1670,1
2025-06-10T18:18:59.925277,1670,1
2025-06-10T18:19:00.953761,1670,1
2025-06-10T18:19:01.981884,1633,1
2025-06-10T18:19:03.027262,1633,1
2025-06-10T18:19:04.055383,1620,1
2025-06-10T18:19:05.084342,1620,1
2025-06-10T18:19:06.129720,1620,1
2025-06-10T18:19:07.158065,1647,1
2025-06-10T18:19:08.188432,1647,1
2025-06-10T18:19:09.217003,1647,1
2025-06-10T18:19:10.252071,1793,1
2025-06-10T18:19:11.280161,1793,1
2025-06-10T18:19:12.311477,1793,1
2025-06-10T18:19:13.369205,1707,1
2025-06-10T18:19:14.397331,1707,1
2025-06-10T18:19:15.432631,1622,1
2025-06-10T18:19:16.472694,1622,1
2025-06-10T18:19:17.501369,1622,1
2025-06-10T18:19:18.529811,1750,1
2025-06-10T18:19:19.579621,1750,1
2025-06-10T18:19:20.607823,1750,1
2025-06-10T18:19:21.636000,1756,1
2025-06-10T18:19:22.664012,1756,1
2025-06-10T18:19:23.693791,1756,1
2025-06-10T18:19:24.735726,1651,1
2025-06-10T18:19:25.773532,1406,1
2025-06-10T18:19:26.814501,1406,1
2025-06-10T18:19:27.842438,1406,1
2025-06-10T18:19:28.871204,1560,1
2025-06-10T18:19:29.899534,1727,1
2025-06-10T18:19:30.927508,1727,1
2025-06-10T18:19:31.958780,1727,1
2025-06-10T18:19:32.987429,1553,1
2025-06-10T18:19:34.016958,1553,1
2025-06-10T18:19:35.045465,1555,1
2025-06-10T18:19:36.076097,1555,1
2025-06-10T18:19:37.105133,1555,1
2025-06-10T18:19:38.132595,1668,0
2025-06-10T18:19:39.173923,1668,0
2025-06-10T18:19:40.203600,1428,0
2025-06-10T18:19:41.253743,1428,0
2025-06-10T18:19:42.282160,1437,0
2025-06-10T18:19:43.310350,1437,0
2025-06-10T18:19:44.342100,1472,0
2025-06-10T18:19:45.384481,1453,0
2025-06-10T18:19:46.418273,1453,0
2025-06-10T18:19:47.447638,1362,0
2025-06-10T18:19:48.492280,1362,0
2025-06-10T18:19:49.521488,1358,0
2025-06-10T18:19:50.571940,1358,0
2025-06-10T18:19:51.600056,1242,0
2025-06-10T18:19:52.627965,1242,0
2025-06-10T18:19:53.657202,1262,0
2025-06-10T18:19:54.693324,1262,0
2025-06-10T18:19:55.722257,1299,0
2025-06-10T18:19:56.750676,1299,0
2025-06-10T18:19:57.778751,1212,0
2025-06-10T18:19:58.806719,1212,0
2025-06-10T18:19:59.834808,1396,0
2025-06-10T18:20:00.865304,1396,0
2025-06-10T18:20:01.907115,1324,0
2025-06-10T18:20:02.937054,1340,0
2025-06-10T18:20:03.985721,1340,0
2025-06-10T18:20:05.015476,1482,0
2025-06-10T18:20:06.043718,1482,0
2025-06-10T18:20:07.074753,1410,0
2025-06-10T18:20:08.107359,1410,0
2025-06-10T18:20:09.136388,1310,0
2025-06-10T18:20:10.164297,1310,0
2025-06-10T18:20:11.192281,1321,0
2025-06-10T18:20:12.220799,1321,0
2025-06-10T18:20:13.249025,1294,0
2025-06-10T18:20:14.277776,1294,0
2025-06-10T18:20:15.321107,1334,0
2025-06-10T18:20:16.349607,1334,0
2025-06-10T18:20:17.377211,1288,0
2025-06-10T18:20:18.423835,1288,0
2025-06-10T18:20:19.451830,1378,0
2025-06-10T18:20:20.479205,1378,0
2025-06-10T18:20:21.520724,1263,0
2025-06-10T18:20:22.549740,1263,0
2025-06-10T18:20:23.615618,1263,0
2025-06-10T18:20:24.644240,1432,0
2025-06-10T18:20:25.672189,1432,0
2025-06-10T18:20:26.718329,1197,0
2025-06-10T18:20:27.746673,1197,0
2025-06-10T18:20:28.776390,1249,0
2025-06-10T18:20:29.805280,1249,0
2025-06-10T18:20:30.833298,1314,0
2025-06-10T18:20:31.861535,1314,0
2025-06-10T18:20:32.890035,1391,0
2025-06-10T18:20:33.931164,1391,0
2025-06-10T18:20:34.961647,1315,0
2025-06-10T18:20:36.006916,1315,0
2025-06-10T18:20:37.035897,1293,0
2025-06-10T18:20:38.085286,1293,0
2025-06-10T18:20:39.113620,1319,0
2025-06-10T18:20:40.141433,1319,0
2025-06-10T18:20:41.176542,1344,0
2025-06-10T18:20:42.204630,1344,0
2025-06-10T18:20:43.240186,1331,0
2025-06-10T18:20:44.269286,1331,0
2025-06-10T18:20:45.297518,1266,0
2025-06-10T18:20:46.329064,1266,0
2025-06-10T18:20:47.356114,1324,0
2025-06-10T18:20:48.396505,1324,0
2025-06-10T18:20:49.442069,1345,0
2025-06-10T18:20:50.475613,1345,0
2025-06-10T18:20:51.504147,1358,0
2025-06-10T18:20:52.532381,1358,0
2025-06-10T18:20:53.560451,1411,0
2025-06-10T18:20:54.588641,1411,0
2025-06-10T18:20:55.616896,1398,0
2025-06-10T18:20:56.651775,1398,0
2025-06-10T18:20:57.679613,1416,0
2025-06-10T18:20:58.708757,1416,0
2025-06-10T18:20:59.736944,1415,0
2025-06-10T18:21:00.768028,1415,0
2025-06-10T18:21:01.811035,1310,0
2025-06-10T18:21:02.839216,1310,0
2025-06-10T18:21:03.889288,1433,0
2025-06-10T18:21:04.917245,1339,0
2025-06-10T18:21:05.961145,1339,0
2025-06-10T18:21:06.992198,1378,0
2025-06-10T18:21:08.024239,1378,0
2025-06-10T18:21:09.064088,1284,0
2025-06-10T18:21:10.105776,1353,0
2025-06-10T18:21:11.133802,1353,0
2025-06-10T18:21:12.179002,1282,0
2025-06-10T18:21:13.209839,1282,0
2025-06-10T18:21:14.238176,1359,0
2025-06-10T18:21:15.270112,1359,0
2025-06-10T18:21:16.301925,1330,0
2025-06-10T18:21:17.329089,1330,0
2025-06-10T18:21:18.372112,1298,0
2025-06-10T18:21:19.400332,1298,0
2025-06-10T18:21:20.430878,1341,0
2025-06-10T18:21:21.471616,1341,0
2025-06-10T18:21:22.501073,1311,0
2025-06-10T18:21:23.551381,1311,0
2025-06-10T18:21:24.581027,1282,0
2025-06-10T18:21:25.609448,1656025,0
2025-06-10T18:21:26.640750,1674803,0
2025-06-10T18:21:27.682713,1672010,0
2025-06-10T18:21:28.711438,1668066,0
2025-06-10T18:21:29.740052,1662690,0
2025-06-10T18:21:30.770151,1662690,0
2025-06-10T18:21:31.798234,35422,0
2025-06-10T18:21:32.838069,35422,0
2025-06-10T18:21:33.867167,1307,0
2025-06-10T18:21:34.917939,1324,0
2025-06-10T18:21:35.946361,11941,0
2025-06-10T18:21:36.989510,1650884,0
2025-06-10T18:21:38.018858,1670494,0
2025-06-10T18:21:39.047772,1665493,0
2025-06-10T18:21:40.076229,1661377,0
2025-06-10T18:21:41.107060,1656877,0
2025-06-10T18:21:42.137307,1656877,0
2025-06-10T18:21:43.180549,39481,0
2025-06-10T18:21:44.208372,39481,0
2025-06-10T18:21:45.237051,1261,0
2025-06-10T18:21:46.280461,1261,0
2025-06-10T18:21:47.309353,1325,0
2025-06-10T18:21:48.337974,1325,0
2025-06-10T18:21:49.367103,1359,0
2025-06-10T18:21:50.402910,1359,0
2025-06-10T18:21:51.431545,1347,0
2025-06-10T18:21:52.459237,1347,0
2025-06-10T18:21:53.487068,1320,0
2025-06-10T18:21:54.518775,1320,0
2025-06-10T18:21:55.547044,1461,0
2025-06-10T18:21:56.575963,1461,0
2025-06-10T18:21:57.618747,1323,0
2025-06-10T18:21:58.646187,1323,0
2025-06-10T18:21:59.675077,1323,0
2025-06-10T18:22:00.721868,1450,0
2025-06-10T18:22:01.749121,1450,0
2025-06-10T18:22:02.778497,1312,0
2025-06-10T18:22:03.815209,1312,0
2025-06-10T18:22:04.843107,1391,0
2025-06-10T18:22:05.871318,1391,0
2025-06-10T18:22:06.899746,1391,0
2025-06-10T18:22:07.927724,1302,0
2025-06-10T18:22:08.956166,1300,0
2025-06-10T18:22:09.984681,1300,0
2025-06-10T18:22:11.035038,1422,0
2025-06-10T18:22:12.087704,1422,0
2025-06-10T18:22:13.125276,1320,0
2025-06-10T18:22:14.154289,1320,0
2025-06-10T18:22:15.191807,1236,0
2025-06-10T18:22:16.229718,1236,0
2025-06-10T18:22:17.259735,1352,0
2025-06-10T18:22:18.288046,1352,0
2025-06-10T18:22:19.327483,1263,0
2025-06-10T18:22:20.357065,1263,0
2025-06-10T18:22:21.426157,1407,0
2025-06-10T18:22:22.454386,1407,0
2025-06-10T18:22:23.483298,1375,0
2025-06-10T18:22:24.527039,1375,0
2025-06-10T18:22:25.557476,1424,0
2025-06-10T18:22:26.598134,1424,0
2025-06-10T18:22:27.653824,1292,0
2025-06-10T18:22:28.681808,1292,0
2025-06-10T18:22:29.712229,1404,0
2025-06-10T18:22:30.743338,1404,0
2025-06-10T18:22:31.772778,1365,0
2025-06-10T18:22:32.802057,1365,0
2025-06-10T18:22:33.832110,1378,0
2025-06-10T18:22:34.860334,1378,0
2025-06-10T18:22:35.900249,1428,0
2025-06-10T18:22:36.940234,1285,0
2025-06-10T18:22:37.985698,1285,0
2025-06-10T18:22:39.021290,1271,1
2025-06-10T18:22:40.051821,1271,1
2025-06-10T18:22:41.080334,1410,1
2025-06-10T18:22:42.109807,1410,1
2025-06-10T18:22:43.137937,1460,1
2025-06-10T18:22:44.166331,1460,1
2025-06-10T18:22:45.194325,1382,1
2025-06-10T18:22:46.222471,1382,1
2025-06-10T18:22:47.259337,1470,1
