timestamp,power_mW,under_attack
2025-06-10T16:01:43.390853,1285,1
2025-06-10T16:01:44.438552,1301,1
2025-06-10T16:01:45.491784,1301,1
2025-06-10T16:01:46.527851,1679,1
2025-06-10T16:01:47.558709,1679,1
2025-06-10T16:01:48.588477,1679,1
2025-06-10T16:01:49.618413,1820,1
2025-06-10T16:01:50.648091,1820,1
2025-06-10T16:01:51.680827,1820,1
2025-06-10T16:01:52.717197,1831,1
2025-06-10T16:01:53.756969,1831,1
2025-06-10T16:01:54.787734,1859,1
2025-06-10T16:01:55.830825,1859,1
2025-06-10T16:01:56.860477,1859,1
2025-06-10T16:01:57.890361,1857,1
2025-06-10T16:01:58.920437,1814,1
2025-06-10T16:01:59.949782,1814,1
2025-06-10T16:02:00.990283,1814,1
2025-06-10T16:02:02.021776,1799,1
2025-06-10T16:02:03.051855,1799,1
2025-06-10T16:02:04.099234,1808,1
2025-06-10T16:02:05.128827,1808,1
2025-06-10T16:02:06.180536,1808,1
2025-06-10T16:02:07.211938,1825,1
2025-06-10T16:02:08.244596,1825,1
2025-06-10T16:02:09.287630,1823,1
2025-06-10T16:02:10.317862,1823,1
2025-06-10T16:02:11.347267,1823,1
2025-06-10T16:02:12.376884,1873,1
2025-06-10T16:02:13.418155,1873,1
2025-06-10T16:02:14.447834,1825,1
2025-06-10T16:02:15.491964,1825,1
2025-06-10T16:02:16.522517,1825,1
2025-06-10T16:02:17.553843,1867,1
2025-06-10T16:02:18.583339,1867,1
2025-06-10T16:02:19.615491,1867,1
2025-06-10T16:02:20.645558,1814,1
2025-06-10T16:02:21.674902,1814,1
2025-06-10T16:02:22.711363,1814,1
2025-06-10T16:02:23.741937,1770,1
2025-06-10T16:02:24.784110,1770,1
2025-06-10T16:02:25.814398,1884,1
2025-06-10T16:02:26.857981,1884,1
2025-06-10T16:02:27.903311,1884,1
2025-06-10T16:02:28.934360,1830,1
2025-06-10T16:02:29.963932,1929,1
2025-06-10T16:02:30.994962,1929,1
2025-06-10T16:02:32.027646,1827,1
2025-06-10T16:02:33.057337,1827,1
2025-06-10T16:02:34.103409,1827,1
2025-06-10T16:02:35.133109,1829,1
2025-06-10T16:02:36.177413,1829,1
2025-06-10T16:02:37.213316,1829,1
2025-06-10T16:02:38.245928,1906,1
2025-06-10T16:02:39.274408,1906,1
2025-06-10T16:02:40.303977,1832,1
2025-06-10T16:02:41.333619,1832,1
2025-06-10T16:02:42.363038,1832,1
2025-06-10T16:02:57.218413,1834,0
2025-06-10T16:02:58.250833,1868,0
2025-06-10T16:02:59.292886,1868,0
2025-06-10T16:03:00.322233,1868,0
2025-06-10T16:03:01.368235,1432,0
2025-06-10T16:03:02.397700,1432,0
2025-06-10T16:03:03.430755,1411,0
2025-06-10T16:03:04.460539,1411,0
2025-06-10T16:03:05.490289,1339,0
2025-06-10T16:03:06.520211,1339,0
2025-06-10T16:03:07.555685,1360,0
2025-06-10T16:03:08.585338,1360,0
2025-06-10T16:03:09.616247,1361,0
2025-06-10T16:03:10.668201,1361,0
2025-06-10T16:03:11.709743,1238,0
2025-06-10T16:03:12.739795,1238,0
2025-06-10T16:03:13.771805,1285,0
2025-06-10T16:03:14.802974,1285,0
2025-06-10T16:03:15.832376,1435,0
2025-06-10T16:03:16.864279,1435,0
2025-06-10T16:03:17.893298,1385,0
2025-06-10T16:03:18.922896,1385,0
2025-06-10T16:03:19.979093,1276,0
2025-06-10T16:03:21.009327,1380,0
2025-06-10T16:03:22.052957,1380,0
2025-06-10T16:03:23.082382,1380,0
2025-06-10T16:03:24.114346,1337,0
2025-06-10T16:03:25.143482,1337,0
2025-06-10T16:03:26.172488,1329,0
2025-06-10T16:03:27.201223,1329,0
2025-06-10T16:03:28.230833,1308,0
2025-06-10T16:03:29.259898,1308,0
2025-06-10T16:03:30.293292,1315,0
2025-06-10T16:03:31.321938,1315,0
2025-06-10T16:03:32.351105,1448,0
2025-06-10T16:03:33.392158,1448,0
2025-06-10T16:03:34.421193,1339,0
2025-06-10T16:03:35.467385,1339,0
2025-06-10T16:03:36.510330,1368,0
2025-06-10T16:03:37.540337,1444,0
2025-06-10T16:03:38.586667,1444,0
2025-06-10T16:03:39.615385,1374,0
2025-06-10T16:03:40.645191,1374,0
2025-06-10T16:03:41.688226,1329,0
2025-06-10T16:03:42.720114,1329,0
2025-06-10T16:03:43.761547,1304,0
2025-06-10T16:03:44.792386,1304,0
2025-06-10T16:03:45.824217,1304,0
2025-06-10T16:03:46.853648,1336,0
2025-06-10T16:03:47.894074,1336,0
2025-06-10T16:03:48.923775,1315,0
2025-06-10T16:03:49.954160,1432,0
2025-06-10T16:03:51.005505,1432,0
2025-06-10T16:03:52.036232,1310,0
2025-06-10T16:03:53.079430,1310,0
2025-06-10T16:03:54.108688,1372,0
2025-06-10T16:03:55.138495,1372,0
2025-06-10T16:03:56.168173,1366,0
2025-06-10T16:03:57.203657,1366,0
2025-06-10T16:03:58.233646,1300,0
2025-06-10T16:03:59.265832,1300,0
2025-06-10T16:04:00.305523,1343,0
2025-06-10T16:04:01.352034,1343,0
2025-06-10T16:04:02.397710,1350,0
2025-06-10T16:04:03.427178,1350,0
2025-06-10T16:04:04.462682,1391,0
2025-06-10T16:04:05.491901,1391,0
2025-06-10T16:04:06.521514,1291,0
2025-06-10T16:04:07.552369,1291,0
2025-06-10T16:04:08.582274,1353,0
2025-06-10T16:04:09.614357,1353,0
2025-06-10T16:04:10.644295,1268,0
2025-06-10T16:04:11.689695,1268,0
2025-06-10T16:04:12.719409,1403,0
2025-06-10T16:04:13.765320,1403,0
2025-06-10T16:04:14.796076,1353,0
2025-06-10T16:04:15.829806,1353,0
2025-06-10T16:04:16.859209,1380,0
2025-06-10T16:04:17.888605,1380,0
2025-06-10T16:04:18.922832,1251,0
2025-06-10T16:04:19.967037,1251,0
2025-06-10T16:04:21.008128,1396,0
2025-06-10T16:04:22.050098,1442,0
2025-06-10T16:04:23.086836,1442,0
2025-06-10T16:04:24.127019,1288,0
2025-06-10T16:04:25.156792,1288,0
2025-06-10T16:04:26.186845,1407,0
2025-06-10T16:04:27.230401,1407,0
2025-06-10T16:04:28.260508,1317,0
2025-06-10T16:04:29.302503,1317,0
2025-06-10T16:04:30.332958,1272,0
2025-06-10T16:04:31.378757,1272,0
2025-06-10T16:04:32.408733,1272,0
2025-06-10T16:04:33.442939,1343,0
2025-06-10T16:04:34.472769,1343,0
2025-06-10T16:04:35.502096,1343,0
2025-06-10T16:04:36.540263,1269,0
2025-06-10T16:04:37.569991,1269,0
2025-06-10T16:04:38.599658,1328,0
2025-06-10T16:04:39.645471,1328,0
2025-06-10T16:04:40.676193,1366,0
2025-06-10T16:04:41.720717,1419,0
2025-06-10T16:04:42.750436,1419,0
2025-06-10T16:04:43.783621,1419,0
2025-06-10T16:04:44.813333,1208,0
2025-06-10T16:04:45.849906,1208,0
2025-06-10T16:04:46.881524,1287,0
2025-06-10T16:04:47.912986,1287,0
2025-06-10T16:04:48.966835,1387,0
2025-06-10T16:04:50.013102,1270,0
2025-06-10T16:04:51.052380,1270,0
2025-06-10T16:04:52.082101,1339,0
2025-06-10T16:04:53.111527,1339,0
2025-06-10T16:04:54.156723,1396,0
2025-06-10T16:04:55.194491,1396,0
2025-06-10T16:04:56.233742,1322,0
2025-06-10T16:04:57.266145,1322,0
2025-06-10T16:04:58.309113,1322,0
2025-06-10T16:04:59.339103,1394,0
2025-06-10T16:05:00.369456,1394,0
2025-06-10T16:05:01.399223,1372,0
2025-06-10T16:05:02.430059,1372,0
2025-06-10T16:05:03.463174,1357,0
2025-06-10T16:05:04.493171,1357,0
2025-06-10T16:05:05.524822,1357,0
2025-06-10T16:05:06.615034,1357,0
2025-06-10T16:05:07.646183,1340,0
2025-06-10T16:05:08.681625,1340,0
2025-06-10T16:05:09.712046,1315,0
2025-06-10T16:05:10.741861,1315,0
2025-06-10T16:05:11.779267,1307,0
2025-06-10T16:05:12.822397,1307,0
2025-06-10T16:05:13.852545,1402,0
2025-06-10T16:05:14.897751,1402,0
2025-06-10T16:05:15.927143,1282,0
2025-06-10T16:05:16.957889,1282,0
2025-06-10T16:05:17.987202,1324,0
2025-06-10T16:05:19.017880,1269,0
2025-06-10T16:05:20.048506,1269,0
2025-06-10T16:05:21.079772,1432,0
2025-06-10T16:05:22.109195,1432,0
2025-06-10T16:05:23.138817,1363,0
2025-06-10T16:05:24.189615,1363,0
