timestamp,power_mW,under_attack
2025-06-10T14:29:36.243276,830,1
2025-06-10T14:29:37.273185,878,1
2025-06-10T14:29:38.305115,878,1
2025-06-10T14:29:39.347195,878,1
2025-06-10T14:29:40.377969,903,1
2025-06-10T14:29:41.421015,903,1
2025-06-10T14:29:42.450552,903,1
2025-06-10T14:29:43.486020,959,1
2025-06-10T14:29:44.516165,959,1
2025-06-10T14:29:45.551305,959,1
2025-06-10T14:29:46.583971,983,1
2025-06-10T14:29:47.614240,1168,1
2025-06-10T14:29:48.644747,1168,1
2025-06-10T14:29:49.689464,1168,1
2025-06-10T14:29:50.722688,947,1
2025-06-10T14:29:51.764038,947,1
2025-06-10T14:29:52.793527,1176,1
2025-06-10T14:29:53.828471,1176,1
2025-06-10T14:29:54.858832,1207,1
2025-06-10T14:29:55.888246,1207,1
2025-06-10T14:29:56.918200,1225,1
2025-06-10T14:29:57.950704,1225,1
2025-06-10T14:29:58.980092,1257,1
2025-06-10T14:30:00.031933,1257,1
2025-06-10T14:30:01.084044,1257,1
2025-06-10T14:30:02.123324,1164,1
2025-06-10T14:30:03.156432,1164,1
2025-06-10T14:30:04.185680,1129,1
2025-06-10T14:30:05.222082,1129,1
2025-06-10T14:30:06.252253,1304,1
2025-06-10T14:30:07.281940,1304,1
2025-06-10T14:30:08.326268,1283,1
2025-06-10T14:30:09.356204,1283,1
2025-06-10T14:30:10.400991,1243,1
2025-06-10T14:30:11.430811,1243,1
2025-06-10T14:30:12.460676,1192,1
2025-06-10T14:30:13.489858,1192,1
2025-06-10T14:30:14.531270,1192,1
2025-06-10T14:30:15.563816,1137,1
2025-06-10T14:30:16.595935,1046,1
2025-06-10T14:30:17.644646,1046,1
2025-06-10T14:30:18.676067,1248,1
2025-06-10T14:30:19.719632,1248,1
2025-06-10T14:30:20.750677,1237,1
2025-06-10T14:30:21.780027,1237,1
2025-06-10T14:30:22.809361,1237,1
2025-06-10T14:30:23.845854,1191,1
2025-06-10T14:30:24.883218,1191,1
2025-06-10T14:30:25.912319,1101,1
2025-06-10T14:30:26.947432,1101,1
2025-06-10T14:30:27.987635,1251,1
2025-06-10T14:30:29.037959,1251,1
2025-06-10T14:30:30.067337,1251,1
2025-06-10T14:30:31.097385,921,1
2025-06-10T14:30:32.131547,921,1
2025-06-10T14:30:33.161483,1295,1
2025-06-10T14:30:34.190822,1295,1
2025-06-10T14:30:35.228450,966,1
2025-06-10T14:30:36.697973,1240,0
2025-06-10T14:30:37.741476,1240,0
2025-06-10T14:30:38.772083,1240,0
2025-06-10T14:30:39.801511,1240,0
2025-06-10T14:30:40.831818,784,0
2025-06-10T14:30:41.861394,784,0
2025-06-10T14:30:42.891133,784,0
2025-06-10T14:30:43.920520,787,0
2025-06-10T14:30:44.964161,787,0
2025-06-10T14:30:46.009397,787,0
2025-06-10T14:30:47.061795,787,0
2025-06-10T14:30:48.091147,750,0
2025-06-10T14:30:49.122017,750,0
2025-06-10T14:30:50.153408,750,0
2025-06-10T14:30:51.183074,852,0
2025-06-10T14:30:52.215412,852,0
2025-06-10T14:30:53.247232,852,0
2025-06-10T14:30:54.277079,758,0
2025-06-10T14:30:55.309521,758,0
2025-06-10T14:30:56.351831,758,0
2025-06-10T14:30:57.385432,874,0
2025-06-10T14:30:58.439691,874,0
2025-06-10T14:30:59.476984,874,0
2025-06-10T14:31:00.507260,874,0
2025-06-10T14:31:01.540988,759,0
2025-06-10T14:31:02.580423,759,0
2025-06-10T14:31:03.622244,850,0
2025-06-10T14:31:04.669915,850,0
2025-06-10T14:31:05.699708,850,0
2025-06-10T14:31:06.729085,813,0
2025-06-10T14:31:07.759240,813,0
2025-06-10T14:31:08.791833,813,0
2025-06-10T14:31:09.821133,813,0
2025-06-10T14:31:10.861833,703,0
2025-06-10T14:31:11.891755,703,0
2025-06-10T14:31:12.921418,703,0
2025-06-10T14:31:13.964720,842,0
2025-06-10T14:31:14.997939,842,0
2025-06-10T14:31:16.040279,842,0
2025-06-10T14:31:17.070686,815,0
2025-06-10T14:31:18.105117,815,0
2025-06-10T14:31:19.136549,815,0
2025-06-10T14:31:20.164667,815,0
2025-06-10T14:31:21.201646,817,0
2025-06-10T14:31:22.231558,817,0
2025-06-10T14:31:23.260070,817,0
2025-06-10T14:31:24.309693,809,0
2025-06-10T14:31:25.361488,809,0
2025-06-10T14:31:26.401127,809,0
2025-06-10T14:31:27.429729,749,0
2025-06-10T14:31:28.458708,749,0
2025-06-10T14:31:29.488637,749,0
2025-06-10T14:31:30.520530,749,0
2025-06-10T14:31:31.549810,800,0
2025-06-10T14:31:32.581968,800,0
2025-06-10T14:31:33.625435,727,0
2025-06-10T14:31:34.657833,727,0
2025-06-10T14:31:35.699376,727,0
2025-06-10T14:31:36.730446,825,0
2025-06-10T14:31:37.773455,825,0
2025-06-10T14:31:38.815675,825,0
2025-06-10T14:31:39.847556,825,0
2025-06-10T14:31:40.879160,727,0
2025-06-10T14:31:41.920692,727,0
2025-06-10T14:31:42.950859,727,0
2025-06-10T14:31:43.994501,727,0
2025-06-10T14:31:45.024605,682,0
2025-06-10T14:31:46.053780,682,0
2025-06-10T14:31:47.083189,682,0
2025-06-10T14:31:48.140973,842,0
2025-06-10T14:31:49.170638,842,0
2025-06-10T14:31:50.214497,842,0
2025-06-10T14:31:51.251002,902,0
2025-06-10T14:31:52.288248,902,0
2025-06-10T14:31:53.329674,902,0
2025-06-10T14:31:54.360241,727,0
2025-06-10T14:31:55.389748,727,0
2025-06-10T14:31:56.432377,727,0
2025-06-10T14:31:57.461751,727,0
2025-06-10T14:31:58.492955,815,0
2025-06-10T14:31:59.539047,815,0
2025-06-10T14:32:00.582706,815,0
2025-06-10T14:32:01.612283,821,0
2025-06-10T14:32:02.648156,821,0
2025-06-10T14:32:03.679095,828,0
2025-06-10T14:32:04.713191,828,0
2025-06-10T14:32:05.747046,828,0
2025-06-10T14:32:06.776805,827,0
2025-06-10T14:32:07.806379,827,0
2025-06-10T14:32:08.850961,827,0
2025-06-10T14:32:09.883507,794,0
2025-06-10T14:32:10.925302,794,0
2025-06-10T14:32:11.956485,794,0
2025-06-10T14:32:12.990505,817,0
2025-06-10T14:32:14.022371,817,0
2025-06-10T14:32:15.052142,817,0
2025-06-10T14:32:16.081550,817,0
2025-06-10T14:32:17.113080,823,0
2025-06-10T14:32:18.151495,823,0
2025-06-10T14:32:19.193550,823,0
2025-06-10T14:32:20.227766,764,0
