timestamp,power_mW,under_attack
2025-06-12T17:58:18.849327,1694,1
2025-06-12T17:58:19.877631,1701,1
2025-06-12T17:58:20.909983,1701,1
2025-06-12T17:58:21.949687,1856,1
2025-06-12T17:58:22.979175,1856,1
2025-06-12T17:58:24.024065,1785,1
2025-06-12T17:58:25.052471,1785,1
2025-06-12T17:58:26.081099,1851,1
2025-06-12T17:58:27.110940,1851,1
2025-06-12T17:58:28.139540,1851,1
2025-06-12T17:58:29.177409,1782,1
2025-06-12T17:58:30.207057,1782,1
2025-06-12T17:58:31.237364,1952,1
2025-06-12T17:58:32.266120,1952,1
2025-06-12T17:58:33.315959,1852,1
2025-06-12T17:58:34.344083,1852,1
2025-06-12T17:58:35.389779,1852,1
2025-06-12T17:58:36.418485,1956,1
2025-06-12T17:58:37.447683,1956,1
2025-06-12T17:58:38.486251,1956,1
2025-06-12T17:58:39.514729,1885,1
2025-06-12T17:58:40.547199,1885,1
2025-06-12T17:58:41.594436,1912,1
2025-06-12T17:58:42.634290,1912,1
2025-06-12T17:58:43.662761,1822,1
2025-06-12T17:58:44.708490,1822,1
2025-06-12T17:58:45.737126,1822,1
2025-06-12T17:58:46.767277,1762,1
2025-06-12T17:58:47.796167,1762,1
2025-06-12T17:58:48.824740,1843,1
2025-06-12T17:58:49.854509,1843,1
2025-06-12T17:58:50.897922,1843,1
2025-06-12T17:58:51.931172,1969,1
2025-06-12T17:58:52.976808,1969,1
2025-06-12T17:58:54.006286,1969,1
2025-06-12T17:58:55.050230,1814,1
2025-06-12T17:58:56.078895,1814,1
2025-06-12T17:58:57.109433,1814,1
2025-06-12T17:58:58.138842,1735,1
2025-06-12T17:58:59.167912,1735,1
2025-06-12T17:59:00.206530,1735,1
2025-06-12T17:59:01.235194,1823,1
2025-06-12T17:59:02.263847,1823,1
2025-06-12T17:59:03.295046,1823,1
2025-06-12T17:59:04.345834,1824,1
2025-06-12T17:59:05.374826,1824,1
2025-06-12T17:59:06.418644,1824,1
2025-06-12T17:59:07.447033,1825,1
2025-06-12T17:59:08.475243,1825,1
2025-06-12T17:59:09.516162,1825,1
2025-06-12T17:59:10.544628,1784,1
2025-06-12T17:59:11.573033,1784,1
2025-06-12T17:59:12.602329,1784,1
2025-06-12T17:59:13.632556,1881,1
2025-06-12T17:59:14.663608,1881,1
2025-06-12T17:59:15.693964,1836,1
2025-06-12T17:59:16.733594,1836,1
2025-06-12T17:59:17.763093,1836,1
2025-06-12T17:59:18.806382,1810,1
2025-06-12T17:59:35.268462,1858,0
2025-06-12T17:59:36.298037,1854,0
2025-06-12T17:59:37.343858,1854,0
2025-06-12T17:59:38.373027,1854,0
2025-06-12T17:59:39.401820,1901,0
2025-06-12T17:59:40.430257,1901,0
2025-06-12T17:59:41.458788,1901,0
2025-06-12T17:59:42.487259,1790,0
2025-06-12T17:59:43.516867,1790,0
