timestamp,power_mW,under_attack
2025-06-12T16:13:38.625809,1685,1
2025-06-12T16:13:39.665943,1740,1
2025-06-12T16:13:40.695069,1740,1
2025-06-12T16:13:41.723727,1740,1
2025-06-12T16:13:42.768074,1841,1
2025-06-12T16:13:43.809429,1841,1
2025-06-12T16:13:44.839645,1841,1
2025-06-12T16:13:45.882224,1906,1
2025-06-12T16:13:46.926720,1906,1
2025-06-12T16:13:47.960899,1906,1
2025-06-12T16:13:48.998908,1795,1
2025-06-12T16:13:50.030683,1795,1
2025-06-12T16:13:51.079646,1933,1
2025-06-12T16:13:52.108003,1933,1
2025-06-12T16:13:53.136226,1933,1
2025-06-12T16:13:54.177638,1812,1
2025-06-12T16:13:55.205876,1812,1
2025-06-12T16:13:56.234245,1812,1
2025-06-12T16:13:57.264843,1816,1
2025-06-12T16:13:58.350387,1885,1
2025-06-12T16:13:59.382854,1885,1
2025-06-12T16:14:00.427391,1885,1
2025-06-12T16:14:01.459142,1863,1
2025-06-12T16:14:02.487702,1863,1
2025-06-12T16:14:03.525232,1863,1
2025-06-12T16:14:04.557284,1888,1
2025-06-12T16:14:05.588301,1888,1
2025-06-12T16:14:06.616689,1888,1
2025-06-12T16:14:07.645313,1808,1
2025-06-12T16:14:08.674065,1808,1
2025-06-12T16:14:09.716494,1804,1
2025-06-12T16:14:10.746825,1804,1
2025-06-12T16:14:11.790325,1804,1
2025-06-12T16:14:12.818770,1756,1
2025-06-12T16:14:13.847116,1756,1
2025-06-12T16:14:14.875786,1756,1
2025-06-12T16:14:15.903396,1756,1
2025-06-12T16:14:16.939159,1756,1
2025-06-12T16:14:17.968119,1756,1
2025-06-12T16:14:19.001974,1794,1
2025-06-12T16:14:20.030742,1794,1
2025-06-12T16:14:21.061944,1794,1
2025-06-12T16:14:22.106801,1769,1
2025-06-12T16:14:23.135133,1769,1
2025-06-12T16:14:24.163527,1769,1
2025-06-12T16:14:25.206653,1797,1
2025-06-12T16:14:26.235975,1797,1
2025-06-12T16:14:27.266079,1797,1
2025-06-12T16:14:28.324145,1776,1
2025-06-12T16:14:29.353522,1776,1
2025-06-12T16:14:30.382200,1829,1
2025-06-12T16:14:31.425541,1829,1
2025-06-12T16:14:32.454164,1829,1
2025-06-12T16:14:33.503772,1703,1
2025-06-12T16:14:34.532181,1703,1
