timestamp,power_mW,under_attack
2025-06-12T16:45:54.334729,49316,1
2025-06-12T16:45:55.379506,49316,1
2025-06-12T16:45:56.408541,12736,1
2025-06-12T16:45:57.458184,12736,1
2025-06-12T16:45:58.490093,1874,1
2025-06-12T16:45:59.518706,1874,1
2025-06-12T16:46:00.567135,1862,1
2025-06-12T16:46:01.596025,1862,1
2025-06-12T16:46:02.624647,1862,1
2025-06-12T16:46:03.653182,1891,1
2025-06-12T16:46:04.697833,71820,1
2025-06-12T16:46:05.728683,542244,1
2025-06-12T16:46:06.771157,491002,1
2025-06-12T16:46:07.799887,491002,1
2025-06-12T16:46:08.828194,490673,1
2025-06-12T16:46:09.857197,490673,1
2025-06-12T16:46:10.886443,315658,1
2025-06-12T16:46:11.915945,490896,1
2025-06-12T16:46:12.957374,490896,1
2025-06-12T16:46:13.987818,231753,1
2025-06-12T16:46:15.017223,124507,1
2025-06-12T16:46:16.065605,47625,1
2025-06-12T16:46:17.094288,47625,1
2025-06-12T16:46:18.137790,13653,1
2025-06-12T16:46:19.170703,13653,1
2025-06-12T16:46:20.200177,1897,1
2025-06-12T16:46:21.229939,1897,1
2025-06-12T16:46:22.260758,2036,1
2025-06-12T16:46:23.296361,2036,1
2025-06-12T16:46:24.325316,2018,1
2025-06-12T16:46:25.365367,2018,1
2025-06-12T16:46:26.407202,1994,1
2025-06-12T16:46:27.436879,1994,1
2025-06-12T16:46:28.481404,1929,1
2025-06-12T16:46:29.518631,1929,1
2025-06-12T16:46:30.547447,1921,1
2025-06-12T16:46:31.576012,1921,1
2025-06-12T16:46:32.632819,1934,1
2025-06-12T16:46:33.677344,1934,1
2025-06-12T16:46:34.707388,1967,1
2025-06-12T16:46:35.765029,1967,1
2025-06-12T16:46:36.794078,2877,1
2025-06-12T16:46:37.822772,50737,1
2025-06-12T16:46:38.851789,50737,1
2025-06-12T16:46:39.885441,12209,1
2025-06-12T16:46:40.914863,12209,1
2025-06-12T16:46:41.951553,1974,1
2025-06-12T16:46:42.996536,1974,1
2025-06-12T16:46:44.025030,1949,1
2025-06-12T16:46:45.068857,1949,1
2025-06-12T16:46:46.098593,1943,1
2025-06-12T16:46:47.127366,1943,1
2025-06-12T16:46:48.156323,2042,1
2025-06-12T16:46:49.187480,2042,1
2025-06-12T16:46:50.216592,2042,1
2025-06-12T16:46:51.251597,1893,1
2025-06-12T16:46:52.295876,1893,1
2025-06-12T16:46:53.338627,1936,1
2025-06-12T16:47:00.997834,56535,0
2025-06-12T16:47:02.042830,11431,0
2025-06-12T16:47:03.072075,11431,0
2025-06-12T16:47:04.116431,1854,0
2025-06-12T16:47:05.145226,1854,0
2025-06-12T16:47:06.173740,1854,0
2025-06-12T16:47:07.203015,1731,0
2025-06-12T16:47:08.234529,1731,0
2025-06-12T16:47:09.263610,1731,0
2025-06-12T16:47:10.305629,1789,0
2025-06-12T16:47:11.334257,1789,0
2025-06-12T16:47:12.362789,1713,0
2025-06-12T16:47:13.391785,1713,0
2025-06-12T16:47:14.433102,1713,0
2025-06-12T16:47:15.461722,1781,0
2025-06-12T16:47:16.506533,1781,0
2025-06-12T16:47:17.536167,1781,0
2025-06-12T16:47:18.564840,1716,0
2025-06-12T16:47:19.593894,1716,0
2025-06-12T16:47:20.623857,1675,0
2025-06-12T16:47:21.652625,1675,0
2025-06-12T16:47:22.702791,58237,0
2025-06-12T16:47:23.750812,19930,0
2025-06-12T16:47:24.780851,19930,0
2025-06-12T16:47:25.824254,1829,0
2025-06-12T16:47:26.852889,1829,0
2025-06-12T16:47:27.888836,1829,0
2025-06-12T16:47:28.921389,1736,0
2025-06-12T16:47:29.950136,1736,0
2025-06-12T16:47:30.985227,1695,0
2025-06-12T16:47:32.028049,1695,0
2025-06-12T16:47:33.069511,1695,0
2025-06-12T16:47:34.098501,1662,0
