timestamp,power_mW,under_attack
2025-06-12T18:13:42.183085,1787,1
2025-06-12T18:13:43.213888,1787,1
2025-06-12T18:13:44.265954,1729,1
2025-06-12T18:13:45.294898,1729,1
2025-06-12T18:13:46.339626,1729,1
2025-06-12T18:13:47.375349,1863,1
2025-06-12T18:13:48.404052,1863,1
2025-06-12T18:13:49.432606,1863,1
2025-06-12T18:13:50.460312,1908,1
2025-06-12T18:13:51.489125,1908,1
2025-06-12T18:13:52.530670,1908,1
2025-06-12T18:13:53.559917,1842,1
2025-06-12T18:13:54.588966,1842,1
2025-06-12T18:13:55.632342,19770,1
2025-06-12T18:13:56.662291,40839,1
2025-06-12T18:13:57.708678,40839,1
2025-06-12T18:13:58.737044,2473,1
2025-06-12T18:13:59.765851,2473,1
2025-06-12T18:14:00.811980,2473,1
2025-06-12T18:14:01.841374,1841,1
2025-06-12T18:14:02.870235,1841,1
2025-06-12T18:14:03.900627,1841,1
2025-06-12T18:14:04.929706,1800,1
2025-06-12T18:14:05.974764,1800,1
2025-06-12T18:14:07.004659,1807,1
2025-06-12T18:14:08.049244,1807,1
2025-06-12T18:14:09.079029,1784,1
2025-06-12T18:14:10.109159,1784,1
2025-06-12T18:14:11.139611,1707,1
2025-06-12T18:14:12.175657,1707,1
2025-06-12T18:14:13.210177,1707,1
2025-06-12T18:14:14.238688,1842,1
2025-06-12T18:14:15.293007,1842,1
2025-06-12T18:14:16.321306,1842,1
2025-06-12T18:14:17.349520,2019,1
2025-06-12T18:14:18.391077,40279,1
2025-06-12T18:14:19.426393,40279,1
2025-06-12T18:14:20.454180,4049,1
2025-06-12T18:14:21.483215,4049,1
2025-06-12T18:14:22.516724,4049,1
2025-06-12T18:14:23.548610,1774,1
2025-06-12T18:14:24.587791,1774,1
2025-06-12T18:14:25.619788,1774,1
2025-06-12T18:14:26.661107,1849,1
2025-06-12T18:14:27.689801,1849,1
2025-06-12T18:14:28.732465,1849,1
2025-06-12T18:14:29.784729,1702,1
2025-06-12T18:14:30.812766,1702,1
2025-06-12T18:14:31.848929,1834,1
2025-06-12T18:14:32.882389,1834,1
2025-06-12T18:14:33.911135,1834,1
2025-06-12T18:14:34.957323,1653,1
2025-06-12T18:14:36.003710,1653,1
