timestamp,power_mW,under_attack
2025-06-12T17:29:26.796918,1741,1
2025-06-12T17:29:27.834923,1603,1
2025-06-12T17:29:28.863331,1603,1
2025-06-12T17:29:29.893227,124349,1
2025-06-12T17:29:30.922766,61563,1
2025-06-12T17:29:31.955033,58755,1
2025-06-12T17:29:32.983930,58755,1
2025-06-12T17:29:34.030021,26300,1
2025-06-12T17:29:35.058834,26300,1
2025-06-12T17:29:36.103645,1814,1
2025-06-12T17:29:37.132022,1814,1
2025-06-12T17:29:38.179304,1835,1
2025-06-12T17:29:39.211114,1835,1
2025-06-12T17:29:40.239893,1835,1
2025-06-12T17:29:41.273608,1846,1
2025-06-12T17:29:42.302843,121234,1
2025-06-12T17:29:43.332790,121234,1
2025-06-12T17:29:44.363965,121234,1
2025-06-12T17:29:45.395740,1851,1
2025-06-12T17:29:46.425533,1851,1
2025-06-12T17:29:47.469379,1948,1
2025-06-12T17:29:48.498148,1948,1
2025-06-12T17:29:49.543770,1822,1
2025-06-12T17:29:50.572682,1822,1
2025-06-12T17:29:51.600505,1822,1
2025-06-12T17:29:52.631021,1821,1
2025-06-12T17:29:53.663920,61681,1
2025-06-12T17:29:54.695212,61681,1
2025-06-12T17:29:55.724129,30857,1
2025-06-12T17:29:56.752731,30857,1
2025-06-12T17:29:57.809842,30857,1
2025-06-12T17:29:58.861063,1731,1
2025-06-12T17:29:59.890284,1731,1
2025-06-12T17:30:00.920698,1731,1
2025-06-12T17:30:01.958400,1909,1
2025-06-12T17:30:02.989881,1909,1
2025-06-12T17:30:04.030758,1909,1
2025-06-12T17:30:05.059630,1880,1
2025-06-12T17:30:06.088183,1880,1
2025-06-12T17:30:07.185666,1893,1
2025-06-12T17:30:08.214173,1893,1
2025-06-12T17:30:09.242724,1893,1
2025-06-12T17:30:10.271461,1921,1
2025-06-12T17:30:11.303163,1921,1
2025-06-12T17:30:12.332126,1861,1
2025-06-12T17:30:13.374513,1861,1
2025-06-12T17:30:14.403809,2029,1
2025-06-12T17:30:15.431893,59446,1
2025-06-12T17:30:16.473843,59446,1
2025-06-12T17:30:17.502051,25468,1
2025-06-12T17:30:18.531740,25468,1
2025-06-12T17:30:19.571202,1946,1
2025-06-12T17:30:20.599721,1946,1
2025-06-12T17:30:21.629226,1951,1
2025-06-12T17:30:22.658147,1951,1
2025-06-12T17:30:23.692990,1870,1
2025-06-12T17:30:24.721003,1870,1
2025-06-12T17:30:25.767291,1870,1
2025-06-12T17:30:27.778783,48015,0
2025-06-12T17:30:28.812738,105210,0
2025-06-12T17:30:29.842791,105210,0
2025-06-12T17:30:30.885054,2699,0
2025-06-12T17:30:31.916339,2699,0
2025-06-12T17:30:32.982272,2699,0
2025-06-12T17:30:34.011271,145805,0
2025-06-12T17:30:35.041670,161848,0
2025-06-12T17:30:36.073090,608116,0
2025-06-12T17:30:37.107844,431422,0
2025-06-12T17:30:38.136838,54792,0
2025-06-12T17:30:39.179481,54792,0
2025-06-12T17:30:40.209131,25732,0
2025-06-12T17:30:41.254261,25732,0
2025-06-12T17:30:42.299225,1665,0
2025-06-12T17:30:43.328828,1665,0
2025-06-12T17:30:44.358294,1613,0
2025-06-12T17:30:45.401055,1613,0
2025-06-12T17:30:46.433108,1706,0
2025-06-12T17:30:47.478093,1706,0
2025-06-12T17:30:48.506671,1706,0
2025-06-12T17:30:49.550476,1711,0
2025-06-12T17:30:50.579175,1711,0
2025-06-12T17:30:51.608439,1711,0
2025-06-12T17:30:52.637512,1655,0
2025-06-12T17:30:53.671508,1655,0
2025-06-12T17:30:54.704050,1645,0
2025-06-12T17:30:55.734078,1645,0
2025-06-12T17:30:56.767833,1645,0
2025-06-12T17:30:57.818636,1722,0
2025-06-12T17:30:58.848445,1722,0
2025-06-12T17:30:59.891452,16608,0
2025-06-12T17:31:00.920695,16608,0
2025-06-12T17:31:01.949134,23292,0
2025-06-12T17:31:02.978308,23292,0
2025-06-12T17:31:04.013181,1623,0
2025-06-12T17:31:05.044128,1623,0
2025-06-12T17:31:06.075092,1623,0
2025-06-12T17:31:07.116289,1638,0
2025-06-12T17:31:08.159278,1638,0
2025-06-12T17:31:09.188860,1803,0
2025-06-12T17:31:10.242584,1803,0
2025-06-12T17:31:11.271793,1803,0
2025-06-12T17:31:12.308064,1700,0
2025-06-12T17:31:13.338270,1700,0
2025-06-12T17:31:14.367819,1690,0
2025-06-12T17:31:15.402191,1690,0
2025-06-12T17:31:16.432804,1725,0
2025-06-12T17:31:17.477030,1725,0
2025-06-12T17:31:18.507089,1725,0
2025-06-12T17:31:19.553846,1649,0
2025-06-12T17:31:20.584283,1649,0
2025-06-12T17:31:21.613632,57266,0
2025-06-12T17:31:22.649997,57266,0
2025-06-12T17:31:23.678897,33667,0
2025-06-12T17:31:24.707836,33667,0
2025-06-12T17:31:25.736332,33667,0
2025-06-12T17:31:26.771355,1700,0
2025-06-12T17:31:27.819341,1700,0
2025-06-12T17:31:28.849125,1700,0
2025-06-12T17:31:29.895225,1647,0
2025-06-12T17:31:30.944411,1647,0
2025-06-12T17:31:31.974117,1649,0
2025-06-12T17:31:33.003339,1649,0
2025-06-12T17:31:34.043718,1649,0
2025-06-12T17:31:35.073663,1670,0
2025-06-12T17:31:36.115817,1670,0
2025-06-12T17:31:37.144414,1747,0
2025-06-12T17:31:38.186974,1747,0
2025-06-12T17:31:39.214429,1747,0
2025-06-12T17:31:40.246264,1715,0
2025-06-12T17:31:41.274673,1715,0
2025-06-12T17:31:42.305210,1768,0
2025-06-12T17:31:43.334138,59232,0
2025-06-12T17:31:44.362819,59232,0
2025-06-12T17:31:45.391750,24759,0
2025-06-12T17:31:46.419846,24759,0
2025-06-12T17:31:47.458023,24759,0
2025-06-12T17:31:48.486491,1758,0
2025-06-12T17:31:49.528128,1758,0
2025-06-12T17:31:50.556556,1697,0
2025-06-12T17:31:51.585075,1697,0
2025-06-12T17:31:52.630051,1697,0
2025-06-12T17:31:53.659102,1714,0
2025-06-12T17:31:54.688361,1714,0
2025-06-12T17:31:55.717467,1714,0
2025-06-12T17:31:56.747815,1624,0
2025-06-12T17:31:57.776807,1624,0
2025-06-12T17:31:58.806457,1843,0
2025-06-12T17:31:59.835556,1843,0
2025-06-12T17:32:00.871424,1843,0
2025-06-12T17:32:01.918534,1645,0
2025-06-12T17:32:02.972147,1645,0
2025-06-12T17:32:04.002214,1645,0
2025-06-12T17:32:05.035250,1756,0
2025-06-12T17:32:06.069626,57502,0
2025-06-12T17:32:07.098405,57502,0
2025-06-12T17:32:08.126682,25681,0
2025-06-12T17:32:09.155167,25681,0
2025-06-12T17:32:10.189356,1670,0
2025-06-12T17:32:11.218619,1670,0
2025-06-12T17:32:12.260906,1670,0
2025-06-12T17:32:13.290844,1706,0
2025-06-12T17:32:14.334596,1706,0
2025-06-12T17:32:15.363052,45383,0
2025-06-12T17:32:16.390638,45383,0
2025-06-12T17:32:17.418544,1707,0
2025-06-12T17:32:18.448635,1707,0
2025-06-12T17:32:19.481710,1707,0
2025-06-12T17:32:20.519667,98715,0
2025-06-12T17:32:21.549855,98715,0
2025-06-12T17:32:22.584649,98715,0
2025-06-12T17:32:23.627320,1723,0
2025-06-12T17:32:24.656225,1723,0
2025-06-12T17:32:25.706398,1723,0
2025-06-12T17:32:26.735357,1698,0
2025-06-12T17:32:27.763809,55058,0
2025-06-12T17:32:28.794347,42842,0
2025-06-12T17:32:29.822501,42842,0
2025-06-12T17:32:30.851204,16986,0
2025-06-12T17:32:31.898809,16986,0
2025-06-12T17:32:32.928407,1611,0
2025-06-12T17:32:33.969798,1611,0
2025-06-12T17:32:34.997792,86584,0
2025-06-12T17:32:36.026442,86584,0
2025-06-12T17:32:37.066834,134165,0
2025-06-12T17:32:38.099742,134165,0
2025-06-12T17:32:39.127484,134165,0
2025-06-12T17:32:40.156908,1681,0
2025-06-12T17:32:41.191117,1681,0
2025-06-12T17:32:42.220841,1681,0
2025-06-12T17:32:43.249258,1722,0
2025-06-12T17:32:44.278038,1722,0
2025-06-12T17:32:45.312590,1617,0
2025-06-12T17:32:46.369024,1617,0
2025-06-12T17:32:47.439516,1650,0
2025-06-12T17:32:48.468628,1650,0
2025-06-12T17:32:49.496996,15110,0
2025-06-12T17:32:50.526759,15110,0
2025-06-12T17:32:51.558968,28494,0
2025-06-12T17:32:52.587619,28494,0
2025-06-12T17:32:53.630469,1673,0
2025-06-12T17:32:54.659994,1673,0
2025-06-12T17:32:55.858997,1673,0
2025-06-12T17:32:56.887842,1735,0
2025-06-12T17:32:57.931292,1735,0
2025-06-12T17:32:58.959801,1735,0
2025-06-12T17:32:59.988923,1691,0
2025-06-12T17:33:01.028732,1691,0
2025-06-12T17:33:02.058555,1743,0
2025-06-12T17:33:03.087347,1743,0
2025-06-12T17:33:04.128856,1783,0
2025-06-12T17:33:05.158345,1783,0
2025-06-12T17:33:06.187117,1783,0
2025-06-12T17:33:07.215822,1698,0
2025-06-12T17:33:08.250000,1698,0
2025-06-12T17:33:09.297693,1765,0
2025-06-12T17:33:10.351322,1963,0
2025-06-12T17:33:11.379991,58009,0
2025-06-12T17:33:12.408870,58009,0
2025-06-12T17:33:13.437503,19807,0
2025-06-12T17:33:14.474224,19807,0
2025-06-12T17:33:15.503049,1711,0
2025-06-12T17:33:16.545481,1711,0
2025-06-12T17:33:17.574178,1711,0
2025-06-12T17:33:18.616102,1656,0
2025-06-12T17:33:19.645380,83677,0
2025-06-12T17:33:20.689841,83677,0
2025-06-12T17:33:21.718930,83677,0
2025-06-12T17:33:22.747724,88282,0
2025-06-12T17:33:23.776515,88282,0
2025-06-12T17:33:24.805951,59882,0
2025-06-12T17:33:25.848029,59882,0
2025-06-12T17:33:26.877284,170699,0
2025-06-12T17:33:27.913061,170699,1
2025-06-12T17:33:28.958507,170699,1
2025-06-12T17:33:29.987699,98364,1
2025-06-12T17:33:31.032800,714571,1
2025-06-12T17:33:32.061277,714571,1
2025-06-12T17:33:33.090240,213830,1
2025-06-12T17:33:34.118849,59423,1
2025-06-12T17:33:35.157099,33934,1
2025-06-12T17:33:36.185738,33934,1
2025-06-12T17:33:37.220722,121870,1
2025-06-12T17:33:38.260657,121870,1
2025-06-12T17:33:39.300831,1904,1
2025-06-12T17:33:40.331951,1904,1
2025-06-12T17:33:41.374156,1709,1
2025-06-12T17:33:42.402838,1709,1
2025-06-12T17:33:43.431676,1709,1
2025-06-12T17:33:44.465441,1802,1
2025-06-12T17:33:45.496006,1802,1
2025-06-12T17:33:46.524734,1802,1
2025-06-12T17:33:47.572368,1760,1
2025-06-12T17:33:48.600999,1760,1
2025-06-12T17:33:49.643337,1760,1
2025-06-12T17:33:50.671833,1769,1
2025-06-12T17:33:51.699390,1769,1
2025-06-12T17:33:52.741825,1769,1
2025-06-12T17:33:53.773448,1799,1
2025-06-12T17:33:54.803343,7664,1
2025-06-12T17:33:55.843876,59407,1
2025-06-12T17:33:56.876861,59407,1
2025-06-12T17:33:57.905590,24325,1
2025-06-12T17:33:58.938327,24325,1
2025-06-12T17:33:59.985659,1708,1
2025-06-12T17:34:01.014350,1708,1
2025-06-12T17:34:02.044338,1700,1
2025-06-12T17:34:03.082532,1700,1
2025-06-12T17:34:04.111470,1700,1
2025-06-12T17:34:05.140255,1710,1
2025-06-12T17:34:06.168680,1710,1
2025-06-12T17:34:07.203861,1733,1
2025-06-12T17:34:08.232587,1733,1
2025-06-12T17:34:09.261063,1733,1
2025-06-12T17:34:10.289761,1742,1
2025-06-12T17:34:11.319947,1742,1
2025-06-12T17:34:12.353323,1826,1
2025-06-12T17:34:13.400108,1826,1
2025-06-12T17:34:14.430045,1760,1
2025-06-12T17:34:15.460126,1760,1
2025-06-12T17:34:16.497025,1984,1
2025-06-12T17:34:17.526145,60808,1
2025-06-12T17:34:18.556369,60808,1
2025-06-12T17:34:19.597543,27841,1
2025-06-12T17:34:20.626736,27841,1
2025-06-12T17:34:21.656042,27841,1
2025-06-12T17:34:22.684997,1681,1
2025-06-12T17:34:23.742486,1681,1
2025-06-12T17:34:24.771306,1773,1
2025-06-12T17:34:25.815821,1773,1
2025-06-12T17:34:26.844672,1773,1
2025-06-12T17:34:28.479275,1696,0
2025-06-12T17:34:29.509241,1696,0
2025-06-12T17:34:30.539734,1696,0
2025-06-12T17:34:31.570087,1696,0
2025-06-12T17:34:32.610284,1698,0
2025-06-12T17:34:33.640886,1698,0
2025-06-12T17:34:34.677539,1698,0
2025-06-12T17:34:35.723220,1690,0
2025-06-12T17:34:36.753694,1690,0
2025-06-12T17:34:37.798531,1676,0
2025-06-12T17:34:38.826837,1676,0
2025-06-12T17:34:39.855546,31764,0
2025-06-12T17:34:40.884117,31764,0
2025-06-12T17:34:41.922187,21550,0
2025-06-12T17:34:42.950869,21550,0
2025-06-12T17:34:43.980183,1703,0
2025-06-12T17:34:45.021495,1703,0
2025-06-12T17:34:46.065669,1703,0
2025-06-12T17:34:47.097337,1676,0
2025-06-12T17:34:48.138929,1676,0
2025-06-12T17:34:49.167610,1707,0
2025-06-12T17:34:50.195993,1707,0
2025-06-12T17:34:51.229614,1848,0
2025-06-12T17:34:52.264686,1848,0
2025-06-12T17:34:53.293747,1848,0
2025-06-12T17:34:54.337993,1726,0
2025-06-12T17:34:55.366380,1722,0
2025-06-12T17:34:56.408053,1722,0
2025-06-12T17:34:57.436972,1722,0
2025-06-12T17:34:58.466335,1698,0
2025-06-12T17:34:59.505694,1698,0
2025-06-12T17:35:00.538720,2712,0
2025-06-12T17:35:01.567330,61848,0
2025-06-12T17:35:02.595546,61848,0
2025-06-12T17:35:03.631042,22873,0
2025-06-12T17:35:04.660096,22873,0
2025-06-12T17:35:05.689012,1694,0
2025-06-12T17:35:06.718076,1694,0
2025-06-12T17:35:07.757862,1694,0
2025-06-12T17:35:08.800112,1635,0
2025-06-12T17:35:09.828899,1635,0
2025-06-12T17:35:10.873710,1731,0
2025-06-12T17:35:11.902952,1731,0
2025-06-12T17:35:12.950157,1731,0
2025-06-12T17:35:13.978903,1650,0
2025-06-12T17:35:15.007601,1650,0
2025-06-12T17:35:16.036102,1650,0
2025-06-12T17:35:17.069868,1603,0
2025-06-12T17:35:18.098163,1603,0
2025-06-12T17:35:19.144820,1619,0
2025-06-12T17:35:20.175149,1619,0
2025-06-12T17:35:21.213998,1619,0
2025-06-12T17:35:22.242118,1694,0
2025-06-12T17:35:23.270408,1694,0
2025-06-12T17:35:24.300029,16873,0
2025-06-12T17:35:25.327495,16873,0
2025-06-12T17:35:26.363106,17718,0
2025-06-12T17:35:27.393070,17718,0
2025-06-12T17:35:28.422110,1627,0
2025-06-12T17:35:29.464521,1627,0
2025-06-12T17:35:30.514362,1627,0
2025-06-12T17:35:31.558925,2071,0
2025-06-12T17:35:32.588150,2071,0
2025-06-12T17:35:33.617247,55400,0
2025-06-12T17:35:34.647955,55400,0
2025-06-12T17:35:35.681824,197221,0
2025-06-12T17:35:36.711650,197221,0
2025-06-12T17:35:37.741194,1347,0
2025-06-12T17:35:38.779282,1347,0
2025-06-12T17:35:39.809795,420480,0
2025-06-12T17:35:40.849556,420480,0
2025-06-12T17:35:41.879798,489707,0
2025-06-12T17:35:42.923071,489707,0
2025-06-12T17:35:43.952907,85068,0
2025-06-12T17:35:44.981610,509962,0
2025-06-12T17:35:46.010152,59253,0
2025-06-12T17:35:47.038725,59253,0
2025-06-12T17:35:48.082535,17669,0
2025-06-12T17:35:49.111768,17669,0
2025-06-12T17:35:50.145326,17669,0
2025-06-12T17:35:51.191984,1737,0
2025-06-12T17:35:52.220396,1737,0
