timestamp,power_mW,under_attack
2025-06-12T16:01:46.524767,1966,1
2025-06-12T16:01:47.569880,1966,1
2025-06-12T16:01:48.598832,1859,1
2025-06-12T16:01:49.627439,1859,1
2025-06-12T16:01:50.657262,1934,1
2025-06-12T16:01:51.688981,1934,1
2025-06-12T16:01:52.719544,1934,1
2025-06-12T16:01:53.749217,1934,1
2025-06-12T16:01:54.792131,45922,1
2025-06-12T16:01:55.821109,45922,1
2025-06-12T16:01:56.865308,3172,1
2025-06-12T16:01:57.895640,3172,1
2025-06-12T16:01:58.924661,3172,1
2025-06-12T16:01:59.953109,1989,1
2025-06-12T16:02:00.988295,1989,1
2025-06-12T16:02:02.017196,1962,1
2025-06-12T16:02:03.046705,1962,1
2025-06-12T16:02:04.093694,1848,1
2025-06-12T16:02:05.134736,1848,1
2025-06-12T16:02:06.166464,1899,1
2025-06-12T16:02:07.207470,1899,1
2025-06-12T16:02:08.238355,2394,1
2025-06-12T16:02:09.267665,2394,1
2025-06-12T16:02:10.307045,2394,1
2025-06-12T16:02:11.336164,50710,1
2025-06-12T16:02:12.366077,50710,1
2025-06-12T16:02:13.410269,1955,1
2025-06-12T16:02:14.452948,1955,1
2025-06-12T16:02:15.481826,5998,1
2025-06-12T16:02:16.526234,45080,1
2025-06-12T16:02:17.576539,45080,1
2025-06-12T16:02:18.613304,2778,1
2025-06-12T16:02:19.642696,2778,1
2025-06-12T16:02:20.675452,2778,1
2025-06-12T16:02:21.723502,70264,1
2025-06-12T16:02:22.752455,70264,1
2025-06-12T16:02:23.797860,107336,1
2025-06-12T16:02:24.826380,107336,1
2025-06-12T16:02:25.855545,74716,1
2025-06-12T16:02:26.885488,74716,1
2025-06-12T16:02:27.922849,74716,1
2025-06-12T16:02:28.951782,1971,1
2025-06-12T16:02:29.981367,1971,1
2025-06-12T16:02:31.024330,1954,1
2025-06-12T16:02:32.065661,1962,1
2025-06-12T16:02:33.094363,1962,1
2025-06-12T16:02:34.141293,1962,1
2025-06-12T16:02:35.171551,1981,1
2025-06-12T16:02:36.200691,1981,1
2025-06-12T16:02:37.236526,16796,1
2025-06-12T16:02:38.265702,42896,1
2025-06-12T16:02:39.294071,42896,1
2025-06-12T16:02:40.332710,2617,1
2025-06-12T16:02:41.362309,2617,1
2025-06-12T16:02:42.391866,1924,1
2025-06-12T16:02:43.432061,1924,1
2025-06-12T16:02:44.461124,1999,1
2025-06-12T16:02:45.505894,1999,1
2025-06-12T16:02:47.122652,1962,0
2025-06-12T16:02:48.153452,1871,0
2025-06-12T16:02:49.192250,1871,0
2025-06-12T16:02:50.221093,1871,0
2025-06-12T16:02:51.249549,1737,0
2025-06-12T16:02:52.281395,1737,0
2025-06-12T16:02:53.314055,1656,0
2025-06-12T16:02:54.350611,1656,0
2025-06-12T16:02:55.379469,1656,0
2025-06-12T16:02:56.411249,1752,0
2025-06-12T16:02:57.460939,1752,0
2025-06-12T16:02:58.489841,1752,0
2025-06-12T16:02:59.534127,2064,0
2025-06-12T16:03:00.565125,43174,0
2025-06-12T16:03:01.594035,43174,0
2025-06-12T16:03:02.621852,2638,0
2025-06-12T16:03:03.661144,2638,0
2025-06-12T16:03:04.690260,2638,0
2025-06-12T16:03:05.718960,1836,0
2025-06-12T16:03:06.762204,1836,0
2025-06-12T16:03:07.804839,1836,0
2025-06-12T16:03:08.833549,1756,0
2025-06-12T16:03:09.880336,1756,0
2025-06-12T16:03:10.909877,1756,0
2025-06-12T16:03:11.938797,44761,0
2025-06-12T16:03:12.974279,44761,0
2025-06-12T16:03:14.004327,431057,0
2025-06-12T16:03:15.032814,431057,0
2025-06-12T16:03:16.070880,817127,0
2025-06-12T16:03:17.100060,715018,0
2025-06-12T16:03:18.130109,601246,0
2025-06-12T16:03:19.176240,829856,0
2025-06-12T16:03:20.218807,624400,0
2025-06-12T16:03:21.247520,58563,0
2025-06-12T16:03:22.278195,43981,0
2025-06-12T16:03:23.306842,43981,0
2025-06-12T16:03:24.341334,183438,0
2025-06-12T16:03:25.389100,183438,0
2025-06-12T16:03:26.419243,183438,0
2025-06-12T16:03:27.448209,1724,0
2025-06-12T16:03:28.487932,1724,0
2025-06-12T16:03:29.516491,1781,0
2025-06-12T16:03:30.545463,1781,0
2025-06-12T16:03:31.585142,1780,0
2025-06-12T16:03:32.614680,1780,0
2025-06-12T16:03:33.643461,1780,0
2025-06-12T16:03:34.673359,1668,0
2025-06-12T16:03:35.702502,1668,0
2025-06-12T16:03:36.732391,1729,0
2025-06-12T16:03:37.761035,1729,0
2025-06-12T16:03:38.803808,1729,0
2025-06-12T16:03:39.833298,1761,0
2025-06-12T16:03:40.862213,1761,0
2025-06-12T16:03:41.902365,1761,0
2025-06-12T16:03:42.931307,1651,0
2025-06-12T16:03:43.976090,57952,0
2025-06-12T16:03:45.004536,44534,0
2025-06-12T16:03:46.033864,44534,0
2025-06-12T16:03:47.062507,2186,0
2025-06-12T16:03:48.101034,1734,0
2025-06-12T16:03:49.130176,1734,0
2025-06-12T16:03:50.160233,1734,0
2025-06-12T16:03:51.203447,1679,0
2025-06-12T16:03:52.244849,1679,0
2025-06-12T16:03:53.273532,1679,0
2025-06-12T16:03:54.319058,1746,0
2025-06-12T16:03:55.347782,1746,0
2025-06-12T16:03:56.376288,1746,0
2025-06-12T16:03:57.410282,1718,0
2025-06-12T16:03:58.440750,1718,0
2025-06-12T16:03:59.469406,1717,0
