timestamp,power_mW,under_attack
2025-06-16T12:36:25.332486,1078,1
2025-06-16T12:36:26.379684,1078,1
2025-06-16T12:36:27.428808,976,1
2025-06-16T12:36:28.469541,976,1
2025-06-16T12:36:29.498672,1159,1
2025-06-16T12:36:30.527064,1159,1
2025-06-16T12:36:31.555718,1223,1
2025-06-16T12:36:32.596841,1223,1
2025-06-16T12:36:33.626862,1179,1
2025-06-16T12:36:34.674199,1179,1
2025-06-16T12:36:35.723407,1306,1
2025-06-16T12:36:36.754006,1306,1
2025-06-16T12:36:37.782451,1287,1
2025-06-16T12:36:38.811411,1287,1
2025-06-16T12:36:39.839266,1287,1
2025-06-16T12:36:40.881773,1231,1
2025-06-16T12:36:41.910677,1231,1
2025-06-16T12:36:42.939461,1156,1
2025-06-16T12:36:43.968986,1156,1
2025-06-16T12:36:44.998670,1208,1
2025-06-16T12:36:46.040497,1208,1
2025-06-16T12:36:47.073767,1246,1
2025-06-16T12:36:48.114555,1246,1
2025-06-16T12:36:49.143274,1246,1
2025-06-16T12:36:50.171507,1204,1
2025-06-16T12:36:51.200508,1204,1
2025-06-16T12:36:52.229382,1240,1
2025-06-16T12:36:53.258049,1240,1
2025-06-16T12:36:54.293055,1203,1
2025-06-16T12:36:55.321560,1203,1
2025-06-16T12:36:56.350161,1182,1
2025-06-16T12:36:57.379156,1182,1
2025-06-16T12:36:58.408148,1182,1
2025-06-16T12:36:59.436766,1249,1
2025-06-16T12:37:00.478863,1249,1
2025-06-16T12:37:01.528451,1149,1
2025-06-16T12:37:02.558068,1149,1
2025-06-16T12:37:03.586662,1299,1
2025-06-16T12:37:04.616357,1188,1
2025-06-16T12:37:05.645736,1188,1
2025-06-16T12:37:06.674860,1188,1
2025-06-16T12:37:07.709783,1223,1
2025-06-16T12:37:08.738701,1223,1
2025-06-16T12:37:09.767060,1211,1
2025-06-16T12:37:10.821326,1211,1
2025-06-16T12:37:11.871414,1219,1
2025-06-16T12:37:12.911660,1219,1
2025-06-16T12:37:13.940523,1219,1
2025-06-16T12:37:14.970354,1219,1
2025-06-16T12:37:16.015335,1219,1
2025-06-16T12:37:17.043817,1138,1
2025-06-16T12:37:18.072446,1138,1
2025-06-16T12:37:19.117078,1247,1
2025-06-16T12:37:20.167157,1247,1
2025-06-16T12:37:21.195139,1256,1
2025-06-16T12:37:22.223343,1256,1
2025-06-16T12:37:23.251881,1166,1
2025-06-16T12:37:24.280269,1166,1
2025-06-16T12:37:48.228969,1166,0
2025-06-16T12:37:49.259790,1122,0
2025-06-16T12:37:50.295345,1122,0
2025-06-16T12:37:51.329527,1191,0
2025-06-16T12:37:52.360994,1191,0
2025-06-16T12:37:53.389717,1278,0
2025-06-16T12:37:54.420285,1278,0
2025-06-16T12:37:55.449842,1085,0
2025-06-16T12:37:56.493011,1085,0
2025-06-16T12:37:57.543848,1085,0
2025-06-16T12:37:58.580473,1105,0
2025-06-16T12:37:59.609224,982,0
2025-06-16T12:38:00.637787,982,0
2025-06-16T12:38:01.666600,982,0
2025-06-16T12:38:02.694828,1140,0
2025-06-16T12:38:03.724398,1140,0
2025-06-16T12:38:04.759965,993,0
2025-06-16T12:38:05.789505,993,0
2025-06-16T12:38:06.817965,993,0
2025-06-16T12:38:07.857886,1130,0
2025-06-16T12:38:08.909658,1130,0
2025-06-16T12:38:09.937985,1130,0
2025-06-16T12:38:10.966846,1099,0
2025-06-16T12:38:11.994937,1099,0
2025-06-16T12:38:13.023412,990,0
2025-06-16T12:38:14.052265,990,0
2025-06-16T12:38:15.080782,990,0
2025-06-16T12:38:16.109319,1203,0
2025-06-16T12:38:17.138226,1203,0
2025-06-16T12:38:18.175761,1047,0
2025-06-16T12:38:19.204708,1047,0
2025-06-16T12:38:20.248452,1047,0
2025-06-16T12:38:21.281657,1033,0
2025-06-16T12:38:22.380775,1033,0
2025-06-16T12:38:23.423778,1033,0
2025-06-16T12:38:24.472669,1038,0
2025-06-16T12:38:25.501988,1038,0
2025-06-16T12:38:26.530057,1014,0
2025-06-16T12:38:27.558498,1014,0
2025-06-16T12:38:28.586477,1014,0
2025-06-16T12:38:29.616255,1061,0
2025-06-16T12:38:30.645957,1061,0
2025-06-16T12:38:31.687511,964,0
2025-06-16T12:38:32.716469,964,0
2025-06-16T12:38:33.765186,1114,0
2025-06-16T12:38:34.817420,1114,0
2025-06-16T12:38:35.845861,1114,0
2025-06-16T12:38:36.876242,1020,0
2025-06-16T12:38:37.906775,1020,0
2025-06-16T12:38:38.938133,1020,0
2025-06-16T12:38:39.966693,998,0
2025-06-16T12:38:41.004760,998,0
2025-06-16T12:38:42.033335,998,0
2025-06-16T12:38:43.068511,908,0
2025-06-16T12:38:44.108093,908,0
2025-06-16T12:38:45.141084,967,0
2025-06-16T12:38:46.181456,967,0
2025-06-16T12:38:47.209932,967,0
2025-06-16T12:38:48.239766,1011,0
2025-06-16T12:38:49.268544,1011,0
2025-06-16T12:38:50.304850,1011,0
2025-06-16T12:38:51.333367,959,0
2025-06-16T12:38:52.362694,959,0
2025-06-16T12:38:53.391157,959,0
2025-06-16T12:38:54.419751,1041,0
2025-06-16T12:38:55.449161,1041,0
2025-06-16T12:38:56.477603,1098,0
2025-06-16T12:38:57.522127,1098,0
2025-06-16T12:38:58.555329,1098,0
2025-06-16T12:38:59.595893,953,0
2025-06-16T12:39:00.625717,953,0
2025-06-16T12:39:01.654112,1039,0
2025-06-16T12:39:02.683957,1039,0
2025-06-16T12:39:03.718651,1039,0
2025-06-16T12:39:04.747942,956,0
2025-06-16T12:39:05.776207,956,0
2025-06-16T12:39:06.805456,995,0
2025-06-16T12:39:07.870211,995,0
2025-06-16T12:39:08.912846,995,0
2025-06-16T12:39:09.943493,994,0
2025-06-16T12:39:10.974014,994,0
2025-06-16T12:39:12.002492,994,0
2025-06-16T12:39:13.031061,968,0
2025-06-16T12:39:14.059167,968,0
2025-06-16T12:39:15.088000,968,0
2025-06-16T12:39:16.130378,983,0
2025-06-16T12:39:17.159932,983,0
2025-06-16T12:39:18.214739,1075,0
2025-06-16T12:39:19.255857,1075,0
2025-06-16T12:39:20.284912,1075,0
2025-06-16T12:39:21.314311,1170,0
2025-06-16T12:39:22.345397,1170,0
2025-06-16T12:39:23.384988,1170,0
2025-06-16T12:39:24.413955,1010,0
2025-06-16T12:39:25.442828,1010,0
2025-06-16T12:39:26.475144,1066,0
2025-06-16T12:39:27.503495,1066,0
2025-06-16T12:39:28.547812,1066,0
2025-06-16T12:39:29.582826,1002,0
2025-06-16T12:39:30.623606,1002,0
2025-06-16T12:39:31.653673,1129,0
2025-06-16T12:39:32.682261,1129,0
2025-06-16T12:39:33.710972,1140,0
2025-06-16T12:39:34.747187,1140,0
2025-06-16T12:39:35.775483,1140,0
2025-06-16T12:39:36.804367,1016,0
2025-06-16T12:39:37.832264,1016,0
2025-06-16T12:39:38.862833,1023,0
2025-06-16T12:39:39.901104,1023,0
2025-06-16T12:39:40.941323,1023,0
2025-06-16T12:39:41.990103,1029,0
2025-06-16T12:39:43.031124,1029,0
2025-06-16T12:39:44.059345,1029,0
2025-06-16T12:39:45.088231,1079,0
2025-06-16T12:39:46.117977,1079,0
2025-06-16T12:39:47.159216,1079,0
2025-06-16T12:39:48.211120,938,0
2025-06-16T12:39:49.260112,938,0
2025-06-16T12:39:50.322300,990,0
2025-06-16T12:39:51.366519,990,0
2025-06-16T12:39:52.408725,990,0
2025-06-16T12:39:53.462972,1028,0
2025-06-16T12:39:54.491279,1028,0
2025-06-16T12:39:55.519997,1028,0
2025-06-16T12:39:56.562954,1017,0
2025-06-16T12:39:57.591266,1017,0
2025-06-16T12:39:58.621205,1017,0
2025-06-16T12:39:59.649425,931,0
2025-06-16T12:40:00.703657,931,0
2025-06-16T12:40:01.754003,887,0
2025-06-16T12:40:02.783385,887,0
2025-06-16T12:40:03.812281,887,0
2025-06-16T12:40:04.842010,958,0
2025-06-16T12:40:05.877199,958,0
2025-06-16T12:40:06.905829,983,0
2025-06-16T12:40:07.935399,983,0
2025-06-16T12:40:08.964097,983,0
2025-06-16T12:40:09.992253,1046,0
2025-06-16T12:40:11.021119,1046,0
2025-06-16T12:40:12.049364,1046,0
2025-06-16T12:40:13.093842,1014,0
2025-06-16T12:40:14.142453,1014,0
2025-06-16T12:40:15.185264,1033,0
2025-06-16T12:40:16.213863,1033,0
2025-06-16T12:40:17.242383,1033,0
2025-06-16T12:40:18.271711,972,0
2025-06-16T12:40:19.300176,972,0
2025-06-16T12:40:20.328308,972,0
2025-06-16T12:40:21.357049,1003,0
2025-06-16T12:40:22.393543,1003,0
2025-06-16T12:40:23.422060,1003,0
2025-06-16T12:40:24.460757,883,0
2025-06-16T12:40:25.509616,883,0
2025-06-16T12:40:26.544357,1047,0
2025-06-16T12:40:27.572540,1047,0
2025-06-16T12:40:28.600926,1047,0
2025-06-16T12:40:29.630168,976,0
2025-06-16T12:40:30.661213,976,0
2025-06-16T12:40:31.699527,1052,0
2025-06-16T12:40:32.728255,1052,0
2025-06-16T12:40:33.756592,1052,0
2025-06-16T12:40:34.785600,1001,0
2025-06-16T12:40:35.828809,1001,0
2025-06-16T12:40:36.877353,1001,0
2025-06-16T12:40:37.909229,936,0
2025-06-16T12:40:38.937617,936,0
2025-06-16T12:40:39.966346,1054,0
2025-06-16T12:40:41.007979,1054,0
2025-06-16T12:40:42.036526,1054,0
2025-06-16T12:40:43.064634,1047,0
2025-06-16T12:40:44.093561,1047,0
2025-06-16T12:40:45.129967,1047,0
2025-06-16T12:40:46.169404,911,0
2025-06-16T12:40:47.219407,911,0
2025-06-16T12:40:48.247963,911,1
2025-06-16T12:40:49.276498,1082,1
2025-06-16T12:40:50.316417,1082,1
2025-06-16T12:40:51.345650,1232,1
2025-06-16T12:40:52.375448,1232,1
2025-06-16T12:40:53.439451,1299,1
2025-06-16T12:40:54.490290,1299,1
2025-06-16T12:40:55.521149,1299,1
2025-06-16T12:40:56.549680,1255,1
2025-06-16T12:40:57.578081,1255,1
2025-06-16T12:40:58.607450,1296,1
2025-06-16T12:40:59.637695,1296,1
2025-06-16T12:41:00.669751,1280,1
2025-06-16T12:41:01.697742,1205,1
2025-06-16T12:41:02.727460,1205,1
2025-06-16T12:41:03.755990,1250,1
2025-06-16T12:41:04.785336,1250,1
2025-06-16T12:41:05.830469,1197,1
2025-06-16T12:41:06.883188,1197,1
2025-06-16T12:41:07.911554,1197,1
2025-06-16T12:41:08.940374,1247,1
2025-06-16T12:41:09.969011,1247,1
2025-06-16T12:41:10.997523,1182,1
2025-06-16T12:41:12.043633,1182,1
2025-06-16T12:41:13.073356,1201,1
2025-06-16T12:41:14.102096,1201,1
2025-06-16T12:41:15.148991,1201,1
