timestamp,power_mW,under_attack
2025-11-26T13:03:13.000437,5012,1
2025-11-26T13:03:14.029898,9271,1
2025-11-26T13:03:15.059523,10098,1
2025-11-26T13:03:16.095110,10098,1
2025-11-26T13:03:17.123217,9989,1
2025-11-26T13:03:18.158709,9989,1
2025-11-26T13:03:19.210334,11999,1
2025-11-26T13:03:20.255247,11999,1
2025-11-26T13:03:21.283848,5033,1
2025-11-26T13:03:22.312081,5033,1
2025-11-26T13:03:23.342710,5000,1
2025-11-26T13:03:24.374058,5000,1
2025-11-26T13:03:25.405070,9349,1
2025-11-26T13:03:26.433508,9349,1
2025-11-26T13:03:27.464455,10089,1
2025-11-26T13:03:28.521619,10089,1
2025-11-26T13:03:29.551380,10780,1
2025-11-26T13:03:30.601858,10780,1
2025-11-26T13:03:31.629946,5143,1
2025-11-26T13:03:32.668193,5143,1
2025-11-26T13:03:33.718549,5622,1
2025-11-26T13:03:34.747633,5622,1
2025-11-26T13:03:35.792406,7991,1
2025-11-26T13:03:36.824828,7991,1
2025-11-26T13:03:37.869512,7431,1
2025-11-26T13:03:38.900171,7431,1
2025-11-26T13:03:39.929057,9880,1
2025-11-26T13:03:40.960783,9880,1
2025-11-26T13:03:41.990552,5122,1
2025-11-26T13:03:43.044940,5122,1
2025-11-26T13:03:44.089649,5459,1
2025-11-26T13:03:45.163217,8419,1
2025-11-26T13:03:46.191467,8419,1
2025-11-26T13:03:47.224502,8515,1
2025-11-26T13:03:48.266585,8515,1
2025-11-26T13:03:49.314329,9378,1
2025-11-26T13:03:50.369758,9479,1
2025-11-26T13:03:51.401668,9479,1
2025-11-26T13:03:52.429661,6768,1
2025-11-26T13:03:53.459342,6768,1
2025-11-26T13:03:54.489313,5165,1
2025-11-26T13:03:55.531166,8734,1
2025-11-26T13:03:56.560598,8734,1
2025-11-26T13:03:57.606464,10112,1
2025-11-26T13:03:58.669460,10112,1
2025-11-26T13:03:59.701794,8464,1
2025-11-26T13:04:00.747894,8464,1
2025-11-26T13:04:01.778635,9021,1
2025-11-26T13:04:02.865852,9021,1
2025-11-26T13:04:03.897401,5339,1
2025-11-26T13:04:04.928259,5339,1
2025-11-26T13:04:05.957388,5909,1
2025-11-26T13:04:07.000566,5909,1
2025-11-26T13:04:08.030451,4653,1
2025-11-26T13:04:09.077363,4653,1
2025-11-26T13:04:10.137180,5376,1
2025-11-26T13:04:11.168443,5376,1
2025-11-26T13:04:12.196616,10060,1
2025-11-26T13:04:13.372914,10060,0
2025-11-26T13:04:14.404197,9508,0
2025-11-26T13:04:15.454429,9508,0
2025-11-26T13:04:16.483835,6768,0
2025-11-26T13:04:17.516483,5142,0
2025-11-26T13:04:18.558689,5142,0
2025-11-26T13:04:19.635100,9221,0
2025-11-26T13:04:20.682215,9221,0
2025-11-26T13:04:21.725377,9626,0
2025-11-26T13:04:22.762488,9545,0
2025-11-26T13:04:23.795102,9545,0
2025-11-26T13:04:24.823684,10378,0
2025-11-26T13:04:25.880824,10378,0
2025-11-26T13:04:26.914639,5034,0
2025-11-26T13:04:27.948071,5034,0
2025-11-26T13:04:28.986444,4928,0
2025-11-26T13:04:30.018540,4928,0
2025-11-26T13:04:31.048011,9325,0
2025-11-26T13:04:32.077107,9591,0
2025-11-26T13:04:33.109716,9591,0
2025-11-26T13:04:34.138331,9085,0
2025-11-26T13:04:35.194544,9085,0
2025-11-26T13:04:36.239685,10599,0
2025-11-26T13:04:37.296559,10599,0
2025-11-26T13:04:38.329652,4923,0
2025-11-26T13:04:39.365377,4923,0
2025-11-26T13:04:40.406416,4842,0
2025-11-26T13:04:41.445602,4842,0
2025-11-26T13:04:42.485495,8657,0
2025-11-26T13:04:43.512779,8657,0
2025-11-26T13:04:44.541739,7631,0
2025-11-26T13:04:45.585141,7631,0
2025-11-26T13:04:46.618872,10468,0
2025-11-26T13:04:47.646736,10468,0
2025-11-26T13:04:48.701941,5514,0
2025-11-26T13:04:49.743177,5514,0
2025-11-26T13:04:50.778627,5302,0
2025-11-26T13:04:51.825702,5302,0
2025-11-26T13:04:52.855341,8366,0
2025-11-26T13:04:53.896309,8366,0
2025-11-26T13:04:54.927186,8182,0
2025-11-26T13:04:55.971599,8182,0
2025-11-26T13:04:57.035589,9478,0
2025-11-26T13:04:58.063542,9478,0
2025-11-26T13:04:59.105303,5155,0
2025-11-26T13:05:00.236527,5155,0
2025-11-26T13:05:01.269112,5144,0
2025-11-26T13:05:02.299368,5144,0
2025-11-26T13:05:03.327613,8136,0
2025-11-26T13:05:04.377749,8136,0
2025-11-26T13:05:05.425563,8665,0
2025-11-26T13:05:06.459700,8665,0
2025-11-26T13:05:07.492772,8671,0
