timestamp,power_mW,under_attack
2025-11-25T22:48:11.971851,1445,1
2025-11-25T22:48:13.000521,1408,1
2025-11-25T22:48:14.114112,1408,1
2025-11-25T22:48:15.143790,1409,1
2025-11-25T22:48:16.177027,1409,1
2025-11-25T22:48:17.209762,1476,1
2025-11-25T22:48:18.256483,1434,1
2025-11-25T22:48:19.284879,1434,1
2025-11-25T22:48:20.367229,1337,1
2025-11-25T22:48:21.396516,1337,1
2025-11-25T22:48:22.433824,1387,1
2025-11-25T22:48:23.491710,1387,1
2025-11-25T22:48:24.537434,1442,1
2025-11-25T22:48:25.579030,1442,1
2025-11-25T22:48:26.607515,1424,1
2025-11-25T22:48:27.647716,1424,1
2025-11-25T22:48:28.677552,1351,1
2025-11-25T22:48:29.705360,1351,1
2025-11-25T22:48:30.748215,1408,1
2025-11-25T22:48:31.826221,1408,1
2025-11-25T22:48:32.853342,1490,1
2025-11-25T22:48:33.882821,1490,1
2025-11-25T22:48:34.912804,1463,1
2025-11-25T22:48:35.944489,1463,1
2025-11-25T22:48:36.997894,1416,1
2025-11-25T22:48:38.027022,1416,1
2025-11-25T22:48:39.060821,1463,1
2025-11-25T22:48:40.226801,1463,1
2025-11-25T22:48:41.255258,1330,1
2025-11-25T22:48:42.287015,1410,1
2025-11-25T22:48:43.347392,1410,1
2025-11-25T22:48:44.394604,1438,1
2025-11-25T22:48:45.430409,1438,1
2025-11-25T22:48:46.464380,1402,1
2025-11-25T22:48:47.493573,1402,1
2025-11-25T22:48:48.521640,1402,1
2025-11-25T22:48:49.550532,1456,1
2025-11-25T22:48:50.594469,1456,1
2025-11-25T22:48:51.636170,1460,1
2025-11-25T22:48:52.668377,1460,1
2025-11-25T22:48:53.740770,1494,1
2025-11-25T22:48:54.768929,1494,1
2025-11-25T22:48:55.802062,1494,1
2025-11-25T22:48:56.840779,1478,1
2025-11-25T22:48:57.886490,1478,1
2025-11-25T22:48:58.914437,1350,1
2025-11-25T22:48:59.960727,1350,1
2025-11-25T22:49:01.000931,1350,1
2025-11-25T22:49:02.030192,1503,1
2025-11-25T22:49:03.058786,1503,1
2025-11-25T22:49:04.088054,1461,1
2025-11-25T22:49:05.115645,1461,1
2025-11-25T22:49:06.144659,1461,1
2025-11-25T22:49:07.172850,1517,1
2025-11-25T22:49:08.208379,1517,1
2025-11-25T22:49:09.257384,1478,1
2025-11-25T22:49:10.304370,1446,1
2025-11-25T22:49:11.338129,1446,1
2025-11-25T22:49:12.431435,1447,0
2025-11-25T22:49:13.476332,1447,0
2025-11-25T22:49:14.527087,1475,0
2025-11-25T22:49:15.575706,1475,0
2025-11-25T22:49:16.657599,1457,0
2025-11-25T22:49:17.686712,1457,0
2025-11-25T22:49:18.729926,1445,0
2025-11-25T22:49:19.775491,1445,0
2025-11-25T22:49:20.822211,1446,0
2025-11-25T22:49:21.860414,1446,0
2025-11-25T22:49:22.900404,1466,0
2025-11-25T22:49:23.947683,1466,0
2025-11-25T22:49:24.987490,1366,0
2025-11-25T22:49:26.058373,1366,0
2025-11-25T22:49:27.099921,1472,0
2025-11-25T22:49:28.148849,1472,0
2025-11-25T22:49:29.176668,1472,0
2025-11-25T22:49:30.227850,1472,0
2025-11-25T22:49:31.266206,1472,0
2025-11-25T22:49:32.336420,1445,0
