timestamp,power_mW,under_attack
2025-06-05T11:04:31.258261,2667,1
2025-06-05T11:04:32.287174,2993,1
2025-06-05T11:04:33.326811,2993,1
2025-06-05T11:04:34.370769,2797,1
2025-06-05T11:04:35.413407,2797,1
2025-06-05T11:04:36.442644,2913,1
2025-06-05T11:04:37.488008,2913,1
2025-06-05T11:04:38.529474,2745,1
2025-06-05T11:04:39.558673,2745,1
2025-06-05T11:04:40.587539,2766,1
2025-06-05T11:04:41.616148,2766,1
2025-06-05T11:04:42.646378,2890,1
2025-06-05T11:04:43.677556,2939,1
2025-06-05T11:04:44.707334,2939,1
2025-06-05T11:04:45.736842,2742,1
2025-06-05T11:04:46.817883,2742,1
2025-06-05T11:04:47.847931,2790,1
2025-06-05T11:04:48.877910,2790,1
2025-06-05T11:04:49.909741,2589,1
2025-06-05T11:04:50.944232,2589,1
2025-06-05T11:04:51.974673,2486,1
2025-06-05T11:04:53.004129,2486,1
2025-06-05T11:04:54.050040,2625,1
2025-06-05T11:04:55.079707,2625,1
2025-06-05T11:04:56.123946,2589,1
2025-06-05T11:04:57.154412,2589,1
2025-06-05T11:04:58.183319,2818,1
2025-06-05T11:04:59.212851,2818,1
2025-06-05T11:05:00.258915,2829,1
2025-06-05T11:05:01.287880,2829,1
2025-06-05T11:05:02.317318,2623,1
2025-06-05T11:05:03.368631,2623,1
2025-06-05T11:05:04.400783,2737,1
2025-06-05T11:05:05.442013,2737,1
2025-06-05T11:05:06.472024,2703,1
2025-06-05T11:05:07.501040,2703,1
2025-06-05T11:05:08.528826,2796,1
2025-06-05T11:05:09.558860,2796,1
2025-06-05T11:05:10.587802,2510,1
2025-06-05T11:05:11.616795,2510,1
2025-06-05T11:05:12.646675,2409,1
2025-06-05T11:05:13.679022,2408,1
2025-06-05T11:05:14.709097,2408,1
2025-06-05T11:05:15.737837,2442,1
2025-06-05T11:05:16.782598,2442,1
2025-06-05T11:05:17.812292,2462,1
2025-06-05T11:05:18.858029,2462,1
2025-06-05T11:05:19.886825,2481,1
2025-06-05T11:05:20.916794,2481,1
2025-06-05T11:05:21.945434,2336,1
2025-06-05T11:05:22.974172,2336,1
2025-06-05T11:05:24.003438,2345,1
2025-06-05T11:05:25.032329,2345,1
2025-06-05T11:05:26.062684,2522,1
2025-06-05T11:05:27.091804,2522,1
2025-06-05T11:05:28.121652,2378,1
