timestamp,power_mW,under_attack
2025-06-04T14:50:02.628460,2570,1
2025-06-04T14:50:03.657352,2570,1
2025-06-04T14:50:04.686774,2644,1
2025-06-04T14:50:05.715819,2644,1
2025-06-04T14:50:06.756993,2902,1
2025-06-04T14:50:07.791167,2902,1
2025-06-04T14:50:08.821149,2953,1
2025-06-04T14:50:09.869824,2953,1
2025-06-04T14:50:10.899781,2755,1
2025-06-04T14:50:11.943434,2755,1
2025-06-04T14:50:12.972835,2710,1
2025-06-04T14:50:14.008794,2710,1
2025-06-04T14:50:15.038775,2555,1
2025-06-04T14:50:16.072108,2555,1
2025-06-04T14:50:17.101833,2875,1
2025-06-04T14:50:18.132224,2875,1
2025-06-04T14:50:19.168801,2760,1
2025-06-04T14:50:20.211935,2760,1
2025-06-04T14:50:21.241249,3056,1
2025-06-04T14:50:22.315467,3056,1
2025-06-04T14:50:23.344487,2835,1
2025-06-04T14:50:24.378766,2568,1
2025-06-04T14:50:25.408482,2568,1
2025-06-04T14:50:26.437523,2919,1
2025-06-04T14:50:27.482015,2919,1
2025-06-04T14:50:28.511869,2700,1
2025-06-04T14:50:29.561390,2700,1
2025-06-04T14:50:30.591740,2782,1
2025-06-04T14:50:31.620925,2782,1
2025-06-04T14:50:32.649260,2890,1
2025-06-04T14:50:33.681959,2890,1
2025-06-04T14:50:34.711403,2672,1
2025-06-04T14:50:35.745397,2672,1
2025-06-04T14:50:36.800510,2945,1
2025-06-04T14:50:37.850316,2945,1
2025-06-04T14:50:38.887440,2714,1
2025-06-04T14:50:39.915988,2714,1
2025-06-04T14:50:40.944519,2782,1
2025-06-04T14:50:41.973426,2782,1
2025-06-04T14:50:43.003621,3476,1
2025-06-04T14:50:44.033023,3476,1
2025-06-04T14:50:45.063347,3254,1
2025-06-04T14:50:46.093402,3254,1
2025-06-04T14:50:47.122744,3208,1
2025-06-04T14:50:48.167150,3208,1
2025-06-04T14:50:49.196532,3370,1
2025-06-04T14:50:50.240406,3370,1
2025-06-04T14:50:51.278472,3012,1
2025-06-04T14:50:52.310961,2931,1
2025-06-04T14:50:53.340977,2931,1
2025-06-04T14:50:54.370111,2963,1
2025-06-04T14:50:55.406434,2972,1
2025-06-04T14:50:56.435606,2972,1
2025-06-04T14:50:57.465104,3014,1
2025-06-04T14:50:58.509149,3014,1
2025-06-04T14:50:59.538091,2993,1
2025-06-04T14:51:00.587516,2993,1
2025-06-04T14:51:01.630423,3131,1
2025-06-04T14:51:11.176113,2456,0
2025-06-04T14:51:12.230780,2619,0
2025-06-04T14:51:13.259893,2619,0
2025-06-04T14:51:14.305780,2736,0
2025-06-04T14:51:15.335791,2736,0
2025-06-04T14:51:16.365731,2586,0
2025-06-04T14:51:17.394815,2624,0
2025-06-04T14:51:18.427188,2739,0
2025-06-04T14:51:19.456150,2739,0
2025-06-04T14:51:20.485153,2583,0
2025-06-04T14:51:21.518841,2583,0
2025-06-04T14:51:22.548121,2771,0
2025-06-04T14:51:23.581653,2771,0
2025-06-04T14:51:24.621057,2527,0
2025-06-04T14:51:25.649201,2527,0
2025-06-04T14:51:26.678099,3015,0
2025-06-04T14:51:27.719104,3015,0
2025-06-04T14:51:28.749151,2747,0
