timestamp,power_mW,under_attack
2025-05-29T21:22:45.924397,4861,0
2025-05-29T21:22:46.973588,4861,0
2025-05-29T21:22:48.002459,3438,0
2025-05-29T21:22:49.031878,2874,0
2025-05-29T21:22:50.062726,2874,0
2025-05-29T21:22:51.091863,3491,0
2025-05-29T21:22:52.120947,3491,0
2025-05-29T21:22:53.151590,4721,0
2025-05-29T21:22:54.180933,3800,0
2025-05-29T21:22:55.210081,3800,0
2025-05-29T21:22:56.239413,3333,0
2025-05-29T21:22:57.270244,3333,0
2025-05-29T21:22:58.314412,3724,0
2025-05-29T21:22:59.344186,3724,0
2025-05-29T21:23:00.388245,2351,0
2025-05-29T21:23:01.419833,2351,0
2025-05-29T21:23:02.449170,2836,0
2025-05-29T21:23:03.478111,2836,0
2025-05-29T21:23:04.507794,2725,0
2025-05-29T21:23:05.537638,2725,0
2025-05-29T21:23:06.577885,3616,0
2025-05-29T21:23:07.606794,3616,0
2025-05-29T21:23:08.636857,2685,0
2025-05-29T21:23:09.680746,2685,0
2025-05-29T21:23:10.710856,2992,0
2025-05-29T21:23:11.756041,2992,0
2025-05-29T21:23:12.785800,2229,0
2025-05-29T21:23:13.815323,3024,0
2025-05-29T21:23:14.847330,3024,0
2025-05-29T21:23:15.891314,3618,0
2025-05-29T21:23:16.921224,3618,0
2025-05-29T21:23:17.950917,3188,0
2025-05-29T21:23:18.999189,3188,0
2025-05-29T21:23:20.028293,2446,0
2025-05-29T21:23:21.073171,2446,0
2025-05-29T21:23:22.102676,2606,0
2025-05-29T21:23:23.132749,2606,0
2025-05-29T21:23:24.163758,2786,0
2025-05-29T21:23:25.199559,2548,0
2025-05-29T21:23:26.232829,2548,0
2025-05-29T21:23:27.262829,2257,0
2025-05-29T21:23:28.317486,2898,0
2025-05-29T21:23:29.349970,2898,0
2025-05-29T21:23:30.391606,2911,0
2025-05-29T21:23:31.421540,2911,0
2025-05-29T21:23:32.451321,3089,0
2025-05-29T21:23:33.481762,2979,0
2025-05-29T21:23:34.512391,2979,0
2025-05-29T21:23:35.543738,5110,0
2025-05-29T21:23:36.574893,5110,0
2025-05-29T21:23:37.610558,3065,0
2025-05-29T21:23:38.639711,3065,0
2025-05-29T21:23:39.683871,3603,0
2025-05-29T21:23:40.714616,3603,0
2025-05-29T21:23:41.757338,3415,0
2025-05-29T21:23:42.786821,5888,0
2025-05-29T21:23:43.816430,5888,0
2025-05-29T21:23:44.845635,4498,0
2025-05-29T21:23:45.893674,4498,0
2025-05-29T21:23:46.923434,3361,0
2025-05-29T21:23:47.953143,2925,0
2025-05-29T21:23:48.982160,2925,0
2025-05-29T21:23:50.028464,3259,0
2025-05-29T21:23:51.057396,3259,0
2025-05-29T21:23:52.099509,3201,0
2025-05-29T21:23:53.128755,3201,0
2025-05-29T21:23:54.159213,2227,0
2025-05-29T21:23:55.189357,2900,0
2025-05-29T21:23:56.227467,2900,0
2025-05-29T21:23:57.259658,3415,0
2025-05-29T21:23:58.288860,3415,0
2025-05-29T21:23:59.344603,2055,0
2025-05-29T21:24:00.374267,2055,0
2025-05-29T21:24:01.419197,1984,0
2025-05-29T21:24:02.449090,1984,0
2025-05-29T21:24:03.477964,2687,0
2025-05-29T21:24:04.507641,2687,0
2025-05-29T21:24:05.537853,1979,0
2025-05-29T21:24:06.567912,1979,0
2025-05-29T21:24:07.597165,1779,0
2025-05-29T21:24:08.639008,1779,0
2025-05-29T21:24:09.668847,1779,0
2025-05-29T21:24:10.710985,1932,0
2025-05-29T21:24:11.741675,1932,0
2025-05-29T21:24:12.784813,1955,0
2025-05-29T21:24:13.814016,1955,0
2025-05-29T21:24:14.844780,1955,0
2025-05-29T21:24:15.874488,1750,0
2025-05-29T21:24:16.905151,1750,0
2025-05-29T21:24:17.947256,1750,0
2025-05-29T21:24:18.976803,1516,0
2025-05-29T21:24:20.005853,1516,0
2025-05-29T21:24:21.034915,1455,0
2025-05-29T21:24:22.077281,1455,0
2025-05-29T21:24:23.106621,1480,0
2025-05-29T21:24:24.151635,1480,0
2025-05-29T21:24:25.181018,1512,0
2025-05-29T21:24:26.213385,1478,0
2025-05-29T21:24:27.255950,1478,0
2025-05-29T21:24:28.286808,1511,0
2025-05-29T21:24:29.316337,1511,0
2025-05-29T21:24:30.371656,1576,0
2025-05-29T21:24:31.401753,1576,0
2025-05-29T21:24:32.445546,1480,0
2025-05-29T21:24:33.474522,1480,0
2025-05-29T21:24:34.503627,1480,0
2025-05-29T21:24:35.532694,1535,0
2025-05-29T21:24:36.565153,1535,0
2025-05-29T21:24:37.593981,1547,0
2025-05-29T21:24:38.623851,1547,0
2025-05-29T21:24:39.668848,1547,0
