timestamp,power_mW,under_attack
2025-05-29T19:33:22.038701,2773,1
2025-05-29T19:33:23.069785,2773,1
2025-05-29T19:33:24.099410,2153,1
2025-05-29T19:33:25.128243,2153,1
2025-05-29T19:33:26.165526,1952,1
2025-05-29T19:33:27.207477,1952,1
2025-05-29T19:33:28.260095,2079,1
2025-05-29T19:33:29.294317,2079,1
2025-05-29T19:33:30.323514,2348,1
2025-05-29T19:33:31.352199,2348,1
2025-05-29T19:33:32.394469,2553,1
2025-05-29T19:33:33.424066,2553,1
2025-05-29T19:33:34.483075,2108,1
2025-05-29T19:33:35.528161,2108,1
2025-05-29T19:33:36.560061,2950,1
2025-05-29T19:33:37.600231,2950,1
2025-05-29T19:33:38.629482,2730,1
2025-05-29T19:33:39.658602,2813,1
2025-05-29T19:33:40.746370,2813,1
2025-05-29T19:33:41.776770,3167,1
2025-05-29T19:33:42.814367,3167,1
2025-05-29T19:33:43.842945,3007,1
2025-05-29T19:33:44.871844,3007,1
2025-05-29T19:33:45.906200,3257,1
2025-05-29T19:33:46.935754,3257,1
2025-05-29T19:33:47.965380,4424,1
2025-05-29T19:33:49.018745,4424,1
2025-05-29T19:33:50.049304,4423,1
2025-05-29T19:33:51.092619,4423,1
2025-05-29T19:33:52.126485,3089,1
2025-05-29T19:33:53.158726,3089,1
2025-05-29T19:33:54.187625,2478,1
2025-05-29T19:33:55.217824,2478,1
2025-05-29T19:33:56.246753,2263,1
2025-05-29T19:33:57.275883,2263,1
2025-05-29T19:33:58.337221,2048,1
2025-05-29T19:33:59.368545,2048,1
2025-05-29T19:34:00.411831,2152,1
2025-05-29T19:34:01.440412,2152,1
2025-05-29T19:34:02.470712,2382,1
2025-05-29T19:34:03.499347,2382,1
2025-05-29T19:34:04.528348,2188,1
2025-05-29T19:34:05.557092,2188,1
2025-05-29T19:34:06.586130,2532,1
2025-05-29T19:34:07.626470,2532,1
2025-05-29T19:34:08.657010,2702,1
2025-05-29T19:34:09.687003,3175,1
2025-05-29T19:34:10.730665,3175,1
2025-05-29T19:34:11.777356,2353,1
2025-05-29T19:34:12.806729,2353,1
2025-05-29T19:34:13.835709,1592,1
2025-05-29T19:34:14.865245,1592,1
2025-05-29T19:34:15.894136,1468,1
2025-05-29T19:34:16.936703,1468,1
2025-05-29T19:34:17.965486,1489,1
2025-05-29T19:34:18.994215,1489,1
2025-05-29T19:34:20.023190,1489,1
2025-05-29T19:34:21.053436,1545,1
2025-05-29T19:34:23.020236,1545,0
2025-05-29T19:34:24.065147,1574,0
2025-05-29T19:34:25.095395,1574,0
2025-05-29T19:34:26.124248,1616,0
2025-05-29T19:34:27.153027,1616,0
2025-05-29T19:34:28.181905,1462,0
2025-05-29T19:34:29.212387,1462,0
2025-05-29T19:34:30.248196,1462,0
2025-05-29T19:34:31.277143,1652,0
2025-05-29T19:34:32.310411,1652,0
2025-05-29T19:34:33.358946,1757,0
2025-05-29T19:34:34.388193,1757,0
2025-05-29T19:34:35.432187,1785,0
2025-05-29T19:34:36.462249,1785,0
2025-05-29T19:34:37.491716,1785,0
2025-05-29T19:34:38.521202,1731,0
2025-05-29T19:34:39.557357,1731,0
2025-05-29T19:34:40.586427,1731,0
2025-05-29T19:34:41.616258,1816,0
2025-05-29T19:34:42.659810,1979,0
2025-05-29T19:34:43.700629,1979,0
2025-05-29T19:34:44.729759,1979,0
2025-05-29T19:34:45.780362,1801,0
2025-05-29T19:34:46.810817,1801,0
2025-05-29T19:34:47.839361,1801,0
2025-05-29T19:34:48.868408,1722,0
2025-05-29T19:34:49.898132,1722,0
2025-05-29T19:34:50.926995,1692,0
2025-05-29T19:34:51.968210,1692,0
2025-05-29T19:34:52.997401,1848,0
2025-05-29T19:34:54.027166,1848,0
2025-05-29T19:34:55.071244,1848,0
2025-05-29T19:34:56.100512,1732,0
2025-05-29T19:34:57.140453,1732,0
2025-05-29T19:34:58.173473,1732,0
2025-05-29T19:34:59.203966,1727,0
2025-05-29T19:35:00.235250,1727,0
2025-05-29T19:35:01.277430,1727,0
2025-05-29T19:35:02.310440,1773,0
2025-05-29T19:35:03.339193,1773,0
2025-05-29T19:35:04.385494,1773,0
2025-05-29T19:35:05.414649,1667,0
