timestamp,power_mW,under_attack
2025-05-30T12:40:05.899013,1437,1
2025-05-30T12:40:06.927654,1437,1
2025-05-30T12:40:07.955942,1356,1
2025-05-30T12:40:08.996481,1356,1
2025-05-30T12:40:10.025300,1295,1
2025-05-30T12:40:11.053876,1295,1
2025-05-30T12:40:12.082555,1295,1
2025-05-30T12:40:13.118343,1295,1
2025-05-30T12:40:14.171616,1323,1
2025-05-30T12:40:15.199835,1323,1
2025-05-30T12:40:16.242071,1323,1
2025-05-30T12:40:17.271814,1437,1
2025-05-30T12:40:18.318418,1437,1
2025-05-30T12:40:19.347749,1356,1
2025-05-30T12:40:20.376006,1356,1
2025-05-30T12:40:21.404543,1320,1
2025-05-30T12:40:22.432982,1320,1
2025-05-30T12:40:23.469199,1336,1
2025-05-30T12:40:24.497941,1336,1
2025-05-30T12:40:25.530832,1383,1
2025-05-30T12:40:26.563622,1383,1
2025-05-30T12:40:27.608371,1352,1
2025-05-30T12:40:28.637016,1352,1
2025-05-30T12:40:29.665778,1333,1
2025-05-30T12:40:30.705936,1333,1
2025-05-30T12:40:31.736079,1481,1
2025-05-30T12:40:32.768710,1444,1
2025-05-30T12:40:33.797939,1444,1
2025-05-30T12:40:34.841360,1288,1
2025-05-30T12:40:35.872496,1288,1
2025-05-30T12:40:36.900999,1396,1
2025-05-30T12:40:37.941639,1396,1
2025-05-30T12:40:38.974179,1369,1
2025-05-30T12:40:40.002846,1369,1
2025-05-30T12:40:41.060180,1343,1
2025-05-30T12:40:42.100172,1343,1
2025-05-30T12:40:43.129828,1321,1
2025-05-30T12:40:44.158927,1321,1
2025-05-30T12:40:45.187755,1501,1
2025-05-30T12:40:46.218365,1501,1
2025-05-30T12:40:47.252077,1343,1
2025-05-30T12:40:48.293083,1343,1
2025-05-30T12:40:49.330964,1418,1
2025-05-30T12:40:50.365758,1418,1
2025-05-30T12:40:51.407841,1380,1
2025-05-30T12:40:52.436713,1380,1
2025-05-30T12:40:53.467113,1336,1
2025-05-30T12:40:54.495463,1336,1
2025-05-30T12:40:55.529500,1313,1
2025-05-30T12:40:56.563803,1313,1
2025-05-30T12:40:57.594912,1331,1
2025-05-30T12:40:58.636989,1331,1
2025-05-30T12:40:59.667956,1328,1
2025-05-30T12:41:00.712155,1328,1
2025-05-30T12:41:01.740856,1309,1
2025-05-30T12:41:02.770705,1290,1
2025-05-30T12:41:03.798656,1290,1
2025-05-30T12:41:04.828049,1319,1
2025-05-30T12:41:05.869885,1319,1
2025-05-30T12:41:06.898864,1330,0
2025-05-30T12:41:07.927545,1330,0
2025-05-30T12:41:08.956344,1336,0
2025-05-30T12:41:09.985752,1336,0
2025-05-30T12:41:11.025349,1356,0
2025-05-30T12:41:12.054630,1356,0
2025-05-30T12:41:13.100471,1328,0
2025-05-30T12:41:14.129114,1328,0
2025-05-30T12:41:15.157812,1342,0
2025-05-30T12:41:16.186524,1342,0
2025-05-30T12:41:17.309750,1368,0
2025-05-30T12:41:18.339513,1368,0
2025-05-30T12:41:19.383494,1355,0
2025-05-30T12:41:20.412124,1355,0
2025-05-30T12:41:21.444127,1302,0
2025-05-30T12:41:22.494155,1302,0
2025-05-30T12:41:23.526105,1232,0
2025-05-30T12:41:24.573012,1232,0
2025-05-30T12:41:25.602550,1340,0
2025-05-30T12:41:26.631438,1340,0
2025-05-30T12:41:27.660601,1359,0
2025-05-30T12:41:28.691176,1359,0
2025-05-30T12:41:29.720668,1406,0
2025-05-30T12:41:30.749458,1331,0
2025-05-30T12:41:31.780016,1331,0
2025-05-30T12:41:32.808689,1321,0
2025-05-30T12:41:33.838262,1321,0
2025-05-30T12:41:34.866899,1266,0
2025-05-30T12:41:35.908637,1266,0
2025-05-30T12:41:36.936833,1275,0
2025-05-30T12:41:37.965240,1275,0
2025-05-30T12:41:39.011669,1275,0
2025-05-30T12:41:40.040095,1340,0
2025-05-30T12:41:41.078989,1340,0
2025-05-30T12:41:42.108117,1340,0
2025-05-30T12:41:43.140530,1340,0
2025-05-30T12:41:44.169676,1201,0
2025-05-30T12:41:45.206202,1201,0
2025-05-30T12:41:46.250945,1331,0
2025-05-30T12:41:47.284458,1331,0
2025-05-30T12:41:48.324192,1322,0
2025-05-30T12:41:49.354379,1322,0
2025-05-30T12:41:50.382830,1288,0
2025-05-30T12:41:51.411841,1288,0
2025-05-30T12:41:52.440206,1352,0
2025-05-30T12:41:53.469982,1352,0
2025-05-30T12:41:54.526053,1313,0
2025-05-30T12:41:55.569361,1313,0
2025-05-30T12:41:56.600087,1359,0
2025-05-30T12:41:57.643727,1359,0
2025-05-30T12:41:58.672630,1276,0
2025-05-30T12:41:59.700976,1276,0
2025-05-30T12:42:00.730622,1247,0
2025-05-30T12:42:01.759831,1180,0
2025-05-30T12:42:02.791192,1180,0
2025-05-30T12:42:03.825098,1180,0
2025-05-30T12:42:04.855051,1095,0
2025-05-30T12:42:05.884027,1095,0
2025-05-30T12:42:06.935729,1322,0
2025-05-30T12:42:07.965142,1322,0
2025-05-30T12:42:09.009096,1368,0
2025-05-30T12:42:10.037797,1368,0
2025-05-30T12:42:11.077683,1338,0
2025-05-30T12:42:12.107638,1338,0
2025-05-30T12:42:13.136658,1385,0
2025-05-30T12:42:14.164760,1385,0
2025-05-30T12:42:15.193490,1318,0
2025-05-30T12:42:16.235321,1318,0
2025-05-30T12:42:17.278074,1402,0
2025-05-30T12:42:18.307203,1402,0
2025-05-30T12:42:19.352729,1256,0
2025-05-30T12:42:20.380769,1256,0
2025-05-30T12:42:21.409297,1346,0
2025-05-30T12:42:22.442600,1346,0
2025-05-30T12:42:23.471102,1270,0
2025-05-30T12:42:24.500319,1270,0
2025-05-30T12:42:25.529202,1287,0
2025-05-30T12:42:26.560343,1287,0
2025-05-30T12:42:27.590049,1320,0
2025-05-30T12:42:28.620123,1320,0
2025-05-30T12:42:29.649882,1322,0
2025-05-30T12:42:30.692604,1322,0
2025-05-30T12:42:31.722190,1312,0
2025-05-30T12:42:32.768397,1437,0
2025-05-30T12:42:33.797890,1437,0
2025-05-30T12:42:34.827797,1391,0
2025-05-30T12:42:35.857685,1391,0
2025-05-30T12:42:36.887395,1271,0
2025-05-30T12:42:37.933765,1271,0
2025-05-30T12:42:38.962165,1330,0
2025-05-30T12:42:39.990936,1330,0
