timestamp,power_mW,under_attack
2025-05-30T11:59:56.488193,1234,1
2025-05-30T11:59:57.517087,1340,1
2025-05-30T11:59:58.549839,1340,1
2025-05-30T11:59:59.579448,1244,1
2025-05-30T12:00:00.609447,1244,1
2025-05-30T12:00:01.656072,1337,1
2025-05-30T12:00:02.700661,1337,1
2025-05-30T12:00:03.729453,1354,1
2025-05-30T12:00:04.763187,1354,1
2025-05-30T12:00:05.807193,1431,1
2025-05-30T12:00:06.837037,1431,1
2025-05-30T12:00:07.869198,1388,1
2025-05-30T12:00:08.898026,1388,1
2025-05-30T12:00:09.945492,1346,1
2025-05-30T12:00:11.000532,1346,1
2025-05-30T12:00:12.104095,1273,1
2025-05-30T12:00:13.145556,1360,1
2025-05-30T12:00:14.180531,1360,1
2025-05-30T12:00:15.235824,1366,1
2025-05-30T12:00:16.297585,1366,1
2025-05-30T12:00:17.526817,1378,1
2025-05-30T12:00:18.575342,1378,1
2025-05-30T12:00:19.616223,1374,1
2025-05-30T12:00:20.660103,1374,1
2025-05-30T12:00:21.697481,1345,1
2025-05-30T12:00:22.745113,1345,1
2025-05-30T12:00:23.811280,1324,1
2025-05-30T12:00:24.840445,1324,1
2025-05-30T12:00:25.869333,1305,1
2025-05-30T12:00:26.898339,1305,1
2025-05-30T12:00:27.975523,1313,1
2025-05-30T12:00:29.022805,1313,1
2025-05-30T12:00:30.057435,1319,1
2025-05-30T12:00:31.086559,1319,1
2025-05-30T12:00:32.115812,1320,1
2025-05-30T12:00:33.144817,1334,1
2025-05-30T12:00:34.173157,1334,1
2025-05-30T12:00:35.203806,1401,1
2025-05-30T12:00:36.243001,1401,1
2025-05-30T12:00:37.284912,1290,1
2025-05-30T12:00:38.316609,1290,1
2025-05-30T12:00:39.360971,1406,1
2025-05-30T12:00:40.392151,1406,1
2025-05-30T12:00:41.437527,1361,1
2025-05-30T12:00:42.466540,1361,1
2025-05-30T12:00:43.496084,1291,1
2025-05-30T12:00:44.526162,1291,1
2025-05-30T12:00:45.555772,1372,1
2025-05-30T12:00:46.609367,1372,1
2025-05-30T12:00:47.655364,1394,1
2025-05-30T12:00:48.685381,1394,1
2025-05-30T12:00:49.714100,1352,1
2025-05-30T12:00:50.757095,1352,1
2025-05-30T12:00:51.788158,1409,1
2025-05-30T12:00:52.817209,1409,1
2025-05-30T12:00:53.859512,1354,1
2025-05-30T12:00:54.902117,1354,1
2025-05-30T12:00:55.931424,1293,1
2025-05-30T12:00:57.077291,1293,0
2025-05-30T12:00:58.107427,1314,0
2025-05-30T12:00:59.136807,1319,0
2025-05-30T12:01:00.176154,1319,0
2025-05-30T12:01:01.204994,1300,0
2025-05-30T12:01:02.233418,1300,0
2025-05-30T12:01:03.278819,1381,0
2025-05-30T12:01:04.319740,1381,0
2025-05-30T12:01:05.350080,1313,0
2025-05-30T12:01:06.427758,1313,0
2025-05-30T12:01:07.456395,1311,0
2025-05-30T12:01:08.489978,1311,0
2025-05-30T12:01:09.518654,1338,0
2025-05-30T12:01:10.566047,1338,0
2025-05-30T12:01:11.595797,1364,0
2025-05-30T12:01:12.643007,1364,0
2025-05-30T12:01:13.677601,1296,0
2025-05-30T12:01:14.707381,1296,0
2025-05-30T12:01:15.739282,1374,0
2025-05-30T12:01:16.784532,1374,0
2025-05-30T12:01:17.813128,1283,0
2025-05-30T12:01:18.862082,1283,0
2025-05-30T12:01:19.892428,1324,0
2025-05-30T12:01:20.936079,1324,0
2025-05-30T12:01:21.965361,1325,0
2025-05-30T12:01:23.015618,1325,0
2025-05-30T12:01:24.046056,1308,0
2025-05-30T12:01:25.088546,1308,0
2025-05-30T12:01:26.130743,1397,0
2025-05-30T12:01:27.190470,1378,0
2025-05-30T12:01:28.218653,1378,0
2025-05-30T12:01:29.247292,1378,0
2025-05-30T12:01:30.291083,1208,0
2025-05-30T12:01:31.322872,1208,0
2025-05-30T12:01:32.352428,1374,0
2025-05-30T12:01:33.405084,1374,0
2025-05-30T12:01:34.435147,1325,0
2025-05-30T12:01:35.478075,1325,0
2025-05-30T12:01:36.506636,1358,0
2025-05-30T12:01:37.537222,1358,0
2025-05-30T12:01:38.582019,1380,0
2025-05-30T12:01:39.610697,1380,0
2025-05-30T12:01:40.647644,1281,0
2025-05-30T12:01:41.702994,1281,0
2025-05-30T12:01:42.754160,1322,0
2025-05-30T12:01:43.784517,1322,0
2025-05-30T12:01:44.813297,1329,0
2025-05-30T12:01:45.843274,1329,0
2025-05-30T12:01:46.873048,1265,0
2025-05-30T12:01:47.908647,1265,0
2025-05-30T12:01:48.938715,1326,0
2025-05-30T12:01:49.967615,1326,0
2025-05-30T12:01:51.015596,1098,0
2025-05-30T12:01:52.046779,1098,0
2025-05-30T12:01:53.088145,1394,0
2025-05-30T12:01:54.116547,1394,0
2025-05-30T12:01:55.148387,1287,0
2025-05-30T12:01:56.177718,1306,0
2025-05-30T12:01:57.220817,1306,0
2025-05-30T12:01:58.251011,1353,0
2025-05-30T12:01:59.281499,1353,0
2025-05-30T12:02:00.334921,1353,0
2025-05-30T12:02:01.363677,1281,0
2025-05-30T12:02:02.407320,1281,0
2025-05-30T12:02:03.439924,1413,0
2025-05-30T12:02:04.468662,1413,0
2025-05-30T12:02:05.497336,1241,0
2025-05-30T12:02:06.528236,1241,0
2025-05-30T12:02:07.575359,1352,0
2025-05-30T12:02:08.606714,1352,0
2025-05-30T12:02:09.651550,1353,0
2025-05-30T12:02:10.682824,1353,0
2025-05-30T12:02:11.757599,1377,0
2025-05-30T12:02:12.789377,1377,0
2025-05-30T12:02:13.850596,1347,0
2025-05-30T12:02:14.900180,1347,0
2025-05-30T12:02:15.939316,1334,0
2025-05-30T12:02:16.968203,1334,0
2025-05-30T12:02:18.003342,1305,0
2025-05-30T12:02:19.043111,1305,0
2025-05-30T12:02:20.074431,1388,0
2025-05-30T12:02:21.103191,1388,0
2025-05-30T12:02:22.143469,1335,0
2025-05-30T12:02:23.192807,1332,0
2025-05-30T12:02:24.250409,1332,0
2025-05-30T12:02:25.280719,1352,0
2025-05-30T12:02:26.309497,1352,0
2025-05-30T12:02:27.344720,1343,0
2025-05-30T12:02:28.373988,1343,0
2025-05-30T12:02:29.417123,1398,0
2025-05-30T12:02:30.470557,1398,0
2025-05-30T12:02:31.500693,1367,0
2025-05-30T12:02:32.531186,1367,0
2025-05-30T12:02:33.562835,1316,0
2025-05-30T12:02:34.593737,1316,0
2025-05-30T12:02:35.622657,1304,0
2025-05-30T12:02:36.655623,1304,0
2025-05-30T12:02:37.708520,1445,0
2025-05-30T12:02:38.737524,1445,0
2025-05-30T12:02:39.783365,1340,0
2025-05-30T12:02:40.843174,1340,0
2025-05-30T12:02:41.872213,1251,0
2025-05-30T12:02:42.901344,1251,0
2025-05-30T12:02:43.937697,1332,0
2025-05-30T12:02:44.978720,1332,0
2025-05-30T12:02:46.009723,1301,0
2025-05-30T12:02:47.053285,1301,0
2025-05-30T12:02:48.081755,1330,0
2025-05-30T12:02:49.111820,1330,0
2025-05-30T12:02:50.141892,1330,0
2025-05-30T12:02:51.175772,1275,0
