timestamp,power_mW,under_attack
2025-05-30T10:37:21.038214,1281,1
2025-05-30T10:37:22.074663,1281,1
2025-05-30T10:37:23.107561,1389,1
2025-05-30T10:37:24.136372,1389,1
2025-05-30T10:37:25.186149,1444,1
2025-05-30T10:37:26.214634,1444,1
2025-05-30T10:37:27.258787,1395,1
2025-05-30T10:37:28.287751,1395,1
2025-05-30T10:37:29.315843,1417,1
2025-05-30T10:37:30.344098,1417,1
2025-05-30T10:37:31.383439,1448,1
2025-05-30T10:37:32.412806,1448,1
2025-05-30T10:37:33.442604,1420,1
2025-05-30T10:37:34.486477,1420,1
2025-05-30T10:37:35.528404,1288,1
2025-05-30T10:37:36.557517,1288,1
2025-05-30T10:37:37.601252,1280,1
2025-05-30T10:37:38.631763,1280,1
2025-05-30T10:37:39.661165,1321,1
2025-05-30T10:37:40.693461,1321,1
2025-05-30T10:37:41.721901,1274,1
2025-05-30T10:37:42.750227,1274,1
2025-05-30T10:37:43.778967,1269,1
2025-05-30T10:37:44.807831,1269,1
2025-05-30T10:37:45.836873,1337,1
2025-05-30T10:37:46.866104,1337,1
2025-05-30T10:37:47.898279,1337,1
2025-05-30T10:37:48.942348,1248,1
2025-05-30T10:37:49.971650,1286,1
2025-05-30T10:37:51.016207,1286,1
2025-05-30T10:37:52.045244,1242,1
2025-05-30T10:37:53.074334,1242,1
2025-05-30T10:37:54.104847,1204,1
2025-05-30T10:37:55.135190,1204,1
2025-05-30T10:37:56.164294,1276,1
2025-05-30T10:37:57.207390,1276,1
2025-05-30T10:37:58.236547,1250,1
2025-05-30T10:37:59.265497,1250,1
2025-05-30T10:38:00.308785,1262,1
2025-05-30T10:38:01.338853,1262,1
2025-05-30T10:38:02.382602,1268,1
2025-05-30T10:38:03.414519,1268,1
2025-05-30T10:38:04.444486,1365,1
2025-05-30T10:38:05.474464,1365,1
2025-05-30T10:38:06.515850,1365,1
2025-05-30T10:38:07.544925,1308,1
2025-05-30T10:38:08.574880,1308,1
2025-05-30T10:38:09.603864,1320,1
2025-05-30T10:38:10.633309,1320,1
2025-05-30T10:38:11.675136,1261,1
2025-05-30T10:38:12.703983,1261,1
2025-05-30T10:38:13.748744,1352,1
2025-05-30T10:38:14.777857,1352,1
2025-05-30T10:38:15.807416,1307,1
2025-05-30T10:38:16.857769,1307,1
2025-05-30T10:38:17.887005,1331,1
2025-05-30T10:38:18.929061,1331,1
2025-05-30T10:38:19.969530,1337,1
2025-05-30T10:38:21.000037,1292,1
2025-05-30T10:38:22.978968,1288,0
2025-05-30T10:38:24.007978,1288,0
2025-05-30T10:38:25.044331,1282,0
2025-05-30T10:38:26.072970,1282,0
2025-05-30T10:38:27.101834,1248,0
