timestamp,power_mW,under_attack
2025-06-04T14:42:18.492462,3175,1
2025-06-04T14:42:19.521947,3162,1
2025-06-04T14:42:20.550544,3162,1
2025-06-04T14:42:21.595360,3322,1
2025-06-04T14:42:22.624714,3322,1
2025-06-04T14:42:23.668522,3301,1
2025-06-04T14:42:24.698377,3301,1
2025-06-04T14:42:25.726883,3321,1
2025-06-04T14:42:26.755331,3321,1
2025-06-04T14:42:27.784231,3265,1
2025-06-04T14:42:28.822342,3265,1
2025-06-04T14:42:29.855695,3332,1
2025-06-04T14:42:30.884541,3332,1
2025-06-04T14:42:31.945479,3255,1
2025-06-04T14:42:32.993251,3255,1
2025-06-04T14:42:34.046034,3434,1
2025-06-04T14:42:35.076846,3434,1
2025-06-04T14:42:36.105819,3370,1
2025-06-04T14:42:37.135322,3370,1
2025-06-04T14:42:38.163849,3281,1
2025-06-04T14:42:39.207636,3281,1
2025-06-04T14:42:40.236369,3345,1
2025-06-04T14:42:41.280776,3345,1
2025-06-04T14:42:42.311802,3420,1
2025-06-04T14:42:43.341638,3420,1
2025-06-04T14:42:44.370742,3367,1
2025-06-04T14:42:45.399841,3390,1
2025-06-04T14:42:46.448688,3390,1
2025-06-04T14:42:47.477438,3306,1
2025-06-04T14:42:48.506473,3306,1
2025-06-04T14:42:49.550386,3183,1
2025-06-04T14:42:50.580085,3183,1
2025-06-04T14:42:51.624931,3327,1
2025-06-04T14:42:52.653387,3327,1
2025-06-04T14:42:53.683296,3244,1
2025-06-04T14:42:54.712151,3244,1
2025-06-04T14:42:55.747726,3313,1
2025-06-04T14:42:56.776343,3313,1
2025-06-04T14:42:57.810322,3364,1
2025-06-04T14:42:58.850690,3364,1
2025-06-04T14:42:59.893140,3322,1
2025-06-04T14:43:00.922022,3322,1
2025-06-04T14:43:01.965707,3408,1
2025-06-04T14:43:02.994145,3408,1
2025-06-04T14:43:04.024223,3438,1
2025-06-04T14:43:05.055646,3438,1
2025-06-04T14:43:06.085196,3261,1
2025-06-04T14:43:07.115155,3261,1
2025-06-04T14:43:08.158274,3272,1
2025-06-04T14:43:09.188202,3272,1
2025-06-04T14:43:10.217322,3295,1
2025-06-04T14:43:11.259179,3295,1
2025-06-04T14:43:12.287741,2455,1
2025-06-04T14:43:13.333670,2455,1
2025-06-04T14:43:14.364239,2474,1
2025-06-04T14:43:15.393163,2393,1
2025-06-04T14:43:16.421529,2393,1
2025-06-04T14:43:17.450066,2413,1
2025-06-04T14:43:19.069554,2413,0
2025-06-04T14:43:20.098137,2347,0
2025-06-04T14:43:21.128000,2347,0
2025-06-04T14:43:22.171370,2239,0
2025-06-04T14:43:23.223210,2239,0
2025-06-04T14:43:24.264450,2339,0
2025-06-04T14:43:25.293415,2339,0
2025-06-04T14:43:26.336838,3305,0
2025-06-04T14:43:27.376434,3212,0
2025-06-04T14:43:28.405987,3212,0
2025-06-04T14:43:29.436337,2768,0
2025-06-04T14:43:30.479380,2768,0
2025-06-04T14:43:31.508058,2303,0
2025-06-04T14:43:32.536952,2303,0
2025-06-04T14:43:33.582503,2366,0
2025-06-04T14:43:34.611016,2366,0
2025-06-04T14:43:35.656521,2778,0
2025-06-04T14:43:36.686516,2778,0
2025-06-04T14:43:37.715862,3890,0
2025-06-04T14:43:38.750017,3890,0
2025-06-04T14:43:39.794085,4195,0
2025-06-04T14:43:40.822456,4195,0
2025-06-04T14:43:41.851292,3903,0
2025-06-04T14:43:42.900823,3903,0
2025-06-04T14:43:43.930086,3452,0
2025-06-04T14:43:44.974122,3452,0
2025-06-04T14:43:46.003155,3052,0
2025-06-04T14:43:47.032160,3052,0
2025-06-04T14:43:48.061333,3183,0
2025-06-04T14:43:49.095910,3183,0
2025-06-04T14:43:50.125640,3380,0
2025-06-04T14:43:51.170811,3380,0
2025-06-04T14:43:52.199441,4157,0
2025-06-04T14:43:53.228232,4157,0
2025-06-04T14:43:54.267178,3991,0
2025-06-04T14:43:55.316777,3991,0
2025-06-04T14:43:56.368965,3211,0
2025-06-04T14:43:57.423628,2814,0
2025-06-04T14:43:58.494813,2833,0
2025-06-04T14:43:59.525845,2833,0
2025-06-04T14:44:00.554234,2815,0
2025-06-04T14:44:01.582841,2815,0
2025-06-04T14:44:02.611702,2767,0
2025-06-04T14:44:03.641370,2767,0
2025-06-04T14:44:04.670646,4151,0
2025-06-04T14:44:05.711839,4151,0
2025-06-04T14:44:06.740739,4098,0
2025-06-04T14:44:07.784341,4098,0
2025-06-04T14:44:08.830745,3591,0
2025-06-04T14:44:09.859641,3591,0
2025-06-04T14:44:10.888173,2819,0
2025-06-04T14:44:11.918041,2819,0
2025-06-04T14:44:12.947738,2795,0
2025-06-04T14:44:13.976320,2795,0
2025-06-04T14:44:15.020225,2666,0
2025-06-04T14:44:16.049079,2666,0
2025-06-04T14:44:17.077919,3302,0
2025-06-04T14:44:18.106399,3302,0
2025-06-04T14:44:19.150668,3692,0
2025-06-04T14:44:20.182018,3692,0
2025-06-04T14:44:21.230162,3189,0
2025-06-04T14:44:22.258737,3189,0
2025-06-04T14:44:23.287724,2264,0
2025-06-04T14:44:24.316346,2264,0
2025-06-04T14:44:25.344983,2279,0
2025-06-04T14:44:26.374333,2279,0
2025-06-04T14:44:27.402920,2297,0
2025-06-04T14:44:28.438131,2498,0
2025-06-04T14:44:29.467294,2498,0
2025-06-04T14:44:30.496737,3347,0
2025-06-04T14:44:31.540786,3347,0
2025-06-04T14:44:32.572016,3217,0
2025-06-04T14:44:33.616276,3217,0
2025-06-04T14:44:34.645806,2697,0
2025-06-04T14:44:35.674695,2697,0
2025-06-04T14:44:36.705798,2309,0
2025-06-04T14:44:37.746850,2309,0
2025-06-04T14:44:38.776734,2238,0
2025-06-04T14:44:39.807911,2238,0
2025-06-04T14:44:40.859591,2295,0
2025-06-04T14:44:41.887704,2295,0
2025-06-04T14:44:42.933353,3622,0
2025-06-04T14:44:43.962236,3622,0
2025-06-04T14:44:44.991278,3711,0
2025-06-04T14:44:46.020634,3711,0
2025-06-04T14:44:47.054391,3442,0
2025-06-04T14:44:48.086197,3442,0
2025-06-04T14:44:49.119181,2890,0
2025-06-04T14:44:50.157655,2890,0
2025-06-04T14:44:51.205289,2916,0
2025-06-04T14:44:52.233696,2714,0
2025-06-04T14:44:53.277016,2714,0
2025-06-04T14:44:54.312526,2744,0
2025-06-04T14:44:55.342107,2744,0
2025-06-04T14:44:56.370634,3516,0
2025-06-04T14:44:57.402599,3822,0
2025-06-04T14:44:58.439047,3822,0
2025-06-04T14:44:59.467651,3279,0
2025-06-04T14:45:00.496185,3279,0
2025-06-04T14:45:01.525198,2421,0
2025-06-04T14:45:02.568254,2421,0
2025-06-04T14:45:03.597047,2306,0
2025-06-04T14:45:04.641427,2306,0
2025-06-04T14:45:05.670403,2221,0
2025-06-04T14:45:06.706776,2221,0
2025-06-04T14:45:07.771490,2253,0
2025-06-04T14:45:08.815676,2253,0
2025-06-04T14:45:09.844497,4019,0
2025-06-04T14:45:10.887431,4019,0
2025-06-04T14:45:11.916127,3657,0
2025-06-04T14:45:12.945840,3657,0
2025-06-04T14:45:13.978009,3194,0
2025-06-04T14:45:15.006763,3194,0
2025-06-04T14:45:16.036524,2777,0
2025-06-04T14:45:17.066002,2777,0
2025-06-04T14:45:18.098613,2823,0
2025-06-04T14:45:19.127135,2823,0
2025-06-04T14:45:20.155893,2850,0
2025-06-04T14:45:21.186241,2850,0
2025-06-04T14:45:22.228785,3285,0
2025-06-04T14:45:23.260667,3285,0
2025-06-04T14:45:24.302669,3511,0
2025-06-04T14:45:25.331558,3511,0
2025-06-04T14:45:26.360083,3186,0
2025-06-04T14:45:27.391701,2303,0
2025-06-04T14:45:28.420823,2303,0
2025-06-04T14:45:29.450480,2269,0
2025-06-04T14:45:30.492608,2269,0
2025-06-04T14:45:31.524472,2291,0
2025-06-04T14:45:32.552668,2291,0
2025-06-04T14:45:33.595684,2300,0
2025-06-04T14:45:34.623868,2300,0
2025-06-04T14:45:35.667518,3986,0
2025-06-04T14:45:36.698956,3986,0
2025-06-04T14:45:37.728029,3616,0
2025-06-04T14:45:38.757329,3616,0
2025-06-04T14:45:39.785840,3198,0
2025-06-04T14:45:40.814849,3198,0
2025-06-04T14:45:41.843051,2754,0
2025-06-04T14:45:42.871537,2754,0
2025-06-04T14:45:43.905504,2754,0
2025-06-04T14:45:44.935427,2754,0
2025-06-04T14:45:45.967546,2911,0
2025-06-04T14:45:47.015611,2911,0
2025-06-04T14:45:48.058530,3560,0
2025-06-04T14:45:49.095990,3892,0
2025-06-04T14:45:50.131055,3892,0
2025-06-04T14:45:51.174483,3493,0
2025-06-04T14:45:52.232735,3493,0
2025-06-04T14:45:53.264459,2766,0
2025-06-04T14:45:54.309016,2766,0
2025-06-04T14:45:55.338296,2358,0
2025-06-04T14:45:56.370748,2358,0
2025-06-04T14:45:57.399696,2278,0
2025-06-04T14:45:58.459306,2333,0
2025-06-04T14:45:59.502083,2333,0
2025-06-04T14:46:00.530819,3118,0
2025-06-04T14:46:01.575453,3118,0
2025-06-04T14:46:02.613808,3276,0
2025-06-04T14:46:03.643006,3276,0
2025-06-04T14:46:04.675813,3089,0
2025-06-04T14:46:05.704245,3089,0
2025-06-04T14:46:06.738717,2348,0
2025-06-04T14:46:07.768219,2348,0
2025-06-04T14:46:08.796812,2263,0
2025-06-04T14:46:09.845289,2263,0
2025-06-04T14:46:10.873621,2260,0
2025-06-04T14:46:11.923941,2260,0
2025-06-04T14:46:12.952749,2325,0
2025-06-04T14:46:13.981315,2325,0
2025-06-04T14:46:15.036194,3984,0
2025-06-04T14:46:16.067454,3984,0
2025-06-04T14:46:17.097500,3655,0
2025-06-04T14:46:18.139160,3655,0
2025-06-04T14:46:19.167608,3248,1
2025-06-04T14:46:20.228474,2819,1
2025-06-04T14:46:21.259327,2819,1
2025-06-04T14:46:22.288852,2660,1
2025-06-04T14:46:23.318267,2660,1
2025-06-04T14:46:24.351752,2768,1
2025-06-04T14:46:25.382472,2768,1
2025-06-04T14:46:26.411383,2675,1
2025-06-04T14:46:27.457655,3768,1
2025-06-04T14:46:28.486325,3768,1
2025-06-04T14:46:29.531734,3681,1
2025-06-04T14:46:30.589477,3681,1
2025-06-04T14:46:31.622806,2799,1
2025-06-04T14:46:32.651727,2799,1
2025-06-04T14:46:33.681966,2334,1
2025-06-04T14:46:34.710670,2334,1
2025-06-04T14:46:35.752099,2298,1
2025-06-04T14:46:36.782429,2298,1
2025-06-04T14:46:37.826155,2367,1
2025-06-04T14:46:38.857350,2367,1
2025-06-04T14:46:39.950718,3494,1
2025-06-04T14:46:40.979677,3494,1
2025-06-04T14:46:42.022825,3900,1
2025-06-04T14:46:43.062102,3900,1
2025-06-04T14:46:44.091649,3700,1
2025-06-04T14:46:45.120267,3700,1
2025-06-04T14:46:46.149386,2883,1
2025-06-04T14:46:47.177552,2848,1
2025-06-04T14:46:48.211120,2848,1
2025-06-04T14:46:49.239777,2755,1
2025-06-04T14:46:50.268762,2755,1
2025-06-04T14:46:51.317477,2874,1
2025-06-04T14:46:52.345829,2874,1
2025-06-04T14:46:53.390427,3656,1
2025-06-04T14:46:54.419216,3866,1
2025-06-04T14:46:55.450089,3866,1
2025-06-04T14:46:56.478691,3383,1
2025-06-04T14:46:57.507973,3383,1
2025-06-04T14:46:58.537449,2417,1
2025-06-04T14:46:59.578118,2417,1
2025-06-04T14:47:00.609286,2371,1
2025-06-04T14:47:01.638193,2371,1
2025-06-04T14:47:02.683453,2334,1
2025-06-04T14:47:03.713175,2334,1
2025-06-04T14:47:04.757302,2311,1
2025-06-04T14:47:05.787263,3923,1
2025-06-04T14:47:06.816262,3923,1
2025-06-04T14:47:07.845953,3964,1
2025-06-04T14:47:08.896210,3964,1
2025-06-04T14:47:09.925188,3484,1
2025-06-04T14:47:10.954301,3484,1
2025-06-04T14:47:12.003039,2832,1
2025-06-04T14:47:13.032609,2832,1
2025-06-04T14:47:14.075068,2849,1
2025-06-04T14:47:15.103682,2803,1
2025-06-04T14:47:16.134000,2803,1
2025-06-04T14:47:17.162410,2833,1
2025-06-04T14:47:18.196400,2833,1
2025-06-04T14:47:19.712462,3518,0
2025-06-04T14:47:20.742262,3814,0
2025-06-04T14:47:21.771190,3814,0
2025-06-04T14:47:22.799637,3158,0
2025-06-04T14:47:23.828620,3158,0
2025-06-04T14:47:24.858243,2300,0
2025-06-04T14:47:25.886802,2300,0
2025-06-04T14:47:26.918189,2266,0
2025-06-04T14:47:27.948187,2266,0
2025-06-04T14:47:28.976604,2296,0
2025-06-04T14:47:30.006248,2296,0
