timestamp,power_mW,under_attack
2025-06-03T21:05:25.451767,3130,1
2025-06-03T21:05:26.482291,3130,1
2025-06-03T21:05:27.512019,3247,1
2025-06-03T21:05:28.543141,3247,1
2025-06-03T21:05:29.572852,3353,1
2025-06-03T21:05:30.606448,3353,1
2025-06-03T21:05:31.635497,3301,1
2025-06-03T21:05:32.664534,3301,1
2025-06-03T21:05:33.707254,3100,1
2025-06-03T21:05:34.736151,3100,1
2025-06-03T21:05:35.782216,3354,1
2025-06-03T21:05:36.812268,3354,1
2025-06-03T21:05:37.841512,3341,1
2025-06-03T21:05:38.870255,3341,1
2025-06-03T21:05:39.909425,3374,1
2025-06-03T21:05:40.938549,3374,1
2025-06-03T21:05:41.974234,3311,1
2025-06-03T21:05:43.025190,3311,1
2025-06-03T21:05:44.055097,3265,1
2025-06-03T21:05:45.098354,3265,1
2025-06-03T21:05:46.128781,3361,1
2025-06-03T21:05:47.157748,3268,1
2025-06-03T21:05:48.187009,3268,1
2025-06-03T21:05:49.218844,3230,1
2025-06-03T21:05:50.247888,3230,1
2025-06-03T21:05:51.291332,3318,1
2025-06-03T21:05:52.320743,3318,1
2025-06-03T21:05:53.367707,3298,1
2025-06-03T21:05:54.396156,3298,1
2025-06-03T21:05:55.444045,3246,1
2025-06-03T21:05:56.474374,3246,1
2025-06-03T21:05:57.505415,3317,1
2025-06-03T21:05:58.535112,3317,1
2025-06-03T21:05:59.565468,3276,1
2025-06-03T21:06:00.594396,3276,1
2025-06-03T21:06:01.633266,3204,1
2025-06-03T21:06:02.662124,3204,1
2025-06-03T21:06:03.691421,3226,1
2025-06-03T21:06:04.734295,3226,1
2025-06-03T21:06:05.764097,3301,1
2025-06-03T21:06:06.807539,3301,1
2025-06-03T21:06:07.835656,3344,1
2025-06-03T21:06:08.863860,3344,1
2025-06-03T21:06:09.893377,3293,1
2025-06-03T21:06:10.922684,3293,1
2025-06-03T21:06:11.955414,3157,1
2025-06-03T21:06:12.985611,3157,1
2025-06-03T21:06:14.014325,3236,1
2025-06-03T21:06:15.047640,3236,1
2025-06-03T21:06:16.076660,3225,1
2025-06-03T21:06:17.105361,3225,1
2025-06-03T21:06:18.148545,3347,1
2025-06-03T21:06:19.177238,3355,1
2025-06-03T21:06:20.223114,3355,1
2025-06-03T21:06:21.252284,3278,1
2025-06-03T21:06:22.281763,3278,1
2025-06-03T21:06:23.310880,3225,1
