timestamp,power_mW,under_attack
2025-11-26T12:59:37.846713,2288,1
2025-11-26T12:59:38.892023,2288,1
2025-11-26T12:59:39.920834,2261,1
2025-11-26T12:59:40.949020,2261,1
2025-11-26T12:59:41.992682,2270,1
2025-11-26T12:59:43.040349,2270,1
2025-11-26T12:59:44.070012,2324,1
2025-11-26T12:59:45.114956,2324,1
2025-11-26T12:59:46.144410,2426,1
2025-11-26T12:59:47.191686,2426,1
2025-11-26T12:59:48.221235,2394,1
2025-11-26T12:59:49.250716,2394,1
2025-11-26T12:59:50.282036,2403,1
2025-11-26T12:59:51.310945,2403,1
2025-11-26T12:59:52.360812,2369,1
2025-11-26T12:59:53.413768,2369,1
2025-11-26T12:59:54.443062,2343,1
2025-11-26T12:59:55.474188,2211,1
2025-11-26T12:59:56.507307,2211,1
2025-11-26T12:59:57.537314,2352,1
2025-11-26T12:59:58.565928,2352,1
2025-11-26T12:59:59.606923,2268,1
2025-11-26T13:00:00.652244,2268,1
2025-11-26T13:00:01.681462,2532,1
2025-11-26T13:00:02.729205,2532,1
2025-11-26T13:00:03.774709,2413,1
2025-11-26T13:00:04.813069,2413,1
2025-11-26T13:00:05.852424,2430,1
2025-11-26T13:00:06.898449,2430,1
2025-11-26T13:00:07.927623,2430,1
2025-11-26T13:00:08.969284,2430,1
2025-11-26T13:00:10.000007,2508,1
2025-11-26T13:00:11.028381,2508,1
2025-11-26T13:00:12.057946,2375,1
2025-11-26T13:00:13.087803,2375,1
2025-11-26T13:00:14.120268,2447,1
2025-11-26T13:00:15.159045,2447,1
2025-11-26T13:00:16.187762,2363,1
2025-11-26T13:00:17.245799,2363,1
2025-11-26T13:00:18.290211,2509,1
2025-11-26T13:00:19.325914,2509,1
2025-11-26T13:00:20.365567,2395,1
2025-11-26T13:00:21.396555,2395,1
2025-11-26T13:00:22.427832,2343,1
2025-11-26T13:00:23.459556,2338,1
2025-11-26T13:00:24.489452,2338,1
2025-11-26T13:00:25.537158,2332,1
2025-11-26T13:00:26.566378,2332,1
2025-11-26T13:00:27.614012,2306,1
2025-11-26T13:00:28.642640,2306,1
2025-11-26T13:00:29.684252,2291,1
2025-11-26T13:00:30.712295,2291,1
2025-11-26T13:00:31.744395,2662,1
2025-11-26T13:00:32.776653,2662,1
2025-11-26T13:00:33.805712,2453,1
2025-11-26T13:00:34.857221,2453,1
2025-11-26T13:00:35.902314,2301,1
2025-11-26T13:00:36.949245,2301,1
2025-11-26T13:00:38.411727,2447,0
2025-11-26T13:00:39.466778,2447,0
2025-11-26T13:00:40.512414,2460,0
2025-11-26T13:00:41.554338,2428,0
2025-11-26T13:00:42.582594,2428,0
2025-11-26T13:00:43.610925,2527,0
2025-11-26T13:00:44.639101,2527,0
2025-11-26T13:00:45.668077,2470,0
2025-11-26T13:00:46.696440,2470,0
2025-11-26T13:00:47.727154,2427,0
2025-11-26T13:00:48.779430,2427,0
2025-11-26T13:00:49.810146,2423,0
2025-11-26T13:00:50.852741,2423,0
2025-11-26T13:00:51.881700,2506,0
2025-11-26T13:00:52.909681,2506,0
2025-11-26T13:00:53.953518,2429,0
2025-11-26T13:00:54.985469,2429,0
2025-11-26T13:00:56.014708,2432,0
2025-11-26T13:00:57.046588,2432,0
2025-11-26T13:00:58.077143,2345,0
2025-11-26T13:00:59.123839,2345,0
2025-11-26T13:01:00.151841,2319,0
2025-11-26T13:01:01.198296,2319,0
2025-11-26T13:01:02.226644,2557,0
2025-11-26T13:01:03.256126,2557,0
2025-11-26T13:01:04.287025,2458,0
2025-11-26T13:01:05.314715,2458,0
2025-11-26T13:01:06.350238,2534,0
2025-11-26T13:01:07.382114,2534,0
2025-11-26T13:01:08.409825,2437,0
2025-11-26T13:01:09.446622,2437,0
2025-11-26T13:01:10.486532,2613,0
2025-11-26T13:01:11.515613,2382,0
2025-11-26T13:01:12.563499,2382,0
2025-11-26T13:01:13.592204,2493,0
2025-11-26T13:01:14.633906,2493,0
2025-11-26T13:01:15.662341,2438,0
2025-11-26T13:01:16.690648,2438,0
2025-11-26T13:01:17.724377,2461,0
2025-11-26T13:01:18.759868,2461,0
2025-11-26T13:01:19.788887,2564,0
2025-11-26T13:01:20.833741,2564,0
2025-11-26T13:01:21.862506,2538,0
2025-11-26T13:01:22.907854,2538,0
2025-11-26T13:01:23.935952,2489,0
2025-11-26T13:01:24.965257,2489,0
2025-11-26T13:01:25.997807,2475,0
2025-11-26T13:01:27.026220,2475,0
2025-11-26T13:01:28.057306,2349,0
2025-11-26T13:01:29.102020,2349,0
2025-11-26T13:01:30.133032,2309,0
2025-11-26T13:01:31.175909,2309,0
2025-11-26T13:01:32.204795,2274,0
2025-11-26T13:01:33.249219,2274,0
2025-11-26T13:01:34.281087,2319,0
2025-11-26T13:01:35.315005,2319,0
2025-11-26T13:01:36.343281,2401,0
2025-11-26T13:01:37.372139,2401,0
2025-11-26T13:01:38.406538,2438,0
2025-11-26T13:01:39.466177,2438,0
2025-11-26T13:01:40.524380,2458,0
2025-11-26T13:01:41.552866,2488,0
2025-11-26T13:01:42.584511,2488,0
2025-11-26T13:01:43.615445,2495,0
2025-11-26T13:01:44.652723,2495,0
2025-11-26T13:01:45.681490,2478,0
2025-11-26T13:01:46.716523,2478,0
2025-11-26T13:01:47.763124,2444,0
2025-11-26T13:01:48.791331,2444,0
2025-11-26T13:01:49.840950,2469,0
2025-11-26T13:01:50.869318,2469,0
2025-11-26T13:01:51.902383,2362,0
2025-11-26T13:01:52.935676,2362,0
2025-11-26T13:01:53.990113,2485,0
2025-11-26T13:01:55.036222,2485,0
2025-11-26T13:01:56.089164,2367,0
2025-11-26T13:01:57.130380,2367,0
2025-11-26T13:01:58.159106,2513,0
2025-11-26T13:01:59.187918,2513,0
2025-11-26T13:02:00.227285,2360,0
2025-11-26T13:02:01.258737,2360,0
2025-11-26T13:02:02.304097,2438,0
2025-11-26T13:02:03.351135,2438,0
2025-11-26T13:02:04.380337,2551,0
2025-11-26T13:02:05.412173,2551,0
2025-11-26T13:02:06.452468,2499,0
2025-11-26T13:02:07.484361,2530,0
2025-11-26T13:02:08.513726,2530,0
2025-11-26T13:02:09.545015,2405,0
2025-11-26T13:02:10.573753,2405,0
2025-11-26T13:02:11.622328,2442,0
2025-11-26T13:02:12.650897,2442,0
2025-11-26T13:02:13.703238,2394,0
2025-11-26T13:02:14.742258,2394,0
2025-11-26T13:02:15.776379,2516,0
2025-11-26T13:02:16.804717,2516,0
2025-11-26T13:02:17.845484,2384,0
2025-11-26T13:02:18.873905,2384,0
2025-11-26T13:02:19.913771,2524,0
2025-11-26T13:02:20.962693,2524,0
2025-11-26T13:02:21.995604,2376,0
2025-11-26T13:02:23.024821,2376,0
2025-11-26T13:02:24.053555,2484,0
2025-11-26T13:02:25.089710,2484,0
2025-11-26T13:02:26.118894,2391,0
2025-11-26T13:02:27.152854,2391,0
2025-11-26T13:02:28.183091,2447,0
2025-11-26T13:02:29.211754,2447,0
2025-11-26T13:02:30.259042,2384,0
2025-11-26T13:02:31.288314,2384,0
2025-11-26T13:02:32.329205,2409,0
2025-11-26T13:02:33.358389,2409,0
2025-11-26T13:02:34.386532,2291,0
2025-11-26T13:02:35.422490,2291,0
2025-11-26T13:02:36.459241,2361,0
2025-11-26T13:02:37.489870,2452,0
2025-11-26T13:02:38.518301,2452,0
2025-11-26T13:02:39.546528,2415,0
2025-11-26T13:02:40.574873,2415,0
2025-11-26T13:02:41.604806,2495,0
2025-11-26T13:02:42.646805,2495,0
2025-11-26T13:02:43.677740,2436,0
2025-11-26T13:02:44.727840,2436,0
2025-11-26T13:02:45.783227,2431,0
2025-11-26T13:02:46.812081,2431,0
2025-11-26T13:02:47.840457,2418,0
2025-11-26T13:02:48.892907,2418,0
2025-11-26T13:02:49.922204,2355,0
2025-11-26T13:02:50.975203,2355,0
2025-11-26T13:02:52.005579,2376,0
2025-11-26T13:02:53.038903,2376,0
2025-11-26T13:02:54.076556,2333,0
2025-11-26T13:02:55.105561,2333,0
2025-11-26T13:02:56.134202,2426,0
2025-11-26T13:02:57.163255,2426,0
2025-11-26T13:02:58.194759,2217,0
2025-11-26T13:02:59.239086,2217,0
2025-11-26T13:03:00.293733,2323,0
2025-11-26T13:03:01.324331,2323,0
2025-11-26T13:03:02.356356,2344,0
2025-11-26T13:03:03.387611,2344,0
2025-11-26T13:03:04.415750,2285,0
2025-11-26T13:03:05.447611,2285,0
2025-11-26T13:03:06.487251,2503,0
2025-11-26T13:03:07.530393,2523,0
2025-11-26T13:03:08.566119,2523,0
2025-11-26T13:03:09.610220,2327,0
2025-11-26T13:03:10.638403,2327,0
2025-11-26T13:03:11.666081,2418,0
2025-11-26T13:03:12.696686,2418,0
2025-11-26T13:03:13.727387,2423,0
2025-11-26T13:03:14.756012,2423,0
2025-11-26T13:03:15.798092,2443,0
2025-11-26T13:03:16.829951,2443,0
2025-11-26T13:03:17.874055,2454,0
2025-11-26T13:03:18.984171,2454,0
2025-11-26T13:03:20.031616,2418,0
2025-11-26T13:03:21.077767,2418,0
2025-11-26T13:03:22.106145,2483,0
2025-11-26T13:03:23.135294,2483,0
2025-11-26T13:03:24.167134,2465,0
2025-11-26T13:03:25.204098,2465,0
2025-11-26T13:03:26.233717,2566,0
2025-11-26T13:03:27.262504,2566,0
2025-11-26T13:03:28.320770,2353,0
2025-11-26T13:03:29.348929,2353,0
2025-11-26T13:03:30.404264,2408,0
2025-11-26T13:03:31.438055,2408,0
2025-11-26T13:03:32.469095,2347,0
2025-11-26T13:03:33.510817,2492,0
2025-11-26T13:03:34.540531,2492,0
2025-11-26T13:03:35.602753,2452,0
2025-11-26T13:03:36.641023,2452,0
2025-11-26T13:03:37.671040,2475,0
2025-11-26T13:03:38.700472,2475,1
2025-11-26T13:03:39.733096,2413,1
2025-11-26T13:03:40.762386,2413,1
2025-11-26T13:03:41.791065,2371,1
2025-11-26T13:03:42.820081,2371,1
2025-11-26T13:03:43.848874,2314,1
2025-11-26T13:03:44.877891,2314,1
2025-11-26T13:03:45.906531,2376,1
2025-11-26T13:03:46.934558,2376,1
2025-11-26T13:03:47.978259,2424,1
2025-11-26T13:03:49.009319,2424,1
2025-11-26T13:03:50.059845,2426,1
2025-11-26T13:03:51.101102,2426,1
2025-11-26T13:03:52.184327,2416,1
2025-11-26T13:03:53.234164,2416,1
2025-11-26T13:03:54.263478,2308,1
2025-11-26T13:03:55.301243,2308,1
2025-11-26T13:03:56.331033,2411,1
2025-11-26T13:03:57.363402,2411,1
2025-11-26T13:03:58.393942,2474,1
2025-11-26T13:03:59.449553,2474,1
2025-11-26T13:04:00.507433,2404,1
2025-11-26T13:04:01.544563,2328,1
2025-11-26T13:04:02.575237,2328,1
2025-11-26T13:04:03.603361,2324,1
2025-11-26T13:04:04.646320,2324,1
2025-11-26T13:04:05.675370,2375,1
2025-11-26T13:04:06.723401,2375,1
2025-11-26T13:04:07.770701,2459,1
2025-11-26T13:04:08.798756,2459,1
2025-11-26T13:04:09.827406,2303,1
2025-11-26T13:04:10.861605,2303,1
2025-11-26T13:04:11.890875,2283,1
2025-11-26T13:04:12.919298,2283,1
2025-11-26T13:04:13.958312,2277,1
2025-11-26T13:04:14.988244,2277,1
2025-11-26T13:04:16.016698,2318,1
2025-11-26T13:04:17.065874,2318,1
2025-11-26T13:04:18.115191,2292,1
2025-11-26T13:04:19.158701,2292,1
2025-11-26T13:04:20.215637,2270,1
2025-11-26T13:04:21.261258,2270,1
2025-11-26T13:04:22.290617,2251,1
2025-11-26T13:04:23.352140,2251,1
2025-11-26T13:04:24.405794,2240,1
2025-11-26T13:04:25.456697,2240,1
2025-11-26T13:04:26.511162,2298,1
2025-11-26T13:04:27.540069,2315,1
2025-11-26T13:04:28.603671,2315,1
2025-11-26T13:04:29.633151,2218,1
2025-11-26T13:04:30.688496,2218,1
2025-11-26T13:04:31.732317,2265,1
2025-11-26T13:04:32.773663,2265,1
2025-11-26T13:04:33.808807,2510,1
2025-11-26T13:04:34.837831,2510,1
2025-11-26T13:04:35.906379,2380,1
2025-11-26T13:04:36.964326,2380,1
2025-11-26T13:04:37.999885,2370,1
2025-11-26T13:04:39.697664,2483,0
2025-11-26T13:04:40.746249,2483,0
2025-11-26T13:04:41.786035,2313,0
2025-11-26T13:04:42.814720,2313,0
2025-11-26T13:04:43.843495,2318,0
2025-11-26T13:04:44.882846,2318,0
2025-11-26T13:04:45.918055,2321,0
2025-11-26T13:04:46.974318,2321,0
2025-11-26T13:04:48.020739,2431,0
2025-11-26T13:04:49.049565,2431,0
2025-11-26T13:04:50.089075,2285,0
2025-11-26T13:04:51.121938,2285,0
2025-11-26T13:04:52.163437,2280,0
2025-11-26T13:04:53.206569,2280,0
2025-11-26T13:04:54.236529,2259,0
2025-11-26T13:04:55.287841,2259,0
2025-11-26T13:04:56.328850,2372,0
2025-11-26T13:04:57.367127,2372,0
2025-11-26T13:04:58.395626,2400,0
2025-11-26T13:04:59.477555,2400,0
2025-11-26T13:05:00.519387,2378,0
2025-11-26T13:05:01.556276,2228,0
2025-11-26T13:05:02.601919,2228,0
2025-11-26T13:05:03.631395,2253,0
2025-11-26T13:05:04.685770,2253,0
2025-11-26T13:05:05.731064,2384,0
2025-11-26T13:05:06.767447,2384,0
2025-11-26T13:05:07.826341,2330,0
2025-11-26T13:05:08.877772,2330,0
2025-11-26T13:05:09.930233,2357,0
2025-11-26T13:05:10.965156,2357,0
2025-11-26T13:05:12.010237,2308,0
2025-11-26T13:05:13.039350,2308,0
2025-11-26T13:05:14.069839,2376,0
2025-11-26T13:05:15.120626,2376,0
2025-11-26T13:05:16.152473,2280,0
2025-11-26T13:05:17.199035,2280,0
2025-11-26T13:05:18.227829,2252,0
2025-11-26T13:05:19.265831,2252,0
2025-11-26T13:05:20.301691,2306,0
2025-11-26T13:05:21.330473,2306,0
2025-11-26T13:05:22.363591,2311,0
2025-11-26T13:05:23.392939,2311,0
2025-11-26T13:05:24.447276,2329,0
2025-11-26T13:05:25.499833,2329,0
2025-11-26T13:05:26.540028,2249,0
2025-11-26T13:05:27.601806,2378,0
2025-11-26T13:05:28.637143,2378,0
2025-11-26T13:05:29.735620,2482,0
2025-11-26T13:05:30.769042,2482,0
2025-11-26T13:05:31.815831,2278,0
2025-11-26T13:05:32.872230,2278,0
2025-11-26T13:05:33.907815,2353,0
2025-11-26T13:05:34.936478,2353,0
2025-11-26T13:05:35.965030,2350,0
2025-11-26T13:05:37.000464,2350,0
2025-11-26T13:05:38.057613,2410,0
2025-11-26T13:05:39.090854,2410,0
2025-11-26T13:05:40.137534,2368,0
2025-11-26T13:05:41.167635,2368,0
2025-11-26T13:05:42.200472,2358,0
2025-11-26T13:05:43.238367,2358,0
2025-11-26T13:05:44.267557,2233,0
2025-11-26T13:05:45.328866,2233,0
2025-11-26T13:05:46.358997,2296,0
2025-11-26T13:05:47.407942,2296,0
2025-11-26T13:05:48.448745,2302,0
2025-11-26T13:05:49.485739,2302,0
2025-11-26T13:05:50.524917,2310,0
2025-11-26T13:05:51.556116,2396,0
2025-11-26T13:05:52.622049,2396,0
2025-11-26T13:05:53.656698,2300,0
2025-11-26T13:05:54.689543,2300,0
2025-11-26T13:05:55.728922,2265,0
2025-11-26T13:05:56.760304,2265,0
2025-11-26T13:05:57.793213,2320,0
2025-11-26T13:05:58.845625,2320,0
2025-11-26T13:05:59.875853,2265,0
2025-11-26T13:06:00.930162,2265,0
2025-11-26T13:06:01.992686,2337,0
2025-11-26T13:06:03.044332,2337,0
2025-11-26T13:06:04.079018,2327,0
2025-11-26T13:06:05.134431,2327,0
2025-11-26T13:06:06.167383,2283,0
2025-11-26T13:06:07.201078,2283,0
2025-11-26T13:06:08.231286,2332,0
2025-11-26T13:06:09.263301,2332,0
2025-11-26T13:06:10.293323,2305,0
2025-11-26T13:06:11.321739,2305,0
2025-11-26T13:06:12.367607,2282,0
2025-11-26T13:06:13.418240,2282,0
2025-11-26T13:06:14.474221,2338,0
2025-11-26T13:06:15.504632,2338,0
2025-11-26T13:06:16.534665,2245,0
2025-11-26T13:06:17.588385,2368,0
2025-11-26T13:06:18.644922,2368,0
2025-11-26T13:06:19.686776,2336,0
2025-11-26T13:06:20.724260,2336,0
2025-11-26T13:06:21.782499,2291,0
2025-11-26T13:06:22.818770,2291,0
2025-11-26T13:06:23.868103,2331,0
2025-11-26T13:06:24.896425,2331,0
2025-11-26T13:06:25.935672,2305,0
2025-11-26T13:06:26.979489,2305,0
2025-11-26T13:06:28.029711,2343,0
2025-11-26T13:06:29.068389,2343,0
2025-11-26T13:06:30.104440,2358,0
2025-11-26T13:06:31.154189,2358,0
2025-11-26T13:06:32.187345,2294,0
2025-11-26T13:06:33.225302,2294,0
2025-11-26T13:06:34.277072,2371,0
2025-11-26T13:06:35.311881,2371,0
2025-11-26T13:06:36.380379,2230,0
2025-11-26T13:06:37.409702,2230,0
2025-11-26T13:06:38.446368,2290,0
2025-11-26T13:06:39.552359,2290,0
2025-11-26T13:06:40.593079,2321,0
2025-11-26T13:06:41.622461,2307,0
2025-11-26T13:06:42.651364,2307,0
2025-11-26T13:06:43.736355,2317,0
2025-11-26T13:06:44.772886,2317,0
2025-11-26T13:06:45.803047,2385,0
2025-11-26T13:06:46.831679,2385,0
2025-11-26T13:06:47.860223,2271,0
2025-11-26T13:06:48.897690,2271,0
2025-11-26T13:06:49.927173,2392,0
