timestamp,power_mW,under_attack
2025-11-26T12:19:29.233345,2477,1
2025-11-26T12:19:30.264006,2465,1
2025-11-26T12:19:31.322766,2465,1
2025-11-26T12:19:32.365469,2453,1
2025-11-26T12:19:33.400789,2453,1
2025-11-26T12:19:34.431576,2517,1
2025-11-26T12:19:35.472575,2517,1
2025-11-26T12:19:36.505699,2359,1
2025-11-26T12:19:37.534002,2359,1
2025-11-26T12:19:38.561908,2521,1
2025-11-26T12:19:39.590617,2521,1
2025-11-26T12:19:40.632761,2477,1
2025-11-26T12:19:41.663236,2477,1
2025-11-26T12:19:42.743649,2475,1
2025-11-26T12:19:43.779306,2475,1
2025-11-26T12:19:44.814329,2390,1
2025-11-26T12:19:45.864292,2516,1
2025-11-26T12:19:46.908026,2516,1
2025-11-26T12:19:47.941533,2425,1
2025-11-26T12:19:48.972435,2425,1
2025-11-26T12:19:50.001646,2424,1
2025-11-26T12:19:51.058931,2424,1
2025-11-26T12:19:52.101292,2543,1
2025-11-26T12:19:53.128867,2543,1
2025-11-26T12:19:54.168842,2482,1
2025-11-26T12:19:55.230951,2482,1
2025-11-26T12:19:56.259341,2423,1
2025-11-26T12:19:57.287778,2423,1
2025-11-26T12:19:58.330747,2411,1
2025-11-26T12:19:59.372058,2411,1
2025-11-26T12:20:00.442203,2463,1
2025-11-26T12:20:01.474354,2463,1
2025-11-26T12:20:02.517439,2412,1
2025-11-26T12:20:03.547024,2412,1
2025-11-26T12:20:04.617500,2643,1
2025-11-26T12:20:05.695393,2643,1
2025-11-26T12:20:06.745615,2525,1
2025-11-26T12:20:07.774406,2525,1
2025-11-26T12:20:08.819824,2506,1
2025-11-26T12:20:09.850487,2548,1
2025-11-26T12:20:10.879106,2548,1
2025-11-26T12:20:11.907050,2371,1
2025-11-26T12:20:12.943793,2371,1
2025-11-26T12:20:13.979943,2584,1
2025-11-26T12:20:15.008601,2584,1
2025-11-26T12:20:16.042308,2421,1
2025-11-26T12:20:17.070071,2421,1
2025-11-26T12:20:18.122502,2446,1
2025-11-26T12:20:19.245398,2446,1
2025-11-26T12:20:20.322860,2543,1
2025-11-26T12:20:21.351629,2543,1
2025-11-26T12:20:22.382499,2620,1
2025-11-26T12:20:23.435735,2620,1
2025-11-26T12:20:24.470240,2584,1
2025-11-26T12:20:25.510194,2584,1
2025-11-26T12:20:26.570416,2497,1
2025-11-26T12:20:27.600444,2497,1
2025-11-26T12:20:28.630072,2492,1
2025-11-26T12:20:29.893150,2598,0
