timestamp,power_mW,under_attack
2025-11-26T10:58:18.999542,2510,1
2025-11-26T10:58:20.028909,2510,1
2025-11-26T10:58:21.071114,2676,1
2025-11-26T10:58:22.100530,2676,1
2025-11-26T10:58:23.146566,2723,1
2025-11-26T10:58:24.180010,2723,1
2025-11-26T10:58:25.207455,2476,1
2025-11-26T10:58:26.237265,2476,1
2025-11-26T10:58:27.269832,2476,1
2025-11-26T10:58:28.298580,2476,1
2025-11-26T10:58:29.335519,2467,1
2025-11-26T10:58:30.386935,2467,1
2025-11-26T10:58:31.418824,2473,1
2025-11-26T10:58:32.474265,2473,1
2025-11-26T10:58:33.503127,2563,1
2025-11-26T10:58:34.530635,2563,1
2025-11-26T10:58:35.558704,2615,1
2025-11-26T10:58:36.587854,2447,1
2025-11-26T10:58:37.619138,2447,1
2025-11-26T10:58:38.649259,2747,1
2025-11-26T10:58:39.681009,2747,1
2025-11-26T10:58:40.711681,2826,1
2025-11-26T10:58:41.756681,2826,1
2025-11-26T10:58:42.803959,2763,1
2025-11-26T10:58:43.833998,2763,1
2025-11-26T10:58:44.867767,2629,1
2025-11-26T10:58:45.897022,2629,1
2025-11-26T10:58:46.930441,2496,1
2025-11-26T10:58:47.960565,2496,1
2025-11-26T10:58:49.006150,2698,1
2025-11-26T10:58:50.049317,2698,1
2025-11-26T10:58:51.099126,2551,1
2025-11-26T10:58:52.145418,2551,1
2025-11-26T10:58:53.176913,2641,1
2025-11-26T10:58:54.207526,2641,1
2025-11-26T10:58:55.242258,2934,1
2025-11-26T10:58:56.274039,2934,1
2025-11-26T10:58:57.319603,2912,1
2025-11-26T10:58:58.348390,2912,1
2025-11-26T10:58:59.398200,2787,1
2025-11-26T10:59:00.427731,2787,1
2025-11-26T10:59:01.456615,2689,1
2025-11-26T10:59:02.484897,2689,1
2025-11-26T10:59:03.516033,2882,1
2025-11-26T10:59:04.560660,2882,1
2025-11-26T10:59:05.616174,2575,1
2025-11-26T10:59:06.666936,2599,1
2025-11-26T10:59:07.706599,2599,1
2025-11-26T10:59:08.735812,2633,1
2025-11-26T10:59:09.767629,2633,1
2025-11-26T10:59:10.812328,2541,1
2025-11-26T10:59:11.860571,2541,1
2025-11-26T10:59:12.907753,2511,1
2025-11-26T10:59:13.939344,2511,1
2025-11-26T10:59:15.037699,2582,1
2025-11-26T10:59:16.085213,2582,1
2025-11-26T10:59:17.114230,2751,1
2025-11-26T10:59:18.142262,2751,1
2025-11-26T10:59:21.644293,2782,0
2025-11-26T10:59:22.677239,2431,0
2025-11-26T10:59:23.738906,2431,0
2025-11-26T10:59:24.769870,2612,0
2025-11-26T10:59:25.811877,2612,0
2025-11-26T10:59:26.843853,2839,0
2025-11-26T10:59:27.872269,2839,0
2025-11-26T10:59:28.900674,2488,0
2025-11-26T10:59:29.929076,2488,0
2025-11-26T10:59:30.959400,2410,0
2025-11-26T10:59:31.987823,2410,0
2025-11-26T10:59:33.034225,2638,0
2025-11-26T10:59:34.081818,2638,0
2025-11-26T10:59:35.132063,2667,0
2025-11-26T10:59:36.162096,2667,0
2025-11-26T10:59:37.190946,2326,0
2025-11-26T10:59:38.220254,2326,0
2025-11-26T10:59:39.256902,2261,0
2025-11-26T10:59:40.285942,2261,0
2025-11-26T10:59:41.330564,2195,0
2025-11-26T10:59:42.378259,2195,0
2025-11-26T10:59:43.427659,2344,0
2025-11-26T10:59:44.457239,2344,0
2025-11-26T10:59:45.486572,2364,0
2025-11-26T10:59:46.516163,2364,0
2025-11-26T10:59:47.546310,2492,0
2025-11-26T10:59:48.575246,2492,0
2025-11-26T10:59:49.603717,2498,0
2025-11-26T10:59:50.637545,2415,0
2025-11-26T10:59:51.666333,2415,0
2025-11-26T10:59:52.695263,2640,0
2025-11-26T10:59:53.742404,2640,0
2025-11-26T10:59:54.772308,2745,0
2025-11-26T10:59:55.818662,2745,0
2025-11-26T10:59:56.854673,2876,0
2025-11-26T10:59:57.884551,2876,0
2025-11-26T10:59:58.914655,2479,0
2025-11-26T10:59:59.964290,2479,0
2025-11-26T11:00:00.992607,2467,0
2025-11-26T11:00:02.034955,2467,0
2025-11-26T11:00:03.065395,2597,0
2025-11-26T11:00:04.123759,2597,0
2025-11-26T11:00:05.161245,2655,0
2025-11-26T11:00:06.189935,2655,0
2025-11-26T11:00:07.218874,2378,0
2025-11-26T11:00:08.253456,2378,0
2025-11-26T11:00:09.281382,2364,0
2025-11-26T11:00:10.330685,2364,0
2025-11-26T11:00:11.381474,2454,0
2025-11-26T11:00:12.415958,2454,0
2025-11-26T11:00:13.444612,2397,0
2025-11-26T11:00:14.474249,2397,0
2025-11-26T11:00:15.503910,2367,0
2025-11-26T11:00:16.535893,2681,0
2025-11-26T11:00:17.572376,2681,0
2025-11-26T11:00:18.600399,2885,0
2025-11-26T11:00:19.630383,2490,0
2025-11-26T11:00:20.671855,2490,0
2025-11-26T11:00:21.727520,2575,0
2025-11-26T11:00:22.758056,2575,0
2025-11-26T11:00:23.785562,2466,0
2025-11-26T11:00:24.816161,2466,0
2025-11-26T11:00:25.849062,2421,0
2025-11-26T11:00:26.886783,2421,0
2025-11-26T11:00:27.915065,2350,0
2025-11-26T11:00:28.944829,2350,0
2025-11-26T11:00:29.993644,2464,0
2025-11-26T11:00:31.038873,2464,0
2025-11-26T11:00:32.069765,2752,0
2025-11-26T11:00:33.097497,2752,0
2025-11-26T11:00:34.125868,2796,0
2025-11-26T11:00:35.154196,2796,0
2025-11-26T11:00:36.190348,2486,0
2025-11-26T11:00:37.223926,2486,0
2025-11-26T11:00:38.253057,2511,0
2025-11-26T11:00:39.308701,2511,0
2025-11-26T11:00:40.337617,2454,0
2025-11-26T11:00:41.383284,2454,0
2025-11-26T11:00:42.412869,2377,0
2025-11-26T11:00:43.451807,2377,0
2025-11-26T11:00:44.486247,2251,0
2025-11-26T11:00:45.518697,2251,0
2025-11-26T11:00:46.546911,2753,0
2025-11-26T11:00:47.575188,2753,0
2025-11-26T11:00:48.604588,2845,0
2025-11-26T11:00:49.651238,2688,0
2025-11-26T11:00:50.717203,2688,0
2025-11-26T11:00:51.746387,2429,0
2025-11-26T11:00:52.776409,2429,0
2025-11-26T11:00:53.828935,2357,0
2025-11-26T11:00:54.875402,2357,0
2025-11-26T11:00:55.927404,2436,0
2025-11-26T11:00:56.957015,2436,0
2025-11-26T11:00:57.992954,2363,0
2025-11-26T11:00:59.031642,2363,0
2025-11-26T11:01:00.106523,2439,0
2025-11-26T11:01:01.147010,2439,0
2025-11-26T11:01:02.175661,2774,0
2025-11-26T11:01:03.213161,2867,0
2025-11-26T11:01:04.241726,2867,0
2025-11-26T11:01:05.271377,2553,0
2025-11-26T11:01:06.299737,2553,0
2025-11-26T11:01:07.335602,2530,0
2025-11-26T11:01:08.363656,2530,0
2025-11-26T11:01:09.426273,2395,0
2025-11-26T11:01:10.467638,2395,0
2025-11-26T11:01:11.495938,2492,0
2025-11-26T11:01:12.526283,2492,0
2025-11-26T11:01:13.555716,2490,0
2025-11-26T11:01:14.591441,2490,0
2025-11-26T11:01:15.630064,2453,0
2025-11-26T11:01:16.658229,2349,0
2025-11-26T11:01:17.689388,2349,0
2025-11-26T11:01:18.741490,2456,0
2025-11-26T11:01:19.784617,2456,0
2025-11-26T11:01:20.813350,2694,0
2025-11-26T11:01:21.845181,2694,0
2025-11-26T11:01:22.873841,2460,0
2025-11-26T11:01:23.907076,2460,0
2025-11-26T11:01:24.935725,2702,0
2025-11-26T11:01:25.964435,2702,0
2025-11-26T11:01:27.009832,2316,0
2025-11-26T11:01:28.052772,2316,0
2025-11-26T11:01:29.080881,2354,0
2025-11-26T11:01:30.127464,2354,0
2025-11-26T11:01:31.160706,2681,0
