timestamp,power_mW,under_attack
2025-11-25T21:30:08.469706,2041,1
2025-11-25T21:30:09.511318,2041,1
2025-11-25T21:30:10.550911,2055,1
2025-11-25T21:30:11.581751,2055,1
2025-11-25T21:30:12.609802,2069,1
2025-11-25T21:30:13.638288,2069,1
2025-11-25T21:30:14.683876,2121,1
2025-11-25T21:30:15.714020,2121,1
2025-11-25T21:30:16.756386,2152,1
2025-11-25T21:30:17.800227,2152,1
2025-11-25T21:30:18.841223,2084,1
2025-11-25T21:30:19.880260,2122,1
2025-11-25T21:30:20.910749,2122,1
2025-11-25T21:30:21.938564,2058,1
2025-11-25T21:30:22.980587,2058,1
2025-11-25T21:30:24.010331,2156,1
2025-11-25T21:30:25.053362,2156,1
2025-11-25T21:30:26.086570,2041,1
2025-11-25T21:30:27.124365,2041,1
2025-11-25T21:30:28.153504,2095,1
2025-11-25T21:30:29.181658,2095,1
2025-11-25T21:30:30.220048,2071,1
2025-11-25T21:30:31.248779,2071,1
2025-11-25T21:30:32.281896,2075,1
2025-11-25T21:30:33.322953,2075,1
2025-11-25T21:30:34.352157,2014,1
2025-11-25T21:30:35.397676,2014,1
2025-11-25T21:30:36.426010,2097,1
2025-11-25T21:30:37.455122,2097,1
2025-11-25T21:30:38.483179,2119,1
2025-11-25T21:30:39.549768,2119,1
2025-11-25T21:30:40.591912,2102,1
2025-11-25T21:30:41.655428,2102,1
2025-11-25T21:30:42.762517,2090,1
2025-11-25T21:30:43.791947,2090,1
2025-11-25T21:30:44.863079,2101,1
2025-11-25T21:30:45.892013,2129,1
2025-11-25T21:30:47.018366,2129,1
2025-11-25T21:30:48.046278,2057,1
2025-11-25T21:30:49.091676,2057,1
2025-11-25T21:30:50.151617,2087,1
2025-11-25T21:30:51.180885,2087,1
2025-11-25T21:30:52.211630,2078,1
2025-11-25T21:30:53.240094,2078,1
2025-11-25T21:30:54.268458,2108,1
2025-11-25T21:30:55.296438,2108,1
2025-11-25T21:30:56.323720,2006,1
2025-11-25T21:30:57.356350,2006,1
2025-11-25T21:30:58.385317,2115,1
2025-11-25T21:30:59.415643,2115,1
2025-11-25T21:31:00.460306,2032,1
2025-11-25T21:31:01.508909,2032,1
2025-11-25T21:31:02.546645,2064,1
2025-11-25T21:31:03.579342,2064,1
2025-11-25T21:31:04.606471,2128,1
2025-11-25T21:31:05.651403,2128,1
2025-11-25T21:31:06.679720,2080,1
2025-11-25T21:31:07.707565,2080,1
2025-11-25T21:44:11.323731,2049,0
2025-11-25T21:44:12.362024,2049,0
2025-11-25T21:44:13.400718,2069,0
2025-11-25T21:44:14.432694,2069,0
2025-11-25T21:44:15.494740,2134,0
2025-11-25T21:44:16.522167,2134,0
2025-11-25T21:44:17.569138,2107,0
2025-11-25T21:44:18.611599,2107,0
2025-11-25T21:44:19.640843,2082,0
2025-11-25T21:44:20.753807,2082,0
2025-11-25T21:44:21.782468,2078,0
2025-11-25T21:44:22.813054,2078,0
2025-11-25T21:44:23.841921,2107,0
2025-11-25T21:44:24.888802,2107,0
2025-11-25T21:44:25.920231,2033,0
2025-11-25T21:44:26.948360,2033,0
2025-11-25T21:44:27.984674,2122,0
2025-11-25T21:44:29.014066,2153,0
2025-11-25T21:44:30.058621,2153,0
2025-11-25T21:44:31.119673,2096,0
2025-11-25T21:44:32.148119,2096,0
2025-11-25T21:44:33.202167,2029,0
2025-11-25T21:44:34.285839,2029,0
2025-11-25T21:44:35.319033,2141,0
2025-11-25T21:44:36.359073,2141,0
2025-11-25T21:44:37.513564,2060,0
2025-11-25T21:44:38.558401,2060,0
2025-11-25T21:44:39.658470,2111,0
2025-11-25T21:44:40.728492,2111,0
2025-11-25T21:44:41.759818,2085,0
2025-11-25T21:44:42.791525,2085,0
2025-11-25T21:44:43.833187,2050,0
2025-11-25T21:44:44.861567,2050,0
2025-11-25T21:44:45.906314,2128,0
2025-11-25T21:44:46.944620,2128,0
2025-11-25T21:44:47.978586,2015,0
2025-11-25T21:44:49.006624,2156,0
2025-11-25T21:44:50.034373,2156,0
2025-11-25T21:44:51.063507,2166,0
2025-11-25T21:44:52.090918,2166,0
2025-11-25T21:44:53.119473,2032,0
2025-11-25T21:44:54.148342,2032,0
2025-11-25T21:44:55.198191,2218,0
2025-11-25T21:44:56.249916,2218,0
2025-11-25T21:44:57.330340,2056,0
2025-11-25T21:44:58.360941,2056,0
2025-11-25T21:44:59.396737,2070,0
2025-11-25T21:45:00.426360,2070,0
2025-11-25T21:45:01.477715,2025,0
2025-11-25T21:45:02.520316,2025,0
2025-11-25T21:45:03.548679,2070,0
2025-11-25T21:45:04.576774,2070,0
2025-11-25T21:45:05.604845,2174,0
2025-11-25T21:45:06.632845,2174,0
2025-11-25T21:45:07.662407,2150,0
2025-11-25T21:45:08.716057,2150,0
2025-11-25T21:45:09.782083,2098,0
2025-11-25T21:45:10.813893,2098,0
2025-11-25T21:45:11.854605,2118,0
2025-11-25T21:45:12.882912,2118,0
2025-11-25T21:45:13.911955,2031,0
2025-11-25T21:45:14.960912,2031,0
2025-11-25T21:45:15.995540,2101,0
2025-11-25T21:45:17.037535,2053,0
2025-11-25T21:45:18.099504,2053,0
2025-11-25T21:45:19.129681,2088,0
2025-11-25T21:45:20.166302,2088,0
2025-11-25T21:45:21.197190,2049,0
2025-11-25T21:45:22.229148,2049,0
2025-11-25T21:45:23.266734,2079,0
2025-11-25T21:45:24.305777,2079,0
2025-11-25T21:45:25.354684,2054,0
2025-11-25T21:45:26.381772,2054,0
2025-11-25T21:45:27.412350,2101,0
2025-11-25T21:45:28.444275,2101,0
2025-11-25T21:45:29.475747,2101,0
2025-11-25T21:45:30.504695,2101,0
2025-11-25T21:45:31.535804,2097,0
2025-11-25T21:45:32.580225,2097,0
2025-11-25T21:45:33.623123,2060,0
2025-11-25T21:45:34.654826,2060,0
2025-11-25T21:45:35.699693,2106,0
2025-11-25T21:45:36.728288,2106,0
2025-11-25T21:45:37.758320,2139,0
2025-11-25T21:45:38.786770,2139,0
2025-11-25T21:45:39.816268,2140,0
2025-11-25T21:45:40.844725,2140,0
2025-11-25T21:45:41.890094,2070,0
2025-11-25T21:45:42.919170,2070,0
2025-11-25T21:45:43.947645,2129,0
2025-11-25T21:45:44.995492,2129,0
2025-11-25T21:45:46.051635,2096,0
2025-11-25T21:45:47.091775,2186,0
2025-11-25T21:45:48.119516,2186,0
2025-11-25T21:45:49.174179,2072,0
2025-11-25T21:45:50.213220,2072,0
2025-11-25T21:45:51.263033,2030,0
2025-11-25T21:45:52.293871,2030,0
2025-11-25T21:45:53.324173,2131,0
2025-11-25T21:45:54.351286,2131,0
2025-11-25T21:45:55.379249,2072,0
2025-11-25T21:45:56.408416,2072,0
2025-11-25T21:45:57.487551,2065,0
2025-11-25T21:45:58.533163,2065,0
2025-11-25T21:45:59.563718,2092,0
2025-11-25T21:46:00.602302,2092,0
2025-11-25T21:46:01.633112,2101,0
2025-11-25T21:46:02.665570,2101,0
2025-11-25T21:46:03.737228,2018,0
2025-11-25T21:46:04.780882,2018,0
2025-11-25T21:46:05.811637,2130,0
2025-11-25T21:46:06.877451,2130,0
2025-11-25T21:46:07.908137,2084,0
2025-11-25T21:46:08.951266,2084,0
2025-11-25T21:46:09.981394,2111,0
2025-11-25T21:46:11.025223,2155,0
2025-11-25T21:46:12.054667,2155,0
2025-11-25T21:46:13.087932,2153,0
2025-11-25T21:46:14.118583,2153,0
2025-11-25T21:46:15.146581,2083,0
2025-11-25T21:46:16.175260,2083,0
2025-11-25T21:46:17.219251,2083,0
2025-11-25T21:46:18.247202,2083,0
2025-11-25T21:46:19.276322,2108,0
2025-11-25T21:46:20.319456,2108,0
2025-11-25T21:46:21.381128,2110,0
2025-11-25T21:46:22.425030,2110,0
2025-11-25T21:46:23.497623,2139,0
2025-11-25T21:46:24.542111,2139,0
2025-11-25T21:46:25.572544,2134,0
2025-11-25T21:46:26.604391,2134,0
2025-11-25T21:46:27.636241,2119,0
2025-11-25T21:46:28.698055,2119,0
2025-11-25T21:46:29.738492,2163,0
2025-11-25T21:46:30.767705,2163,0
2025-11-25T21:46:31.865819,2114,0
2025-11-25T21:46:32.893894,2114,0
2025-11-25T21:46:33.989009,2040,0
2025-11-25T21:46:35.036956,2176,0
2025-11-25T21:46:36.089581,2176,0
2025-11-25T21:46:37.140855,2102,0
2025-11-25T21:46:38.171233,2102,0
2025-11-25T21:46:39.200145,2134,0
2025-11-25T21:46:40.236072,2134,0
2025-11-25T21:46:41.264384,2022,0
2025-11-25T21:46:42.314950,2022,0
2025-11-25T21:46:43.358209,2114,0
2025-11-25T21:46:44.387804,2114,0
2025-11-25T21:46:45.441325,2076,0
2025-11-25T21:46:46.509288,2076,0
2025-11-25T21:46:47.558987,2056,0
2025-11-25T21:46:48.625112,2056,0
2025-11-25T21:46:49.658935,2129,0
2025-11-25T21:46:50.688519,2129,0
2025-11-25T21:46:51.717417,2124,0
2025-11-25T21:46:52.748037,2124,0
2025-11-25T21:46:53.777368,2096,0
2025-11-25T21:46:54.846197,2096,0
2025-11-25T21:46:55.876635,2124,0
2025-11-25T21:46:56.939191,2124,0
2025-11-25T21:46:57.974377,2084,0
2025-11-25T21:46:59.008247,2084,0
2025-11-25T21:47:00.050860,2079,0
2025-11-25T21:47:01.099184,2090,0
2025-11-25T21:47:02.126344,2090,0
2025-11-25T21:47:03.180158,2089,0
2025-11-25T21:47:04.208309,2089,0
2025-11-25T21:47:05.249893,2140,0
2025-11-25T21:47:06.362235,2140,0
2025-11-25T21:47:07.390870,2044,0
2025-11-25T21:47:08.420200,2044,0
2025-11-25T21:47:09.448915,2097,0
2025-11-25T21:47:10.476224,2097,0
2025-11-25T21:47:11.519118,1869,1
2025-11-25T21:47:12.548847,1869,1
2025-11-25T21:47:13.598520,1869,1
2025-11-25T21:47:14.629267,1711,1
2025-11-25T21:47:15.665337,1711,1
2025-11-25T21:47:16.713706,1711,1
2025-11-25T21:47:17.741514,1722,1
2025-11-25T21:47:18.791338,1722,1
2025-11-25T21:47:19.838417,1722,1
2025-11-25T21:47:20.879191,1825,1
2025-11-25T21:47:21.911575,1825,1
2025-11-25T21:47:22.939530,1817,1
2025-11-25T21:47:23.981211,1817,1
2025-11-25T21:47:25.012369,1817,1
2025-11-25T21:47:26.064237,1912,1
2025-11-25T21:47:27.107107,1912,1
2025-11-25T21:47:28.135415,1730,1
2025-11-25T21:47:29.186451,1730,1
2025-11-25T21:47:30.220951,1730,1
2025-11-25T21:47:31.259294,1737,1
