timestamp,power_mW,under_attack
2025-11-25T22:24:18.515073,2097,1
2025-11-25T22:24:19.565457,2081,1
2025-11-25T22:24:20.600523,2107,1
2025-11-25T22:24:21.629536,2107,1
2025-11-25T22:24:22.671852,2178,1
2025-11-25T22:24:23.701476,2178,1
2025-11-25T22:24:24.731322,2094,1
2025-11-25T22:24:25.788082,2094,1
2025-11-25T22:24:26.845791,2178,1
2025-11-25T22:24:27.874780,2178,1
2025-11-25T22:24:28.903407,1987,1
2025-11-25T22:24:29.931158,1987,1
2025-11-25T22:24:30.959201,2078,1
2025-11-25T22:24:32.003340,2078,1
2025-11-25T22:24:33.032506,2200,1
2025-11-25T22:24:34.061076,2200,1
2025-11-25T22:24:35.127541,2177,1
2025-11-25T22:24:36.157091,2177,1
2025-11-25T22:24:37.187790,2109,1
2025-11-25T22:24:38.218891,2109,1
2025-11-25T22:24:39.248915,2137,1
2025-11-25T22:24:40.277455,2137,1
2025-11-25T22:24:41.311141,2130,1
2025-11-25T22:24:42.339704,2130,1
2025-11-25T22:24:43.370194,2084,1
2025-11-25T22:24:44.427651,2084,1
2025-11-25T22:24:45.478695,2140,1
2025-11-25T22:24:46.513784,2140,1
2025-11-25T22:24:47.541572,2137,1
2025-11-25T22:24:48.569613,2137,1
2025-11-25T22:24:49.680739,2186,1
2025-11-25T22:24:50.718535,2147,1
2025-11-25T22:24:51.756038,2147,1
2025-11-25T22:24:52.821612,2089,1
2025-11-25T22:24:53.871261,2089,1
2025-11-25T22:24:54.930631,2064,1
2025-11-25T22:24:55.960457,2064,1
2025-11-25T22:24:56.989937,2081,1
2025-11-25T22:24:58.040991,2081,1
2025-11-25T22:24:59.069224,2094,1
2025-11-25T22:25:00.114495,2094,1
2025-11-25T22:25:01.152947,2089,1
2025-11-25T22:25:02.189175,2089,1
2025-11-25T22:25:03.231418,2180,1
2025-11-25T22:25:04.259427,2180,1
2025-11-25T22:25:05.355633,2112,1
2025-11-25T22:25:06.383214,2112,1
2025-11-25T22:25:07.413269,2116,1
2025-11-25T22:25:08.500298,2116,1
2025-11-25T22:25:09.545403,2106,1
2025-11-25T22:25:10.573025,2106,1
2025-11-25T22:25:11.600811,2099,1
2025-11-25T22:25:12.652004,2134,1
2025-11-25T22:25:13.679612,2134,1
