timestamp,power_mW,under_attack
2025-11-28T23:31:44.278710,1004,1
2025-11-28T23:31:45.309153,1029,1
2025-11-28T23:31:46.340565,1029,1
2025-11-28T23:31:47.373493,1158,1
2025-11-28T23:31:48.414890,1158,1
2025-11-28T23:31:49.444618,1158,1
2025-11-28T23:31:50.492291,1080,1
2025-11-28T23:31:51.522110,1080,1
2025-11-28T23:31:52.564063,999,1
2025-11-28T23:31:53.593589,999,1
2025-11-28T23:31:54.623292,999,1
2025-11-28T23:31:55.653738,1010,1
2025-11-28T23:31:56.683032,1010,1
2025-11-28T23:31:57.718870,1010,1
2025-11-28T23:31:58.748755,1071,1
2025-11-28T23:31:59.778557,1071,1
2025-11-28T23:32:00.832132,1080,1
2025-11-28T23:32:01.881841,1080,1
2025-11-28T23:32:02.925571,1080,1
2025-11-28T23:32:03.955007,957,1
2025-11-28T23:32:04.986376,957,1
2025-11-28T23:32:06.029305,1105,1
2025-11-28T23:32:07.060491,1105,1
2025-11-28T23:32:08.102701,1105,1
2025-11-28T23:32:09.132939,1006,1
2025-11-28T23:32:10.177360,1006,1
2025-11-28T23:32:11.206522,1006,1
2025-11-28T23:32:12.237427,947,1
2025-11-28T23:32:13.270232,947,1
2025-11-28T23:32:14.300108,1085,1
2025-11-28T23:32:15.340554,1085,1
2025-11-28T23:32:16.371220,1054,1
2025-11-28T23:32:17.403188,1054,1
2025-11-28T23:32:18.448047,1054,1
2025-11-28T23:32:19.478924,878,1
2025-11-28T23:32:20.517230,878,1
2025-11-28T23:32:21.554177,878,1
2025-11-28T23:32:22.584100,1046,1
2025-11-28T23:32:23.615402,1046,1
2025-11-28T23:32:24.647378,1046,1
2025-11-28T23:32:25.681664,992,1
2025-11-28T23:32:26.711260,992,1
2025-11-28T23:32:27.762224,958,1
2025-11-28T23:32:28.792672,958,1
2025-11-28T23:32:29.837356,958,1
2025-11-28T23:32:30.866498,950,1
2025-11-28T23:32:31.897051,950,1
2025-11-28T23:32:32.926596,950,1
2025-11-28T23:32:33.956795,899,1
2025-11-28T23:32:34.989375,899,1
2025-11-28T23:32:36.018706,899,1
2025-11-28T23:32:37.093959,932,1
2025-11-28T23:32:38.131680,932,1
2025-11-28T23:32:39.161721,932,1
2025-11-28T23:32:40.192641,970,1
2025-11-28T23:32:41.226129,970,1
2025-11-28T23:32:42.263531,970,1
2025-11-28T23:32:43.293041,905,1
2025-11-28T23:32:44.766318,975,0
2025-11-28T23:32:45.811115,975,0
2025-11-28T23:32:46.841261,975,0
2025-11-28T23:32:47.872112,963,0
