timestamp,power_mW,under_attack
2025-11-28T21:24:40.205025,960,1
2025-11-28T21:24:41.252712,960,1
2025-11-28T21:24:42.305757,965,1
2025-11-28T21:24:43.359009,965,1
2025-11-28T21:24:44.387588,965,1
2025-11-28T21:24:45.418956,979,1
2025-11-28T21:24:46.451882,979,1
2025-11-28T21:24:47.482387,950,1
2025-11-28T21:24:48.526630,950,1
2025-11-28T21:24:49.558405,937,1
2025-11-28T21:24:50.587700,937,1
2025-11-28T21:24:51.623451,937,1
2025-11-28T21:24:52.680656,969,1
2025-11-28T21:24:53.711684,969,1
2025-11-28T21:24:54.750791,969,1
2025-11-28T21:24:55.780900,1055,1
2025-11-28T21:24:56.810449,1055,1
2025-11-28T21:24:57.852054,1055,1
2025-11-28T21:24:58.897064,870,1
2025-11-28T21:24:59.945756,870,1
2025-11-28T21:25:00.979783,1014,1
2025-11-28T21:25:02.009202,1014,1
2025-11-28T21:25:03.039690,1014,1
2025-11-28T21:25:04.078855,960,1
2025-11-28T21:25:05.109871,960,1
2025-11-28T21:25:06.139427,960,1
2025-11-28T21:25:07.191080,968,1
2025-11-28T21:25:08.223754,968,1
2025-11-28T21:25:09.265822,1088,1
2025-11-28T21:25:10.296472,1088,1
2025-11-28T21:25:11.327501,1088,1
2025-11-28T21:25:12.360775,1015,1
2025-11-28T21:25:13.390643,1015,1
2025-11-28T21:25:14.420623,1015,1
2025-11-28T21:25:15.451734,891,1
2025-11-28T21:25:16.483762,1107,1
2025-11-28T21:25:17.513490,1107,1
2025-11-28T21:25:18.557790,1107,1
2025-11-28T21:25:19.588086,999,1
2025-11-28T21:25:20.630539,999,1
2025-11-28T21:25:21.660591,999,1
2025-11-28T21:25:22.691151,980,1
2025-11-28T21:25:23.721663,980,1
2025-11-28T21:25:24.751079,980,1
2025-11-28T21:25:25.794364,1060,1
2025-11-28T21:25:26.825698,1060,1
2025-11-28T21:25:27.856162,990,1
2025-11-28T21:25:28.900941,990,1
2025-11-28T21:25:29.953274,990,1
2025-11-28T21:25:30.997116,942,1
2025-11-28T21:25:32.025688,942,1
2025-11-28T21:25:33.055729,942,1
2025-11-28T21:25:34.087861,1052,1
2025-11-28T21:25:35.118219,1052,1
2025-11-28T21:25:36.149322,963,1
2025-11-28T21:25:37.194298,963,1
2025-11-28T21:25:38.227162,963,1
2025-11-28T21:25:39.268314,961,1
2025-11-28T21:25:40.953701,961,0
2025-11-28T21:25:41.983054,931,0
2025-11-28T21:25:43.012215,931,0
2025-11-28T21:25:44.052785,993,0
2025-11-28T21:25:45.083478,993,0
2025-11-28T21:25:46.130844,993,0
2025-11-28T21:25:47.160418,947,0
2025-11-28T21:25:48.190738,947,0
2025-11-28T21:25:49.238175,947,0
2025-11-28T21:25:50.267545,931,0
2025-11-28T21:25:51.300574,931,0
2025-11-28T21:25:52.346271,931,0
2025-11-28T21:25:53.376186,975,0
2025-11-28T21:25:54.450518,975,0
2025-11-28T21:25:55.480119,975,0
2025-11-28T21:25:56.520483,944,0
2025-11-28T21:25:57.552317,987,0
2025-11-28T21:25:58.594579,987,0
2025-11-28T21:25:59.626855,987,0
2025-11-28T21:26:00.670601,925,0
2025-11-28T21:26:01.700050,925,0
2025-11-28T21:26:02.729676,925,0
2025-11-28T21:26:03.761416,976,0
2025-11-28T21:26:04.790518,976,0
2025-11-28T21:26:05.837571,1237,0
2025-11-28T21:26:06.889508,1237,0
2025-11-28T21:26:07.939175,1237,0
2025-11-28T21:26:08.967618,1081,0
2025-11-28T21:26:09.997197,1081,0
2025-11-28T21:26:11.034610,1081,0
2025-11-28T21:26:12.068605,1142,0
2025-11-28T21:26:13.099378,1142,0
2025-11-28T21:26:14.138003,1142,0
2025-11-28T21:26:15.183296,1008,0
2025-11-28T21:26:16.212834,1008,0
2025-11-28T21:26:17.257355,1008,0
2025-11-28T21:26:18.287748,987,0
2025-11-28T21:26:19.318519,987,0
2025-11-28T21:26:20.347584,987,0
2025-11-28T21:26:21.376768,911,0
2025-11-28T21:26:22.406762,911,0
2025-11-28T21:26:23.445390,911,0
2025-11-28T21:26:24.475662,918,0
2025-11-28T21:26:25.527030,1002,0
2025-11-28T21:26:26.556987,1002,0
2025-11-28T21:26:27.600692,1002,0
2025-11-28T21:26:28.630725,930,0
2025-11-28T21:26:29.663733,930,0
2025-11-28T21:26:30.696649,930,0
2025-11-28T21:26:31.726120,956,0
2025-11-28T21:26:32.759900,956,0
2025-11-28T21:26:33.790930,956,0
2025-11-28T21:26:34.821178,1054,0
2025-11-28T21:26:35.868106,1054,0
2025-11-28T21:26:36.913149,1054,0
2025-11-28T21:26:37.941925,910,0
2025-11-28T21:26:38.971565,910,0
2025-11-28T21:26:40.000672,955,0
2025-11-28T21:26:41.030669,955,0
2025-11-28T21:26:42.118556,955,0
2025-11-28T21:26:43.164933,1053,0
2025-11-28T21:26:44.193490,1053,0
2025-11-28T21:26:45.222438,1053,0
2025-11-28T21:26:46.251887,963,0
2025-11-28T21:26:47.282157,963,0
2025-11-28T21:26:48.311629,963,0
2025-11-28T21:26:49.343202,925,0
2025-11-28T21:26:50.374184,925,0
2025-11-28T21:26:51.403202,1056,0
2025-11-28T21:26:52.432166,1056,0
2025-11-28T21:26:53.480917,1056,0
2025-11-28T21:26:54.512423,869,0
2025-11-28T21:26:55.555348,869,0
2025-11-28T21:26:56.589867,979,0
2025-11-28T21:26:57.620705,979,0
2025-11-28T21:26:58.652474,979,0
2025-11-28T21:26:59.682080,1049,0
2025-11-28T21:27:00.713532,1049,0
2025-11-28T21:27:01.743666,1049,0
2025-11-28T21:27:02.799609,913,0
2025-11-28T21:27:03.829826,913,0
2025-11-28T21:27:04.874486,965,0
2025-11-28T21:27:05.903948,965,0
2025-11-28T21:27:06.936910,965,0
2025-11-28T21:27:07.969378,1058,0
2025-11-28T21:27:09.001006,1058,0
2025-11-28T21:27:10.030629,1058,0
2025-11-28T21:27:11.060910,964,0
2025-11-28T21:27:12.094317,964,0
2025-11-28T21:27:13.143318,964,0
2025-11-28T21:27:14.172840,965,0
2025-11-28T21:27:15.216587,965,0
2025-11-28T21:27:16.246723,1032,0
2025-11-28T21:27:17.278730,1032,0
2025-11-28T21:27:18.325797,1032,0
2025-11-28T21:27:19.390573,919,0
2025-11-28T21:27:20.424127,919,0
2025-11-28T21:27:21.462054,919,0
2025-11-28T21:27:22.502131,883,0
2025-11-28T21:27:23.531678,883,0
2025-11-28T21:27:24.561023,1042,0
2025-11-28T21:27:25.605765,1042,0
2025-11-28T21:27:26.635161,1042,0
2025-11-28T21:27:27.664070,905,0
2025-11-28T21:27:28.706737,905,0
2025-11-28T21:27:29.735887,905,0
2025-11-28T21:27:30.780173,957,0
2025-11-28T21:27:31.810503,957,0
2025-11-28T21:27:32.841357,1019,0
2025-11-28T21:27:33.870838,1019,0
2025-11-28T21:27:34.913528,1019,0
2025-11-28T21:27:35.942996,937,0
2025-11-28T21:27:36.973055,937,0
2025-11-28T21:27:38.025314,937,0
2025-11-28T21:27:39.054832,936,0
2025-11-28T21:27:40.099954,936,0
2025-11-28T21:27:41.129097,936,0
2025-11-28T21:27:42.158622,986,0
2025-11-28T21:27:43.188183,986,0
2025-11-28T21:27:44.225415,986,0
2025-11-28T21:27:45.254814,906,0
2025-11-28T21:27:46.284145,906,0
2025-11-28T21:27:47.325594,977,0
2025-11-28T21:27:48.367891,977,0
2025-11-28T21:27:49.399767,977,0
2025-11-28T21:27:50.441051,967,0
2025-11-28T21:27:51.470183,967,0
2025-11-28T21:27:52.499797,967,0
