timestamp,power_mW,under_attack
2025-11-28T18:56:58.211304,639,1
2025-11-28T18:56:59.239489,639,1
2025-11-28T18:57:00.268644,639,1
2025-11-28T18:57:01.330432,619,1
2025-11-28T18:57:02.360675,619,1
2025-11-28T18:57:03.404576,619,1
2025-11-28T18:57:04.433665,619,1
2025-11-28T18:57:05.476843,565,1
2025-11-28T18:57:06.518721,565,1
2025-11-28T18:57:07.548795,565,1
2025-11-28T18:57:08.579387,565,1
2025-11-28T18:57:09.624320,580,1
2025-11-28T18:57:10.657583,580,1
2025-11-28T18:57:11.704933,580,1
2025-11-28T18:57:12.735421,580,1
2025-11-28T18:57:13.764258,580,1
2025-11-28T18:57:14.793260,591,1
2025-11-28T18:57:15.826431,591,1
2025-11-28T18:57:16.858711,591,1
2025-11-28T18:57:17.888194,591,1
2025-11-28T18:57:18.964470,550,1
2025-11-28T18:57:19.994504,550,1
2025-11-28T18:57:21.031032,550,1
2025-11-28T18:57:22.066659,550,1
2025-11-28T18:57:23.098254,550,1
2025-11-28T18:57:24.133500,571,1
2025-11-28T18:57:25.163059,571,1
2025-11-28T18:57:26.192306,571,1
2025-11-28T18:57:27.236889,571,1
2025-11-28T18:57:28.291103,571,1
2025-11-28T18:57:29.341155,581,1
2025-11-28T18:57:30.370420,581,1
2025-11-28T18:57:31.402477,581,1
2025-11-28T18:57:32.442371,581,1
2025-11-28T18:57:33.492416,573,1
2025-11-28T18:57:34.533456,573,1
2025-11-28T18:57:35.607221,573,1
2025-11-28T18:57:36.656131,573,1
2025-11-28T18:57:37.686070,526,1
2025-11-28T18:57:38.738659,526,1
2025-11-28T18:57:39.770374,526,1
2025-11-28T18:57:40.798674,526,1
2025-11-28T18:57:41.828089,575,1
2025-11-28T18:57:42.859089,575,1
2025-11-28T18:57:43.887529,575,1
2025-11-28T18:57:44.917231,575,1
2025-11-28T18:57:45.955356,575,1
2025-11-28T18:57:46.999545,621,1
2025-11-28T18:57:48.028589,621,1
2025-11-28T18:57:49.083666,621,1
2025-11-28T18:57:50.135665,621,1
2025-11-28T18:57:51.165235,617,1
2025-11-28T18:57:52.236536,617,1
2025-11-28T18:57:53.274316,617,1
2025-11-28T18:57:54.303956,617,1
2025-11-28T18:57:55.336027,617,1
2025-11-28T18:57:56.365150,550,1
2025-11-28T18:57:57.397036,550,1
2025-11-28T18:58:01.286688,609,0
2025-11-28T18:58:02.317635,609,0
2025-11-28T18:58:03.346528,609,0
2025-11-28T18:58:04.375802,609,0
2025-11-28T18:58:05.405525,578,0
2025-11-28T18:58:06.435837,578,0
2025-11-28T18:58:07.483095,578,0
2025-11-28T18:58:08.531268,578,0
2025-11-28T18:58:09.563708,569,0
2025-11-28T18:58:10.614033,569,0
2025-11-28T18:58:11.679175,569,0
2025-11-28T18:58:12.711402,569,0
2025-11-28T18:58:13.755707,569,0
2025-11-28T18:58:14.787358,566,0
2025-11-28T18:58:15.816318,566,0
2025-11-28T18:58:16.847195,566,0
2025-11-28T18:58:17.888878,566,0
2025-11-28T18:58:18.918370,516,0
2025-11-28T18:58:19.947213,516,0
2025-11-28T18:58:20.977745,516,0
2025-11-28T18:58:22.048657,516,0
2025-11-28T18:58:23.090604,516,0
2025-11-28T18:58:24.124183,520,0
2025-11-28T18:58:25.152439,520,0
2025-11-28T18:58:26.182450,520,0
2025-11-28T18:58:27.211461,520,0
2025-11-28T18:58:28.242817,520,0
2025-11-28T18:58:29.289905,574,0
2025-11-28T18:58:30.319324,574,0
2025-11-28T18:58:31.367897,574,0
2025-11-28T18:58:32.403057,574,0
2025-11-28T18:58:33.431842,574,0
2025-11-28T18:58:34.466280,619,0
2025-11-28T18:58:35.506253,619,0
2025-11-28T18:58:36.535899,619,0
2025-11-28T18:58:37.565653,549,0
2025-11-28T18:58:38.608627,549,0
2025-11-28T18:58:39.640585,549,0
2025-11-28T18:58:40.694179,549,0
2025-11-28T18:58:41.725791,549,0
2025-11-28T18:58:42.754956,569,0
2025-11-28T18:58:43.784825,569,0
2025-11-28T18:58:44.814464,569,0
2025-11-28T18:58:45.843909,569,0
2025-11-28T18:58:46.873176,569,0
2025-11-28T18:58:47.929397,523,0
2025-11-28T18:58:48.963950,523,0
2025-11-28T18:58:50.000930,523,0
2025-11-28T18:58:51.030106,523,0
2025-11-28T18:58:52.059905,523,0
2025-11-28T18:58:53.089664,533,0
2025-11-28T18:58:54.121776,533,0
2025-11-28T18:58:55.150839,533,0
2025-11-28T18:58:56.180233,533,0
2025-11-28T18:58:57.209201,577,0
2025-11-28T18:58:58.238661,577,0
2025-11-28T18:58:59.267718,577,0
2025-11-28T18:59:00.299679,577,0
2025-11-28T18:59:01.341205,577,0
2025-11-28T18:59:02.372647,574,0
2025-11-28T18:59:03.418033,574,0
2025-11-28T18:59:04.451432,574,0
2025-11-28T18:59:05.481519,574,0
2025-11-28T18:59:06.512155,574,0
2025-11-28T18:59:07.543016,601,0
2025-11-28T18:59:08.573825,601,0
2025-11-28T18:59:09.602559,601,0
2025-11-28T18:59:10.636513,601,0
2025-11-28T18:59:11.684887,547,0
2025-11-28T18:59:12.715866,547,0
2025-11-28T18:59:13.761920,547,0
2025-11-28T18:59:14.793040,547,0
2025-11-28T18:59:15.822069,551,0
2025-11-28T18:59:16.851446,551,0
2025-11-28T18:59:17.882146,551,0
2025-11-28T18:59:18.911486,551,0
2025-11-28T18:59:19.945019,551,0
2025-11-28T18:59:20.975585,569,0
2025-11-28T18:59:22.007165,569,0
2025-11-28T18:59:23.051059,569,0
2025-11-28T18:59:24.082812,569,0
2025-11-28T18:59:25.131293,569,0
2025-11-28T18:59:26.160377,577,0
2025-11-28T18:59:27.191247,577,0
2025-11-28T18:59:28.221852,577,0
2025-11-28T18:59:29.254603,577,0
2025-11-28T18:59:30.285458,577,0
