timestamp,power_mW,under_attack
2025-06-03T17:33:32.813678,2029,1
2025-06-03T17:33:33.842794,2029,1
2025-06-03T17:33:34.871402,2033,1
2025-06-03T17:33:35.900349,2033,1
2025-06-03T17:33:36.931653,2082,1
2025-06-03T17:33:37.972091,2082,1
2025-06-03T17:33:39.017052,2075,1
2025-06-03T17:33:40.051073,2075,1
2025-06-03T17:33:41.090949,2054,1
2025-06-03T17:33:42.126383,2054,1
2025-06-03T17:33:43.155041,2104,1
2025-06-03T17:33:44.185969,2104,1
2025-06-03T17:33:45.217378,2141,1
2025-06-03T17:33:46.247114,2141,1
2025-06-03T17:33:47.282807,2039,1
2025-06-03T17:33:48.312549,2072,1
2025-06-03T17:33:49.342187,2072,1
2025-06-03T17:33:50.384476,2028,1
2025-06-03T17:33:51.453057,2028,1
2025-06-03T17:33:52.485916,2058,1
2025-06-03T17:33:53.516076,2058,1
2025-06-03T17:33:54.559344,2111,1
2025-06-03T17:33:55.589800,2111,1
2025-06-03T17:33:56.630142,2059,1
2025-06-03T17:33:57.691809,2059,1
2025-06-03T17:33:58.725450,2085,1
2025-06-03T17:33:59.755221,2085,1
2025-06-03T17:34:00.794525,2060,1
2025-06-03T17:34:01.825302,2060,1
2025-06-03T17:34:02.857196,2054,1
2025-06-03T17:34:03.897557,2054,1
2025-06-03T17:34:04.927040,2117,1
2025-06-03T17:34:05.986349,2117,1
2025-06-03T17:34:07.015516,2058,1
2025-06-03T17:34:08.044976,2058,1
2025-06-03T17:34:09.075027,2108,1
2025-06-03T17:34:10.106682,2108,1
2025-06-03T17:34:11.137112,2061,1
2025-06-03T17:34:12.166733,2061,1
2025-06-03T17:34:13.218721,2081,1
2025-06-03T17:34:14.268735,2081,1
2025-06-03T17:34:15.307145,2134,1
2025-06-03T17:34:16.340042,2033,1
2025-06-03T17:34:17.369639,2033,1
2025-06-03T17:34:18.410118,2023,1
2025-06-03T17:34:19.439214,2023,1
2025-06-03T17:34:20.470476,2077,1
2025-06-03T17:34:21.514112,2077,1
2025-06-03T17:34:22.568271,2065,1
2025-06-03T17:34:23.600403,2065,1
2025-06-03T17:34:24.629273,2108,1
2025-06-03T17:34:25.660839,2108,1
2025-06-03T17:34:26.691779,2138,1
2025-06-03T17:34:27.722191,2138,1
2025-06-03T17:34:28.751510,2143,1
2025-06-03T17:34:29.781434,2143,1
2025-06-03T17:34:30.831558,2070,1
2025-06-03T17:34:31.882386,2070,1
2025-06-03T17:34:36.900823,2121,0
2025-06-03T17:34:37.930493,2121,0
2025-06-03T17:34:38.960830,2083,0
2025-06-03T17:34:39.990406,2083,0
2025-06-03T17:34:41.035448,2024,0
2025-06-03T17:34:42.065151,2024,0
2025-06-03T17:34:43.094296,2062,0
2025-06-03T17:34:44.144940,2062,0
2025-06-03T17:34:45.199688,2017,0
2025-06-03T17:34:46.237245,2017,0
2025-06-03T17:34:47.268864,2045,0
2025-06-03T17:34:48.298307,2045,0
2025-06-03T17:34:49.340197,2095,0
2025-06-03T17:34:50.371196,2035,0
2025-06-03T17:34:51.412128,2035,0
2025-06-03T17:34:52.441799,2139,0
2025-06-03T17:34:53.509129,2139,0
2025-06-03T17:34:54.544285,1994,0
2025-06-03T17:34:55.576599,1994,0
2025-06-03T17:34:56.606216,2033,0
2025-06-03T17:34:57.660582,2033,0
2025-06-03T17:34:58.710206,2094,0
2025-06-03T17:34:59.749162,2094,0
2025-06-03T17:35:00.814355,2046,0
2025-06-03T17:35:01.860526,2046,0
2025-06-03T17:35:02.907802,1980,0
2025-06-03T17:35:03.952848,1980,0
2025-06-03T17:35:04.982369,2063,0
2025-06-03T17:35:06.012138,2063,0
2025-06-03T17:35:07.054878,2087,0
2025-06-03T17:35:08.086903,2087,0
2025-06-03T17:35:09.129354,2045,0
2025-06-03T17:35:10.179482,2045,0
2025-06-03T17:35:11.208819,1996,0
2025-06-03T17:35:12.240174,1996,0
2025-06-03T17:35:13.269963,2051,0
2025-06-03T17:35:14.299364,2051,0
2025-06-03T17:35:15.330048,2038,0
2025-06-03T17:35:16.368064,2071,0
2025-06-03T17:35:17.399839,2071,0
2025-06-03T17:35:18.431195,2012,0
2025-06-03T17:35:19.472939,2012,0
2025-06-03T17:35:20.522114,2058,0
2025-06-03T17:35:21.552202,2058,0
2025-06-03T17:35:22.584420,2030,0
2025-06-03T17:35:23.614692,2030,0
2025-06-03T17:35:24.644032,2147,0
2025-06-03T17:35:25.676486,2147,0
2025-06-03T17:35:26.706107,2101,0
2025-06-03T17:35:27.735912,2101,0
2025-06-03T17:35:28.790259,2028,0
2025-06-03T17:35:29.826028,2028,0
2025-06-03T17:35:30.877752,1973,0
2025-06-03T17:35:31.907315,1973,0
2025-06-03T17:35:32.938139,1998,0
2025-06-03T17:35:33.971165,1998,0
2025-06-03T17:35:35.000453,2086,0
2025-06-03T17:35:36.036639,2086,0
2025-06-03T17:35:37.066968,2029,0
2025-06-03T17:35:38.108740,2029,0
2025-06-03T17:35:39.158647,2043,0
2025-06-03T17:35:40.189845,2043,0
2025-06-03T17:35:41.219034,2007,0
2025-06-03T17:35:42.248205,2007,0
2025-06-03T17:35:43.291952,2079,0
2025-06-03T17:35:44.321605,2079,0
2025-06-03T17:35:45.350627,2046,0
2025-06-03T17:35:46.381516,2099,0
2025-06-03T17:35:47.410457,2099,0
2025-06-03T17:35:48.451237,2018,0
2025-06-03T17:35:49.501099,2018,0
2025-06-03T17:35:50.530061,2110,0
2025-06-03T17:35:51.576994,2110,0
2025-06-03T17:35:52.605516,2004,0
2025-06-03T17:35:53.635775,2004,0
2025-06-03T17:35:54.664676,2033,0
2025-06-03T17:35:55.704214,2033,0
2025-06-03T17:35:56.742859,2078,0
2025-06-03T17:35:57.796413,2078,0
2025-06-03T17:35:58.825861,2032,0
2025-06-03T17:35:59.855138,2032,0
2025-06-03T17:36:00.883940,2104,0
2025-06-03T17:36:01.912624,2104,0
2025-06-03T17:36:02.942149,2059,0
2025-06-03T17:36:03.993175,2059,0
