timestamp,power_mW,under_attack
2025-06-04T22:20:20.928557,1734,1
2025-06-04T22:20:21.959766,1734,1
2025-06-04T22:20:23.002679,1812,1
2025-06-04T22:20:24.030941,1812,1
2025-06-04T22:20:25.058929,1812,1
2025-06-04T22:20:26.087481,1696,1
2025-06-04T22:20:27.137417,1696,1
2025-06-04T22:20:28.165738,1740,1
2025-06-04T22:20:29.223987,1740,1
2025-06-04T22:20:30.257645,1779,1
2025-06-04T22:20:31.296944,1779,1
2025-06-04T22:20:32.326236,1779,1
2025-06-04T22:20:33.355220,1817,1
2025-06-04T22:20:34.384281,1817,1
2025-06-04T22:20:35.417458,1813,1
2025-06-04T22:20:36.447104,1813,1
2025-06-04T22:20:37.476462,1813,1
2025-06-04T22:20:38.518664,1798,1
2025-06-04T22:20:39.547491,1798,1
2025-06-04T22:20:40.622720,1798,1
2025-06-04T22:20:41.651774,1821,1
2025-06-04T22:20:42.681107,1821,1
2025-06-04T22:20:43.723329,1821,1
2025-06-04T22:20:44.753085,1853,1
2025-06-04T22:20:45.782076,1853,1
2025-06-04T22:20:46.835117,1853,1
2025-06-04T22:20:47.866351,1817,1
2025-06-04T22:20:48.909297,1817,1
2025-06-04T22:20:49.938463,1748,1
2025-06-04T22:20:50.969330,1748,1
2025-06-04T22:20:52.003342,1831,1
2025-06-04T22:20:53.033245,1831,1
2025-06-04T22:20:54.062102,1831,1
2025-06-04T22:20:55.089895,1816,1
2025-06-04T22:20:56.120692,1816,1
2025-06-04T22:20:57.150212,1816,1
2025-06-04T22:20:58.179975,1811,1
2025-06-04T22:20:59.209122,1811,1
2025-06-04T22:21:00.246981,1818,1
2025-06-04T22:21:01.275553,1818,1
2025-06-04T22:21:02.304522,1818,1
2025-06-04T22:21:03.347215,1830,1
2025-06-04T22:21:04.377404,1830,1
2025-06-04T22:21:05.406669,1830,1
2025-06-04T22:21:06.444224,1720,1
2025-06-04T22:21:07.472529,1720,1
2025-06-04T22:21:08.500748,1720,1
2025-06-04T22:21:09.532316,1805,1
2025-06-04T22:21:10.562368,1805,1
2025-06-04T22:21:11.592917,1858,1
2025-06-04T22:21:12.643632,1858,1
2025-06-04T22:21:13.672401,1858,1
2025-06-04T22:21:14.713752,1799,1
2025-06-04T22:21:15.752651,1799,1
2025-06-04T22:21:16.781631,1799,1
2025-06-04T22:21:17.811078,1733,1
2025-06-04T22:21:18.856132,1733,1
2025-06-04T22:21:19.885869,1854,1
2025-06-04T22:21:21.466794,1854,0
2025-06-04T22:21:22.495483,1854,0
2025-06-04T22:21:23.524928,1797,0
2025-06-04T22:21:24.560742,1797,0
2025-06-04T22:21:25.589531,1797,0
2025-06-04T22:21:26.620006,1801,0
2025-06-04T22:21:27.664916,1801,0
2025-06-04T22:21:28.693677,1801,0
2025-06-04T22:21:29.740737,1737,0
2025-06-04T22:21:30.770178,1737,0
2025-06-04T22:21:31.813936,1737,0
2025-06-04T22:21:32.843244,1721,0
2025-06-04T22:21:33.873732,1721,0
2025-06-04T22:21:34.904022,1747,0
2025-06-04T22:21:35.931859,1747,0
2025-06-04T22:21:36.972710,1747,0
2025-06-04T22:21:38.004611,1765,0
2025-06-04T22:21:39.033219,1765,0
2025-06-04T22:21:40.088682,1674,0
2025-06-04T22:21:41.132489,1674,0
2025-06-04T22:21:42.162980,1747,0
2025-06-04T22:21:43.191886,1747,0
2025-06-04T22:21:44.231047,1747,0
2025-06-04T22:21:45.260023,1783,0
2025-06-04T22:21:46.289066,1783,0
2025-06-04T22:21:47.318326,1783,0
2025-06-04T22:21:48.350094,1710,0
2025-06-04T22:21:49.384215,1710,0
2025-06-04T22:21:50.425371,1710,0
2025-06-04T22:21:51.455075,1761,0
2025-06-04T22:21:52.499903,1761,0
2025-06-04T22:21:53.529152,1694,0
2025-06-04T22:21:54.558173,1694,0
2025-06-04T22:21:55.589317,1708,0
2025-06-04T22:21:56.622061,1708,0
2025-06-04T22:21:57.649898,1708,0
2025-06-04T22:21:58.692170,1624,0
2025-06-04T22:21:59.721344,1624,0
2025-06-04T22:22:00.750666,1685,0
2025-06-04T22:22:01.791727,1685,0
2025-06-04T22:22:02.821125,1738,0
2025-06-04T22:22:03.865934,1738,0
2025-06-04T22:22:04.898255,1738,0
2025-06-04T22:22:05.927175,1695,0
2025-06-04T22:22:06.956212,1710,0
2025-06-04T22:22:07.985856,1710,0
2025-06-04T22:22:09.014831,1710,0
2025-06-04T22:22:10.086239,1671,0
2025-06-04T22:22:11.116325,1671,0
2025-06-04T22:22:12.160821,1671,0
2025-06-04T22:22:13.189727,1686,0
2025-06-04T22:22:14.219150,1686,0
2025-06-04T22:22:15.248442,1686,0
2025-06-04T22:22:16.277695,1748,0
2025-06-04T22:22:17.313135,1748,0
2025-06-04T22:22:18.342805,1748,0
2025-06-04T22:22:19.390163,1744,0
2025-06-04T22:22:20.428523,1744,0
2025-06-04T22:22:21.457778,1735,0
2025-06-04T22:22:22.502047,1735,0
2025-06-04T22:22:23.532087,1690,0
2025-06-04T22:22:24.561117,1690,0
2025-06-04T22:22:25.590796,1690,0
2025-06-04T22:22:26.626690,1746,0
2025-06-04T22:22:27.655487,1746,0
2025-06-04T22:22:28.684457,1726,0
2025-06-04T22:22:29.724269,1726,0
2025-06-04T22:22:30.753775,1678,0
2025-06-04T22:22:31.794999,1678,0
2025-06-04T22:22:32.827777,1678,0
2025-06-04T22:22:33.869722,1767,0
2025-06-04T22:22:34.898513,1767,0
2025-06-04T22:22:35.931138,1703,0
2025-06-04T22:22:36.960964,1703,0
2025-06-04T22:22:37.993659,1730,0
2025-06-04T22:22:39.032535,1730,0
2025-06-04T22:22:40.062789,1732,0
2025-06-04T22:22:41.091543,1732,0
2025-06-04T22:22:42.140372,1732,0
2025-06-04T22:22:43.170261,1682,0
2025-06-04T22:22:44.210872,1682,0
2025-06-04T22:22:45.241223,1701,0
2025-06-04T22:22:46.270618,1701,0
2025-06-04T22:22:47.301005,1689,0
2025-06-04T22:22:48.341748,1689,0
2025-06-04T22:22:49.372093,1689,0
2025-06-04T22:22:50.400074,1691,0
2025-06-04T22:22:51.455715,1691,0
2025-06-04T22:22:52.484507,1691,0
2025-06-04T22:22:53.528759,1691,0
2025-06-04T22:22:54.561242,1691,0
2025-06-04T22:22:55.590640,1701,0
2025-06-04T22:22:56.621160,1701,0
2025-06-04T22:22:57.651052,1701,0
2025-06-04T22:22:58.679697,1739,0
2025-06-04T22:22:59.708056,1739,0
2025-06-04T22:23:00.736677,1739,0
2025-06-04T22:23:01.765440,1704,0
2025-06-04T22:23:02.795165,1704,0
2025-06-04T22:23:03.823324,1708,0
2025-06-04T22:23:04.870388,1708,0
2025-06-04T22:23:05.898697,1691,0
2025-06-04T22:23:06.943258,1691,0
2025-06-04T22:23:07.972337,1743,0
2025-06-04T22:23:09.003607,1743,0
2025-06-04T22:23:10.032676,1743,0
2025-06-04T22:23:11.061733,1701,0
2025-06-04T22:23:12.091187,1701,0
2025-06-04T22:23:13.121527,1680,0
2025-06-04T22:23:14.165392,1680,0
2025-06-04T22:23:15.194384,1680,0
2025-06-04T22:23:16.236484,1678,0
2025-06-04T22:23:17.267985,1678,0
2025-06-04T22:23:18.310245,1678,0
2025-06-04T22:23:19.339056,1698,0
2025-06-04T22:23:20.372632,1698,0
2025-06-04T22:23:21.408066,1698,0
2025-06-04T22:23:22.437023,1694,0
2025-06-04T22:23:23.474646,1694,0
2025-06-04T22:23:24.503700,1681,0
2025-06-04T22:23:25.532499,1681,0
2025-06-04T22:23:26.561444,1721,0
2025-06-04T22:23:27.603028,1721,0
2025-06-04T22:23:28.632730,1721,0
2025-06-04T22:23:29.676242,1776,0
2025-06-04T22:23:30.709103,1776,0
2025-06-04T22:23:31.737835,1776,0
2025-06-04T22:23:32.767299,1744,0
2025-06-04T22:23:33.801008,1744,0
2025-06-04T22:23:34.829808,1717,0
2025-06-04T22:23:35.859517,1717,0
2025-06-04T22:23:36.888840,1713,0
2025-06-04T22:23:37.920835,1713,0
