timestamp,power_mW,under_attack
2025-06-04T21:39:17.475548,1668,1
2025-06-04T21:39:18.516469,1668,1
2025-06-04T21:39:19.565736,1696,1
2025-06-04T21:39:20.594186,1696,1
2025-06-04T21:39:21.623909,1836,1
2025-06-04T21:39:22.660629,1836,1
2025-06-04T21:39:23.689931,1836,1
2025-06-04T21:39:24.719347,1916,1
2025-06-04T21:39:25.786879,1916,1
2025-06-04T21:39:26.817018,1843,1
2025-06-04T21:39:27.860837,1843,1
2025-06-04T21:39:28.890819,1866,1
2025-06-04T21:39:29.920207,1866,1
2025-06-04T21:39:30.949411,1866,1
2025-06-04T21:39:31.981515,1884,1
2025-06-04T21:39:33.010942,1884,1
2025-06-04T21:39:34.040301,2610,1
2025-06-04T21:39:35.072258,2610,1
2025-06-04T21:39:36.101957,2610,1
2025-06-04T21:39:37.135913,1867,1
2025-06-04T21:39:38.177294,1867,1
2025-06-04T21:39:39.206006,1867,1
2025-06-04T21:39:40.250806,1794,1
2025-06-04T21:39:41.280425,1794,1
2025-06-04T21:39:42.315431,1801,1
2025-06-04T21:39:43.344950,1801,1
2025-06-04T21:39:44.380801,1809,1
2025-06-04T21:39:45.409702,1809,1
2025-06-04T21:39:46.438694,1809,1
2025-06-04T21:39:47.467591,1817,1
2025-06-04T21:39:48.502506,1817,1
2025-06-04T21:39:49.543700,1862,1
2025-06-04T21:39:50.593986,1862,1
2025-06-04T21:39:51.623082,1862,1
2025-06-04T21:39:52.654072,1838,1
2025-06-04T21:39:53.689054,1838,1
2025-06-04T21:39:54.718139,1838,1
2025-06-04T21:39:55.746975,1831,1
2025-06-04T21:39:56.776187,1831,1
2025-06-04T21:39:57.806306,1829,1
2025-06-04T21:39:58.835358,1829,1
2025-06-04T21:39:59.868162,1901,1
2025-06-04T21:40:00.910074,1901,1
2025-06-04T21:40:01.938746,1901,1
2025-06-04T21:40:02.983734,1845,1
2025-06-04T21:40:04.013007,1845,1
2025-06-04T21:40:05.042835,1864,1
2025-06-04T21:40:06.071140,1864,1
2025-06-04T21:40:07.100731,1864,1
2025-06-04T21:40:08.129153,1915,1
2025-06-04T21:40:09.157137,1915,1
2025-06-04T21:40:10.185843,1871,1
2025-06-04T21:40:11.214034,1871,1
2025-06-04T21:40:12.242534,1874,1
2025-06-04T21:40:13.271181,1874,1
2025-06-04T21:40:14.324462,1806,1
2025-06-04T21:40:15.353690,1806,1
2025-06-04T21:40:16.398423,1806,1
2025-06-04T21:40:17.427187,1800,1
2025-06-04T21:40:20.366031,1846,0
2025-06-04T21:40:21.396509,1846,0
2025-06-04T21:40:22.447077,1783,0
2025-06-04T21:40:23.476109,1783,0
2025-06-04T21:40:24.505229,1783,0
2025-06-04T21:40:25.534163,1705,0
2025-06-04T21:40:26.563882,1705,0
2025-06-04T21:40:27.593150,1695,0
2025-06-04T21:40:28.626053,1695,0
2025-06-04T21:40:29.654879,1702,0
2025-06-04T21:40:30.684282,1702,0
2025-06-04T21:40:31.733150,1702,0
2025-06-04T21:40:32.762811,1725,0
2025-06-04T21:40:33.807058,1725,0
2025-06-04T21:40:34.835296,1732,0
2025-06-04T21:40:35.864194,1732,0
2025-06-04T21:40:36.892738,1638,0
2025-06-04T21:40:37.932713,1638,0
2025-06-04T21:40:38.961195,1638,0
2025-06-04T21:40:39.995308,1735,0
2025-06-04T21:40:41.050870,1735,0
2025-06-04T21:40:42.079626,1725,0
2025-06-04T21:40:43.124778,1725,0
2025-06-04T21:40:44.153155,1776,0
2025-06-04T21:40:45.181872,1776,0
2025-06-04T21:40:46.210328,1776,0
2025-06-04T21:40:47.241201,1678,0
2025-06-04T21:40:48.269618,1678,0
2025-06-04T21:40:49.300240,1678,0
2025-06-04T21:40:50.332684,1670,0
