timestamp,power_mW,under_attack
2025-11-26T14:14:12.632988,5188,0
2025-11-26T14:14:13.666702,5233,0
2025-11-26T14:14:14.775265,5233,0
2025-11-26T14:14:15.805296,5461,0
2025-11-26T14:14:16.836749,5461,0
2025-11-26T14:14:17.869959,5407,0
2025-11-26T14:14:18.915549,5407,0
2025-11-26T14:14:19.971656,5317,0
2025-11-26T14:14:21.015042,5317,0
2025-11-26T14:14:22.053049,5282,0
2025-11-26T14:14:23.088537,5507,0
2025-11-26T14:14:24.118930,5507,0
2025-11-26T14:14:25.164834,5367,0
2025-11-26T14:14:26.211344,5367,0
2025-11-26T14:14:27.253837,5270,0
2025-11-26T14:14:28.284347,5270,0
2025-11-26T14:14:29.317919,5334,0
2025-11-26T14:14:30.348455,5334,0
2025-11-26T14:14:31.378494,5322,0
2025-11-26T14:14:32.408014,5322,0
2025-11-26T14:14:33.437742,5462,0
2025-11-26T14:14:34.472640,5462,0
2025-11-26T14:14:35.502386,5455,0
2025-11-26T14:14:36.537572,5528,0
2025-11-26T14:14:37.587599,5528,0
2025-11-26T14:14:38.636022,5180,0
2025-11-26T14:14:39.706251,5180,0
2025-11-26T14:14:40.735726,5486,0
2025-11-26T14:14:41.781018,5486,0
2025-11-26T14:14:42.828284,5308,0
2025-11-26T14:14:43.862809,5308,0
2025-11-26T14:14:44.904333,5808,0
2025-11-26T14:14:45.938356,5808,0
2025-11-26T14:14:46.968582,5273,0
2025-11-26T14:14:47.998463,5273,0
2025-11-26T14:14:49.047321,5290,0
2025-11-26T14:14:50.098601,5290,0
2025-11-26T14:14:51.128660,5462,0
2025-11-26T14:14:52.157742,6750,0
2025-11-26T14:14:53.200105,6750,0
2025-11-26T14:14:54.249510,7286,0
2025-11-26T14:14:55.296870,7286,0
2025-11-26T14:14:56.359772,6195,0
2025-11-26T14:14:57.393502,6195,0
2025-11-26T14:14:58.435746,6427,0
2025-11-26T14:14:59.466480,6427,0
2025-11-26T14:15:00.497644,6941,0
2025-11-26T14:15:01.551276,7501,0
2025-11-26T14:15:02.598520,7501,0
2025-11-26T14:15:03.632344,7372,0
2025-11-26T14:15:04.664078,7372,0
2025-11-26T14:15:05.710233,5567,0
2025-11-26T14:15:06.771013,5567,0
2025-11-26T14:15:07.815497,6777,0
2025-11-26T14:15:08.861268,7006,0
2025-11-26T14:15:09.936715,7006,0
2025-11-26T14:15:10.965924,6053,0
2025-11-26T14:15:12.012954,8217,0
2025-11-26T14:15:13.042063,8217,0
2025-11-26T14:15:14.073351,5640,0
2025-11-26T14:15:15.161861,5302,0
2025-11-26T14:15:16.212950,5302,0
2025-11-26T14:15:17.244589,5756,0
2025-11-26T14:15:18.283388,5756,0
2025-11-26T14:15:19.314125,6273,0
2025-11-26T14:15:20.415527,6273,0
2025-11-26T14:15:21.445318,5786,0
2025-11-26T14:15:22.482438,5786,0
2025-11-26T14:15:23.518408,6115,0
2025-11-26T14:15:24.550606,5722,0
2025-11-26T14:15:25.580595,5722,0
2025-11-26T14:15:26.635514,6158,0
2025-11-26T14:15:27.685266,6158,0
2025-11-26T14:15:28.725557,5776,0
2025-11-26T14:15:29.774668,5776,0
2025-11-26T14:15:30.806190,6115,0
2025-11-26T14:15:31.854011,6115,0
2025-11-26T14:15:32.901041,5578,0
2025-11-26T14:15:33.953734,5578,0
2025-11-26T14:15:34.985532,5270,0
2025-11-26T14:15:36.055113,5270,0
2025-11-26T14:15:37.100222,6148,0
2025-11-26T14:15:38.136663,6148,0
2025-11-26T14:15:39.175220,6241,0
2025-11-26T14:15:40.206807,6241,0
2025-11-26T14:15:41.236137,5923,0
2025-11-26T14:15:42.265665,5346,0
2025-11-26T14:15:43.295237,5346,0
2025-11-26T14:15:44.340948,5844,0
2025-11-26T14:15:45.373557,5844,0
2025-11-26T14:15:46.418851,5422,0
2025-11-26T14:15:47.468099,5422,0
2025-11-26T14:15:48.498493,6729,0
2025-11-26T14:15:49.541404,6696,0
2025-11-26T14:15:50.662131,6696,0
2025-11-26T14:15:51.697262,6601,0
2025-11-26T14:15:52.742181,6601,0
2025-11-26T14:15:53.774402,6434,0
2025-11-26T14:15:54.814649,6434,0
2025-11-26T14:15:55.874525,5253,0
2025-11-26T14:15:56.904039,5253,0
2025-11-26T14:15:57.933205,7157,0
2025-11-26T14:15:58.967688,7157,0
2025-11-26T14:16:00.009051,5339,0
2025-11-26T14:16:01.067593,5339,0
2025-11-26T14:16:02.098937,6644,0
2025-11-26T14:16:03.210456,7163,0
