timestamp,power_mW,under_attack
2025-11-26T10:52:35.986537,6552,1
2025-11-26T10:52:37.031442,6552,1
2025-11-26T10:52:38.068023,5812,1
2025-11-26T10:52:39.100702,5812,1
2025-11-26T10:52:40.156091,6288,1
2025-11-26T10:52:41.205860,6288,1
2025-11-26T10:52:42.256893,5814,1
2025-11-26T10:52:43.287833,5814,1
2025-11-26T10:52:44.317770,6404,1
2025-11-26T10:52:45.349398,6404,1
2025-11-26T10:52:46.381557,8482,1
2025-11-26T10:52:47.428951,7206,1
2025-11-26T10:52:48.474566,7206,1
2025-11-26T10:52:49.568329,6379,1
2025-11-26T10:52:50.598795,6379,1
2025-11-26T10:52:51.628491,6944,1
2025-11-26T10:52:52.673572,6944,1
2025-11-26T10:52:53.704505,6241,1
2025-11-26T10:52:54.746769,6093,1
2025-11-26T10:52:55.776227,6093,1
2025-11-26T10:52:56.806586,6830,1
2025-11-26T10:52:57.837651,6830,1
2025-11-26T10:52:58.871726,7096,1
2025-11-26T10:52:59.913588,7096,1
2025-11-26T10:53:00.995192,6516,1
2025-11-26T10:53:02.026652,6516,1
2025-11-26T10:53:03.060084,6459,1
2025-11-26T10:53:04.091873,6459,1
2025-11-26T10:53:05.167855,7647,1
2025-11-26T10:53:06.215989,6947,1
2025-11-26T10:53:07.265471,6947,1
2025-11-26T10:53:08.298164,5765,1
2025-11-26T10:53:09.331495,5765,1
2025-11-26T10:53:10.368872,6497,1
2025-11-26T10:53:11.475530,6497,1
2025-11-26T10:53:12.547534,8322,1
2025-11-26T10:53:13.592247,8322,1
2025-11-26T10:53:14.655024,5914,1
2025-11-26T10:53:15.686610,7679,1
2025-11-26T10:53:16.718563,7679,1
2025-11-26T10:53:17.761601,6217,1
2025-11-26T10:53:18.793778,7156,1
2025-11-26T10:53:19.831272,7156,1
2025-11-26T10:53:20.876531,6316,1
2025-11-26T10:53:21.909755,6316,1
2025-11-26T10:53:22.938994,7296,1
2025-11-26T10:53:23.979706,7296,1
2025-11-26T10:53:25.009027,5545,1
2025-11-26T10:53:26.037849,5545,1
2025-11-26T10:53:27.093359,5613,1
2025-11-26T10:53:28.129756,5613,1
2025-11-26T10:53:29.159100,5991,1
2025-11-26T10:53:30.189712,8511,1
2025-11-26T10:53:31.221244,8511,1
2025-11-26T10:53:32.251024,9659,1
2025-11-26T10:53:33.291675,5695,1
2025-11-26T10:53:34.322423,5695,1
2025-11-26T10:53:35.353530,6301,1
2025-11-26T10:53:39.145305,6743,0
2025-11-26T10:53:40.187300,6103,0
2025-11-26T10:53:41.219854,6103,0
2025-11-26T10:53:42.259247,6344,0
2025-11-26T10:53:43.295287,6344,0
2025-11-26T10:53:44.324238,5728,0
2025-11-26T10:53:45.410367,5728,0
2025-11-26T10:53:46.457273,5155,0
2025-11-26T10:53:47.499918,5155,0
2025-11-26T10:53:48.529280,5719,0
2025-11-26T10:53:49.559290,5719,0
2025-11-26T10:53:50.606251,6015,0
2025-11-26T10:53:51.637369,6015,0
2025-11-26T10:53:52.681599,6208,0
2025-11-26T10:53:53.712204,5752,0
2025-11-26T10:53:54.755730,5752,0
2025-11-26T10:53:55.786240,5630,0
2025-11-26T10:53:56.815069,5630,0
2025-11-26T10:53:57.846340,6130,0
2025-11-26T10:53:58.886444,6130,0
2025-11-26T10:53:59.925452,5883,0
2025-11-26T10:54:00.972879,5883,0
2025-11-26T10:54:02.023783,5697,0
2025-11-26T10:54:03.053630,5697,0
2025-11-26T10:54:04.082438,7544,0
2025-11-26T10:54:05.123482,7544,0
2025-11-26T10:54:06.153725,5975,0
2025-11-26T10:54:07.193841,5975,0
2025-11-26T10:54:08.223030,6369,0
2025-11-26T10:54:09.267342,6369,0
2025-11-26T10:54:10.296315,10454,0
2025-11-26T10:54:11.346020,10454,0
2025-11-26T10:54:12.375181,5969,0
2025-11-26T10:54:13.404528,5969,0
2025-11-26T10:54:14.434247,6747,0
2025-11-26T10:54:15.463605,6747,0
2025-11-26T10:54:16.493128,6253,0
2025-11-26T10:54:17.533987,6253,0
2025-11-26T10:54:18.563278,5210,0
2025-11-26T10:54:19.593361,5210,0
2025-11-26T10:54:20.633365,5834,0
2025-11-26T10:54:21.663505,5834,0
2025-11-26T10:54:22.709298,6264,0
2025-11-26T10:54:23.739275,5887,0
2025-11-26T10:54:24.773387,5887,0
2025-11-26T10:54:25.803291,6136,0
2025-11-26T10:54:26.837274,6136,0
