timestamp,power_mW,under_attack
2025-11-25T19:53:19.469527,3019,0
2025-11-25T19:53:20.500546,2993,0
2025-11-25T19:53:21.543229,2993,0
2025-11-25T19:53:22.575241,2968,0
2025-11-25T19:53:23.619395,2968,0
2025-11-25T19:53:24.649882,2935,0
2025-11-25T19:53:25.682045,2935,0
2025-11-25T19:53:26.720067,2938,0
2025-11-25T19:53:27.748654,2938,0
2025-11-25T19:53:28.782267,2950,0
2025-11-25T19:53:29.815351,2950,0
2025-11-25T19:53:30.860418,2993,0
2025-11-25T19:53:31.962541,2993,0
2025-11-25T19:53:33.013675,2971,0
2025-11-25T19:53:34.043484,3028,0
2025-11-25T19:53:35.136327,3028,0
2025-11-25T19:53:36.165605,2961,0
2025-11-25T19:53:37.208785,2961,0
2025-11-25T19:53:38.263624,3006,0
2025-11-25T19:53:39.303754,3006,0
2025-11-25T19:53:40.360217,3015,0
2025-11-25T19:53:41.389581,3015,0
2025-11-25T19:53:42.433243,3039,0
2025-11-25T19:53:43.464515,3039,0
2025-11-25T19:53:44.509365,3013,0
2025-11-25T19:53:45.736433,3013,0
2025-11-25T19:53:46.772246,3056,0
2025-11-25T19:53:47.893432,3056,0
2025-11-25T19:53:48.963853,3038,0
2025-11-25T19:53:50.010273,3004,0
2025-11-25T19:53:51.042857,3004,0
2025-11-25T19:53:52.089740,3010,0
2025-11-25T19:53:53.120137,3010,0
2025-11-25T19:53:54.320014,3016,0
2025-11-25T19:53:55.360846,3016,0
2025-11-25T19:53:56.402066,2932,0
2025-11-25T19:53:57.432091,2932,0
2025-11-25T19:53:58.509358,3077,0
2025-11-25T19:53:59.541134,3077,0
2025-11-25T19:54:00.607781,3045,0
2025-11-25T19:54:01.647256,3045,0
2025-11-25T19:54:02.676402,2990,0
2025-11-25T19:54:03.707414,2990,0
2025-11-25T19:54:04.757250,3076,0
2025-11-25T19:54:05.787556,3076,0
2025-11-25T19:54:06.944562,3028,0
2025-11-25T19:54:07.975097,2968,0
2025-11-25T19:54:09.118554,2968,0
2025-11-25T19:54:10.149478,3002,0
2025-11-25T19:54:11.225574,3002,0
2025-11-25T19:54:12.268769,3030,0
2025-11-25T19:54:13.297770,3030,0
2025-11-25T19:54:14.329060,2967,0
2025-11-25T19:54:15.483822,2967,0
2025-11-25T19:54:16.528879,2954,0
2025-11-25T19:54:17.571983,2954,0
2025-11-25T19:54:18.614847,3011,0
2025-11-25T19:54:19.646689,3011,0
2025-11-25T19:54:20.677914,3053,0
2025-11-25T19:54:21.707796,3053,0
2025-11-25T19:54:22.739039,2929,0
2025-11-25T19:54:23.803249,2929,0
2025-11-25T19:54:24.834423,3050,0
2025-11-25T19:54:25.885368,3050,0
2025-11-25T19:54:26.929124,2990,0
2025-11-25T19:54:28.002871,3020,0
2025-11-25T19:54:29.050490,3020,0
2025-11-25T19:54:30.084929,3004,0
2025-11-25T19:54:31.117877,3004,0
2025-11-25T19:54:32.152575,3018,0
2025-11-25T19:54:33.181790,3018,0
2025-11-25T19:54:34.221529,2955,0
2025-11-25T19:54:35.270244,2955,0
2025-11-25T19:54:36.304204,3023,0
2025-11-25T19:54:37.356476,3023,0
2025-11-25T19:54:38.386485,2978,0
2025-11-25T19:54:39.446637,2978,0
2025-11-25T19:54:40.544584,3022,0
2025-11-25T19:54:41.581832,3022,0
2025-11-25T19:54:42.625248,3046,0
2025-11-25T19:54:43.675478,3046,0
2025-11-25T19:54:44.775736,2963,0
2025-11-25T19:54:45.817060,2963,0
2025-11-25T19:54:46.850125,2946,0
2025-11-25T19:54:47.898069,2946,0
2025-11-25T19:54:48.996431,2979,0
2025-11-25T19:54:50.090001,2986,0
2025-11-25T19:54:51.118764,2986,0
2025-11-25T19:54:52.180753,2994,0
2025-11-25T19:54:53.215577,2994,0
2025-11-25T19:54:54.268569,3013,0
2025-11-25T19:54:55.301157,3013,0
2025-11-25T19:54:56.337372,2956,0
2025-11-25T19:54:57.412204,2956,0
2025-11-25T19:54:58.441037,2979,0
2025-11-25T19:54:59.472401,2979,0
2025-11-25T19:55:00.537494,2984,0
2025-11-25T19:55:01.604822,2984,0
2025-11-25T19:55:02.637131,2960,0
2025-11-25T19:55:03.674256,2960,0
2025-11-25T19:55:04.704003,2961,0
2025-11-25T19:55:05.790011,2961,0
2025-11-25T19:55:06.881786,2935,0
2025-11-25T19:55:07.910661,2935,0
2025-11-25T19:55:08.939492,2941,0
2025-11-25T19:55:09.981751,2941,0
2025-11-25T19:55:11.017175,2973,0
2025-11-25T19:55:12.075745,3005,0
2025-11-25T19:55:13.110233,3005,0
