timestamp,power_mW,under_attack
2025-11-25T21:17:57.950642,2967,1
2025-11-25T21:17:58.980082,3022,1
2025-11-25T21:18:00.013826,3022,1
2025-11-25T21:18:01.043596,3100,1
2025-11-25T21:18:02.081921,3100,1
2025-11-25T21:18:03.111789,3101,1
2025-11-25T21:18:04.146623,3101,1
2025-11-25T21:18:05.236586,3098,1
2025-11-25T21:18:06.267359,3098,1
2025-11-25T21:18:07.308088,3156,1
2025-11-25T21:18:08.339379,3156,1
2025-11-25T21:18:09.595157,3151,1
2025-11-25T21:18:10.639717,3151,1
2025-11-25T21:18:11.675469,3144,1
2025-11-25T21:18:12.719923,3144,1
2025-11-25T21:18:13.755569,3185,1
2025-11-25T21:18:14.853334,3148,1
2025-11-25T21:18:15.945657,3148,1
2025-11-25T21:18:16.993202,3098,1
2025-11-25T21:18:18.021723,3098,1
2025-11-25T21:18:19.065336,3130,1
2025-11-25T21:18:20.105832,3130,1
2025-11-25T21:18:21.136081,3132,1
2025-11-25T21:18:22.249643,3132,1
2025-11-25T21:18:23.352567,3065,1
2025-11-25T21:18:24.398885,3065,1
2025-11-25T21:18:25.445547,3099,1
2025-11-25T21:18:26.519871,3099,1
2025-11-25T21:18:27.550437,3128,1
2025-11-25T21:18:28.583299,3128,1
2025-11-25T21:18:29.611759,3255,1
2025-11-25T21:18:30.640415,3255,1
2025-11-25T21:18:31.694953,3190,1
2025-11-25T21:18:32.735828,3190,1
2025-11-25T21:18:33.769368,3095,1
2025-11-25T21:18:34.808184,3095,1
2025-11-25T21:18:35.842907,3047,1
2025-11-25T21:18:36.883773,3154,1
2025-11-25T21:18:37.915357,3154,1
2025-11-25T21:18:38.944809,3051,1
2025-11-25T21:18:39.978280,3051,1
2025-11-25T21:18:41.006369,3107,1
2025-11-25T21:18:42.060210,3107,1
2025-11-25T21:18:43.103906,3130,1
2025-11-25T21:18:44.149531,3130,1
2025-11-25T21:18:45.191770,3152,1
2025-11-25T21:18:46.223233,3152,1
2025-11-25T21:18:47.255917,3045,1
2025-11-25T21:18:48.297128,3045,1
2025-11-25T21:18:49.346768,3142,1
2025-11-25T21:18:50.376542,3142,1
2025-11-25T21:18:51.408912,3135,1
2025-11-25T21:18:52.452461,3135,1
2025-11-25T21:18:53.522789,3086,1
2025-11-25T21:18:54.552224,3086,1
2025-11-25T21:18:55.597868,3308,1
2025-11-25T21:18:56.636489,3308,1
2025-11-25T21:18:57.666428,3300,1
2025-11-25T21:19:01.123748,3327,0
2025-11-25T21:19:02.163581,3327,0
2025-11-25T21:19:03.194219,3094,0
2025-11-25T21:19:04.228717,3094,0
2025-11-25T21:19:05.264632,2984,0
2025-11-25T21:19:06.295506,2984,0
2025-11-25T21:19:07.325669,2983,0
2025-11-25T21:19:08.368733,2983,0
2025-11-25T21:19:09.495105,3030,0
2025-11-25T21:19:10.558490,3030,0
2025-11-25T21:19:11.588550,3047,0
2025-11-25T21:19:12.617033,3047,0
2025-11-25T21:19:13.646646,2963,0
2025-11-25T21:19:14.693604,2963,0
2025-11-25T21:19:15.742590,2996,0
2025-11-25T21:19:16.796000,2996,0
2025-11-25T21:19:17.827495,2928,0
2025-11-25T21:19:18.858521,3078,0
2025-11-25T21:19:19.886803,3078,0
2025-11-25T21:19:20.915143,2964,0
2025-11-25T21:19:21.945456,2964,0
2025-11-25T21:19:22.983562,2943,0
2025-11-25T21:19:24.043619,2943,0
2025-11-25T21:19:25.346719,3000,0
2025-11-25T21:19:26.389764,3000,0
2025-11-25T21:19:27.418319,2985,0
2025-11-25T21:19:28.447171,2985,0
2025-11-25T21:19:29.488679,2967,0
2025-11-25T21:19:30.527832,2967,0
2025-11-25T21:19:31.565675,2992,0
2025-11-25T21:19:32.594089,2992,0
2025-11-25T21:19:33.624605,2938,0
2025-11-25T21:19:34.666003,2938,0
2025-11-25T21:19:35.712879,2962,0
2025-11-25T21:19:36.742582,2962,0
2025-11-25T21:19:37.783646,2956,0
2025-11-25T21:19:38.812159,2956,0
2025-11-25T21:19:39.843501,2988,0
2025-11-25T21:19:40.875190,3008,0
2025-11-25T21:19:41.907530,3008,0
2025-11-25T21:19:43.006615,2965,0
2025-11-25T21:19:44.039103,2965,0
2025-11-25T21:19:45.091994,3018,0
2025-11-25T21:19:46.157113,3018,0
2025-11-25T21:19:47.186719,2964,0
2025-11-25T21:19:48.240496,2964,0
2025-11-25T21:19:49.268330,2986,0
2025-11-25T21:19:50.308635,2986,0
2025-11-25T21:19:51.355914,2975,0
2025-11-25T21:19:52.417665,2975,0
2025-11-25T21:19:53.450377,3031,0
2025-11-25T21:19:54.497419,3031,0
2025-11-25T21:19:55.528286,2995,0
2025-11-25T21:19:56.572498,2995,0
2025-11-25T21:19:57.622938,3008,0
2025-11-25T21:19:58.655834,3008,0
2025-11-25T21:19:59.695942,2952,0
2025-11-25T21:20:00.729662,2952,0
2025-11-25T21:20:01.758227,3002,0
2025-11-25T21:20:02.788453,3002,0
2025-11-25T21:20:03.820318,3032,0
2025-11-25T21:20:04.850058,3032,0
2025-11-25T21:20:05.885932,3014,0
2025-11-25T21:20:06.922379,3046,0
2025-11-25T21:20:07.968892,3046,0
2025-11-25T21:20:09.017100,3031,0
2025-11-25T21:20:10.054245,3031,0
2025-11-25T21:20:11.182538,3065,0
2025-11-25T21:20:12.211682,3065,0
2025-11-25T21:20:13.242703,3035,0
2025-11-25T21:20:14.274619,3035,0
2025-11-25T21:20:15.305105,3025,0
2025-11-25T21:20:16.384639,3025,0
2025-11-25T21:20:17.413461,3056,0
2025-11-25T21:20:18.441669,3056,0
2025-11-25T21:20:19.476668,3053,0
2025-11-25T21:20:20.524000,3053,0
2025-11-25T21:20:21.552710,3016,0
2025-11-25T21:20:22.582219,3016,0
2025-11-25T21:20:23.610462,2991,0
2025-11-25T21:20:24.639399,2991,0
2025-11-25T21:20:25.798584,2979,0
2025-11-25T21:20:26.841443,2979,0
2025-11-25T21:20:27.879262,3054,0
2025-11-25T21:20:28.909372,3070,0
2025-11-25T21:20:29.956643,3070,0
2025-11-25T21:20:31.035202,3042,0
2025-11-25T21:20:32.072669,3042,0
2025-11-25T21:20:33.103176,3075,0
2025-11-25T21:20:34.133911,3075,0
2025-11-25T21:20:35.164020,2980,0
2025-11-25T21:20:36.194837,2980,0
2025-11-25T21:20:37.261429,3013,0
2025-11-25T21:20:38.302339,3013,0
2025-11-25T21:20:39.340299,3028,0
2025-11-25T21:20:40.386221,3028,0
2025-11-25T21:20:41.418155,2986,0
2025-11-25T21:20:42.519868,2986,0
2025-11-25T21:20:43.557825,2999,0
2025-11-25T21:20:44.586478,2999,0
2025-11-25T21:20:45.619302,2970,0
2025-11-25T21:20:46.672114,2970,0
2025-11-25T21:20:47.722555,2987,0
2025-11-25T21:20:48.765579,2987,0
2025-11-25T21:20:49.794621,2979,0
2025-11-25T21:20:50.822892,2979,0
2025-11-25T21:20:51.899022,2979,0
2025-11-25T21:20:52.943756,2960,0
2025-11-25T21:20:53.976118,2960,0
2025-11-25T21:20:55.006198,2997,0
2025-11-25T21:20:56.035509,2997,0
2025-11-25T21:20:57.073884,2997,0
2025-11-25T21:20:58.103084,2997,0
2025-11-25T21:20:59.132951,3042,0
2025-11-25T21:21:00.188687,3042,0
2025-11-25T21:21:01.223826,2989,0
2025-11-25T21:21:02.264340,2989,0
2025-11-25T21:21:03.292681,3043,0
2025-11-25T21:21:04.324653,3043,0
2025-11-25T21:21:05.527094,3038,0
2025-11-25T21:21:06.563992,3038,0
2025-11-25T21:21:07.594472,3000,0
2025-11-25T21:21:08.626767,3000,0
2025-11-25T21:21:09.661808,2996,0
2025-11-25T21:21:10.712064,2996,0
2025-11-25T21:21:11.820736,2986,0
2025-11-25T21:21:12.855238,2986,0
2025-11-25T21:21:13.911450,2990,0
2025-11-25T21:21:14.969315,2993,0
2025-11-25T21:21:15.997742,2993,0
2025-11-25T21:21:17.051769,3053,0
2025-11-25T21:21:18.123610,3053,0
2025-11-25T21:21:19.186607,3035,0
2025-11-25T21:21:20.220092,3035,0
2025-11-25T21:21:21.264227,3018,0
2025-11-25T21:21:22.319449,3018,0
2025-11-25T21:21:23.355670,2994,0
2025-11-25T21:21:24.427777,2994,0
2025-11-25T21:21:25.456621,2937,0
2025-11-25T21:21:26.533890,2937,0
2025-11-25T21:21:27.568632,3063,0
2025-11-25T21:21:28.604314,3063,0
2025-11-25T21:21:29.656699,2992,0
2025-11-25T21:21:30.686051,2992,0
2025-11-25T21:21:31.727381,3004,0
2025-11-25T21:21:32.782492,3004,0
2025-11-25T21:21:33.811347,3007,0
2025-11-25T21:21:34.844709,3007,0
2025-11-25T21:21:35.873243,2934,0
2025-11-25T21:21:36.908734,2934,0
2025-11-25T21:21:37.938719,3001,0
2025-11-25T21:21:38.970945,2963,0
2025-11-25T21:21:40.021741,2886,0
2025-11-25T21:21:41.109604,2886,0
2025-11-25T21:21:42.139838,2993,0
2025-11-25T21:21:43.240635,2993,0
2025-11-25T21:21:44.271875,3017,0
2025-11-25T21:21:45.350494,3017,0
2025-11-25T21:21:46.400486,3007,0
2025-11-25T21:21:47.476566,3007,0
2025-11-25T21:21:48.524933,2979,0
2025-11-25T21:21:49.554467,2979,0
2025-11-25T21:21:50.598283,3023,0
2025-11-25T21:21:51.626616,3023,0
2025-11-25T21:21:52.657028,3001,0
2025-11-25T21:21:53.689821,3001,0
2025-11-25T21:21:54.729804,3075,0
2025-11-25T21:21:55.764486,3075,0
2025-11-25T21:21:56.815465,2919,0
2025-11-25T21:21:57.868007,2919,0
2025-11-25T21:21:58.896812,3014,0
2025-11-25T21:21:59.938858,2950,0
2025-11-25T21:22:00.971561,2950,0
2025-11-25T21:22:02.001070,2996,1
2025-11-25T21:22:03.034360,2996,1
2025-11-25T21:22:04.063447,3042,1
2025-11-25T21:22:05.092717,3042,1
2025-11-25T21:22:06.136789,3085,1
2025-11-25T21:22:07.175287,3085,1
2025-11-25T21:22:08.212140,3042,1
2025-11-25T21:22:09.560152,3042,1
2025-11-25T21:22:10.590575,3136,1
2025-11-25T21:22:11.640264,3136,1
2025-11-25T21:22:12.669873,3107,1
2025-11-25T21:22:13.715303,3107,1
2025-11-25T21:22:14.766231,3075,1
2025-11-25T21:22:15.796628,3075,1
2025-11-25T21:22:16.830224,3076,1
2025-11-25T21:22:17.892233,3076,1
2025-11-25T21:22:18.938478,3106,1
2025-11-25T21:22:19.984799,3069,1
2025-11-25T21:22:21.023007,3069,1
2025-11-25T21:22:22.055065,3051,1
2025-11-25T21:22:23.085767,3051,1
2025-11-25T21:22:24.118519,3051,1
2025-11-25T21:22:25.153627,3051,1
2025-11-25T21:22:26.188239,3295,1
2025-11-25T21:22:27.247301,3295,1
2025-11-25T21:22:28.284649,3150,1
2025-11-25T21:22:29.313227,3150,1
2025-11-25T21:22:30.341838,3150,1
2025-11-25T21:22:31.394822,3150,1
2025-11-25T21:22:32.425626,3040,1
2025-11-25T21:22:33.484081,3040,1
2025-11-25T21:22:34.541501,3127,1
2025-11-25T21:22:35.571604,3127,1
2025-11-25T21:22:36.600249,3124,1
2025-11-25T21:22:37.631700,3124,1
2025-11-25T21:22:38.776084,3084,1
2025-11-25T21:22:39.846084,3084,1
2025-11-25T21:22:40.878181,3056,1
2025-11-25T21:22:41.907335,3056,1
2025-11-25T21:22:42.936251,3225,1
2025-11-25T21:22:43.997917,3252,1
2025-11-25T21:22:45.049453,3252,1
2025-11-25T21:22:46.079490,3106,1
