timestamp,power_mW,under_attack
2025-05-28T12:40:59.393459,2962,1
2025-05-28T12:41:00.426409,2939,1
2025-05-28T12:41:01.474089,2939,1
2025-05-28T12:41:02.506829,2892,1
2025-05-28T12:41:03.567126,2892,1
2025-05-28T12:41:04.615083,2895,1
2025-05-28T12:41:05.655152,2895,1
2025-05-28T12:41:06.691612,2841,1
2025-05-28T12:41:07.739229,2841,1
2025-05-28T12:41:08.768847,2904,1
2025-05-28T12:41:09.800696,2904,1
2025-05-28T12:41:10.833705,2828,1
2025-05-28T12:41:11.863634,2828,1
2025-05-28T12:41:12.912033,2838,1
2025-05-28T12:41:13.966914,2838,1
2025-05-28T12:41:15.016969,2900,1
2025-05-28T12:41:16.050039,2900,1
2025-05-28T12:41:17.121153,2903,1
2025-05-28T12:41:18.168393,2903,1
2025-05-28T12:41:19.200023,2895,1
2025-05-28T12:41:20.230134,2895,1
2025-05-28T12:41:21.259694,2925,1
2025-05-28T12:41:22.304777,2925,1
2025-05-28T12:41:23.336451,2894,1
2025-05-28T12:41:24.380698,2882,1
2025-05-28T12:41:25.414457,2882,1
2025-05-28T12:41:26.471847,2859,1
2025-05-28T12:41:27.517741,2859,1
2025-05-28T12:41:28.558898,2852,1
2025-05-28T12:41:29.624280,2852,1
2025-05-28T12:41:30.655682,2880,1
2025-05-28T12:41:31.702439,2880,1
2025-05-28T12:41:32.734863,2864,1
2025-05-28T12:41:33.808835,2864,1
2025-05-28T12:41:34.854851,2838,1
2025-05-28T12:41:35.884201,2838,1
2025-05-28T12:41:36.920147,2940,1
2025-05-28T12:41:37.953290,2940,1
2025-05-28T12:41:38.996388,2943,1
2025-05-28T12:41:40.044826,2943,1
2025-05-28T12:41:41.077382,2855,1
2025-05-28T12:41:42.120115,2855,1
2025-05-28T12:41:43.151144,2936,1
2025-05-28T12:41:44.185408,2936,1
2025-05-28T12:41:45.223825,2950,1
2025-05-28T12:41:46.258296,2950,1
2025-05-28T12:41:47.289920,3006,1
2025-05-28T12:41:48.348281,3006,1
2025-05-28T12:41:49.391443,2885,1
2025-05-28T12:41:50.427821,2894,1
2025-05-28T12:41:51.458502,2894,1
2025-05-28T12:41:52.491341,2921,1
2025-05-28T12:41:53.535905,2921,1
2025-05-28T12:41:54.587825,2913,1
2025-05-28T12:41:55.675660,2913,1
2025-05-28T12:41:56.705265,2871,1
2025-05-28T12:41:57.736443,2871,1
2025-05-28T12:41:58.766916,2898,1
2025-05-28T12:42:11.199975,2841,0
2025-05-28T12:42:12.231787,2826,0
2025-05-28T12:42:13.261612,2826,0
2025-05-28T12:42:14.365516,2848,0
2025-05-28T12:42:15.398611,2803,0
2025-05-28T12:42:16.447845,2803,0
2025-05-28T12:42:17.478089,2826,0
2025-05-28T12:42:18.508801,2864,0
2025-05-28T12:42:19.573075,2864,0
2025-05-28T12:42:20.623495,2761,0
2025-05-28T12:42:21.655441,2761,0
2025-05-28T12:42:22.685865,2860,0
2025-05-28T12:42:23.716632,2860,0
2025-05-28T12:42:24.757487,2831,0
2025-05-28T12:42:25.788651,2831,0
2025-05-28T12:42:26.817682,2801,0
2025-05-28T12:42:27.870691,2801,0
2025-05-28T12:42:28.924850,2849,0
2025-05-28T12:42:29.986300,2869,0
2025-05-28T12:42:31.017310,2869,0
2025-05-28T12:42:32.087357,2830,0
2025-05-28T12:42:33.119431,2830,0
2025-05-28T12:42:34.152967,2936,0
2025-05-28T12:42:35.183304,2936,0
2025-05-28T12:42:36.214353,2878,0
2025-05-28T12:42:37.244008,2878,0
2025-05-28T12:42:38.279805,2891,0
2025-05-28T12:42:39.335427,2891,0
2025-05-28T12:42:40.388011,2789,0
2025-05-28T12:42:41.451929,2886,0
2025-05-28T12:42:42.483777,2886,0
2025-05-28T12:42:43.533092,2936,0
2025-05-28T12:42:44.562707,2936,0
2025-05-28T12:42:45.623004,2873,0
2025-05-28T12:42:46.659674,2873,0
2025-05-28T12:42:47.702849,2877,0
2025-05-28T12:42:48.756163,2877,0
2025-05-28T12:42:49.790419,2851,0
2025-05-28T12:42:50.828753,2851,0
2025-05-28T12:42:51.871288,2887,0
2025-05-28T12:42:52.902038,2887,0
2025-05-28T12:42:53.931413,2818,0
2025-05-28T12:42:54.974703,2818,0
2025-05-28T12:42:56.038868,2854,0
2025-05-28T12:42:57.077030,2885,0
2025-05-28T12:42:58.110630,2885,0
2025-05-28T12:42:59.153432,2840,0
2025-05-28T12:43:00.197782,2840,0
2025-05-28T12:43:01.227850,2886,0
2025-05-28T12:43:02.277927,2886,0
2025-05-28T12:43:03.325395,2842,0
2025-05-28T12:43:04.356183,2836,0
2025-05-28T12:43:05.386459,2836,0
2025-05-28T12:43:06.418855,2910,0
2025-05-28T12:43:07.449281,2910,0
2025-05-28T12:43:08.493410,2818,0
2025-05-28T12:43:09.544723,2818,0
2025-05-28T12:43:10.607713,2783,0
2025-05-28T12:43:11.637744,2783,0
2025-05-28T12:43:12.667685,2849,0
2025-05-28T12:43:13.712583,2849,0
2025-05-28T12:43:14.773062,2858,0
2025-05-28T12:43:15.827689,2838,0
2025-05-28T12:43:16.867833,2838,0
2025-05-28T12:43:17.949624,2863,0
2025-05-28T12:43:19.003805,2863,0
2025-05-28T12:43:20.049192,2830,0
2025-05-28T12:43:21.084506,2830,0
2025-05-28T12:43:22.117359,2913,0
2025-05-28T12:43:23.148383,2913,0
2025-05-28T12:43:24.187163,2821,0
2025-05-28T12:43:25.236487,2818,0
2025-05-28T12:43:26.270594,2818,0
2025-05-28T12:43:27.302478,2869,0
2025-05-28T12:43:28.334976,2869,0
2025-05-28T12:43:29.376805,2850,0
2025-05-28T12:43:30.438310,2810,0
2025-05-28T12:43:31.498046,2810,0
2025-05-28T12:43:32.534340,2882,0
2025-05-28T12:43:33.571330,2805,0
2025-05-28T12:43:34.604142,2805,0
2025-05-28T12:43:35.634472,2944,0
2025-05-28T12:43:36.664540,2944,0
2025-05-28T12:43:37.703397,2998,0
2025-05-28T12:43:38.733374,2998,0
2025-05-28T12:43:39.775944,2963,0
2025-05-28T12:43:40.806383,2963,0
2025-05-28T12:43:41.841634,3022,0
2025-05-28T12:43:42.870959,3022,0
2025-05-28T12:43:43.902797,2938,0
2025-05-28T12:43:44.938409,2938,0
2025-05-28T12:43:45.969945,2940,0
2025-05-28T12:43:47.002513,2940,0
2025-05-28T12:43:48.045814,2839,0
2025-05-28T12:43:49.096977,2839,0
2025-05-28T12:43:50.157012,2936,0
2025-05-28T12:43:51.189002,2936,0
2025-05-28T12:43:52.247214,2884,0
2025-05-28T12:43:53.321923,2889,0
2025-05-28T12:43:54.362364,2889,0
2025-05-28T12:43:55.397803,2912,0
2025-05-28T12:43:56.441996,2938,0
2025-05-28T12:43:57.472417,2938,0
2025-05-28T12:43:58.530044,2876,0
2025-05-28T12:43:59.575103,2876,0
2025-05-28T12:44:00.604836,2930,0
2025-05-28T12:44:01.671329,2930,0
2025-05-28T12:44:02.722402,2899,0
2025-05-28T12:44:03.754611,3046,0
2025-05-28T12:44:04.813439,3046,0
2025-05-28T12:44:05.865093,3032,0
2025-05-28T12:44:06.895511,3032,0
2025-05-28T12:44:07.970566,2980,0
2025-05-28T12:44:09.001896,2980,0
2025-05-28T12:44:10.038014,2970,0
2025-05-28T12:44:11.092670,2970,0
2025-05-28T12:44:12.148705,2961,0
2025-05-28T12:44:13.178777,2961,0
2025-05-28T12:44:14.212614,3009,0
2025-05-28T12:44:15.242104,3009,0
2025-05-28T12:44:16.276517,2946,0
2025-05-28T12:44:17.368641,2946,0
2025-05-28T12:44:18.402214,3006,0
2025-05-28T12:44:19.432862,2882,0
2025-05-28T12:44:20.473755,2882,0
2025-05-28T12:44:21.504461,2982,0
2025-05-28T12:44:22.535655,2982,0
2025-05-28T12:44:23.580528,2952,0
2025-05-28T12:44:24.611002,2952,0
2025-05-28T12:44:25.658618,2911,0
2025-05-28T12:44:26.690917,2911,0
2025-05-28T12:44:27.723971,2943,0
2025-05-28T12:44:28.754994,2919,0
2025-05-28T12:44:29.785708,2919,0
2025-05-28T12:44:30.815529,2910,0
2025-05-28T12:44:31.849089,2910,0
2025-05-28T12:44:32.898770,2905,0
2025-05-28T12:44:33.928421,2905,0
2025-05-28T12:44:34.974220,2888,0
2025-05-28T12:44:36.016149,2937,0
2025-05-28T12:44:37.048856,2937,0
2025-05-28T12:44:38.092462,2877,0
2025-05-28T12:44:39.122797,2877,0
2025-05-28T12:44:40.168814,2935,0
2025-05-28T12:44:41.218691,2935,0
2025-05-28T12:44:42.247608,2919,0
2025-05-28T12:44:43.280618,2919,0
2025-05-28T12:44:44.324737,2824,0
2025-05-28T12:44:45.389091,2824,0
2025-05-28T12:44:46.440486,3006,0
2025-05-28T12:44:47.477261,2929,0
2025-05-28T12:44:48.508679,2929,0
2025-05-28T12:44:49.541363,2987,0
2025-05-28T12:44:50.571717,2987,0
2025-05-28T12:44:51.601746,2934,0
2025-05-28T12:44:52.631224,2934,0
2025-05-28T12:44:53.687792,2944,0
2025-05-28T12:44:54.737358,2914,0
2025-05-28T12:44:55.795881,2914,0
2025-05-28T12:44:56.861727,2965,0
2025-05-28T12:44:57.891153,2965,0
2025-05-28T12:44:58.932877,2974,0
2025-05-28T12:44:59.963320,3007,0
2025-05-28T12:45:00.993798,3007,0
2025-05-28T12:45:02.025519,3021,0
2025-05-28T12:45:03.056945,3021,0
2025-05-28T12:45:04.087858,2894,0
2025-05-28T12:45:05.117635,2894,0
2025-05-28T12:45:06.149780,2999,0
2025-05-28T12:45:07.180410,2999,0
2025-05-28T12:45:08.223641,3009,0
2025-05-28T12:45:09.255337,3009,0
