timestamp,power_mW,under_attack
2025-05-28T13:23:15.607271,2869,1
2025-05-28T13:23:16.661014,2784,1
2025-05-28T13:23:17.716547,2784,1
2025-05-28T13:23:18.750224,2859,1
2025-05-28T13:23:19.781711,2859,1
2025-05-28T13:23:20.814387,2891,1
2025-05-28T13:23:21.844046,2891,1
2025-05-28T13:23:22.917074,2884,1
2025-05-28T13:23:23.957895,2884,1
2025-05-28T13:23:25.003646,2923,1
2025-05-28T13:23:26.034050,2843,1
2025-05-28T13:23:27.065949,2843,1
2025-05-28T13:23:28.110216,2932,1
2025-05-28T13:23:29.156358,2932,1
2025-05-28T13:23:30.200622,2907,1
2025-05-28T13:23:31.236058,2907,1
2025-05-28T13:23:32.269172,2804,1
2025-05-28T13:23:33.309453,2901,1
2025-05-28T13:23:34.387272,2901,1
2025-05-28T13:23:35.424994,2916,1
2025-05-28T13:23:36.492345,2916,1
2025-05-28T13:23:37.552609,2909,1
2025-05-28T13:23:38.609447,2909,1
2025-05-28T13:23:39.640467,2912,1
2025-05-28T13:23:40.670516,3000,1
2025-05-28T13:23:41.707084,3000,1
2025-05-28T13:23:42.794090,2941,1
2025-05-28T13:23:43.833499,2941,1
2025-05-28T13:23:44.872733,2866,1
2025-05-28T13:23:45.904611,2866,1
2025-05-28T13:23:46.935471,2913,1
2025-05-28T13:23:47.968262,2904,1
2025-05-28T13:23:49.017599,2971,1
2025-05-28T13:23:50.068803,2971,1
2025-05-28T13:23:51.100343,2949,1
2025-05-28T13:23:52.129984,2966,1
2025-05-28T13:23:53.160303,2966,1
2025-05-28T13:23:54.190447,2871,1
2025-05-28T13:23:55.234165,2871,1
2025-05-28T13:23:56.266372,2963,1
2025-05-28T13:23:57.310747,2963,1
2025-05-28T13:23:58.343976,2970,1
2025-05-28T13:23:59.428427,2970,1
2025-05-28T13:24:00.458782,2888,1
2025-05-28T13:24:01.515302,2888,1
2025-05-28T13:24:02.561970,2968,1
2025-05-28T13:24:03.594408,2968,1
2025-05-28T13:24:04.639201,2870,1
2025-05-28T13:24:05.669955,2919,1
2025-05-28T13:24:06.701679,2919,1
2025-05-28T13:24:07.755374,2931,1
2025-05-28T13:24:08.809083,2931,1
2025-05-28T13:24:09.851514,2886,1
2025-05-28T13:24:10.945904,2886,1
2025-05-28T13:24:11.981361,3017,1
2025-05-28T13:24:13.018742,2959,1
2025-05-28T13:24:14.048821,2922,1
2025-05-28T13:24:15.078763,2922,1
2025-05-28T13:24:17.627197,2933,0
2025-05-28T13:24:18.658160,2889,0
2025-05-28T13:24:19.688730,2889,0
2025-05-28T13:24:20.725182,2974,0
2025-05-28T13:24:21.756476,2974,0
2025-05-28T13:24:22.830144,2959,0
2025-05-28T13:24:23.865682,2987,0
2025-05-28T13:24:24.904213,2987,0
2025-05-28T13:24:25.934364,2901,0
2025-05-28T13:24:26.974283,2901,0
2025-05-28T13:24:28.004346,2970,0
2025-05-28T13:24:29.055877,3001,0
2025-05-28T13:24:30.088967,3001,0
2025-05-28T13:24:31.166023,2933,0
2025-05-28T13:24:32.230741,2933,0
2025-05-28T13:24:33.281518,2970,0
2025-05-28T13:24:34.315325,2955,0
2025-05-28T13:24:35.347955,2955,0
2025-05-28T13:24:36.379210,2896,0
2025-05-28T13:24:37.425959,2896,0
2025-05-28T13:24:38.477798,2885,0
2025-05-28T13:24:39.509823,2885,0
2025-05-28T13:24:40.557717,2890,0
2025-05-28T13:24:41.588883,2890,0
2025-05-28T13:24:42.618621,2891,0
2025-05-28T13:24:43.649572,2891,0
2025-05-28T13:24:44.690902,2891,0
2025-05-28T13:24:45.722524,2891,0
2025-05-28T13:24:46.788125,2905,0
2025-05-28T13:24:47.821677,2917,0
2025-05-28T13:24:48.871407,2917,0
2025-05-28T13:24:49.904132,2929,0
2025-05-28T13:24:50.934164,2929,0
2025-05-28T13:24:51.964616,2934,0
2025-05-28T13:24:52.994592,2934,0
2025-05-28T13:24:54.051574,2942,0
2025-05-28T13:24:55.090392,2971,0
2025-05-28T13:24:56.127691,2971,0
2025-05-28T13:24:57.158908,3027,0
2025-05-28T13:24:58.193472,2996,0
2025-05-28T13:24:59.290875,2996,0
2025-05-28T13:25:00.325851,2961,0
2025-05-28T13:25:01.357324,2961,0
2025-05-28T13:25:02.440108,3040,0
2025-05-28T13:25:03.471283,2963,0
2025-05-28T13:25:04.516555,2963,0
2025-05-28T13:25:05.546853,2978,0
2025-05-28T13:25:06.577634,2978,0
2025-05-28T13:25:07.612173,3046,0
2025-05-28T13:25:08.645672,3046,0
2025-05-28T13:25:09.679731,2974,0
2025-05-28T13:25:10.732705,2974,0
2025-05-28T13:25:11.765745,2936,0
2025-05-28T13:25:12.807592,2936,0
2025-05-28T13:25:13.836968,2988,0
2025-05-28T13:25:14.880822,2988,0
2025-05-28T13:25:15.915488,2858,0
2025-05-28T13:25:16.957214,2858,0
2025-05-28T13:25:18.015680,2914,0
2025-05-28T13:25:19.054524,2921,0
2025-05-28T13:25:20.084346,2921,0
2025-05-28T13:25:21.118329,2890,0
2025-05-28T13:25:22.150472,2928,0
2025-05-28T13:25:23.205716,2928,0
2025-05-28T13:25:24.252441,2898,0
2025-05-28T13:25:25.306318,2898,0
2025-05-28T13:25:26.336352,2897,0
2025-05-28T13:25:27.366898,2897,0
2025-05-28T13:25:28.400370,2860,0
2025-05-28T13:25:29.486151,2940,0
2025-05-28T13:25:30.529299,2940,0
2025-05-28T13:25:31.586562,2855,0
2025-05-28T13:25:32.648277,2855,0
2025-05-28T13:25:33.716968,2898,0
2025-05-28T13:25:34.748740,2898,0
2025-05-28T13:25:35.779994,2919,0
2025-05-28T13:25:36.810406,2905,0
2025-05-28T13:25:37.839339,2905,0
2025-05-28T13:25:38.870474,2908,0
2025-05-28T13:25:39.922721,2908,0
2025-05-28T13:25:40.965998,2894,0
2025-05-28T13:25:42.015193,2894,0
2025-05-28T13:25:43.044958,2960,0
2025-05-28T13:25:44.119630,2901,0
2025-05-28T13:25:45.176204,2901,0
2025-05-28T13:25:46.207507,2916,0
2025-05-28T13:25:47.238583,2916,0
2025-05-28T13:25:48.272357,2894,0
2025-05-28T13:25:49.301603,2894,0
2025-05-28T13:25:50.382905,2914,0
2025-05-28T13:25:51.412865,2932,0
2025-05-28T13:25:52.442432,2932,0
2025-05-28T13:25:53.474280,2944,0
2025-05-28T13:25:54.507076,2944,0
2025-05-28T13:25:55.547907,2936,0
2025-05-28T13:25:56.621007,2936,0
2025-05-28T13:25:57.658060,2921,0
2025-05-28T13:25:58.689054,2921,0
2025-05-28T13:25:59.718971,2896,0
2025-05-28T13:26:00.772530,2896,0
2025-05-28T13:26:01.805144,2860,0
2025-05-28T13:26:02.857434,2860,0
2025-05-28T13:26:03.911072,2901,0
2025-05-28T13:26:05.007169,2901,0
2025-05-28T13:26:06.038506,2904,0
2025-05-28T13:26:07.098770,2910,0
2025-05-28T13:26:08.128894,2910,0
2025-05-28T13:26:09.177565,2936,0
2025-05-28T13:26:10.209506,2936,0
2025-05-28T13:26:11.258357,2882,0
2025-05-28T13:26:12.304158,2882,0
2025-05-28T13:26:13.354992,2879,0
2025-05-28T13:26:14.403338,2879,0
2025-05-28T13:26:15.448870,2924,0
2025-05-28T13:26:16.481510,2924,0
2025-05-28T13:26:17.524768,2914,0
2025-05-28T13:26:18.575446,2844,0
2025-05-28T13:26:19.612877,2844,0
2025-05-28T13:26:20.647137,2927,0
2025-05-28T13:26:21.697962,2927,0
2025-05-28T13:26:22.771840,2845,0
2025-05-28T13:26:23.810198,2845,0
2025-05-28T13:26:24.916672,2915,0
2025-05-28T13:26:25.959804,2915,0
2025-05-28T13:26:26.994294,2862,0
2025-05-28T13:26:28.025552,2862,0
2025-05-28T13:26:29.073806,2949,0
2025-05-28T13:26:30.128189,3032,0
2025-05-28T13:26:31.159179,3032,0
2025-05-28T13:26:32.224461,2984,0
2025-05-28T13:26:33.272357,2984,0
2025-05-28T13:26:34.315898,2984,0
2025-05-28T13:26:35.348373,2984,0
2025-05-28T13:26:36.417847,2932,0
2025-05-28T13:26:37.470461,2932,0
2025-05-28T13:26:38.528075,2933,0
2025-05-28T13:26:39.557997,2933,0
2025-05-28T13:26:40.588531,2879,0
2025-05-28T13:26:41.637369,2879,0
2025-05-28T13:26:42.714020,2968,0
2025-05-28T13:26:43.759160,2968,0
2025-05-28T13:26:44.803613,3005,0
2025-05-28T13:26:45.836709,3005,0
2025-05-28T13:26:46.867279,2940,0
2025-05-28T13:26:47.935692,2940,0
2025-05-28T13:26:49.001574,2894,0
2025-05-28T13:26:50.031230,2894,0
2025-05-28T13:26:51.083611,2928,0
2025-05-28T13:26:52.117056,2935,0
2025-05-28T13:26:53.161590,2935,0
2025-05-28T13:26:54.223913,2850,0
2025-05-28T13:26:55.254147,2942,0
2025-05-28T13:26:56.337725,2942,0
2025-05-28T13:26:57.368784,2846,0
2025-05-28T13:26:58.433944,2846,0
2025-05-28T13:26:59.489731,2919,0
2025-05-28T13:27:00.534628,2919,0
2025-05-28T13:27:01.568506,2842,0
2025-05-28T13:27:02.610232,2887,0
2025-05-28T13:27:03.648659,2887,0
2025-05-28T13:27:04.678208,2976,0
2025-05-28T13:27:05.727948,2976,0
2025-05-28T13:27:06.758723,2935,0
2025-05-28T13:27:07.805292,2935,0
2025-05-28T13:27:08.840538,2934,0
2025-05-28T13:27:09.869881,2934,0
2025-05-28T13:27:10.901438,2908,0
2025-05-28T13:27:11.931814,2908,0
2025-05-28T13:27:13.008058,2908,0
2025-05-28T13:27:14.055185,2908,0
2025-05-28T13:27:15.087318,2960,0
2025-05-28T13:27:16.121135,2960,0
2025-05-28T13:27:17.153822,2848,0
2025-05-28T13:27:18.189779,2848,1
2025-05-28T13:27:19.260406,2808,1
2025-05-28T13:27:20.297985,2808,1
2025-05-28T13:27:21.327776,2848,1
2025-05-28T13:27:22.359627,2848,1
2025-05-28T13:27:23.389737,2906,1
2025-05-28T13:27:24.439413,2906,1
2025-05-28T13:27:25.502439,2908,1
2025-05-28T13:27:26.543263,2908,1
2025-05-28T13:27:27.587261,2869,1
2025-05-28T13:27:28.623948,2869,1
2025-05-28T13:27:29.659224,2841,1
2025-05-28T13:27:30.688450,2860,1
2025-05-28T13:27:31.720005,2860,1
2025-05-28T13:27:32.760476,2929,1
2025-05-28T13:27:33.790046,2929,1
2025-05-28T13:27:34.849944,2952,1
2025-05-28T13:27:35.880015,2952,1
