timestamp,power_mW,under_attack
2025-05-28T11:46:20.518121,2961,1
2025-05-28T11:46:21.573331,2961,1
2025-05-28T11:46:22.629161,2888,1
2025-05-28T11:46:23.685458,2942,1
2025-05-28T11:46:24.716867,2942,1
2025-05-28T11:46:25.813892,2908,1
2025-05-28T11:46:26.852333,2908,1
2025-05-28T11:46:27.890514,3005,1
2025-05-28T11:46:28.920929,3005,1
2025-05-28T11:46:29.970665,2936,1
2025-05-28T11:46:31.020690,2936,1
2025-05-28T11:46:32.063851,3004,1
2025-05-28T11:46:33.093411,3004,1
2025-05-28T11:46:34.144176,2833,1
2025-05-28T11:46:35.216615,2833,1
2025-05-28T11:46:36.254415,2924,1
2025-05-28T11:46:37.287507,2924,1
2025-05-28T11:46:38.320702,2946,1
2025-05-28T11:46:39.350910,2946,1
2025-05-28T11:46:40.384655,2863,1
2025-05-28T11:46:41.417386,2863,1
2025-05-28T11:46:42.462140,2909,1
2025-05-28T11:46:43.499630,2909,1
2025-05-28T11:46:44.541089,2957,1
2025-05-28T11:46:45.590157,2971,1
2025-05-28T11:46:46.662385,2971,1
2025-05-28T11:46:47.715198,3014,1
2025-05-28T11:46:48.745918,3014,1
2025-05-28T11:46:49.794275,2926,1
2025-05-28T11:46:50.827367,2926,1
2025-05-28T11:46:51.857403,2861,1
2025-05-28T11:46:52.950851,2861,1
2025-05-28T11:46:54.053515,3016,1
2025-05-28T11:46:55.101710,3016,1
2025-05-28T11:46:56.131479,2990,1
2025-05-28T11:46:57.165079,2990,1
2025-05-28T11:46:58.199396,2913,1
2025-05-28T11:46:59.229796,2913,1
2025-05-28T11:47:00.260557,2883,1
2025-05-28T11:47:01.337077,2883,1
2025-05-28T11:47:02.371664,2896,1
2025-05-28T11:47:03.401801,2896,1
2025-05-28T11:47:04.458071,2918,1
2025-05-28T11:47:05.501326,2918,1
2025-05-28T11:47:06.537843,2970,1
2025-05-28T11:47:07.582479,2970,1
2025-05-28T11:47:08.623952,2970,1
2025-05-28T11:47:09.654518,2928,1
2025-05-28T11:47:10.696063,2928,1
2025-05-28T11:47:11.726150,2907,1
2025-05-28T11:47:12.780091,2907,1
2025-05-28T11:47:13.821725,2997,1
2025-05-28T11:47:14.852492,2997,1
2025-05-28T11:47:15.885724,2948,1
2025-05-28T11:47:16.915742,2948,1
2025-05-28T11:47:17.956821,2884,1
2025-05-28T11:47:18.986717,2884,1
2025-05-28T11:47:20.019699,2968,1
2025-05-28T11:47:22.025654,2968,0
2025-05-28T11:47:23.057934,2968,0
2025-05-28T11:47:24.093827,2950,0
2025-05-28T11:47:25.124180,2950,0
2025-05-28T11:47:26.156687,2869,0
2025-05-28T11:47:27.185897,2869,0
2025-05-28T11:47:28.251290,2919,0
2025-05-28T11:47:29.295789,2919,0
2025-05-28T11:47:30.327838,2897,0
2025-05-28T11:47:31.360663,2971,0
2025-05-28T11:47:32.393511,2971,0
2025-05-28T11:47:33.462190,3017,0
2025-05-28T11:47:34.512281,3017,0
2025-05-28T11:47:35.542856,2965,0
2025-05-28T11:47:36.573062,2965,0
2025-05-28T11:47:37.603160,3031,0
2025-05-28T11:47:38.721852,2941,0
2025-05-28T11:47:39.773281,2941,0
2025-05-28T11:47:40.808967,2995,0
2025-05-28T11:47:41.853273,2995,0
2025-05-28T11:47:42.883259,3101,0
2025-05-28T11:47:43.948530,3101,0
2025-05-28T11:47:44.979110,2956,0
2025-05-28T11:47:46.055665,2956,0
2025-05-28T11:47:47.111768,3036,0
2025-05-28T11:47:48.185179,3036,0
2025-05-28T11:47:49.263027,2949,0
2025-05-28T11:47:50.292646,2949,0
2025-05-28T11:47:51.322272,2911,0
2025-05-28T11:47:52.354655,2911,0
2025-05-28T11:47:53.388733,3016,0
2025-05-28T11:47:54.419866,3016,0
2025-05-28T11:47:55.489956,2970,0
2025-05-28T11:47:56.525307,3025,0
2025-05-28T11:47:57.555416,3025,0
2025-05-28T11:47:58.586527,3001,0
2025-05-28T11:47:59.636080,2945,0
2025-05-28T11:48:00.719197,2956,0
2025-05-28T11:48:01.760588,2956,0
2025-05-28T11:48:02.828522,3041,0
2025-05-28T11:48:03.869723,3041,0
2025-05-28T11:48:04.930757,3014,0
2025-05-28T11:48:05.962121,3014,0
2025-05-28T11:48:06.992443,2967,0
2025-05-28T11:48:08.023747,2967,0
2025-05-28T11:48:09.062331,3008,0
2025-05-28T11:48:10.126686,3008,0
2025-05-28T11:48:11.184354,2981,0
2025-05-28T11:48:12.275440,2981,0
2025-05-28T11:48:13.318729,2949,0
2025-05-28T11:48:14.348812,2949,0
2025-05-28T11:48:15.380079,2951,0
2025-05-28T11:48:16.411501,2951,0
2025-05-28T11:48:17.443031,2898,0
2025-05-28T11:48:18.493515,2898,0
2025-05-28T11:48:19.563068,2961,0
2025-05-28T11:48:20.592837,2961,0
2025-05-28T11:48:21.623846,2943,0
2025-05-28T11:48:22.692813,2953,0
2025-05-28T11:48:23.747705,2953,0
2025-05-28T11:48:24.790396,2885,0
2025-05-28T11:48:25.823416,2885,0
2025-05-28T11:48:26.858223,2872,0
2025-05-28T11:48:27.940907,2872,0
2025-05-28T11:48:28.986365,2907,0
2025-05-28T11:48:30.017702,2907,0
2025-05-28T11:48:31.046426,2962,0
2025-05-28T11:48:32.086866,2962,0
2025-05-28T11:48:33.117511,2886,0
2025-05-28T11:48:34.153008,2886,0
2025-05-28T11:48:35.210660,2891,0
2025-05-28T11:48:36.269483,2891,0
2025-05-28T11:48:37.304326,2843,0
2025-05-28T11:48:38.334273,2928,0
2025-05-28T11:48:39.414547,2928,0
2025-05-28T11:48:40.460837,2849,0
2025-05-28T11:48:41.495206,2849,0
2025-05-28T11:48:42.528503,2875,0
2025-05-28T11:48:43.558638,2875,0
2025-05-28T11:48:44.597924,2833,0
2025-05-28T11:48:45.628504,2881,0
2025-05-28T11:48:46.673803,2881,0
2025-05-28T11:48:47.721991,2944,0
2025-05-28T11:48:48.751864,2944,0
2025-05-28T11:48:49.787014,2934,0
2025-05-28T11:48:50.819487,2934,0
2025-05-28T11:48:51.853064,2868,0
2025-05-28T11:48:52.881958,2932,0
2025-05-28T11:48:53.961533,2932,0
2025-05-28T11:48:55.006163,2948,0
2025-05-28T11:48:56.041134,2948,0
2025-05-28T11:48:57.085121,2911,0
2025-05-28T11:48:58.115055,2911,0
2025-05-28T11:48:59.167709,2888,0
2025-05-28T11:49:00.219083,2908,0
2025-05-28T11:49:01.249378,2908,0
2025-05-28T11:49:02.279153,2915,0
2025-05-28T11:49:03.318288,2915,0
2025-05-28T11:49:04.349724,2954,0
2025-05-28T11:49:05.380689,2954,0
2025-05-28T11:49:06.418130,2915,0
2025-05-28T11:49:07.460504,2899,0
2025-05-28T11:49:08.490895,2899,0
2025-05-28T11:49:09.533990,2849,0
2025-05-28T11:49:10.563622,2849,0
2025-05-28T11:49:11.597045,2909,0
2025-05-28T11:49:12.626583,2909,0
2025-05-28T11:49:13.660515,2901,0
2025-05-28T11:49:14.692018,2901,0
2025-05-28T11:49:15.766542,2888,0
2025-05-28T11:49:16.806189,2888,0
2025-05-28T11:49:17.842724,2888,0
2025-05-28T11:49:18.891825,2888,0
2025-05-28T11:49:19.928996,2925,0
2025-05-28T11:49:20.982380,2925,0
2025-05-28T11:49:22.031862,2924,0
2025-05-28T11:49:23.061850,2924,0
2025-05-28T11:49:24.094467,2906,0
2025-05-28T11:49:25.136804,2906,0
2025-05-28T11:49:26.171985,2964,0
2025-05-28T11:49:27.203420,2950,0
2025-05-28T11:49:28.297610,2950,0
2025-05-28T11:49:29.340206,2856,0
2025-05-28T11:49:30.370517,2856,0
2025-05-28T11:49:31.402915,2871,0
2025-05-28T11:49:32.447105,2871,0
2025-05-28T11:49:33.476368,2918,0
2025-05-28T11:49:34.528059,2918,0
2025-05-28T11:49:35.559119,2891,0
2025-05-28T11:49:36.588409,2891,0
2025-05-28T11:49:37.622001,2893,0
2025-05-28T11:49:38.652623,2926,0
2025-05-28T11:49:39.686355,2926,0
2025-05-28T11:49:40.718578,2923,0
2025-05-28T11:49:41.766088,2857,0
2025-05-28T11:49:42.796774,2857,0
2025-05-28T11:49:43.852406,2841,0
2025-05-28T11:49:44.881684,2841,0
2025-05-28T11:49:45.932790,2913,0
2025-05-28T11:49:46.986482,2913,0
2025-05-28T11:49:48.019305,2958,0
2025-05-28T11:49:49.060368,2875,0
2025-05-28T11:49:50.094208,2875,0
2025-05-28T11:49:51.128434,2923,0
2025-05-28T11:49:52.157715,2923,0
2025-05-28T11:49:53.190658,3004,0
2025-05-28T11:49:54.221358,3004,0
2025-05-28T11:49:55.260029,2938,0
2025-05-28T11:49:56.306365,2938,0
2025-05-28T11:49:57.336751,3064,0
2025-05-28T11:49:58.388618,3064,0
2025-05-28T11:49:59.517512,2954,0
2025-05-28T11:50:00.568458,2906,0
2025-05-28T11:50:01.600664,2906,0
2025-05-28T11:50:02.630903,2958,0
2025-05-28T11:50:03.678479,2912,0
2025-05-28T11:50:04.722410,2912,0
2025-05-28T11:50:05.754416,3040,0
2025-05-28T11:50:06.784725,3040,0
2025-05-28T11:50:07.818843,2895,0
2025-05-28T11:50:08.847897,2895,0
2025-05-28T11:50:09.879404,2959,0
2025-05-28T11:50:10.951807,2904,0
2025-05-28T11:50:12.009369,2904,0
2025-05-28T11:50:13.040939,2881,0
2025-05-28T11:50:14.135454,2881,0
2025-05-28T11:50:15.222057,2903,0
2025-05-28T11:50:16.252741,2903,0
2025-05-28T11:50:17.315601,2983,0
2025-05-28T11:50:18.359051,2983,0
2025-05-28T11:50:19.415431,2969,0
2025-05-28T11:50:20.453376,2969,0
2025-05-28T11:50:21.501229,2889,0
2025-05-28T11:50:22.548678,2889,1
2025-05-28T11:50:23.622737,3010,1
2025-05-28T11:50:24.669486,3005,1
2025-05-28T11:50:25.701036,3005,1
2025-05-28T11:50:26.752831,2904,1
2025-05-28T11:50:27.796313,2952,1
2025-05-28T11:50:28.834883,2952,1
2025-05-28T11:50:29.868557,2930,1
2025-05-28T11:50:30.923719,2930,1
2025-05-28T11:50:31.976208,2952,1
2025-05-28T11:50:33.005976,2968,1
2025-05-28T11:50:34.037384,2968,1
2025-05-28T11:50:35.081672,2952,1
2025-05-28T11:50:36.119430,2952,1
2025-05-28T11:50:37.164326,2909,1
2025-05-28T11:50:38.230826,2909,1
2025-05-28T11:50:39.260469,2961,1
2025-05-28T11:50:40.359633,2961,1
2025-05-28T11:50:41.420901,2952,1
2025-05-28T11:50:42.458042,2952,1
2025-05-28T11:50:43.487461,2939,1
2025-05-28T11:50:44.552522,2943,1
2025-05-28T11:50:45.587807,2943,1
2025-05-28T11:50:46.618883,3003,1
2025-05-28T11:50:47.651606,2905,1
2025-05-28T11:50:48.683202,2905,1
2025-05-28T11:50:49.773876,3011,1
2025-05-28T11:50:50.818990,3011,1
2025-05-28T11:50:51.866185,2953,1
2025-05-28T11:50:52.900362,2953,1
2025-05-28T11:50:53.960176,3009,1
2025-05-28T11:50:55.006187,2994,1
2025-05-28T11:50:56.075198,2994,1
2025-05-28T11:50:57.141356,2899,1
2025-05-28T11:50:58.183154,2899,1
2025-05-28T11:50:59.226764,2951,1
2025-05-28T11:51:00.310877,2951,1
2025-05-28T11:51:01.366897,2965,1
2025-05-28T11:51:02.422351,2965,1
2025-05-28T11:51:03.491355,2876,1
2025-05-28T11:51:04.572367,2876,1
2025-05-28T11:51:05.603414,2958,1
2025-05-28T11:51:06.635864,2958,1
2025-05-28T11:51:07.681212,2972,1
2025-05-28T11:51:08.753958,2964,1
2025-05-28T11:51:09.806836,2964,1
2025-05-28T11:51:10.860528,2950,1
2025-05-28T11:51:11.911643,2950,1
2025-05-28T11:51:12.944921,2890,1
2025-05-28T11:51:13.977980,2890,1
2025-05-28T11:51:15.008769,2956,1
2025-05-28T11:51:16.043281,2956,1
2025-05-28T11:51:17.109769,2980,1
2025-05-28T11:51:18.164199,2917,1
2025-05-28T11:51:19.195652,2917,1
2025-05-28T11:51:20.236728,2946,1
2025-05-28T11:51:21.266158,2946,1
2025-05-28T11:51:23.139838,3028,0
2025-05-28T11:51:24.210973,2912,0
2025-05-28T11:51:25.252358,2912,0
2025-05-28T11:51:26.285504,3003,0
2025-05-28T11:51:27.371788,3003,0
2025-05-28T11:51:28.414470,2953,0
2025-05-28T11:51:29.457803,2953,0
2025-05-28T11:51:30.488776,2904,0
2025-05-28T11:51:31.546899,2904,0
2025-05-28T11:51:32.599568,2962,0
2025-05-28T11:51:33.630852,2962,0
2025-05-28T11:51:34.668361,2948,0
2025-05-28T11:51:35.703309,2948,0
2025-05-28T11:51:36.759561,3008,0
2025-05-28T11:51:37.791616,3008,0
2025-05-28T11:51:38.834045,2916,0
2025-05-28T11:51:39.880874,2916,0
2025-05-28T11:51:40.962670,2932,0
2025-05-28T11:51:42.014790,2932,0
2025-05-28T11:51:43.044943,3015,0
2025-05-28T11:51:44.078595,3015,0
2025-05-28T11:51:45.108148,2981,0
2025-05-28T11:51:46.138416,2942,0
2025-05-28T11:51:47.172547,2942,0
2025-05-28T11:51:48.231036,3039,0
2025-05-28T11:51:49.279629,3039,0
2025-05-28T11:51:50.313929,2989,0
2025-05-28T11:51:51.350056,2903,0
2025-05-28T11:51:52.388006,2903,0
2025-05-28T11:51:53.495026,2956,0
2025-05-28T11:51:54.524686,2956,0
2025-05-28T11:51:55.558614,2941,0
2025-05-28T11:51:56.605909,2941,0
2025-05-28T11:51:57.668214,2996,0
2025-05-28T11:51:58.711011,3006,0
2025-05-28T11:51:59.742861,3006,0
2025-05-28T11:52:00.785777,2972,0
2025-05-28T11:52:01.825425,2916,0
2025-05-28T11:52:02.869722,2916,0
2025-05-28T11:52:03.899793,2938,0
2025-05-28T11:52:04.951955,2938,0
2025-05-28T11:52:05.988412,3021,0
2025-05-28T11:52:07.018198,2935,0
2025-05-28T11:52:08.072959,2935,0
2025-05-28T11:52:09.115278,2981,0
2025-05-28T11:52:10.146312,2981,0
2025-05-28T11:52:11.191144,3004,0
2025-05-28T11:52:12.228169,3001,0
2025-05-28T11:52:13.258887,3001,0
2025-05-28T11:52:14.296190,2850,0
2025-05-28T11:52:15.333359,2850,0
2025-05-28T11:52:16.368338,2957,0
2025-05-28T11:52:17.433617,2957,0
2025-05-28T11:52:18.488856,3003,0
2025-05-28T11:52:19.525221,3003,0
2025-05-28T11:52:20.555360,2953,0
2025-05-28T11:52:21.585768,2953,0
2025-05-28T11:52:22.615604,2944,0
2025-05-28T11:52:23.699265,2946,0
2025-05-28T11:52:24.729343,2930,0
2025-05-28T11:52:25.762347,2930,0
2025-05-28T11:52:26.803338,2920,0
2025-05-28T11:52:27.835022,2920,0
2025-05-28T11:52:28.881954,2843,0
2025-05-28T11:52:29.917526,2946,0
2025-05-28T11:52:30.960499,2946,0
2025-05-28T11:52:31.991357,2914,0
2025-05-28T11:52:33.020409,2914,0
2025-05-28T11:52:34.050016,2866,0
2025-05-28T11:52:35.080742,2866,0
2025-05-28T11:52:36.151804,2901,0
2025-05-28T11:52:37.197357,3011,0
2025-05-28T11:52:38.272973,3011,0
2025-05-28T11:52:39.304309,2862,0
2025-05-28T11:52:40.364924,2862,0
2025-05-28T11:52:41.405830,2926,0
2025-05-28T11:52:42.443297,2926,0
2025-05-28T11:52:43.474355,2976,0
2025-05-28T11:52:44.505932,2976,0
2025-05-28T11:52:45.536555,2914,0
2025-05-28T11:52:46.571353,2914,0
2025-05-28T11:52:47.631090,2896,0
2025-05-28T11:52:48.705541,2879,0
2025-05-28T11:52:49.740590,2916,0
2025-05-28T11:52:50.815409,2916,0
2025-05-28T11:52:51.852025,2941,0
2025-05-28T11:52:52.882511,2941,0
2025-05-28T11:52:53.916489,2932,0
2025-05-28T11:52:54.947598,2932,0
2025-05-28T11:52:55.994540,2943,0
2025-05-28T11:52:57.041166,2943,0
2025-05-28T11:52:58.073281,2884,0
2025-05-28T11:52:59.116620,2884,0
2025-05-28T11:53:00.155681,2831,0
