timestamp,power_mW,under_attack
2025-05-28T15:05:40.997802,2840,1
2025-05-28T15:05:42.046906,2840,1
2025-05-28T15:05:43.076101,2886,1
2025-05-28T15:05:44.107553,2886,1
2025-05-28T15:05:45.165281,2884,1
2025-05-28T15:05:46.223159,2884,1
2025-05-28T15:05:47.269726,2901,1
2025-05-28T15:05:48.358210,2919,1
2025-05-28T15:05:49.391800,2919,1
2025-05-28T15:05:50.442717,2877,1
2025-05-28T15:05:51.479937,2877,1
2025-05-28T15:05:52.512027,2922,1
2025-05-28T15:05:53.556793,2922,1
2025-05-28T15:05:54.624947,2912,1
2025-05-28T15:05:55.680565,2870,1
2025-05-28T15:05:56.712489,2870,1
2025-05-28T15:05:57.761326,2887,1
2025-05-28T15:05:58.841461,2887,1
2025-05-28T15:05:59.872029,2839,1
2025-05-28T15:06:00.910270,2839,1
2025-05-28T15:06:01.955733,2889,1
2025-05-28T15:06:03.017559,2890,1
2025-05-28T15:06:04.062028,2890,1
2025-05-28T15:06:05.141515,2882,1
2025-05-28T15:06:06.180529,2882,1
2025-05-28T15:06:07.212030,2849,1
2025-05-28T15:06:08.244700,2849,1
2025-05-28T15:06:09.275803,2873,1
2025-05-28T15:06:10.306293,2873,1
2025-05-28T15:06:11.346556,2858,1
2025-05-28T15:06:12.376641,2858,1
2025-05-28T15:06:13.426075,2920,1
2025-05-28T15:06:14.491124,2920,1
2025-05-28T15:06:15.520494,2885,1
2025-05-28T15:06:16.549749,2885,1
2025-05-28T15:06:17.581602,2899,1
2025-05-28T15:06:18.612592,2899,1
2025-05-28T15:06:19.642746,2849,1
2025-05-28T15:06:20.695166,2849,1
2025-05-28T15:06:21.725718,2883,1
2025-05-28T15:06:22.768978,2883,1
2025-05-28T15:06:23.799336,2962,1
2025-05-28T15:06:24.830056,2962,1
2025-05-28T15:06:25.863806,2907,1
2025-05-28T15:06:26.906919,2870,1
2025-05-28T15:06:27.938584,2914,1
2025-05-28T15:06:28.991963,2914,1
2025-05-28T15:06:30.048891,2853,1
2025-05-28T15:06:31.094436,2853,1
2025-05-28T15:06:32.282161,2903,1
2025-05-28T15:06:33.315992,2903,1
2025-05-28T15:06:34.346115,2851,1
2025-05-28T15:06:35.375798,2851,1
2025-05-28T15:06:36.412067,2961,1
2025-05-28T15:06:37.447596,2961,1
2025-05-28T15:06:38.477519,2944,1
2025-05-28T15:06:39.513828,2944,1
2025-05-28T15:06:40.560074,2891,1
2025-05-28T15:06:47.881890,2868,0
2025-05-28T15:06:48.916485,2868,0
2025-05-28T15:06:49.949102,2868,0
2025-05-28T15:06:50.978335,2843,0
2025-05-28T15:06:52.028209,2843,0
2025-05-28T15:06:53.062174,2853,0
2025-05-28T15:06:54.107542,2853,0
2025-05-28T15:06:55.139664,2882,0
2025-05-28T15:06:56.176420,2882,0
2025-05-28T15:06:57.266804,2912,0
2025-05-28T15:06:58.301207,2912,0
2025-05-28T15:06:59.331915,2809,0
2025-05-28T15:07:00.364431,2809,0
2025-05-28T15:07:01.422526,2880,0
2025-05-28T15:07:02.454872,2880,0
2025-05-28T15:07:03.503305,2858,0
2025-05-28T15:07:04.552980,2858,0
2025-05-28T15:07:05.587808,2904,0
2025-05-28T15:07:06.626065,2904,0
2025-05-28T15:07:07.671839,2967,0
2025-05-28T15:07:08.720385,2967,0
2025-05-28T15:07:09.750160,2944,0
2025-05-28T15:07:10.800067,2944,0
2025-05-28T15:07:11.839628,2846,0
2025-05-28T15:07:12.894329,2846,0
2025-05-28T15:07:13.935584,2814,0
2025-05-28T15:07:15.002289,2853,0
2025-05-28T15:07:16.035011,2875,0
2025-05-28T15:07:17.069745,2875,0
2025-05-28T15:07:18.100865,2908,0
2025-05-28T15:07:19.139162,2908,0
2025-05-28T15:07:20.169014,2845,0
2025-05-28T15:07:21.215573,2845,0
2025-05-28T15:07:22.244869,2841,0
2025-05-28T15:07:23.286503,2841,0
2025-05-28T15:07:24.316016,2850,0
2025-05-28T15:07:25.348039,2906,0
2025-05-28T15:07:26.392786,2906,0
2025-05-28T15:07:27.460709,2878,0
2025-05-28T15:07:28.490015,2878,0
2025-05-28T15:07:29.534788,2873,0
2025-05-28T15:07:30.590906,2873,0
2025-05-28T15:07:31.624463,2929,0
2025-05-28T15:07:32.686027,2929,0
2025-05-28T15:07:33.730767,2869,0
2025-05-28T15:07:34.761518,2869,0
2025-05-28T15:07:35.791035,2867,0
2025-05-28T15:07:36.827962,2867,0
2025-05-28T15:07:37.858112,2783,0
2025-05-28T15:07:38.890844,2783,0
2025-05-28T15:07:39.919764,2846,0
2025-05-28T15:07:40.956854,2846,0
2025-05-28T15:07:41.999031,2850,0
2025-05-28T15:07:43.062389,2857,0
2025-05-28T15:07:44.092162,2857,0
2025-05-28T15:07:45.122331,2890,0
2025-05-28T15:07:46.169765,2890,0
2025-05-28T15:07:47.200514,2811,0
2025-05-28T15:07:48.259008,2811,0
2025-05-28T15:07:49.312825,2866,0
2025-05-28T15:07:50.342704,2866,0
2025-05-28T15:07:51.376772,2872,0
2025-05-28T15:07:52.405915,2872,0
2025-05-28T15:07:53.436513,2833,0
2025-05-28T15:07:54.472433,2833,0
2025-05-28T15:07:55.514980,2822,0
2025-05-28T15:07:56.546481,2822,0
2025-05-28T15:07:57.592157,2856,0
2025-05-28T15:07:58.626355,2856,0
2025-05-28T15:07:59.655793,2858,0
2025-05-28T15:08:00.685227,2858,0
2025-05-28T15:08:01.715110,2822,0
2025-05-28T15:08:02.816816,2822,0
2025-05-28T15:08:03.846194,2833,0
2025-05-28T15:08:04.885396,2833,0
2025-05-28T15:08:05.940768,2909,0
2025-05-28T15:08:06.985022,2847,0
2025-05-28T15:08:08.014758,2847,0
2025-05-28T15:08:09.058911,2884,0
2025-05-28T15:08:10.108971,2882,0
2025-05-28T15:08:11.139522,2882,0
2025-05-28T15:08:12.168529,2839,0
2025-05-28T15:08:13.198607,2839,0
2025-05-28T15:08:14.233990,2880,0
2025-05-28T15:08:15.308692,2880,0
2025-05-28T15:08:16.340613,2895,0
2025-05-28T15:08:17.377652,2895,0
2025-05-28T15:08:18.413762,2824,0
2025-05-28T15:08:19.445512,2856,0
2025-05-28T15:08:20.476366,2856,0
2025-05-28T15:08:21.505794,2799,0
2025-05-28T15:08:22.556920,2799,0
2025-05-28T15:08:23.602801,2891,0
2025-05-28T15:08:24.632459,2891,0
2025-05-28T15:08:25.663709,2812,0
2025-05-28T15:08:26.703736,2812,0
2025-05-28T15:08:27.739946,2845,0
2025-05-28T15:08:28.799403,2845,0
2025-05-28T15:08:29.832354,2834,0
2025-05-28T15:08:30.868883,2834,0
2025-05-28T15:08:31.910724,2885,0
2025-05-28T15:08:32.962316,2885,0
2025-05-28T15:08:33.999464,2851,0
