timestamp,power_mW,under_attack
2025-05-29T19:00:46.787305,2761,1
2025-05-29T19:00:47.817683,2868,1
2025-05-29T19:00:48.854925,2868,1
2025-05-29T19:00:49.885382,2872,1
2025-05-29T19:00:50.914777,2872,1
2025-05-29T19:00:51.944268,2840,1
2025-05-29T19:00:52.974154,2840,1
2025-05-29T19:00:54.032036,2898,1
2025-05-29T19:00:55.061584,2898,1
2025-05-29T19:00:56.105158,2810,1
2025-05-29T19:00:57.134077,2810,1
2025-05-29T19:00:58.163449,2873,1
2025-05-29T19:00:59.192365,2873,1
2025-05-29T19:01:00.222406,2835,1
2025-05-29T19:01:01.251159,2835,1
2025-05-29T19:01:02.280890,2918,1
2025-05-29T19:01:03.310416,2880,1
2025-05-29T19:01:04.339232,2880,1
2025-05-29T19:01:05.369009,2824,1
2025-05-29T19:01:06.398401,2824,1
2025-05-29T19:01:07.428298,2830,1
2025-05-29T19:01:08.470842,2830,1
2025-05-29T19:01:09.502503,2835,1
2025-05-29T19:01:10.543682,2835,1
2025-05-29T19:01:11.572560,2775,1
2025-05-29T19:01:12.603648,2775,1
2025-05-29T19:01:13.635071,2846,1
2025-05-29T19:01:14.663661,2846,1
2025-05-29T19:01:15.721105,2871,1
2025-05-29T19:01:16.765191,2849,1
2025-05-29T19:01:17.794923,2849,1
2025-05-29T19:01:18.840101,2893,1
2025-05-29T19:01:19.873394,2893,1
2025-05-29T19:01:20.902006,2901,1
2025-05-29T19:01:21.941546,2901,1
2025-05-29T19:01:22.971978,2826,1
2025-05-29T19:01:24.003552,2826,1
2025-05-29T19:01:25.060062,2806,1
2025-05-29T19:01:26.088002,2806,1
2025-05-29T19:01:27.133358,2775,1
2025-05-29T19:01:28.162141,2775,1
2025-05-29T19:01:29.191669,2847,1
2025-05-29T19:01:30.221809,2823,1
2025-05-29T19:01:31.250614,2823,1
2025-05-29T19:01:32.279417,2763,1
2025-05-29T19:01:33.309369,2763,1
2025-05-29T19:01:34.353538,2849,1
2025-05-29T19:01:35.384321,2871,1
2025-05-29T19:01:36.425412,2871,1
2025-05-29T19:01:37.480419,2824,1
2025-05-29T19:01:38.536598,2824,1
2025-05-29T19:01:39.568390,2811,1
2025-05-29T19:01:40.597517,2859,1
2025-05-29T19:01:41.630050,2859,1
2025-05-29T19:01:42.671802,2859,1
2025-05-29T19:01:43.700619,2859,1
2025-05-29T19:01:44.745264,2758,1
2025-05-29T19:01:45.781061,2758,1
2025-05-29T19:01:47.587029,2801,0
2025-05-29T19:01:48.615962,2810,0
2025-05-29T19:01:49.661104,2810,0
2025-05-29T19:01:50.689807,2872,0
2025-05-29T19:01:51.720355,2872,0
