timestamp,power_mW,under_attack
2025-05-29T23:23:34.952297,2367,1
2025-05-29T23:23:36.021083,2459,1
2025-05-29T23:23:37.050009,2348,1
2025-05-29T23:23:38.092726,2348,1
2025-05-29T23:23:39.124106,2431,1
2025-05-29T23:23:40.166231,2431,1
2025-05-29T23:23:41.195095,2430,1
2025-05-29T23:23:42.224559,2430,1
2025-05-29T23:23:43.253676,2288,1
2025-05-29T23:23:44.297362,2288,1
2025-05-29T23:23:45.326653,2426,1
2025-05-29T23:23:46.387435,2426,1
2025-05-29T23:23:47.416642,2382,1
2025-05-29T23:23:48.463189,2382,1
2025-05-29T23:23:49.502014,2396,1
2025-05-29T23:23:50.530673,2396,1
2025-05-29T23:23:51.559769,2376,1
2025-05-29T23:23:52.606968,2376,1
2025-05-29T23:23:53.636609,2385,1
2025-05-29T23:23:54.665622,2385,1
2025-05-29T23:23:55.707684,2412,1
2025-05-29T23:23:56.736365,2412,1
2025-05-29T23:23:57.779246,2362,1
2025-05-29T23:23:58.810325,2362,1
2025-05-29T23:23:59.842000,2330,1
2025-05-29T23:24:00.871672,2330,1
2025-05-29T23:24:01.913229,2374,1
2025-05-29T23:24:02.942442,2374,1
2025-05-29T23:24:03.972771,2376,1
2025-05-29T23:24:05.024043,2407,1
2025-05-29T23:24:06.053815,2407,1
2025-05-29T23:24:07.096380,2378,1
2025-05-29T23:24:08.126532,2378,1
2025-05-29T23:24:09.155681,2383,1
2025-05-29T23:24:10.184385,2383,1
2025-05-29T23:24:11.224084,2412,1
2025-05-29T23:24:12.253149,2412,1
2025-05-29T23:24:13.285633,2444,1
2025-05-29T23:24:14.324855,2444,1
2025-05-29T23:24:15.366334,2363,1
2025-05-29T23:24:16.395325,2363,1
2025-05-29T23:24:17.439661,2356,1
2025-05-29T23:24:18.469799,2356,1
2025-05-29T23:24:19.500260,2416,1
2025-05-29T23:24:20.530269,2416,1
2025-05-29T23:24:21.559859,2372,1
2025-05-29T23:24:22.589735,2372,1
2025-05-29T23:24:23.633145,2330,1
2025-05-29T23:24:24.662356,2330,1
2025-05-29T23:24:25.691650,2331,1
2025-05-29T23:24:26.732746,2331,1
2025-05-29T23:24:27.761251,2455,1
2025-05-29T23:24:28.789827,2455,1
2025-05-29T23:24:29.831048,2369,1
2025-05-29T23:24:30.862026,2369,1
2025-05-29T23:24:31.890950,2372,1
2025-05-29T23:24:32.920592,2372,1
2025-05-29T23:24:33.949827,2418,1
2025-05-29T23:24:48.676279,2374,0
2025-05-29T23:24:49.705152,2430,0
2025-05-29T23:24:50.734675,2430,0
2025-05-29T23:24:51.763802,2404,0
2025-05-29T23:24:52.792396,2404,0
2025-05-29T23:24:53.821238,2304,0
2025-05-29T23:24:54.863233,2304,0
2025-05-29T23:24:55.893169,2413,0
2025-05-29T23:24:56.921940,2413,0
2025-05-29T23:24:57.967355,2372,0
2025-05-29T23:24:58.998964,2330,0
2025-05-29T23:25:00.039642,2330,0
2025-05-29T23:25:01.068207,2334,0
2025-05-29T23:25:02.098247,2334,0
2025-05-29T23:25:03.127496,2366,0
2025-05-29T23:25:04.170748,2366,0
2025-05-29T23:25:05.205741,2365,0
2025-05-29T23:25:06.236418,2365,0
2025-05-29T23:25:07.283559,2369,0
2025-05-29T23:25:08.313937,2369,0
2025-05-29T23:25:09.358751,2368,0
2025-05-29T23:25:10.387470,2368,0
2025-05-29T23:25:11.417248,2318,0
2025-05-29T23:25:12.446975,2318,0
2025-05-29T23:25:13.482118,2358,0
2025-05-29T23:25:14.510824,2358,0
2025-05-29T23:25:15.541073,2381,0
2025-05-29T23:25:16.569772,2381,0
2025-05-29T23:25:17.600210,2351,0
2025-05-29T23:25:18.629393,2351,0
2025-05-29T23:25:19.673852,2289,0
2025-05-29T23:25:20.704911,2289,0
2025-05-29T23:25:21.747132,2436,0
2025-05-29T23:25:22.776149,2436,0
2025-05-29T23:25:23.805612,2440,0
2025-05-29T23:25:24.834146,2440,0
2025-05-29T23:25:25.864091,2298,0
2025-05-29T23:25:26.896884,2298,0
2025-05-29T23:25:27.925982,2334,0
2025-05-29T23:25:28.955179,2334,0
2025-05-29T23:25:29.991959,2378,0
2025-05-29T23:25:31.021139,2332,0
2025-05-29T23:25:32.063863,2332,0
2025-05-29T23:25:33.127247,2388,0
2025-05-29T23:25:34.156821,2388,0
2025-05-29T23:25:35.185630,2414,0
2025-05-29T23:25:36.215191,2414,0
2025-05-29T23:25:37.244846,2348,0
2025-05-29T23:25:38.273593,2348,0
2025-05-29T23:25:39.309113,2295,0
2025-05-29T23:25:40.338100,2295,0
2025-05-29T23:25:41.382197,2403,0
2025-05-29T23:25:42.411486,2403,0
2025-05-29T23:25:43.457237,2351,0
2025-05-29T23:25:44.486077,2351,0
2025-05-29T23:25:45.515180,2333,0
2025-05-29T23:25:46.544055,2333,0
2025-05-29T23:25:47.574618,2362,0
2025-05-29T23:25:48.617685,2362,0
2025-05-29T23:25:49.646682,2354,0
2025-05-29T23:25:50.675542,2354,0
2025-05-29T23:25:51.722247,2399,0
2025-05-29T23:25:52.752306,2399,0
2025-05-29T23:25:53.781206,2382,0
2025-05-29T23:25:54.824120,2382,0
2025-05-29T23:25:55.854077,2382,0
2025-05-29T23:25:56.883824,2382,0
2025-05-29T23:25:57.925160,2391,0
2025-05-29T23:25:58.954325,2391,0
2025-05-29T23:25:59.983229,2372,0
2025-05-29T23:26:01.012492,2342,0
2025-05-29T23:26:02.041505,2342,0
2025-05-29T23:26:03.071800,2377,0
2025-05-29T23:26:04.115272,2377,0
2025-05-29T23:26:05.145175,2393,0
2025-05-29T23:26:06.188932,2393,0
2025-05-29T23:26:07.220994,2381,0
2025-05-29T23:26:08.250268,2381,0
2025-05-29T23:26:09.279690,2327,0
2025-05-29T23:26:10.309788,2327,0
2025-05-29T23:26:11.339211,2304,0
2025-05-29T23:26:12.370713,2304,0
2025-05-29T23:26:13.401316,2369,0
2025-05-29T23:26:14.440227,2369,0
2025-05-29T23:26:15.482121,2340,0
2025-05-29T23:26:16.511233,2340,0
2025-05-29T23:26:17.555665,2333,0
