timestamp,power_mW,under_attack
2025-05-30T00:10:10.287152,2339,1
2025-05-30T00:10:11.331158,2339,1
2025-05-30T00:10:12.359837,2345,1
2025-05-30T00:10:13.389020,2345,1
2025-05-30T00:10:14.431204,2378,1
2025-05-30T00:10:15.465451,2378,1
2025-05-30T00:10:16.505689,2393,1
2025-05-30T00:10:17.534541,2393,1
2025-05-30T00:10:18.562950,2338,1
2025-05-30T00:10:19.592545,2338,1
2025-05-30T00:10:20.621465,2526,1
2025-05-30T00:10:21.655719,2403,1
2025-05-30T00:10:22.695007,2403,1
2025-05-30T00:10:23.724050,2340,1
2025-05-30T00:10:24.753060,2340,1
2025-05-30T00:10:25.797024,2321,1
2025-05-30T00:10:26.848496,2321,1
2025-05-30T00:10:27.877732,2406,1
2025-05-30T00:10:28.907372,2406,1
2025-05-30T00:10:29.938116,2360,1
2025-05-30T00:10:30.967360,2360,1
2025-05-30T00:10:32.003292,2372,1
2025-05-30T00:10:33.032090,2372,1
2025-05-30T00:10:34.061704,2410,1
2025-05-30T00:10:35.116992,2410,1
2025-05-30T00:10:36.148856,2287,1
2025-05-30T00:10:37.192648,2287,1
2025-05-30T00:10:38.221527,2410,1
2025-05-30T00:10:39.250184,2410,1
2025-05-30T00:10:40.279061,2361,1
2025-05-30T00:10:41.309665,2361,1
2025-05-30T00:10:42.338654,2378,1
2025-05-30T00:10:43.367991,2378,1
2025-05-30T00:10:44.398238,2434,1
2025-05-30T00:10:45.429844,2434,1
2025-05-30T00:10:46.460078,2416,1
2025-05-30T00:10:47.505840,2416,1
2025-05-30T00:10:48.534643,2427,1
2025-05-30T00:10:49.579779,2427,1
2025-05-30T00:10:50.618349,2306,1
2025-05-30T00:10:51.648663,2306,1
2025-05-30T00:10:52.678147,2507,1
2025-05-30T00:10:53.723951,2308,1
2025-05-30T00:10:54.752795,2308,1
2025-05-30T00:10:55.781631,2404,1
2025-05-30T00:10:56.823828,2404,1
2025-05-30T00:10:57.853843,2399,1
2025-05-30T00:10:58.898986,2399,1
2025-05-30T00:10:59.927756,2398,1
2025-05-30T00:11:00.956989,2398,1
2025-05-30T00:11:01.985923,2361,1
2025-05-30T00:11:03.014764,2361,1
2025-05-30T00:11:04.045220,2346,1
2025-05-30T00:11:05.075317,2346,1
2025-05-30T00:11:06.105088,2459,1
2025-05-30T00:11:07.136235,2459,1
2025-05-30T00:11:08.165968,2395,1
2025-05-30T00:11:09.194971,2395,1
2025-05-30T00:11:10.238652,2427,1
2025-05-30T00:11:11.268174,2427,0
2025-05-30T00:11:12.312670,2423,0
2025-05-30T00:11:13.342192,2423,0
2025-05-30T00:11:14.370851,2288,0
2025-05-30T00:11:15.401060,2288,0
2025-05-30T00:11:16.442494,2385,0
2025-05-30T00:11:17.471279,2385,0
2025-05-30T00:11:18.499972,2277,0
2025-05-30T00:11:19.530180,2277,0
2025-05-30T00:11:20.559015,2381,0
2025-05-30T00:11:21.589308,2381,0
2025-05-30T00:11:22.628946,2364,0
2025-05-30T00:11:23.659886,2364,0
2025-05-30T00:11:24.702603,2381,0
2025-05-30T00:11:25.731526,2408,0
2025-05-30T00:11:26.760994,2408,0
2025-05-30T00:11:27.790091,2290,0
2025-05-30T00:11:28.818464,2290,0
2025-05-30T00:11:29.855139,2305,0
2025-05-30T00:11:30.884962,2305,0
2025-05-30T00:11:31.915127,2356,0
2025-05-30T00:11:32.972773,2356,0
2025-05-30T00:11:34.004491,2300,0
2025-05-30T00:11:35.045287,2300,0
2025-05-30T00:11:36.074005,2345,0
2025-05-30T00:11:37.103215,2345,0
2025-05-30T00:11:38.132293,2415,0
2025-05-30T00:11:39.164446,2415,0
2025-05-30T00:11:40.193088,2323,0
2025-05-30T00:11:41.226419,2323,0
2025-05-30T00:11:42.265970,2329,0
2025-05-30T00:11:43.296092,2329,0
2025-05-30T00:11:44.337773,2366,0
2025-05-30T00:11:45.370049,2366,0
2025-05-30T00:11:46.413289,2351,0
2025-05-30T00:11:47.442201,2351,0
2025-05-30T00:11:48.474278,2358,0
2025-05-30T00:11:49.503247,2358,0
2025-05-30T00:11:50.531993,2338,0
2025-05-30T00:11:51.575334,2338,0
2025-05-30T00:11:52.605445,2273,0
2025-05-30T00:11:53.634305,2273,0
2025-05-30T00:11:54.680147,2341,0
2025-05-30T00:11:55.710023,2331,0
2025-05-30T00:11:56.753439,2331,0
2025-05-30T00:11:57.783667,2352,0
2025-05-30T00:11:58.812842,2352,0
2025-05-30T00:11:59.841714,2331,0
2025-05-30T00:12:00.884458,2331,0
2025-05-30T00:12:01.914697,2407,0
2025-05-30T00:12:02.945291,2407,0
2025-05-30T00:12:03.998525,2321,0
2025-05-30T00:12:05.027424,2321,0
2025-05-30T00:12:06.072516,2376,0
2025-05-30T00:12:07.110357,2376,0
2025-05-30T00:12:08.140784,2432,0
2025-05-30T00:12:09.170066,2432,0
2025-05-30T00:12:10.200342,2250,0
2025-05-30T00:12:11.238204,2250,0
2025-05-30T00:12:12.266898,2368,0
2025-05-30T00:12:13.296193,2368,0
2025-05-30T00:12:14.341073,2381,0
2025-05-30T00:12:15.372298,2381,0
2025-05-30T00:12:16.418374,2346,0
2025-05-30T00:12:17.448119,2346,0
2025-05-30T00:12:18.477219,2366,0
2025-05-30T00:12:19.507489,2366,0
2025-05-30T00:12:20.536400,2369,0
2025-05-30T00:12:21.565226,2369,0
2025-05-30T00:12:22.604617,2276,0
2025-05-30T00:12:23.634604,2276,0
2025-05-30T00:12:24.664127,2383,0
2025-05-30T00:12:25.707411,2376,0
2025-05-30T00:12:26.736397,2376,0
2025-05-30T00:12:27.781805,2345,0
2025-05-30T00:12:28.810235,2345,0
2025-05-30T00:12:29.839504,2373,0
2025-05-30T00:12:30.870179,2373,0
2025-05-30T00:12:31.914125,2308,0
2025-05-30T00:12:32.942854,2308,0
2025-05-30T00:12:33.972057,2364,0
2025-05-30T00:12:35.000463,2364,0
2025-05-30T00:12:36.030433,2420,0
2025-05-30T00:12:37.073765,2420,0
2025-05-30T00:12:38.102425,2402,0
2025-05-30T00:12:39.131972,2402,0
2025-05-30T00:12:40.171485,2287,0
2025-05-30T00:12:41.200557,2287,0
2025-05-30T00:12:42.229430,2305,0
2025-05-30T00:12:43.258477,2305,0
2025-05-30T00:12:44.286993,2411,0
2025-05-30T00:12:45.325145,2411,0
2025-05-30T00:12:46.354872,2315,0
2025-05-30T00:12:47.383618,2315,0
2025-05-30T00:12:48.414381,2380,0
2025-05-30T00:12:49.443465,2380,0
2025-05-30T00:12:50.473915,2319,0
2025-05-30T00:12:51.512177,2319,0
2025-05-30T00:12:52.541413,2363,0
2025-05-30T00:12:53.588221,2363,0
2025-05-30T00:12:54.617014,2321,0
2025-05-30T00:12:55.646060,2321,0
2025-05-30T00:12:56.675035,2291,0
2025-05-30T00:12:57.704456,2304,0
2025-05-30T00:12:58.737631,2304,0
2025-05-30T00:12:59.766360,2372,0
2025-05-30T00:13:00.796139,2372,0
2025-05-30T00:13:01.825497,2394,0
2025-05-30T00:13:02.854205,2394,0
2025-05-30T00:13:03.883127,2330,0
2025-05-30T00:13:04.924161,2330,0
2025-05-30T00:13:05.952970,2369,0
2025-05-30T00:13:06.982820,2369,0
2025-05-30T00:13:08.027226,2329,0
2025-05-30T00:13:09.055927,2329,0
2025-05-30T00:13:10.088182,2328,0
2025-05-30T00:13:11.116930,2328,0
2025-05-30T00:13:12.151476,2318,0
2025-05-30T00:13:13.181703,2318,0
2025-05-30T00:13:14.211756,2345,0
2025-05-30T00:13:15.268906,2345,0
2025-05-30T00:13:16.297731,2367,0
2025-05-30T00:13:17.346252,2367,0
2025-05-30T00:13:18.374805,2361,0
2025-05-30T00:13:19.405467,2361,0
2025-05-30T00:13:20.434447,2431,0
2025-05-30T00:13:21.463418,2431,0
2025-05-30T00:13:22.493299,2323,0
2025-05-30T00:13:23.523126,2323,0
2025-05-30T00:13:24.562753,2408,0
2025-05-30T00:13:25.591605,2408,0
2025-05-30T00:13:26.635428,2328,0
2025-05-30T00:13:27.665664,2328,0
2025-05-30T00:13:28.708788,2371,0
2025-05-30T00:13:29.738382,2377,0
2025-05-30T00:13:30.768591,2377,0
2025-05-30T00:13:31.798641,2376,0
2025-05-30T00:13:32.827318,2376,0
2025-05-30T00:13:33.870345,2301,0
2025-05-30T00:13:34.904630,2301,0
2025-05-30T00:13:35.933342,2408,0
2025-05-30T00:13:36.977810,2408,0
2025-05-30T00:13:38.006674,2399,0
2025-05-30T00:13:39.054287,2399,0
2025-05-30T00:13:40.083625,2357,0
2025-05-30T00:13:41.112185,2357,0
2025-05-30T00:13:42.140830,2288,0
2025-05-30T00:13:43.178211,2288,0
2025-05-30T00:13:44.207770,2388,0
2025-05-30T00:13:45.241939,2388,0
2025-05-30T00:13:46.296238,2350,0
2025-05-30T00:13:47.324822,2350,0
2025-05-30T00:13:48.356418,2390,0
2025-05-30T00:13:49.394136,2390,0
2025-05-30T00:13:50.422720,2368,0
2025-05-30T00:13:51.454858,2368,0
2025-05-30T00:13:52.491738,2323,0
2025-05-30T00:13:53.520962,2323,0
2025-05-30T00:13:54.552245,2377,0
2025-05-30T00:13:55.594458,2377,0
2025-05-30T00:13:56.638724,2247,0
2025-05-30T00:13:57.672111,2247,0
2025-05-30T00:13:58.713690,2307,0
2025-05-30T00:13:59.742909,2417,0
2025-05-30T00:14:00.798542,2417,0
2025-05-30T00:14:01.827335,2374,0
2025-05-30T00:14:02.856905,2374,0
2025-05-30T00:14:03.885965,2433,0
2025-05-30T00:14:04.915785,2433,0
2025-05-30T00:14:05.958854,2324,0
2025-05-30T00:14:06.991704,2324,0
2025-05-30T00:14:08.035786,2368,0
2025-05-30T00:14:09.064320,2368,0
2025-05-30T00:14:10.107824,2337,0
2025-05-30T00:14:11.135919,2337,1
2025-05-30T00:14:12.165779,2379,1
2025-05-30T00:14:13.198698,2379,1
2025-05-30T00:14:14.227281,2350,1
2025-05-30T00:14:15.256327,2350,1
2025-05-30T00:14:16.299410,2412,1
2025-05-30T00:14:17.331704,2412,1
2025-05-30T00:14:18.374507,2462,1
2025-05-30T00:14:19.421978,2462,1
2025-05-30T00:14:20.451547,2475,1
2025-05-30T00:14:21.480420,2475,1
2025-05-30T00:14:22.521022,2450,1
2025-05-30T00:14:23.550394,2450,1
2025-05-30T00:14:24.594511,2373,1
2025-05-30T00:14:25.623050,2373,1
2025-05-30T00:14:26.668237,2249,1
2025-05-30T00:14:27.698645,2249,1
2025-05-30T00:14:28.731719,2308,1
2025-05-30T00:14:29.760630,2440,1
2025-05-30T00:14:30.789645,2440,1
2025-05-30T00:14:31.828142,2366,1
2025-05-30T00:14:32.856704,2366,1
2025-05-30T00:14:33.887699,2394,1
2025-05-30T00:14:34.936217,2394,1
2025-05-30T00:14:35.965326,2435,1
2025-05-30T00:14:37.010458,2435,1
2025-05-30T00:14:38.039472,2361,1
2025-05-30T00:14:39.068047,2361,1
2025-05-30T00:14:40.097116,2334,1
2025-05-30T00:14:41.136498,2334,1
2025-05-30T00:14:42.166230,2421,1
2025-05-30T00:14:43.195104,2421,1
2025-05-30T00:14:44.224006,2397,1
2025-05-30T00:14:45.253074,2397,1
2025-05-30T00:14:46.282056,2410,1
2025-05-30T00:14:47.327800,2410,1
2025-05-30T00:14:48.356454,2433,1
2025-05-30T00:14:49.401492,2433,1
2025-05-30T00:14:50.447155,2399,1
2025-05-30T00:14:51.476415,2399,1
2025-05-30T00:14:52.505554,2383,1
2025-05-30T00:14:53.547825,2383,1
2025-05-30T00:14:54.577698,2344,1
2025-05-30T00:14:55.620951,2344,1
