timestamp,power_mW,under_attack
2025-05-30T01:08:49.782521,2314,1
2025-05-30T01:08:50.811802,2334,1
2025-05-30T01:08:51.848216,2334,1
2025-05-30T01:08:52.879789,2375,1
2025-05-30T01:08:53.921794,2375,1
2025-05-30T01:08:54.951987,2393,1
2025-05-30T01:08:55.996481,2393,1
2025-05-30T01:08:57.025947,2421,1
2025-05-30T01:08:58.055460,2421,1
2025-05-30T01:08:59.084181,2383,1
2025-05-30T01:09:00.116766,2383,1
2025-05-30T01:09:01.157407,2433,1
2025-05-30T01:09:02.186469,2433,1
2025-05-30T01:09:03.216498,2401,1
2025-05-30T01:09:04.264487,2401,1
2025-05-30T01:09:05.294061,2357,1
2025-05-30T01:09:06.338151,2357,1
2025-05-30T01:09:07.366980,2394,1
2025-05-30T01:09:08.397341,2394,1
2025-05-30T01:09:09.428970,2398,1
2025-05-30T01:09:10.466890,2347,1
2025-05-30T01:09:11.499934,2347,1
2025-05-30T01:09:12.529455,2297,1
2025-05-30T01:09:13.583765,2297,1
2025-05-30T01:09:14.612365,2392,1
2025-05-30T01:09:15.657036,2392,1
2025-05-30T01:09:16.685924,2407,1
2025-05-30T01:09:17.716284,2407,1
2025-05-30T01:09:18.745101,2354,1
2025-05-30T01:09:19.777450,2354,1
2025-05-30T01:09:20.806794,2445,1
2025-05-30T01:09:21.835811,2445,1
2025-05-30T01:09:22.866079,2342,1
2025-05-30T01:09:23.895078,2342,1
2025-05-30T01:09:24.925008,2419,1
2025-05-30T01:09:25.974076,2419,1
2025-05-30T01:09:27.003158,2283,1
2025-05-30T01:09:28.047159,2283,1
2025-05-30T01:09:29.085526,2407,1
2025-05-30T01:09:30.116401,2407,1
2025-05-30T01:09:31.145159,2404,1
2025-05-30T01:09:32.189380,2404,1
2025-05-30T01:09:33.219628,2452,1
2025-05-30T01:09:34.248021,2452,1
2025-05-30T01:09:35.321975,2409,1
2025-05-30T01:09:36.352009,2409,1
2025-05-30T01:09:37.393848,2350,1
2025-05-30T01:09:38.422646,2350,1
2025-05-30T01:09:39.452141,2468,1
2025-05-30T01:09:40.495816,2366,1
2025-05-30T01:09:41.540544,2366,1
2025-05-30T01:09:42.569254,2419,1
2025-05-30T01:09:43.613244,2419,1
2025-05-30T01:09:44.646885,2439,1
2025-05-30T01:09:45.676234,2439,1
2025-05-30T01:09:46.705749,2341,1
2025-05-30T01:09:47.734804,2341,1
2025-05-30T01:09:48.764679,2474,1
2025-05-30T01:09:50.816557,2361,0
2025-05-30T01:09:51.845266,2361,0
2025-05-30T01:09:52.876093,2303,0
2025-05-30T01:09:53.929470,2303,0
2025-05-30T01:09:54.959132,2392,0
2025-05-30T01:09:56.003062,2392,0
2025-05-30T01:09:57.032195,2352,0
2025-05-30T01:09:58.061626,2352,0
2025-05-30T01:09:59.090717,2323,0
2025-05-30T01:10:00.119957,2323,0
2025-05-30T01:10:01.149108,2391,0
2025-05-30T01:10:02.178484,2391,0
2025-05-30T01:10:03.218104,2325,0
2025-05-30T01:10:04.246979,2325,0
2025-05-30T01:10:05.276665,2389,0
2025-05-30T01:10:06.319400,2389,0
