timestamp,power_mW,under_attack
2025-05-30T02:37:55.540746,2179,1
2025-05-30T02:37:56.572825,2157,1
2025-05-30T02:37:57.602005,2157,1
2025-05-30T02:37:58.630771,2232,1
2025-05-30T02:37:59.664524,2232,1
2025-05-30T02:38:00.699614,2264,1
2025-05-30T02:38:01.729024,2224,1
2025-05-30T02:38:02.778706,2224,1
2025-05-30T02:38:03.809084,2252,1
2025-05-30T02:38:04.854222,2252,1
2025-05-30T02:38:05.883395,2283,1
2025-05-30T02:38:06.915505,2283,1
2025-05-30T02:38:07.945462,2173,1
2025-05-30T02:38:08.982162,2173,1
2025-05-30T02:38:10.014095,2260,1
2025-05-30T02:38:11.043312,2260,1
2025-05-30T02:38:12.075777,2285,1
2025-05-30T02:38:13.104691,2285,1
2025-05-30T02:38:14.145037,2241,1
2025-05-30T02:38:15.176843,2241,1
2025-05-30T02:38:16.220074,2243,1
2025-05-30T02:38:17.249513,2243,1
2025-05-30T02:38:18.283666,2242,1
2025-05-30T02:38:19.312709,2242,1
2025-05-30T02:38:20.341945,2245,1
2025-05-30T02:38:21.371452,2245,1
2025-05-30T02:38:22.399984,2295,1
2025-05-30T02:38:23.428994,2295,1
2025-05-30T02:38:24.458071,2278,1
2025-05-30T02:38:25.491147,2278,1
2025-05-30T02:38:26.535412,2314,1
2025-05-30T02:38:27.564928,2314,1
2025-05-30T02:38:28.609464,2266,1
2025-05-30T02:38:29.638385,2266,1
2025-05-30T02:38:30.667002,2261,1
2025-05-30T02:38:31.704488,2251,1
2025-05-30T02:38:32.734247,2251,1
2025-05-30T02:38:33.763131,2212,1
2025-05-30T02:38:34.814053,2212,1
2025-05-30T02:38:35.853756,2252,1
2025-05-30T02:38:36.883088,2252,1
2025-05-30T02:38:37.930427,2282,1
2025-05-30T02:38:38.960011,2282,1
2025-05-30T02:38:40.005055,2288,1
2025-05-30T02:38:41.056827,2288,1
2025-05-30T02:38:42.100188,2319,1
2025-05-30T02:38:43.130294,2319,1
2025-05-30T02:38:44.184133,2334,1
2025-05-30T02:38:45.213775,2334,1
2025-05-30T02:38:46.244043,2285,1
2025-05-30T02:38:47.276121,2285,1
2025-05-30T02:38:48.310805,2244,1
2025-05-30T02:38:49.339839,2244,1
2025-05-30T02:38:50.375862,2312,1
2025-05-30T02:38:51.418778,2312,1
2025-05-30T02:38:52.447740,2251,1
2025-05-30T02:38:53.503939,2251,1
2025-05-30T02:38:54.538013,2304,1
2025-05-30T02:39:01.707736,2258,0
2025-05-30T02:39:02.737131,2258,0
2025-05-30T02:39:03.766759,2289,0
2025-05-30T02:39:04.796480,2289,0
2025-05-30T02:39:05.827911,2214,0
2025-05-30T02:39:06.856619,2214,0
2025-05-30T02:39:07.885665,2175,0
2025-05-30T02:39:08.932151,2175,0
2025-05-30T02:39:09.960916,2222,0
2025-05-30T02:39:11.004773,2222,0
2025-05-30T02:39:12.034209,2264,0
2025-05-30T02:39:13.065396,2264,0
2025-05-30T02:39:14.094549,2244,0
2025-05-30T02:39:15.135170,2244,0
2025-05-30T02:39:16.164133,2146,0
2025-05-30T02:39:17.193270,2146,0
2025-05-30T02:39:18.223311,2206,0
2025-05-30T02:39:19.252034,2206,0
2025-05-30T02:39:20.295345,2193,0
2025-05-30T02:39:21.328028,2193,0
2025-05-30T02:39:22.369068,2237,0
2025-05-30T02:39:23.398390,2237,0
2025-05-30T02:39:24.428621,2175,0
2025-05-30T02:39:25.458667,2175,0
2025-05-30T02:39:26.487203,2227,0
2025-05-30T02:39:27.519988,2227,0
2025-05-30T02:39:28.548922,2194,0
2025-05-30T02:39:29.579600,2194,0
2025-05-30T02:39:30.608411,2234,0
2025-05-30T02:39:31.661686,2234,0
2025-05-30T02:39:32.691689,2169,0
2025-05-30T02:39:33.735426,2190,0
2025-05-30T02:39:34.763953,2190,0
2025-05-30T02:39:35.792985,2241,0
2025-05-30T02:39:36.822639,2241,0
2025-05-30T02:39:37.855967,2148,0
2025-05-30T02:39:38.885513,2148,0
2025-05-30T02:39:39.915162,2290,0
2025-05-30T02:39:40.958526,2290,0
2025-05-30T02:39:42.004056,2253,0
2025-05-30T02:39:43.033484,2253,0
2025-05-30T02:39:44.081513,2124,0
2025-05-30T02:39:45.110857,2124,0
2025-05-30T02:39:46.141328,2180,0
2025-05-30T02:39:47.171202,2180,0
2025-05-30T02:39:48.200792,2153,0
2025-05-30T02:39:49.229884,2153,0
2025-05-30T02:39:50.270223,2157,0
2025-05-30T02:39:51.299970,2157,0
2025-05-30T02:39:52.330117,2157,0
2025-05-30T02:39:53.373459,2157,0
