timestamp,power_mW,under_attack
2025-05-30T08:57:33.283171,2191,1
2025-05-30T08:57:34.313480,2116,1
2025-05-30T08:57:35.345942,2116,1
2025-05-30T08:57:36.375172,2207,1
2025-05-30T08:57:37.405909,2311,1
2025-05-30T08:57:38.448614,2311,1
2025-05-30T08:57:39.481084,2348,1
2025-05-30T08:57:40.523815,2348,1
2025-05-30T08:57:41.554320,2326,1
2025-05-30T08:57:42.598174,2326,1
2025-05-30T08:57:43.627460,2321,1
2025-05-30T08:57:44.658648,2321,1
2025-05-30T08:57:45.688046,2246,1
2025-05-30T08:57:46.717147,2246,1
2025-05-30T08:57:47.760371,2321,1
2025-05-30T08:57:48.789238,2321,1
2025-05-30T08:57:49.820308,2346,1
2025-05-30T08:57:50.866364,2346,1
2025-05-30T08:57:51.896357,2351,1
2025-05-30T08:57:52.941104,2351,1
2025-05-30T08:57:53.970306,2312,1
2025-05-30T08:57:54.999283,2312,1
2025-05-30T08:57:56.029109,2333,1
2025-05-30T08:57:57.068600,2333,1
2025-05-30T08:57:58.098147,2275,1
2025-05-30T08:57:59.131248,2275,1
2025-05-30T08:58:00.184617,2327,1
2025-05-30T08:58:01.213755,2327,1
2025-05-30T08:58:02.258602,2297,1
2025-05-30T08:58:03.288480,2297,1
2025-05-30T08:58:04.318201,2198,1
2025-05-30T08:58:05.347602,2198,1
2025-05-30T08:58:06.377702,2283,1
2025-05-30T08:58:07.407823,2295,1
2025-05-30T08:58:08.436363,2295,1
2025-05-30T08:58:09.483627,2216,1
2025-05-30T08:58:10.526991,2216,1
2025-05-30T08:58:11.556160,2205,1
2025-05-30T08:58:12.600397,2205,1
2025-05-30T08:58:13.631301,2166,1
2025-05-30T08:58:14.660281,2166,1
2025-05-30T08:58:15.690329,2282,1
2025-05-30T08:58:16.719617,2282,1
2025-05-30T08:58:17.749158,2213,1
2025-05-30T08:58:18.790379,2213,1
2025-05-30T08:58:19.819803,2286,1
2025-05-30T08:58:20.869978,2286,1
2025-05-30T08:58:21.899590,2242,1
2025-05-30T08:58:22.943162,2242,1
2025-05-30T08:58:23.975395,2237,1
2025-05-30T08:58:25.004523,2237,1
2025-05-30T08:58:26.033835,2232,1
2025-05-30T08:58:27.065352,2232,1
2025-05-30T08:58:28.097781,2371,1
2025-05-30T08:58:29.127206,2371,1
2025-05-30T08:58:30.156224,2241,1
2025-05-30T08:58:31.211848,2241,1
2025-05-30T08:58:32.243901,2280,1
2025-05-30T08:58:39.018147,2280,0
2025-05-30T08:58:40.046979,2244,0
2025-05-30T08:58:41.077816,2244,0
2025-05-30T08:58:42.109905,2153,0
2025-05-30T08:58:43.139123,2153,0
2025-05-30T08:58:44.168340,2235,0
2025-05-30T08:58:45.197216,2235,0
2025-05-30T08:58:46.238709,2225,0
2025-05-30T08:58:47.268559,2225,0
2025-05-30T08:58:48.312539,2246,0
2025-05-30T08:58:49.341267,2246,0
2025-05-30T08:58:50.370463,2179,0
2025-05-30T08:58:51.420861,2219,0
2025-05-30T08:58:52.555824,2219,0
2025-05-30T08:58:53.584790,2084,0
2025-05-30T08:58:54.621827,2084,0
2025-05-30T08:58:55.652092,2215,0
2025-05-30T08:58:56.680815,2215,0
2025-05-30T08:58:57.733317,2106,0
2025-05-30T08:58:58.763276,2106,0
2025-05-30T08:58:59.806815,2058,0
2025-05-30T08:59:00.835843,2058,0
2025-05-30T08:59:01.896453,2154,0
2025-05-30T08:59:02.930696,2154,0
2025-05-30T08:59:03.961682,2178,0
2025-05-30T08:59:05.003675,2178,0
2025-05-30T08:59:06.032753,2172,0
2025-05-30T08:59:07.078739,2172,0
2025-05-30T08:59:08.107878,2183,0
2025-05-30T08:59:09.153780,2183,0
2025-05-30T08:59:10.183875,2225,0
2025-05-30T08:59:11.212931,2225,0
2025-05-30T08:59:12.243690,2188,0
2025-05-30T08:59:13.272528,2188,0
2025-05-30T08:59:14.302031,2116,0
2025-05-30T08:59:15.346104,2116,0
2025-05-30T08:59:16.375165,2158,0
2025-05-30T08:59:17.421446,2162,0
2025-05-30T08:59:18.450341,2162,0
2025-05-30T08:59:19.482258,2195,0
2025-05-30T08:59:20.511298,2195,0
2025-05-30T08:59:21.545777,2188,0
2025-05-30T08:59:22.575302,2188,0
2025-05-30T08:59:23.604493,2157,0
2025-05-30T08:59:24.648952,2157,0
2025-05-30T08:59:25.688514,2259,0
2025-05-30T08:59:26.717588,2259,0
2025-05-30T08:59:27.763091,2157,0
2025-05-30T08:59:28.792283,2157,0
2025-05-30T08:59:29.821295,2106,0
2025-05-30T08:59:30.853968,2106,0
2025-05-30T08:59:31.883840,2168,0
2025-05-30T08:59:32.912597,2168,0
2025-05-30T08:59:33.941557,2214,0
2025-05-30T08:59:34.970597,2214,0
2025-05-30T08:59:35.999636,2111,0
2025-05-30T08:59:37.028965,2111,0
2025-05-30T08:59:38.061458,2219,0
2025-05-30T08:59:39.102818,2219,0
2025-05-30T08:59:40.133497,2183,0
2025-05-30T08:59:41.179663,2183,0
2025-05-30T08:59:42.211507,2117,0
2025-05-30T08:59:43.241680,2117,0
2025-05-30T08:59:44.270974,2226,0
2025-05-30T08:59:45.299706,2226,0
2025-05-30T08:59:46.329681,2129,0
2025-05-30T08:59:47.358908,2129,0
2025-05-30T08:59:48.388028,2153,0
2025-05-30T08:59:49.417406,2153,0
2025-05-30T08:59:50.446640,2171,0
2025-05-30T08:59:51.493293,2165,0
2025-05-30T08:59:52.522426,2165,0
2025-05-30T08:59:53.567965,2170,0
2025-05-30T08:59:54.596521,2170,0
2025-05-30T08:59:55.626300,2172,0
2025-05-30T08:59:56.655395,2172,0
2025-05-30T08:59:57.685003,2232,0
2025-05-30T08:59:58.717448,2232,0
2025-05-30T08:59:59.748733,2213,0
2025-05-30T09:00:00.793150,2213,0
2025-05-30T09:00:01.835765,2151,0
2025-05-30T09:00:02.865753,2151,0
2025-05-30T09:00:03.909667,2213,0
2025-05-30T09:00:04.940940,2213,0
2025-05-30T09:00:05.970464,2203,0
2025-05-30T09:00:06.999071,2203,0
2025-05-30T09:00:08.029026,2202,0
2025-05-30T09:00:09.063784,2202,0
2025-05-30T09:00:10.094747,2199,0
2025-05-30T09:00:11.124040,2199,0
2025-05-30T09:00:12.153373,2133,0
2025-05-30T09:00:13.186203,2133,0
2025-05-30T09:00:14.226078,2123,0
2025-05-30T09:00:15.255878,2123,0
2025-05-30T09:00:16.302135,2193,0
2025-05-30T09:00:17.334683,2193,0
2025-05-30T09:00:18.363680,2157,0
2025-05-30T09:00:19.404336,2157,0
2025-05-30T09:00:20.434484,2089,0
2025-05-30T09:00:21.464775,2215,0
2025-05-30T09:00:22.520361,2215,0
2025-05-30T09:00:23.549606,2209,0
2025-05-30T09:00:24.594508,2209,0
2025-05-30T09:00:25.623963,2112,0
2025-05-30T09:00:26.659125,2112,0
2025-05-30T09:00:27.688158,2171,0
2025-05-30T09:00:28.718348,2171,0
2025-05-30T09:00:29.749044,2186,0
2025-05-30T09:00:30.778137,2186,0
2025-05-30T09:00:31.818097,2265,0
2025-05-30T09:00:32.863017,2265,0
2025-05-30T09:00:33.892114,2164,0
2025-05-30T09:00:34.936545,2164,0
2025-05-30T09:00:35.965758,2168,0
2025-05-30T09:00:36.996267,2168,0
2025-05-30T09:00:38.025530,2143,0
2025-05-30T09:00:39.054664,2143,0
2025-05-30T09:00:40.083854,2191,0
2025-05-30T09:00:41.123959,2191,0
2025-05-30T09:00:42.153287,2169,0
2025-05-30T09:00:43.182279,2169,0
2025-05-30T09:00:44.212257,2137,0
2025-05-30T09:00:45.253326,2137,0
2025-05-30T09:00:46.282661,2204,0
2025-05-30T09:00:47.327210,2204,0
2025-05-30T09:00:48.358272,2127,0
2025-05-30T09:00:49.389812,2127,0
2025-05-30T09:00:50.432805,2159,0
2025-05-30T09:00:51.463225,2213,0
2025-05-30T09:00:52.494810,2213,0
2025-05-30T09:00:53.550374,2249,0
2025-05-30T09:00:54.579843,2249,0
