timestamp,power_mW,under_attack
2025-06-01T12:14:16.009706,2200,1
2025-06-01T12:14:17.041699,2200,1
2025-06-01T12:14:18.070226,2136,1
2025-06-01T12:14:19.136610,2223,1
2025-06-01T12:14:20.165778,2223,1
2025-06-01T12:14:21.209224,2246,1
2025-06-01T12:14:22.237298,2246,1
2025-06-01T12:14:23.280374,2270,1
2025-06-01T12:14:24.313225,2270,1
2025-06-01T12:14:25.342481,2248,1
2025-06-01T12:14:26.377048,2248,1
2025-06-01T12:14:27.406790,2219,1
2025-06-01T12:14:28.434688,2219,1
2025-06-01T12:14:29.472379,2192,1
2025-06-01T12:14:30.500960,2192,1
2025-06-01T12:14:31.529308,2200,1
2025-06-01T12:14:32.558087,2200,1
2025-06-01T12:14:33.597362,2159,1
2025-06-01T12:14:34.627038,2159,1
2025-06-01T12:14:35.673323,2213,1
2025-06-01T12:14:36.706437,2213,1
2025-06-01T12:14:37.734597,2207,1
2025-06-01T12:14:38.767436,2207,1
2025-06-01T12:14:39.796043,2264,1
2025-06-01T12:14:40.824361,2264,1
2025-06-01T12:14:41.858049,2241,1
2025-06-01T12:14:42.886081,2241,1
2025-06-01T12:14:43.914364,2202,1
2025-06-01T12:14:44.945306,2202,1
2025-06-01T12:14:45.988253,2163,1
2025-06-01T12:14:47.016412,2163,1
2025-06-01T12:14:48.044865,2217,1
2025-06-01T12:14:49.086255,2236,1
2025-06-01T12:14:50.118673,2236,1
2025-06-01T12:14:51.151672,2199,1
2025-06-01T12:14:52.194015,2199,1
2025-06-01T12:14:53.223773,2106,1
2025-06-01T12:14:54.252434,2106,1
2025-06-01T12:14:55.281226,2188,1
2025-06-01T12:14:56.310227,2188,1
2025-06-01T12:14:57.354166,2258,1
2025-06-01T12:14:58.382469,2258,1
2025-06-01T12:14:59.427811,2223,1
2025-06-01T12:15:00.490427,2223,1
2025-06-01T12:15:01.521048,2241,1
2025-06-01T12:15:02.551061,2241,1
2025-06-01T12:15:03.582200,2239,1
2025-06-01T12:15:04.624553,2239,1
2025-06-01T12:15:05.652911,2233,1
2025-06-01T12:15:06.683401,2233,1
2025-06-01T12:15:07.721378,2186,1
2025-06-01T12:15:08.761938,2186,1
2025-06-01T12:15:09.790463,2146,1
2025-06-01T12:15:10.819311,2146,1
2025-06-01T12:15:11.848451,2319,1
2025-06-01T12:15:12.877376,2319,1
2025-06-01T12:15:13.914517,2224,1
2025-06-01T12:15:14.942478,2224,1
2025-06-01T12:15:15.974619,2227,1
2025-06-01T12:15:23.060282,2257,0
2025-06-01T12:15:24.090357,2258,0
2025-06-01T12:15:25.130419,2105,0
2025-06-01T12:15:26.162336,2105,0
2025-06-01T12:15:27.191599,2143,0
2025-06-01T12:15:28.227414,2143,0
2025-06-01T12:15:29.256143,2108,0
2025-06-01T12:15:30.284654,2108,0
2025-06-01T12:15:31.313941,2228,0
2025-06-01T12:15:32.342132,2228,0
2025-06-01T12:15:33.371462,2140,0
2025-06-01T12:15:34.399433,2140,0
2025-06-01T12:15:35.446983,2179,0
2025-06-01T12:15:36.475482,2179,0
2025-06-01T12:15:37.503630,2102,0
2025-06-01T12:15:38.556900,2102,0
2025-06-01T12:15:39.585702,2119,0
2025-06-01T12:15:40.614298,2119,0
2025-06-01T12:15:41.642828,2169,0
2025-06-01T12:15:42.671401,2169,0
2025-06-01T12:15:43.699951,2118,0
2025-06-01T12:15:44.742257,2118,0
2025-06-01T12:15:45.772381,2074,0
2025-06-01T12:15:46.813388,2074,0
2025-06-01T12:15:47.845361,2155,0
2025-06-01T12:15:48.887367,2155,0
2025-06-01T12:15:49.919307,2136,0
2025-06-01T12:15:50.948017,2136,0
2025-06-01T12:15:51.976766,2156,0
2025-06-01T12:15:53.005948,2156,0
2025-06-01T12:15:54.034340,2210,0
2025-06-01T12:15:55.073439,2210,0
