timestamp,power_mW,under_attack
2025-06-02T13:22:18.011335,2130,0
2025-06-02T13:22:19.047999,2133,0
2025-06-02T13:22:20.089084,2133,0
2025-06-02T13:22:21.130294,2138,0
2025-06-02T13:22:22.165347,2138,0
2025-06-02T13:22:23.194546,2117,0
2025-06-02T13:22:24.225615,2117,0
2025-06-02T13:22:25.263778,2174,0
2025-06-02T13:22:26.305410,2174,0
2025-06-02T13:22:27.342178,2120,0
2025-06-02T13:22:28.379404,2120,0
2025-06-02T13:22:29.410530,2172,0
2025-06-02T13:22:30.441899,2106,0
2025-06-02T13:22:31.471709,2106,0
2025-06-02T13:22:32.500945,2079,0
2025-06-02T13:22:33.529849,2079,0
2025-06-02T13:22:34.573260,2135,0
2025-06-02T13:22:35.601985,2135,0
2025-06-02T13:22:36.631838,2156,0
2025-06-02T13:22:37.675819,2156,0
2025-06-02T13:22:38.725133,2065,0
2025-06-02T13:22:39.754266,2065,0
2025-06-02T13:22:40.784338,2144,0
2025-06-02T13:22:41.814007,2144,0
2025-06-02T13:22:42.844173,2103,0
2025-06-02T13:22:43.882383,2103,0
2025-06-02T13:22:44.911826,2160,0
2025-06-02T13:22:45.940436,2160,0
2025-06-02T13:22:46.991154,2027,0
2025-06-02T13:22:48.040231,2027,0
2025-06-02T13:22:49.070506,2147,0
2025-06-02T13:22:50.101525,2147,0
2025-06-02T13:22:51.131302,2093,0
2025-06-02T13:22:52.160493,2093,0
2025-06-02T13:22:53.191111,2082,0
2025-06-02T13:22:54.220754,2082,0
2025-06-02T13:22:55.259413,2162,0
2025-06-02T13:22:56.293025,2162,0
2025-06-02T13:22:57.338554,2102,0
2025-06-02T13:22:58.383944,2102,0
2025-06-02T13:22:59.413498,2092,0
2025-06-02T13:23:00.475372,2166,0
2025-06-02T13:23:01.504786,2166,0
2025-06-02T13:23:02.534023,2183,0
2025-06-02T13:23:03.562973,2183,0
2025-06-02T13:23:04.603948,2116,0
2025-06-02T13:23:05.653876,2116,0
2025-06-02T13:23:06.694815,2063,0
2025-06-02T13:23:07.725395,2063,0
2025-06-02T13:23:08.754388,2106,0
2025-06-02T13:23:09.783747,2106,0
2025-06-02T13:23:10.812979,2193,0
2025-06-02T13:23:11.843479,2193,0
2025-06-02T13:23:12.873594,2158,0
2025-06-02T13:23:13.922151,2158,0
2025-06-02T13:23:14.951103,2173,0
2025-06-02T13:23:15.996625,2173,0
2025-06-02T13:23:17.026512,2147,0
2025-06-02T13:23:18.056631,2147,0
2025-06-02T13:23:19.093197,2135,0
2025-06-02T13:23:20.123448,2135,0
2025-06-02T13:23:21.152419,2167,0
2025-06-02T13:23:22.181654,2167,0
2025-06-02T13:23:23.222410,2199,0
2025-06-02T13:23:24.264790,2199,0
2025-06-02T13:23:25.294828,2110,0
2025-06-02T13:23:26.339001,2110,0
2025-06-02T13:23:27.369119,2123,0
2025-06-02T13:23:28.397421,2123,0
2025-06-02T13:23:29.427397,2123,0
2025-06-02T13:23:30.457832,2137,0
2025-06-02T13:23:31.487184,2137,0
2025-06-02T13:23:32.527410,2183,0
2025-06-02T13:23:33.556859,2183,0
2025-06-02T13:23:34.587937,2116,0
2025-06-02T13:23:35.636084,2116,0
2025-06-02T13:23:36.680259,2086,0
2025-06-02T13:23:37.711824,2086,0
2025-06-02T13:23:38.740617,2159,0
2025-06-02T13:23:39.770596,2159,0
2025-06-02T13:23:40.799719,2150,0
2025-06-02T13:23:41.837755,2150,0
2025-06-02T13:23:42.867709,2159,0
2025-06-02T13:23:43.897279,2159,0
2025-06-02T13:23:44.949136,2091,0
2025-06-02T13:23:45.978525,2091,0
2025-06-02T13:23:47.023517,2111,0
2025-06-02T13:23:48.056672,2111,0
2025-06-02T13:23:49.086592,2048,0
2025-06-02T13:23:50.115840,2048,0
2025-06-02T13:23:51.144736,2122,0
2025-06-02T13:23:52.176674,2122,0
2025-06-02T13:23:53.205845,2080,0
2025-06-02T13:23:54.249677,2080,0
2025-06-02T13:23:55.293008,2121,0
2025-06-02T13:23:56.325012,2121,0
2025-06-02T13:23:57.367237,2118,0
2025-06-02T13:23:58.396935,2118,0
2025-06-02T13:23:59.425952,2110,0
2025-06-02T13:24:00.455254,2122,0
2025-06-02T13:24:01.487756,2122,0
2025-06-02T13:24:02.516915,2099,0
2025-06-02T13:24:03.556725,2099,0
2025-06-02T13:24:04.587941,2135,0
2025-06-02T13:24:05.634116,2135,0
2025-06-02T13:24:06.685671,2169,0
2025-06-02T13:24:07.715682,2169,0
2025-06-02T13:24:08.744622,2135,0
2025-06-02T13:24:09.797103,2135,0
2025-06-02T13:24:10.827256,2116,0
2025-06-02T13:24:11.880505,2116,0
2025-06-02T13:24:12.931143,2113,0
2025-06-02T13:24:13.966393,2113,0
2025-06-02T13:24:14.996228,2099,0
2025-06-02T13:24:16.025293,2099,0
2025-06-02T13:24:17.071405,2098,0
2025-06-02T13:24:18.101464,2098,0
2025-06-02T13:24:19.132713,2107,0
2025-06-02T13:24:20.175061,2107,0
2025-06-02T13:24:21.229203,2083,0
2025-06-02T13:24:22.258186,2083,0
2025-06-02T13:24:23.305831,2060,0
2025-06-02T13:24:24.336356,2060,0
2025-06-02T13:24:25.380091,2151,0
2025-06-02T13:24:26.421173,2151,0
2025-06-02T13:24:27.450343,2120,0
2025-06-02T13:24:28.495381,2016,0
2025-06-02T13:24:29.527838,2016,0
2025-06-02T13:24:30.556990,2151,0
2025-06-02T13:24:31.605467,2151,0
2025-06-02T13:24:32.636906,2134,0
2025-06-02T13:24:33.666665,2134,0
2025-06-02T13:24:34.697724,2085,0
2025-06-02T13:24:35.741001,2085,0
2025-06-02T13:24:36.771172,2072,0
2025-06-02T13:24:37.831980,2072,0
2025-06-02T13:24:38.860935,2149,0
2025-06-02T13:24:39.890846,2149,0
2025-06-02T13:24:40.922175,2088,0
2025-06-02T13:24:41.954386,2088,0
2025-06-02T13:24:43.009864,2074,0
2025-06-02T13:24:44.038432,2074,0
2025-06-02T13:24:45.084933,2099,0
2025-06-02T13:24:46.117073,2099,0
2025-06-02T13:24:47.147303,2124,0
2025-06-02T13:24:48.176471,2124,0
2025-06-02T13:24:49.205407,2116,0
2025-06-02T13:24:50.235044,2116,0
2025-06-02T13:24:51.264112,2146,0
2025-06-02T13:24:52.301123,2146,0
2025-06-02T13:24:53.330394,2122,0
2025-06-02T13:24:54.376763,2122,0
2025-06-02T13:24:55.425798,2159,0
2025-06-02T13:24:56.455805,2159,0
2025-06-02T13:24:57.484726,2155,0
2025-06-02T13:24:58.521179,2148,0
2025-06-02T13:24:59.551201,2148,0
2025-06-02T13:25:00.580480,2103,0
2025-06-02T13:25:01.611052,2103,0
2025-06-02T13:25:02.639296,2004,0
2025-06-02T13:25:03.668861,2004,0
2025-06-02T13:25:04.718951,2085,0
2025-06-02T13:25:05.770035,2085,0
2025-06-02T13:25:06.812962,2097,0
2025-06-02T13:25:07.846591,2097,0
2025-06-02T13:25:08.877203,2144,0
2025-06-02T13:25:09.917277,2144,0
2025-06-02T13:25:10.947427,2054,0
2025-06-02T13:25:11.989508,2054,0
2025-06-02T13:25:13.019179,2134,0
2025-06-02T13:25:14.062856,2134,0
2025-06-02T13:25:15.092289,2122,0
2025-06-02T13:25:16.132022,2122,0
2025-06-02T13:25:17.163829,2153,0
2025-06-02T13:25:18.210624,2153,0
2025-06-02T13:25:19.241543,2105,0
2025-06-02T13:25:20.315695,2105,0
2025-06-02T13:25:21.346095,2151,0
2025-06-02T13:25:22.376285,2151,0
2025-06-02T13:25:23.405879,2140,0
2025-06-02T13:25:24.435824,2140,0
2025-06-02T13:25:25.465520,2117,0
2025-06-02T13:25:26.498549,2168,0
2025-06-02T13:25:27.554503,2168,0
2025-06-02T13:25:28.584006,2126,0
2025-06-02T13:25:29.629631,2126,0
2025-06-02T13:25:30.663475,2141,0
2025-06-02T13:25:31.693999,2141,0
2025-06-02T13:25:32.722914,2098,0
2025-06-02T13:25:33.755840,2098,0
2025-06-02T13:25:34.785650,2164,0
2025-06-02T13:25:35.816842,2164,0
2025-06-02T13:25:36.848251,2103,0
2025-06-02T13:25:37.896391,2103,0
2025-06-02T13:25:38.925129,2099,0
2025-06-02T13:25:39.974886,2099,0
2025-06-02T13:25:41.004235,2124,0
2025-06-02T13:25:42.033133,2124,0
2025-06-02T13:25:43.062230,2167,0
2025-06-02T13:25:44.093378,2167,0
2025-06-02T13:25:45.123394,2126,0
2025-06-02T13:25:46.155514,2126,0
2025-06-02T13:25:47.184642,2116,0
2025-06-02T13:25:48.214684,2116,0
2025-06-02T13:25:49.263406,2092,0
2025-06-02T13:25:50.292675,2092,0
2025-06-02T13:25:51.337032,2149,0
2025-06-02T13:25:52.367233,2149,0
2025-06-02T13:25:53.396350,2115,0
2025-06-02T13:25:54.426442,2115,0
2025-06-02T13:25:55.464026,2120,0
2025-06-02T13:25:56.495684,2135,0
2025-06-02T13:25:57.525666,2135,0
2025-06-02T13:25:58.581885,2150,0
2025-06-02T13:25:59.610029,2150,0
2025-06-02T13:26:00.654312,2138,0
2025-06-02T13:26:01.702660,2138,0
2025-06-02T13:26:02.731329,2155,0
2025-06-02T13:26:03.771660,2155,0
2025-06-02T13:26:04.800378,2052,0
2025-06-02T13:26:05.831090,2052,0
2025-06-02T13:26:06.875842,2091,0
2025-06-02T13:26:07.904742,2091,0
2025-06-02T13:26:08.950558,2057,0
2025-06-02T13:26:09.981685,2057,0
2025-06-02T13:26:11.011269,2115,0
2025-06-02T13:26:12.041051,2115,0
2025-06-02T13:26:13.080743,2075,0
2025-06-02T13:26:14.111093,2075,0
2025-06-02T13:26:15.150666,2115,0
2025-06-02T13:26:16.195854,2115,0
2025-06-02T13:26:17.243698,2038,0
2025-06-02T13:26:18.285781,2038,0
2025-06-02T13:26:19.314806,2084,0
2025-06-02T13:26:20.346431,2084,0
2025-06-02T13:26:21.390910,2088,0
2025-06-02T13:26:22.423756,2088,0
2025-06-02T13:26:23.464172,2098,0
2025-06-02T13:26:24.493483,2157,0
2025-06-02T13:26:25.546811,2157,0
2025-06-02T13:26:26.576394,2163,0
2025-06-02T13:26:27.621798,2163,0
2025-06-02T13:26:28.651719,2123,0
2025-06-02T13:26:29.681416,2123,0
2025-06-02T13:26:30.710376,2117,0
2025-06-02T13:26:31.741236,2117,0
2025-06-02T13:26:32.783021,2111,0
2025-06-02T13:26:33.812164,2111,0
2025-06-02T13:26:34.858275,2122,0
2025-06-02T13:26:35.902742,2122,0
2025-06-02T13:26:36.931515,2192,0
2025-06-02T13:26:37.964475,2192,0
2025-06-02T13:26:39.005428,2142,0
2025-06-02T13:26:40.035329,2142,0
2025-06-02T13:26:41.077168,2177,0
2025-06-02T13:26:42.110361,2177,0
2025-06-02T13:26:43.151200,2104,0
2025-06-02T13:26:44.180867,2104,0
2025-06-02T13:26:45.210642,2096,0
2025-06-02T13:26:46.240680,2096,0
2025-06-02T13:26:47.270162,2114,0
2025-06-02T13:26:48.299219,2114,0
2025-06-02T13:26:49.328124,2166,0
2025-06-02T13:26:50.358862,2166,0
2025-06-02T13:26:51.388200,2106,0
2025-06-02T13:26:52.419168,2106,0
2025-06-02T13:26:53.451827,2098,0
2025-06-02T13:26:54.492474,2081,0
2025-06-02T13:26:55.521890,2081,0
2025-06-02T13:26:56.584765,2164,0
2025-06-02T13:26:57.628119,2164,0
2025-06-02T13:26:58.658945,2162,0
2025-06-02T13:26:59.688505,2162,0
2025-06-02T13:27:00.738147,2041,0
2025-06-02T13:27:01.787790,2041,0
2025-06-02T13:27:02.828201,2085,0
2025-06-02T13:27:03.858733,2085,0
2025-06-02T13:27:04.889886,2201,0
2025-06-02T13:27:05.931217,2201,0
2025-06-02T13:27:06.960218,2111,0
2025-06-02T13:27:08.009527,2111,0
2025-06-02T13:27:09.038419,2109,0
2025-06-02T13:27:10.104436,2109,0
2025-06-02T13:27:11.137333,2098,0
2025-06-02T13:27:12.167290,2098,0
2025-06-02T13:27:13.202245,2108,0
2025-06-02T13:27:14.255212,2108,0
2025-06-02T13:27:15.284945,2121,0
2025-06-02T13:27:16.328680,2121,0
2025-06-02T13:27:17.360619,2133,0
2025-06-02T13:27:18.389824,2133,0
2025-06-02T13:27:19.419841,2073,0
2025-06-02T13:27:20.448946,2073,0
2025-06-02T13:27:21.477824,2122,0
2025-06-02T13:27:22.506955,2200,0
2025-06-02T13:27:23.546688,2200,0
2025-06-02T13:27:24.575963,2130,0
2025-06-02T13:27:25.623491,2130,0
2025-06-02T13:27:26.671821,2142,0
2025-06-02T13:27:27.700803,2142,0
2025-06-02T13:27:28.729973,2107,0
2025-06-02T13:27:29.760107,2107,0
2025-06-02T13:27:30.789005,2069,0
2025-06-02T13:27:31.818463,2069,0
2025-06-02T13:27:32.864049,2021,0
2025-06-02T13:27:33.893921,2021,0
2025-06-02T13:27:34.923559,2121,0
2025-06-02T13:27:35.963753,2121,0
2025-06-02T13:27:36.992525,2144,0
2025-06-02T13:27:38.039393,2144,0
2025-06-02T13:27:39.072541,2121,0
2025-06-02T13:27:40.102666,2121,0
2025-06-02T13:27:41.132725,2137,0
2025-06-02T13:27:42.164078,2137,0
2025-06-02T13:27:43.192942,2162,0
2025-06-02T13:27:44.222115,2162,0
2025-06-02T13:27:45.250818,2127,0
2025-06-02T13:27:46.279925,2127,0
2025-06-02T13:27:47.309813,2141,0
2025-06-02T13:27:48.355134,2141,0
2025-06-02T13:27:49.383958,2099,0
2025-06-02T13:27:50.428395,2099,0
2025-06-02T13:27:51.457071,2096,0
2025-06-02T13:27:52.486300,2096,0
2025-06-02T13:27:53.516059,2058,0
2025-06-02T13:27:54.546511,2085,0
2025-06-02T13:27:55.577798,2085,0
2025-06-02T13:27:56.608421,2032,0
2025-06-02T13:27:57.640839,2032,0
2025-06-02T13:27:58.679773,2168,0
2025-06-02T13:27:59.720226,2168,0
2025-06-02T13:28:00.749123,2124,0
2025-06-02T13:28:01.793414,2124,0
2025-06-02T13:28:02.822975,2097,0
2025-06-02T13:28:03.856932,2097,0
2025-06-02T13:28:04.887183,2108,0
2025-06-02T13:28:05.916677,2108,0
2025-06-02T13:28:06.945510,2129,0
2025-06-02T13:28:07.988104,2129,0
2025-06-02T13:28:09.017400,2159,0
2025-06-02T13:28:10.062159,2159,0
2025-06-02T13:28:11.091661,2106,0
2025-06-02T13:28:12.143735,2106,0
2025-06-02T13:28:13.172875,2111,0
2025-06-02T13:28:14.202209,2111,0
2025-06-02T13:28:15.231211,2192,0
2025-06-02T13:28:16.260194,2192,0
2025-06-02T13:28:17.297719,2093,0
2025-06-02T13:28:18.326765,2093,0
2025-06-02T13:28:19.357375,2128,0
2025-06-02T13:28:20.405829,2128,0
2025-06-02T13:28:21.435773,2154,0
2025-06-02T13:28:22.481138,2154,0
2025-06-02T13:28:23.525119,2105,0
2025-06-02T13:28:24.555184,2103,0
2025-06-02T13:28:25.584852,2103,0
2025-06-02T13:28:26.615842,2121,0
2025-06-02T13:28:27.645206,2121,0
2025-06-02T13:28:28.677462,2133,0
2025-06-02T13:28:29.722763,2133,0
2025-06-02T13:28:30.759650,2121,0
2025-06-02T13:28:31.798833,2121,0
2025-06-02T13:28:32.827643,2141,0
2025-06-02T13:28:33.866443,2141,0
2025-06-02T13:28:34.895834,2166,0
2025-06-02T13:28:35.925264,2166,0
2025-06-02T13:28:36.954661,2105,0
2025-06-02T13:28:37.983633,2105,0
2025-06-02T13:28:39.015444,2107,0
2025-06-02T13:28:40.047446,2107,0
2025-06-02T13:28:41.091466,2167,0
2025-06-02T13:28:42.121965,2167,0
2025-06-02T13:28:43.162549,2163,0
2025-06-02T13:28:44.191258,2163,0
2025-06-02T13:28:45.220535,2113,0
2025-06-02T13:28:46.250125,2113,0
2025-06-02T13:28:47.279984,2084,0
2025-06-02T13:28:48.309123,2084,0
2025-06-02T13:28:49.339899,2114,0
2025-06-02T13:28:50.369770,2114,0
2025-06-02T13:28:51.403862,2078,0
2025-06-02T13:28:52.438303,2078,0
2025-06-02T13:28:53.480938,2124,0
2025-06-02T13:28:54.510749,2124,0
2025-06-02T13:28:55.557367,2126,0
2025-06-02T13:28:56.587197,2114,0
2025-06-02T13:28:57.617280,2114,0
2025-06-02T13:28:58.651158,2075,0
2025-06-02T13:28:59.680255,2075,0
2025-06-02T13:29:00.710055,2116,0
2025-06-02T13:29:01.782415,2116,0
2025-06-02T13:29:02.823943,2096,0
2025-06-02T13:29:03.867759,2096,0
2025-06-02T13:29:04.901627,2102,0
2025-06-02T13:29:05.930882,2102,0
2025-06-02T13:29:06.959836,2140,0
