timestamp,power_mW,under_attack
2025-06-02T11:53:53.450950,2137,1
2025-06-02T11:53:54.486888,2137,1
2025-06-02T11:53:55.516066,2121,1
2025-06-02T11:53:56.544241,2121,1
2025-06-02T11:53:57.585823,2196,1
2025-06-02T11:53:58.614834,2196,1
2025-06-02T11:53:59.659253,2250,1
2025-06-02T11:54:00.688355,2250,1
2025-06-02T11:54:01.725078,2143,1
2025-06-02T11:54:02.753849,2143,1
2025-06-02T11:54:03.787844,2140,1
2025-06-02T11:54:04.816803,2140,1
2025-06-02T11:54:05.858835,2167,1
2025-06-02T11:54:06.903036,2167,1
2025-06-02T11:54:07.932231,2169,1
2025-06-02T11:54:08.976195,2169,1
2025-06-02T11:54:10.005727,2198,1
2025-06-02T11:54:11.043211,2198,1
2025-06-02T11:54:12.072819,2114,1
2025-06-02T11:54:13.101102,2114,1
2025-06-02T11:54:14.130300,2239,1
2025-06-02T11:54:15.159447,2239,1
2025-06-02T11:54:16.200467,2244,1
2025-06-02T11:54:17.229723,2226,1
2025-06-02T11:54:18.269467,2226,1
2025-06-02T11:54:19.319665,2129,1
2025-06-02T11:54:20.348712,2129,1
2025-06-02T11:54:21.378510,2164,1
2025-06-02T11:54:22.409693,2164,1
2025-06-02T11:54:23.438732,2193,1
2025-06-02T11:54:24.469605,2193,1
2025-06-02T11:54:25.508473,2221,1
2025-06-02T11:54:26.540522,2221,1
2025-06-02T11:54:27.569524,2168,1
2025-06-02T11:54:28.611880,2168,1
2025-06-02T11:54:29.664844,2214,1
2025-06-02T11:54:30.694009,2214,1
2025-06-02T11:54:31.723191,2190,1
2025-06-02T11:54:32.758769,2190,1
2025-06-02T11:54:33.788974,2149,1
2025-06-02T11:54:34.827741,2149,1
2025-06-02T11:54:35.864513,2114,1
2025-06-02T11:54:36.906320,2114,1
2025-06-02T11:54:37.935865,2187,1
2025-06-02T11:54:38.979362,2187,1
2025-06-02T11:54:40.023161,2201,1
2025-06-02T11:54:41.053061,2201,1
2025-06-02T11:54:42.100866,2183,1
2025-06-02T11:54:43.130648,2183,1
2025-06-02T11:54:44.184037,2175,1
2025-06-02T11:54:45.226848,2175,1
2025-06-02T11:54:46.255940,2218,1
2025-06-02T11:54:47.284096,2162,1
2025-06-02T11:54:48.315094,2162,1
2025-06-02T11:54:49.344370,2124,1
2025-06-02T11:54:50.373733,2124,1
2025-06-02T11:54:51.425336,2238,1
2025-06-02T11:54:52.471044,2238,1
2025-06-02T11:55:00.313650,2219,0
2025-06-02T11:55:01.344393,2148,0
2025-06-02T11:55:02.380830,2148,0
2025-06-02T11:55:03.410152,2134,0
2025-06-02T11:55:04.451818,2134,0
2025-06-02T11:55:05.481832,2176,0
2025-06-02T11:55:06.525453,2176,0
2025-06-02T11:55:07.554361,2102,0
2025-06-02T11:55:08.592027,2102,0
2025-06-02T11:55:09.622798,2180,0
2025-06-02T11:55:10.652816,2180,0
2025-06-02T11:55:11.682852,2166,0
2025-06-02T11:55:12.713558,2166,0
2025-06-02T11:55:13.755741,2115,0
2025-06-02T11:55:14.794333,2115,0
2025-06-02T11:55:15.824755,2138,0
2025-06-02T11:55:16.868836,2138,0
2025-06-02T11:55:17.897839,2131,0
2025-06-02T11:55:18.926820,2131,0
2025-06-02T11:55:19.964683,2170,0
2025-06-02T11:55:20.997079,2170,0
2025-06-02T11:55:22.026529,2139,0
2025-06-02T11:55:23.064034,2139,0
