timestamp,power_mW,under_attack
2025-05-29T21:14:03.521798,2101,1
2025-05-29T21:14:04.552097,2101,1
2025-05-29T21:14:05.581318,2167,1
2025-05-29T21:14:06.611140,2167,1
2025-05-29T21:14:07.641338,2158,1
2025-05-29T21:14:08.671824,2158,1
2025-05-29T21:14:09.700242,2090,1
2025-05-29T21:14:10.729192,2090,1
2025-05-29T21:14:11.757975,2156,1
2025-05-29T21:14:12.800475,2156,1
2025-05-29T21:14:13.829213,2129,1
2025-05-29T21:14:14.858690,2129,1
2025-05-29T21:14:15.903144,2158,1
2025-05-29T21:14:16.933131,2158,1
2025-05-29T21:14:17.961940,2100,1
2025-05-29T21:14:18.991360,2100,1
2025-05-29T21:14:20.020138,2188,1
2025-05-29T21:14:21.048375,2188,1
2025-05-29T21:14:22.084982,2210,1
2025-05-29T21:14:23.113152,2210,1
2025-05-29T21:14:24.142404,2075,1
2025-05-29T21:14:25.173760,2174,1
2025-05-29T21:14:26.214699,2174,1
2025-05-29T21:14:27.243628,2092,1
2025-05-29T21:14:28.291689,2092,1
2025-05-29T21:14:29.321911,2165,1
2025-05-29T21:14:30.351200,2165,1
2025-05-29T21:14:31.406683,2072,1
2025-05-29T21:14:32.436136,2072,1
2025-05-29T21:14:33.465454,2095,1
2025-05-29T21:14:34.509030,2095,1
2025-05-29T21:14:35.538234,2027,1
2025-05-29T21:14:36.583832,2027,1
2025-05-29T21:14:37.615070,2132,1
2025-05-29T21:14:38.644766,2132,1
2025-05-29T21:14:39.679074,2089,1
2025-05-29T21:14:40.720008,2089,1
2025-05-29T21:14:41.748312,2058,1
2025-05-29T21:14:42.777953,2058,1
2025-05-29T21:14:43.807336,2006,1
2025-05-29T21:14:44.851343,2006,1
2025-05-29T21:14:45.880788,1983,1
2025-05-29T21:14:46.926721,1983,1
2025-05-29T21:14:47.955722,2080,1
2025-05-29T21:14:48.985650,2080,1
2025-05-29T21:14:50.015137,2036,1
2025-05-29T21:14:51.045120,2036,1
2025-05-29T21:14:52.074341,2088,1
2025-05-29T21:14:53.120462,2088,1
2025-05-29T21:14:54.150343,2026,1
2025-05-29T21:14:55.193711,2155,1
2025-05-29T21:14:56.223353,2155,1
2025-05-29T21:14:57.267333,2103,1
2025-05-29T21:14:58.303263,2103,1
2025-05-29T21:14:59.332871,2078,1
2025-05-29T21:15:00.362038,2078,1
2025-05-29T21:15:01.391346,2132,1
2025-05-29T21:15:02.431677,2132,1
2025-05-29T21:15:03.461060,2064,1
2025-05-29T21:15:05.971699,2083,0
2025-05-29T21:15:07.001750,2083,0
2025-05-29T21:15:08.031073,2113,0
2025-05-29T21:15:09.060685,2113,0
2025-05-29T21:15:10.090011,1971,0
2025-05-29T21:15:11.129415,1971,0
2025-05-29T21:15:12.158363,2043,0
2025-05-29T21:15:13.187975,1931,0
2025-05-29T21:15:14.239857,1931,0
2025-05-29T21:15:15.269229,2055,0
2025-05-29T21:15:16.313967,2055,0
2025-05-29T21:15:17.345843,2022,0
2025-05-29T21:15:18.374279,2022,0
2025-05-29T21:15:19.403099,2024,0
2025-05-29T21:15:20.437272,2024,0
2025-05-29T21:15:21.467206,2049,0
2025-05-29T21:15:22.496809,2049,0
2025-05-29T21:15:23.541032,2005,0
2025-05-29T21:15:24.582276,2005,0
2025-05-29T21:15:25.612085,2093,0
2025-05-29T21:15:26.656865,2093,0
2025-05-29T21:15:27.686020,2069,0
2025-05-29T21:15:28.715291,2069,0
2025-05-29T21:15:29.748235,2049,0
2025-05-29T21:15:30.777321,2049,0
2025-05-29T21:15:31.806964,2075,0
2025-05-29T21:15:32.849399,2075,0
2025-05-29T21:15:33.878623,2004,0
2025-05-29T21:15:34.908053,2004,0
2025-05-29T21:15:35.952947,2071,0
2025-05-29T21:15:36.998382,2071,0
2025-05-29T21:15:38.027854,2027,0
2025-05-29T21:15:39.057080,2027,0
2025-05-29T21:15:40.087552,2089,0
2025-05-29T21:15:41.117374,2089,0
2025-05-29T21:15:42.157096,2091,0
2025-05-29T21:15:43.187106,2100,0
2025-05-29T21:15:44.217215,2100,0
2025-05-29T21:15:45.266958,2093,0
2025-05-29T21:15:46.295772,2093,0
2025-05-29T21:15:47.324336,2096,0
2025-05-29T21:15:48.363851,2096,0
2025-05-29T21:15:49.392312,2133,0
2025-05-29T21:15:50.421630,2133,0
2025-05-29T21:15:51.450343,2128,0
2025-05-29T21:15:52.479974,2128,0
2025-05-29T21:15:53.509955,2144,0
2025-05-29T21:15:54.539673,2144,0
2025-05-29T21:15:55.570613,2071,0
2025-05-29T21:15:56.600137,2071,0
2025-05-29T21:15:57.630042,2015,0
2025-05-29T21:15:58.681191,2015,0
2025-05-29T21:15:59.712048,2094,0
2025-05-29T21:16:00.755042,2094,0
2025-05-29T21:16:01.784653,2030,0
2025-05-29T21:16:02.813230,2030,0
2025-05-29T21:16:03.842245,2059,0
2025-05-29T21:16:04.879176,2059,0
2025-05-29T21:16:05.907645,2107,0
2025-05-29T21:16:06.936383,2107,0
2025-05-29T21:16:07.967750,2025,0
2025-05-29T21:16:08.996387,2025,0
2025-05-29T21:16:10.024824,2042,0
2025-05-29T21:16:11.053932,2042,0
2025-05-29T21:16:12.095515,2104,0
2025-05-29T21:16:13.126030,2104,0
2025-05-29T21:16:14.174711,2029,0
2025-05-29T21:16:15.203382,2047,0
2025-05-29T21:16:16.233171,2047,0
2025-05-29T21:16:17.275246,2041,0
2025-05-29T21:16:18.303799,2041,0
2025-05-29T21:16:19.333775,2052,0
2025-05-29T21:16:20.362105,2052,0
2025-05-29T21:16:21.397272,2037,0
2025-05-29T21:16:22.438623,2037,0
2025-05-29T21:16:23.466666,2065,0
2025-05-29T21:16:24.513513,2065,0
2025-05-29T21:16:25.542214,2064,0
