timestamp,power_mW,under_attack
2025-05-29T22:39:43.382434,2118,1
2025-05-29T22:39:44.412081,2111,1
2025-05-29T22:39:45.441160,2111,1
2025-05-29T22:39:46.470158,2030,1
2025-05-29T22:39:47.503139,2030,1
2025-05-29T22:39:48.534083,2081,1
2025-05-29T22:39:49.562886,2081,1
2025-05-29T22:39:50.592322,2128,1
2025-05-29T22:39:51.636103,2128,1
2025-05-29T22:39:52.665107,2254,1
2025-05-29T22:39:53.709494,2254,1
2025-05-29T22:39:54.741757,2093,1
2025-05-29T22:39:55.770437,2093,1
2025-05-29T22:39:56.800836,2008,1
2025-05-29T22:39:57.829497,2008,1
2025-05-29T22:39:58.858365,2146,1
2025-05-29T22:39:59.902313,2146,1
2025-05-29T22:40:00.931550,2099,1
2025-05-29T22:40:01.960998,2099,1
2025-05-29T22:40:03.004425,2096,1
2025-05-29T22:40:04.034121,2096,1
2025-05-29T22:40:05.075548,2114,1
2025-05-29T22:40:06.106382,2114,1
2025-05-29T22:40:07.136170,2003,1
2025-05-29T22:40:08.164916,2003,1
2025-05-29T22:40:09.209912,2080,1
2025-05-29T22:40:10.239653,2080,1
2025-05-29T22:40:11.268333,2116,1
2025-05-29T22:40:12.323191,2116,1
2025-05-29T22:40:13.352150,2103,1
2025-05-29T22:40:14.394275,2082,1
2025-05-29T22:40:15.423094,2082,1
2025-05-29T22:40:16.452967,2085,1
2025-05-29T22:40:17.482232,2085,1
2025-05-29T22:40:18.519547,2064,1
2025-05-29T22:40:19.552114,2064,1
2025-05-29T22:40:20.581455,2086,1
2025-05-29T22:40:21.619876,2086,1
2025-05-29T22:40:22.663227,2097,1
2025-05-29T22:40:23.693795,2097,1
2025-05-29T22:40:24.736612,2140,1
2025-05-29T22:40:25.765305,2140,1
2025-05-29T22:40:26.795838,2010,1
2025-05-29T22:40:27.825715,2010,1
2025-05-29T22:40:28.854526,2124,1
2025-05-29T22:40:29.883029,2124,1
2025-05-29T22:40:30.912689,2067,1
2025-05-29T22:40:31.941929,2067,1
2025-05-29T22:40:32.971536,2022,1
2025-05-29T22:40:34.000494,2022,1
2025-05-29T22:40:35.033183,2049,1
2025-05-29T22:40:36.077726,2049,1
2025-05-29T22:40:37.105690,2030,1
2025-05-29T22:40:38.151713,2030,1
2025-05-29T22:40:39.180776,2157,1
2025-05-29T22:40:40.209247,2157,1
2025-05-29T22:40:41.238196,2143,1
2025-05-29T22:40:42.267549,2143,1
2025-05-29T22:40:43.296978,2075,1
2025-05-29T22:40:44.679173,2014,0
2025-05-29T22:40:45.708984,2014,0
2025-05-29T22:40:46.753046,2100,0
2025-05-29T22:40:47.782436,2100,0
2025-05-29T22:40:48.811206,2064,0
2025-05-29T22:40:49.846063,2064,0
2025-05-29T22:40:50.875987,2102,0
2025-05-29T22:40:51.903746,2102,0
2025-05-29T22:40:52.933310,2031,0
2025-05-29T22:40:53.962220,2031,0
2025-05-29T22:40:54.992672,2053,0
2025-05-29T22:40:56.021252,2053,0
2025-05-29T22:40:57.069524,2059,0
2025-05-29T22:40:58.098395,2059,0
2025-05-29T22:40:59.143137,2103,0
2025-05-29T22:41:00.172812,2103,0
2025-05-29T22:41:01.201623,2002,0
2025-05-29T22:41:02.230427,2002,0
2025-05-29T22:41:03.259334,2131,0
2025-05-29T22:41:04.289248,2131,0
2025-05-29T22:41:05.317983,2052,0
2025-05-29T22:41:06.361226,2052,0
2025-05-29T22:41:07.390927,2060,0
2025-05-29T22:41:08.437095,2062,0
2025-05-29T22:41:09.465848,2062,0
2025-05-29T22:41:10.509419,2048,0
2025-05-29T22:41:11.539824,2048,0
2025-05-29T22:41:12.568914,2048,0
2025-05-29T22:41:13.596617,2048,0
2025-05-29T22:41:14.626700,1976,0
2025-05-29T22:41:15.686946,1976,0
2025-05-29T22:41:16.714738,2113,0
2025-05-29T22:41:17.754662,2113,0
2025-05-29T22:41:18.783756,2056,0
2025-05-29T22:41:19.827558,2056,0
2025-05-29T22:41:20.856863,2074,0
2025-05-29T22:41:21.886392,2074,0
2025-05-29T22:41:22.915333,2027,0
2025-05-29T22:41:23.945973,2027,0
2025-05-29T22:41:24.980466,2019,0
2025-05-29T22:41:26.008992,2019,0
2025-05-29T22:41:27.039250,2062,0
2025-05-29T22:41:28.070645,2062,0
2025-05-29T22:41:29.101624,2037,0
2025-05-29T22:41:30.162096,2037,0
2025-05-29T22:41:31.194180,2047,0
2025-05-29T22:41:32.223034,2047,0
2025-05-29T22:41:33.264604,2100,0
2025-05-29T22:41:34.294730,2100,0
2025-05-29T22:41:35.323629,2173,0
2025-05-29T22:41:36.353427,2173,0
2025-05-29T22:41:37.392188,2202,0
2025-05-29T22:41:38.421130,2139,0
2025-05-29T22:41:39.463242,2139,0
2025-05-29T22:41:40.495041,2105,0
2025-05-29T22:41:41.537523,2105,0
2025-05-29T22:41:42.566613,2067,0
2025-05-29T22:41:43.598519,2067,0
2025-05-29T22:41:44.627999,2170,0
2025-05-29T22:41:45.656689,2170,0
2025-05-29T22:41:46.701018,2157,0
2025-05-29T22:41:47.730187,2157,0
2025-05-29T22:41:48.759190,2179,0
2025-05-29T22:41:49.788749,2179,0
2025-05-29T22:41:50.829752,2090,0
2025-05-29T22:41:51.858879,2090,0
2025-05-29T22:41:52.902976,2151,0
2025-05-29T22:41:53.932030,2151,0
2025-05-29T22:41:54.961185,2123,0
2025-05-29T22:41:55.989749,2123,0
2025-05-29T22:41:57.018771,2089,0
2025-05-29T22:41:58.048363,2089,0
2025-05-29T22:41:59.076543,2152,0
2025-05-29T22:42:00.112921,2152,0
2025-05-29T22:42:01.141882,2114,0
2025-05-29T22:42:02.170447,2114,0
2025-05-29T22:42:03.200550,2129,0
2025-05-29T22:42:04.244399,2129,0
2025-05-29T22:42:05.274207,2141,0
2025-05-29T22:42:06.320128,2141,0
2025-05-29T22:42:07.349030,1991,0
2025-05-29T22:42:08.377731,1991,0
2025-05-29T22:42:09.424104,2110,0
2025-05-29T22:42:10.453014,2050,0
2025-05-29T22:42:11.482320,2050,0
2025-05-29T22:42:12.538411,2084,0
2025-05-29T22:42:13.567795,2084,0
2025-05-29T22:42:14.613821,2066,0
2025-05-29T22:42:15.642640,2066,0
2025-05-29T22:42:16.671321,2118,0
2025-05-29T22:42:17.700287,2118,0
2025-05-29T22:42:18.733341,2098,0
2025-05-29T22:42:19.762791,2098,0
2025-05-29T22:42:20.793379,2076,0
2025-05-29T22:42:21.832824,2076,0
2025-05-29T22:42:22.861615,2065,0
2025-05-29T22:42:23.904966,2065,0
2025-05-29T22:42:24.935655,2052,0
2025-05-29T22:42:25.977878,2052,0
2025-05-29T22:42:27.008040,2094,0
2025-05-29T22:42:28.038315,2094,0
2025-05-29T22:42:29.067069,2129,0
2025-05-29T22:42:30.096823,2129,0
2025-05-29T22:42:31.125333,2045,0
2025-05-29T22:42:32.159865,2045,0
2025-05-29T22:42:33.188854,2114,0
2025-05-29T22:42:34.218329,2114,0
2025-05-29T22:42:35.247222,2072,0
2025-05-29T22:42:36.276298,2072,0
2025-05-29T22:42:37.319135,2050,0
2025-05-29T22:42:38.349531,2050,0
2025-05-29T22:42:39.392538,2004,0
2025-05-29T22:42:40.421949,2004,0
2025-05-29T22:42:41.480249,2121,0
2025-05-29T22:42:42.509119,2038,0
2025-05-29T22:42:43.565639,2038,0
2025-05-29T22:42:44.596005,2059,0
2025-05-29T22:42:45.638872,2059,0
2025-05-29T22:42:46.668382,1952,0
2025-05-29T22:42:47.697469,1952,0
2025-05-29T22:42:48.728043,2016,0
2025-05-29T22:42:49.758095,2016,0
2025-05-29T22:42:50.791856,2104,0
2025-05-29T22:42:51.820474,2104,0
2025-05-29T22:42:52.861150,2267,0
2025-05-29T22:42:53.890100,2267,0
2025-05-29T22:42:54.932113,2112,0
2025-05-29T22:42:55.964459,2112,0
2025-05-29T22:42:57.005412,2104,0
2025-05-29T22:42:58.034078,2104,0
2025-05-29T22:42:59.066350,2110,0
2025-05-29T22:43:00.096628,2110,0
2025-05-29T22:43:01.125546,2161,0
2025-05-29T22:43:02.154355,2161,0
2025-05-29T22:43:03.184996,2086,0
2025-05-29T22:43:04.213491,2086,0
2025-05-29T22:43:05.249351,2174,0
2025-05-29T22:43:06.279754,2174,0
2025-05-29T22:43:07.322329,2087,0
2025-05-29T22:43:08.351220,2087,0
2025-05-29T22:43:09.398138,2126,0
2025-05-29T22:43:10.428469,2126,0
2025-05-29T22:43:11.457694,2188,0
2025-05-29T22:43:12.490700,2176,0
2025-05-29T22:43:13.519343,2176,0
2025-05-29T22:43:14.553063,2215,0
2025-05-29T22:43:15.583420,2215,0
2025-05-29T22:43:16.612181,2126,0
2025-05-29T22:43:17.642261,2126,0
2025-05-29T22:43:18.670789,2137,0
2025-05-29T22:43:19.712852,2137,0
2025-05-29T22:43:20.742350,2054,0
2025-05-29T22:43:21.791255,2054,0
2025-05-29T22:43:22.820376,2006,0
2025-05-29T22:43:23.849600,2006,0
2025-05-29T22:43:24.889084,2045,0
2025-05-29T22:43:25.924037,2045,0
2025-05-29T22:43:26.953559,2061,0
2025-05-29T22:43:28.007122,2061,0
2025-05-29T22:43:29.037478,2125,0
2025-05-29T22:43:30.080616,2125,0
2025-05-29T22:43:31.119966,2047,0
2025-05-29T22:43:32.149505,2047,0
2025-05-29T22:43:33.179152,2073,0
2025-05-29T22:43:34.209757,2073,0
2025-05-29T22:43:35.238612,2155,0
2025-05-29T22:43:36.268476,2155,0
2025-05-29T22:43:37.308433,2127,0
2025-05-29T22:43:38.349537,2127,0
2025-05-29T22:43:39.380862,2155,0
2025-05-29T22:43:40.424346,2155,0
2025-05-29T22:43:41.453626,2149,0
2025-05-29T22:43:42.483408,2121,0
2025-05-29T22:43:43.512603,2121,0
2025-05-29T22:43:44.545964,2135,0
2025-05-29T22:43:45.574904,2135,1
2025-05-29T22:43:46.618069,2124,1
2025-05-29T22:43:47.646934,2124,1
2025-05-29T22:43:48.675938,2172,1
2025-05-29T22:43:49.719138,2172,1
2025-05-29T22:43:50.748334,2187,1
2025-05-29T22:43:51.788996,2187,1
2025-05-29T22:43:52.821866,2030,1
2025-05-29T22:43:53.850853,2030,1
2025-05-29T22:43:54.879985,2126,1
2025-05-29T22:43:55.915742,2126,1
2025-05-29T22:43:56.944943,2122,1
2025-05-29T22:43:57.974501,2122,1
2025-05-29T22:43:59.003418,2123,1
2025-05-29T22:44:00.032442,2123,1
2025-05-29T22:44:01.061899,2107,1
2025-05-29T22:44:02.091666,2107,1
2025-05-29T22:44:03.131682,2133,1
2025-05-29T22:44:04.161029,2133,1
2025-05-29T22:44:05.203605,2161,1
2025-05-29T22:44:06.233976,2161,1
2025-05-29T22:44:07.268891,2140,1
2025-05-29T22:44:08.300035,2140,1
2025-05-29T22:44:09.337439,2113,1
2025-05-29T22:44:10.366735,2113,1
2025-05-29T22:44:11.396672,2155,1
2025-05-29T22:44:12.424646,2155,1
2025-05-29T22:44:13.452778,2156,1
2025-05-29T22:44:14.496780,2046,1
2025-05-29T22:44:15.527050,2046,1
2025-05-29T22:44:16.570423,2115,1
2025-05-29T22:44:17.599123,2115,1
2025-05-29T22:44:18.628118,2046,1
2025-05-29T22:44:19.656759,2046,1
2025-05-29T22:44:20.685839,2077,1
2025-05-29T22:44:21.714543,2077,1
2025-05-29T22:44:22.750372,2130,1
2025-05-29T22:44:23.779431,2130,1
2025-05-29T22:44:24.809993,2118,1
2025-05-29T22:44:25.863154,2118,1
2025-05-29T22:44:26.892090,2036,1
2025-05-29T22:44:27.938706,2036,1
2025-05-29T22:44:28.967177,2136,1
2025-05-29T22:44:29.996930,2136,1
2025-05-29T22:44:31.025703,2068,1
2025-05-29T22:44:32.059385,2068,1
2025-05-29T22:44:33.088148,2129,1
2025-05-29T22:44:34.116835,2129,1
2025-05-29T22:44:35.145753,2083,1
2025-05-29T22:44:36.174657,2083,1
2025-05-29T22:44:37.205372,2055,1
2025-05-29T22:44:38.233977,2055,1
2025-05-29T22:44:39.277511,2116,1
2025-05-29T22:44:40.307871,2116,1
2025-05-29T22:44:41.351940,2091,1
2025-05-29T22:44:42.380635,2091,1
2025-05-29T22:44:43.418814,2078,1
2025-05-29T22:44:44.450458,2078,1
2025-05-29T22:44:46.404670,2111,0
2025-05-29T22:44:47.433520,2000,0
2025-05-29T22:44:48.475715,2076,0
2025-05-29T22:44:49.517618,2076,0
2025-05-29T22:44:50.551185,2088,0
2025-05-29T22:44:51.590689,2088,0
2025-05-29T22:44:52.620282,2046,0
2025-05-29T22:44:53.649221,2046,0
